X: (V*s),Y: (Hits)
-1.13004e-08,0
-1.12653e-08,0
-1.12303e-08,0
-1.11952e-08,0
-1.11601e-08,0
-1.11251e-08,0
-1.109e-08,0
-1.10549e-08,0
-1.10198e-08,0
-1.09848e-08,0
-1.09497e-08,0
-1.09146e-08,0
-1.08796e-08,0
-1.08445e-08,0
-1.08094e-08,0
-1.07743e-08,0
-1.07393e-08,0
-1.07042e-08,0
-1.06691e-08,0
-1.06341e-08,0
-1.0599e-08,0
-1.05639e-08,0
-1.05288e-08,0
-1.04938e-08,0
-1.04587e-08,0
-1.04236e-08,0
-1.03886e-08,0
-1.03535e-08,0
-1.03184e-08,0
-1.02833e-08,0
-1.02483e-08,0
-1.02132e-08,0
-1.01781e-08,0
-1.01431e-08,0
-1.0108e-08,0
-1.00729e-08,0
-1.00378e-08,0
-1.00028e-08,0
-9.9677e-09,0
-9.93263e-09,0
-9.89755e-09,0
-9.86248e-09,0
-9.82741e-09,0
-9.79234e-09,0
-9.75727e-09,0
-9.7222e-09,0
-9.68713e-09,0
-9.65205e-09,0
-9.61698e-09,0
-9.58191e-09,0
-9.54684e-09,0
-9.51177e-09,0
-9.4767e-09,0
-9.44162e-09,0
-9.40655e-09,0
-9.37148e-09,0
-9.33641e-09,0
-9.30134e-09,0
-9.26627e-09,0
-9.2312e-09,0
-9.19612e-09,0
-9.16105e-09,0
-9.12598e-09,0
-9.09091e-09,0
-9.05584e-09,0
-9.02077e-09,0
-8.9857e-09,0
-8.95062e-09,0
-8.91555e-09,0
-8.88048e-09,0
-8.84541e-09,0
-8.81034e-09,0
-8.77527e-09,0
-8.74019e-09,0
-8.70512e-09,0
-8.67005e-09,0
-8.63498e-09,0
-8.59991e-09,0
-8.56484e-09,0
-8.52977e-09,0
-8.49469e-09,0
-8.45962e-09,0
-8.42455e-09,0
-8.38948e-09,0
-8.35441e-09,0
-8.31934e-09,0
-8.28427e-09,0
-8.24919e-09,0
-8.21412e-09,0
-8.17905e-09,0
-8.14398e-09,0
-8.10891e-09,0
-8.07384e-09,0
-8.03876e-09,0
-8.00369e-09,0
-7.96862e-09,0
-7.93355e-09,0
-7.89848e-09,0
-7.86341e-09,0
-7.82834e-09,0
-7.79326e-09,0
-7.75819e-09,0
-7.72312e-09,0
-7.68805e-09,0
-7.65298e-09,0
-7.61791e-09,0
-7.58284e-09,0
-7.54776e-09,0
-7.51269e-09,0
-7.47762e-09,0
-7.44255e-09,0
-7.40748e-09,0
-7.37241e-09,0
-7.33733e-09,0
-7.30226e-09,0
-7.26719e-09,0
-7.23212e-09,0
-7.19705e-09,0
-7.16198e-09,0
-7.12691e-09,0
-7.09183e-09,0
-7.05676e-09,0
-7.02169e-09,0
-6.98662e-09,0
-6.95155e-09,0
-6.91648e-09,0
-6.8814e-09,0
-6.84633e-09,0
-6.81126e-09,0
-6.77619e-09,0
-6.74112e-09,0
-6.70605e-09,0
-6.67098e-09,0
-6.6359e-09,0
-6.60083e-09,0
-6.56576e-09,0
-6.53069e-09,0
-6.49562e-09,0
-6.46055e-09,0
-6.42548e-09,0
-6.3904e-09,0
-6.35533e-09,0
-6.32026e-09,0
-6.28519e-09,0
-6.25012e-09,0
-6.21505e-09,0
-6.17997e-09,0
-6.1449e-09,0
-6.10983e-09,0
-6.07476e-09,0
-6.03969e-09,0
-6.00462e-09,0
-5.96955e-09,0
-5.93447e-09,0
-5.8994e-09,0
-5.86433e-09,0
-5.82926e-09,0
-5.79419e-09,0
-5.75912e-09,0
-5.72405e-09,0
-5.68897e-09,0
-5.6539e-09,0
-5.61883e-09,0
-5.58376e-09,0
-5.54869e-09,0
-5.51362e-09,0
-5.47854e-09,0
-5.44347e-09,0
-5.4084e-09,0
-5.37333e-09,0
-5.33826e-09,0
-5.30319e-09,0
-5.26812e-09,0
-5.23304e-09,0
-5.19797e-09,0
-5.1629e-09,0
-5.12783e-09,0
-5.09276e-09,0
-5.05769e-09,0
-5.02262e-09,0
-4.98754e-09,0
-4.95247e-09,0
-4.9174e-09,0
-4.88233e-09,0
-4.84726e-09,0
-4.81219e-09,0
-4.77711e-09,0
-4.74204e-09,0
-4.70697e-09,0
-4.6719e-09,0
-4.63683e-09,0
-4.60176e-09,0
-4.56669e-09,0
-4.53161e-09,0
-4.49654e-09,0
-4.46147e-09,0
-4.4264e-09,0
-4.39133e-09,0
-4.35626e-09,0
-4.32119e-09,0
-4.28611e-09,0
-4.25104e-09,0
-4.21597e-09,0
-4.1809e-09,0
-4.14583e-09,0
-4.11076e-09,0
-4.07568e-09,0
-4.04061e-09,0
-4.00554e-09,0
-3.97047e-09,0
-3.9354e-09,0
-3.90033e-09,0
-3.86526e-09,0
-3.83018e-09,0
-3.79511e-09,0
-3.76004e-09,0
-3.72497e-09,0
-3.6899e-09,0
-3.65483e-09,0
-3.61976e-09,0
-3.58468e-09,0
-3.54961e-09,0
-3.51454e-09,0
-3.47947e-09,0
-3.4444e-09,0
-3.40933e-09,0
-3.37425e-09,0
-3.33918e-09,0
-3.30411e-09,0
-3.26904e-09,0
-3.23397e-09,0
-3.1989e-09,0
-3.16383e-09,0
-3.12875e-09,0
-3.09368e-09,0
-3.05861e-09,0
-3.02354e-09,0
-2.98847e-09,0
-2.9534e-09,0
-2.91832e-09,0
-2.88325e-09,0
-2.84818e-09,0
-2.81311e-09,0
-2.77804e-09,0
-2.74297e-09,0
-2.7079e-09,0
-2.67282e-09,0
-2.63775e-09,0
-2.60268e-09,0
-2.56761e-09,0
-2.53254e-09,0
-2.49747e-09,0
-2.4624e-09,0
-2.42732e-09,0
-2.39225e-09,0
-2.35718e-09,0
-2.32211e-09,0
-2.28704e-09,0
-2.25197e-09,0
-2.21689e-09,0
-2.18182e-09,0
-2.14675e-09,0
-2.11168e-09,0
-2.07661e-09,0
-2.04154e-09,0
-2.00647e-09,0
-1.97139e-09,0
-1.93632e-09,0
-1.90125e-09,0
-1.86618e-09,0
-1.83111e-09,0
-1.79604e-09,0
-1.76097e-09,0
-1.72589e-09,0
-1.69082e-09,0
-1.65575e-09,0
-1.62068e-09,0
-1.58561e-09,0
-1.55054e-09,0
-1.51546e-09,0
-1.48039e-09,0
-1.44532e-09,0
-1.41025e-09,0
-1.37518e-09,0
-1.34011e-09,0
-1.30504e-09,0
-1.26996e-09,0
-1.23489e-09,0
-1.19982e-09,0
-1.16475e-09,0
-1.12968e-09,0
-1.09461e-09,0
-1.05954e-09,0
-1.02446e-09,0
-9.89392e-10,0
-9.54321e-10,0
-9.19249e-10,0
-8.84178e-10,0
-8.49106e-10,0
-8.14035e-10,0
-7.78963e-10,0
-7.43892e-10,0
-7.0882e-10,0
-6.73749e-10,0
-6.38677e-10,0
-6.03606e-10,0
-5.68534e-10,0
-5.33463e-10,0
-4.98391e-10,0
-4.6332e-10,0
-4.28248e-10,0
-3.93177e-10,0
-3.58105e-10,0
-3.23034e-10,0
-2.87962e-10,0
-2.52891e-10,0
-2.17819e-10,0
-1.82748e-10,0
-1.47676e-10,0
-1.12605e-10,0
-7.75331e-11,0
-4.24616e-11,0
-7.39007e-12,0
2.76814e-11,0
6.27529e-11,0
9.78244e-11,0
1.32896e-10,0
1.67967e-10,0
2.03039e-10,0
2.3811e-10,0
2.73182e-10,0
3.08253e-10,0
3.43325e-10,0
3.78396e-10,0
4.13468e-10,0
4.48539e-10,0
4.83611e-10,0
5.18683e-10,3
5.53754e-10,0
5.88826e-10,0
6.23897e-10,0
6.58969e-10,1
6.9404e-10,1
7.29112e-10,0
7.64183e-10,0
7.99255e-10,0
8.34326e-10,0
8.69398e-10,1
9.04469e-10,1
9.39541e-10,3
9.74612e-10,2
1.00968e-09,1
1.04476e-09,2
1.07983e-09,1
1.1149e-09,1
1.14997e-09,2
1.18504e-09,0
1.22011e-09,0
1.25518e-09,1
1.29026e-09,0
1.32533e-09,1
1.3604e-09,2
1.39547e-09,3
1.43054e-09,2
1.46561e-09,1
1.50068e-09,1
1.53576e-09,7
1.57083e-09,11
1.6059e-09,10
1.64097e-09,17
1.67604e-09,33
1.71111e-09,30
1.74619e-09,56
1.78126e-09,91
1.81633e-09,120
1.8514e-09,156
1.88647e-09,212
1.92154e-09,275
1.95661e-09,353
1.99169e-09,400
2.02676e-09,477
2.06183e-09,549
2.0969e-09,662
2.13197e-09,765
2.16704e-09,839
2.20211e-09,974
2.23719e-09,1093
2.27226e-09,1157
2.30733e-09,1186
2.3424e-09,1267
2.37747e-09,1397
2.41254e-09,1512
2.44762e-09,1521
2.48269e-09,1588
2.51776e-09,1652
2.55283e-09,1726
2.5879e-09,1753
2.62297e-09,1693
2.65804e-09,1805
2.69312e-09,1819
2.72819e-09,1852
2.76326e-09,1946
2.79833e-09,1915
2.8334e-09,1935
2.86847e-09,1939
2.90354e-09,2036
2.93862e-09,2097
2.97369e-09,2080
3.00876e-09,2013
3.04383e-09,2059
3.0789e-09,2052
3.11397e-09,2015
3.14905e-09,2107
3.18412e-09,2065
3.21919e-09,2102
3.25426e-09,2007
3.28933e-09,2079
3.3244e-09,2056
3.35947e-09,2154
3.39455e-09,2075
3.42962e-09,2052
3.46469e-09,2134
3.49976e-09,2147
3.53483e-09,2141
3.5699e-09,2075
3.60497e-09,2156
3.64005e-09,2055
3.67512e-09,2039
3.71019e-09,2040
3.74526e-09,2052
3.78033e-09,1974
3.8154e-09,2061
3.85048e-09,2097
3.88555e-09,2139
3.92062e-09,2084
3.95569e-09,2054
3.99076e-09,2115
4.02583e-09,2140
4.0609e-09,1986
4.09598e-09,2022
4.13105e-09,2018
4.16612e-09,2113
4.20119e-09,2051
4.23626e-09,2144
4.27133e-09,2032
4.3064e-09,1994
4.34148e-09,2053
4.37655e-09,2087
4.41162e-09,2048
4.44669e-09,2095
4.48176e-09,1998
4.51683e-09,2022
4.55191e-09,1914
4.58698e-09,2033
4.62205e-09,1967
4.65712e-09,2075
4.69219e-09,1967
4.72726e-09,2018
4.76233e-09,1898
4.79741e-09,2041
4.83248e-09,1962
4.86755e-09,1854
4.90262e-09,1930
4.93769e-09,1870
4.97276e-09,1850
5.00784e-09,1877
5.04291e-09,1829
5.07798e-09,1736
5.11305e-09,1830
5.14812e-09,1724
5.18319e-09,1715
5.21826e-09,1642
5.25334e-09,1598
5.28841e-09,1633
5.32348e-09,1531
5.35855e-09,1487
5.39362e-09,1456
5.42869e-09,1535
5.46376e-09,1363
5.49884e-09,1392
5.53391e-09,1342
5.56898e-09,1349
5.60405e-09,1324
5.63912e-09,1282
5.67419e-09,1302
5.70927e-09,1342
5.74434e-09,1274
5.77941e-09,1302
5.81448e-09,1291
5.84955e-09,1193
5.88462e-09,1316
5.91969e-09,1272
5.95477e-09,1235
5.98984e-09,1208
6.02491e-09,1251
6.05998e-09,1238
6.09505e-09,1254
6.13012e-09,1241
6.16519e-09,1296
6.20027e-09,1258
6.23534e-09,1294
6.27041e-09,1280
6.30548e-09,1306
6.34055e-09,1363
6.37562e-09,1416
6.4107e-09,1454
6.44577e-09,1452
6.48084e-09,1491
6.51591e-09,1584
6.55098e-09,1551
6.58605e-09,1627
6.62112e-09,1633
6.6562e-09,1717
6.69127e-09,1918
6.72634e-09,1832
6.76141e-09,1938
6.79648e-09,2037
6.83155e-09,2042
6.86662e-09,2201
6.9017e-09,2348
6.93677e-09,2407
6.97184e-09,2579
7.00691e-09,2667
7.04198e-09,2722
7.07705e-09,3048
7.11213e-09,3128
7.1472e-09,3217
7.18227e-09,3466
7.21734e-09,3693
7.25241e-09,3593
7.28748e-09,3888
7.32255e-09,3829
7.35763e-09,4090
7.3927e-09,4009
7.42777e-09,4072
7.46284e-09,4053
7.49791e-09,4286
7.53298e-09,4185
7.56805e-09,4151
7.60313e-09,4100
7.6382e-09,4036
7.67327e-09,3909
7.70834e-09,3664
7.74341e-09,3674
7.77848e-09,3572
7.81356e-09,3466
7.84863e-09,3241
7.8837e-09,3174
7.91877e-09,2970
7.95384e-09,2843
7.98891e-09,2663
8.02398e-09,2487
8.05906e-09,2449
8.09413e-09,2208
8.1292e-09,2204
8.16427e-09,2038
8.19934e-09,1994
8.23441e-09,1846
8.26949e-09,1749
8.30456e-09,1696
8.33963e-09,1675
8.3747e-09,1527
8.40977e-09,1475
8.44484e-09,1417
8.47991e-09,1372
8.51499e-09,1334
8.55006e-09,1296
8.58513e-09,1267
8.6202e-09,1166
8.65527e-09,1122
8.69034e-09,1192
8.72541e-09,1133
8.76049e-09,1126
8.79556e-09,1102
8.83063e-09,1144
8.8657e-09,1062
8.90077e-09,1049
8.93584e-09,1062
8.97092e-09,1076
9.00599e-09,1025
9.04106e-09,1010
9.07613e-09,1077
9.1112e-09,968
9.14627e-09,973
9.18134e-09,975
9.21642e-09,960
9.25149e-09,980
9.28656e-09,976
9.32163e-09,931
9.3567e-09,915
9.39177e-09,923
9.42684e-09,906
9.46192e-09,868
9.49699e-09,896
9.53206e-09,948
9.56713e-09,879
9.6022e-09,856
9.63727e-09,827
9.67235e-09,846
9.70742e-09,833
9.74249e-09,850
9.77756e-09,833
9.81263e-09,847
9.8477e-09,825
9.88277e-09,792
9.91785e-09,823
9.95292e-09,801
9.98799e-09,854
1.00231e-08,710
1.00581e-08,759
1.00932e-08,781
1.01283e-08,801
1.01633e-08,712
1.01984e-08,746
1.02335e-08,788
1.02686e-08,763
1.03036e-08,778
1.03387e-08,791
1.03738e-08,710
1.04088e-08,710
1.04439e-08,703
1.0479e-08,729
1.05141e-08,737
1.05491e-08,681
1.05842e-08,687
1.06193e-08,689
1.06543e-08,746
1.06894e-08,713
1.07245e-08,659
1.07596e-08,609
1.07946e-08,663
1.08297e-08,734
1.08648e-08,669
1.08998e-08,663
1.09349e-08,662
1.097e-08,635
1.10051e-08,615
1.10401e-08,615
1.10752e-08,598
1.11103e-08,622
1.11453e-08,578
1.11804e-08,587
1.12155e-08,648
1.12506e-08,676
1.12856e-08,633
1.13207e-08,559
1.13558e-08,567
1.13908e-08,557
1.14259e-08,575
1.1461e-08,570
1.14961e-08,581
1.15311e-08,568
1.15662e-08,590
1.16013e-08,585
1.16363e-08,561
1.16714e-08,565
1.17065e-08,559
1.17416e-08,572
1.17766e-08,527
1.18117e-08,549
1.18468e-08,505
1.18818e-08,540
1.19169e-08,535
1.1952e-08,555
1.19871e-08,530
1.20221e-08,533
1.20572e-08,489
1.20923e-08,516
1.21274e-08,492
1.21624e-08,497
1.21975e-08,563
1.22326e-08,524
1.22676e-08,488
1.23027e-08,475
1.23378e-08,487
1.23729e-08,506
1.24079e-08,501
1.2443e-08,507
1.24781e-08,470
1.25131e-08,502
1.25482e-08,524
1.25833e-08,483
1.26184e-08,416
1.26534e-08,490
1.26885e-08,507
1.27236e-08,486
1.27586e-08,475
1.27937e-08,453
1.28288e-08,459
1.28639e-08,454
1.28989e-08,513
1.2934e-08,450
1.29691e-08,475
1.30041e-08,466
1.30392e-08,461
1.30743e-08,500
1.31094e-08,455
1.31444e-08,445
1.31795e-08,450
1.32146e-08,450
1.32496e-08,425
1.32847e-08,456
1.33198e-08,408
1.33549e-08,458
1.33899e-08,475
1.3425e-08,465
1.34601e-08,477
1.34951e-08,394
1.35302e-08,450
1.35653e-08,413
1.36004e-08,434
1.36354e-08,403
1.36705e-08,406
1.37056e-08,430
1.37406e-08,425
1.37757e-08,398
1.38108e-08,400
1.38459e-08,421
1.38809e-08,417
1.3916e-08,393
1.39511e-08,424
1.39861e-08,408
1.40212e-08,414
1.40563e-08,388
1.40914e-08,385
1.41264e-08,409
1.41615e-08,379
1.41966e-08,369
1.42316e-08,353
1.42667e-08,339
1.43018e-08,380
1.43369e-08,372
1.43719e-08,326
1.4407e-08,333
1.44421e-08,348
1.44771e-08,356
1.45122e-08,315
1.45473e-08,328
1.45824e-08,317
1.46174e-08,321
1.46525e-08,297
1.46876e-08,270
1.47226e-08,319
1.47577e-08,285
1.47928e-08,271
1.48279e-08,266
1.48629e-08,289
1.4898e-08,250
1.49331e-08,233
1.49681e-08,249
1.50032e-08,237
1.50383e-08,215
1.50734e-08,209
1.51084e-08,197
1.51435e-08,198
1.51786e-08,225
1.52136e-08,192
1.52487e-08,195
1.52838e-08,177
1.53189e-08,184
1.53539e-08,158
1.5389e-08,164
1.54241e-08,193
1.54591e-08,162
1.54942e-08,167
1.55293e-08,150
1.55644e-08,163
1.55994e-08,154
1.56345e-08,175
1.56696e-08,164
1.57046e-08,158
1.57397e-08,167
1.57748e-08,146
1.58099e-08,146
1.58449e-08,157
1.588e-08,172
1.59151e-08,194
1.59501e-08,164
1.59852e-08,143
1.60203e-08,183
1.60554e-08,200
1.60904e-08,184
1.61255e-08,188
1.61606e-08,198
1.61956e-08,173
1.62307e-08,210
1.62658e-08,239
1.63009e-08,199
1.63359e-08,236
1.6371e-08,244
1.64061e-08,227
1.64411e-08,236
1.64762e-08,213
1.65113e-08,273
1.65464e-08,292
1.65814e-08,282
1.66165e-08,282
1.66516e-08,232
1.66866e-08,275
1.67217e-08,287
1.67568e-08,303
1.67919e-08,259
1.68269e-08,260
1.6862e-08,292
1.68971e-08,278
1.69321e-08,272
1.69672e-08,300
1.70023e-08,261
1.70374e-08,275
1.70724e-08,251
1.71075e-08,262
1.71426e-08,269
1.71776e-08,228
1.72127e-08,244
1.72478e-08,255
1.72829e-08,194
1.73179e-08,230
1.7353e-08,222
1.73881e-08,222
1.74231e-08,203
1.74582e-08,229
1.74933e-08,180
1.75284e-08,189
1.75634e-08,179
1.75985e-08,164
1.76336e-08,174
1.76686e-08,141
1.77037e-08,171
1.77388e-08,142
1.77739e-08,124
1.78089e-08,122
1.7844e-08,114
1.78791e-08,114
1.79141e-08,104
1.79492e-08,106
1.79843e-08,107
1.80194e-08,117
1.80544e-08,118
1.80895e-08,114
1.81246e-08,89
1.81596e-08,94
1.81947e-08,74
1.82298e-08,87
1.82649e-08,66
1.82999e-08,72
1.8335e-08,81
1.83701e-08,72
1.84051e-08,69
1.84402e-08,76
1.84753e-08,61
1.85104e-08,58
1.85454e-08,77
1.85805e-08,51
1.86156e-08,61
1.86507e-08,52
1.86857e-08,47
1.87208e-08,57
1.87559e-08,57
1.87909e-08,60
1.8826e-08,29
1.88611e-08,48
1.88962e-08,58
1.89312e-08,38
1.89663e-08,49
1.90014e-08,43
1.90364e-08,40
1.90715e-08,54
1.91066e-08,44
1.91417e-08,51
1.91767e-08,45
1.92118e-08,51
1.92469e-08,45
1.92819e-08,47
1.9317e-08,44
1.93521e-08,28
1.93872e-08,44
1.94222e-08,37
1.94573e-08,34
1.94924e-08,37
1.95274e-08,30
1.95625e-08,39
1.95976e-08,36
1.96327e-08,27
1.96677e-08,30
1.97028e-08,23
1.97379e-08,19
1.97729e-08,26
1.9808e-08,33
1.98431e-08,21
1.98782e-08,30
1.99132e-08,37
1.99483e-08,23
1.99834e-08,28
2.00184e-08,30
2.00535e-08,20
2.00886e-08,25
2.01237e-08,19
2.01587e-08,23
2.01938e-08,13
2.02289e-08,17
2.02639e-08,24
2.0299e-08,12
2.03341e-08,20
2.03692e-08,22
2.04042e-08,22
2.04393e-08,9
2.04744e-08,15
2.05094e-08,16
