X: (V*s),Y: (Hits)
-2.65916e-09,0
-2.64853e-09,0
-2.63791e-09,0
-2.62728e-09,0
-2.61665e-09,0
-2.60602e-09,0
-2.59539e-09,0
-2.58476e-09,0
-2.57413e-09,0
-2.5635e-09,0
-2.55287e-09,0
-2.54224e-09,0
-2.53162e-09,0
-2.52099e-09,0
-2.51036e-09,0
-2.49973e-09,0
-2.4891e-09,0
-2.47847e-09,0
-2.46784e-09,0
-2.45721e-09,0
-2.44658e-09,0
-2.43595e-09,0
-2.42533e-09,0
-2.4147e-09,0
-2.40407e-09,0
-2.39344e-09,0
-2.38281e-09,0
-2.37218e-09,0
-2.36155e-09,0
-2.35092e-09,0
-2.34029e-09,0
-2.32967e-09,0
-2.31904e-09,0
-2.30841e-09,0
-2.29778e-09,0
-2.28715e-09,0
-2.27652e-09,0
-2.26589e-09,0
-2.25526e-09,0
-2.24463e-09,0
-2.234e-09,0
-2.22338e-09,0
-2.21275e-09,0
-2.20212e-09,0
-2.19149e-09,0
-2.18086e-09,0
-2.17023e-09,0
-2.1596e-09,0
-2.14897e-09,0
-2.13834e-09,0
-2.12771e-09,0
-2.11709e-09,0
-2.10646e-09,0
-2.09583e-09,0
-2.0852e-09,0
-2.07457e-09,0
-2.06394e-09,0
-2.05331e-09,0
-2.04268e-09,0
-2.03205e-09,0
-2.02142e-09,0
-2.0108e-09,0
-2.00017e-09,0
-1.98954e-09,0
-1.97891e-09,0
-1.96828e-09,0
-1.95765e-09,0
-1.94702e-09,0
-1.93639e-09,0
-1.92576e-09,0
-1.91513e-09,0
-1.90451e-09,0
-1.89388e-09,0
-1.88325e-09,0
-1.87262e-09,0
-1.86199e-09,0
-1.85136e-09,0
-1.84073e-09,0
-1.8301e-09,0
-1.81947e-09,0
-1.80885e-09,0
-1.79822e-09,0
-1.78759e-09,0
-1.77696e-09,0
-1.76633e-09,0
-1.7557e-09,0
-1.74507e-09,0
-1.73444e-09,0
-1.72381e-09,0
-1.71318e-09,0
-1.70256e-09,0
-1.69193e-09,0
-1.6813e-09,0
-1.67067e-09,0
-1.66004e-09,0
-1.64941e-09,0
-1.63878e-09,0
-1.62815e-09,0
-1.61752e-09,0
-1.60689e-09,0
-1.59627e-09,0
-1.58564e-09,0
-1.57501e-09,0
-1.56438e-09,0
-1.55375e-09,0
-1.54312e-09,0
-1.53249e-09,0
-1.52186e-09,0
-1.51123e-09,0
-1.5006e-09,0
-1.48998e-09,0
-1.47935e-09,0
-1.46872e-09,0
-1.45809e-09,0
-1.44746e-09,0
-1.43683e-09,0
-1.4262e-09,0
-1.41557e-09,0
-1.40494e-09,0
-1.39432e-09,0
-1.38369e-09,0
-1.37306e-09,0
-1.36243e-09,0
-1.3518e-09,0
-1.34117e-09,0
-1.33054e-09,0
-1.31991e-09,0
-1.30928e-09,0
-1.29865e-09,0
-1.28803e-09,0
-1.2774e-09,0
-1.26677e-09,0
-1.25614e-09,0
-1.24551e-09,0
-1.23488e-09,0
-1.22425e-09,0
-1.21362e-09,0
-1.20299e-09,0
-1.19236e-09,0
-1.18174e-09,0
-1.17111e-09,0
-1.16048e-09,0
-1.14985e-09,0
-1.13922e-09,0
-1.12859e-09,0
-1.11796e-09,0
-1.10733e-09,0
-1.0967e-09,0
-1.08607e-09,0
-1.07545e-09,0
-1.06482e-09,0
-1.05419e-09,0
-1.04356e-09,0
-1.03293e-09,0
-1.0223e-09,0
-1.01167e-09,0
-1.00104e-09,0
-9.90414e-10,0
-9.79785e-10,0
-9.69156e-10,0
-9.58527e-10,0
-9.47898e-10,0
-9.37269e-10,0
-9.2664e-10,0
-9.16011e-10,0
-9.05382e-10,0
-8.94753e-10,0
-8.84124e-10,0
-8.73495e-10,0
-8.62866e-10,0
-8.52237e-10,0
