X: (s),Y: (Hits)
-1.01671e-07,0
-1.01536e-07,0
-1.01401e-07,0
-1.01265e-07,0
-1.0113e-07,0
-1.00995e-07,0
-1.0086e-07,0
-1.00725e-07,0
-1.0059e-07,0
-1.00455e-07,0
-1.0032e-07,0
-1.00185e-07,0
-1.0005e-07,0
-9.99145e-08,0
-9.97794e-08,0
-9.96443e-08,0
-9.95092e-08,0
-9.93741e-08,0
-9.9239e-08,0
-9.91039e-08,0
-9.89688e-08,0
-9.88337e-08,0
-9.86986e-08,0
-9.85635e-08,0
-9.84284e-08,0
-9.82933e-08,0
-9.81583e-08,0
-9.80232e-08,0
-9.78881e-08,0
-9.7753e-08,0
-9.76179e-08,0
-9.74828e-08,0
-9.73477e-08,0
-9.72126e-08,0
-9.70775e-08,0
-9.69424e-08,0
-9.68073e-08,0
-9.66722e-08,0
-9.65371e-08,0
-9.6402e-08,0
-9.62669e-08,0
-9.61318e-08,0
-9.59968e-08,0
-9.58617e-08,0
-9.57266e-08,0
-9.55915e-08,0
-9.54564e-08,0
-9.53213e-08,0
-9.51862e-08,0
-9.50511e-08,0
-9.4916e-08,0
-9.47809e-08,0
-9.46458e-08,0
-9.45107e-08,0
-9.43756e-08,0
-9.42405e-08,0
-9.41054e-08,0
-9.39703e-08,0
-9.38353e-08,0
-9.37002e-08,0
-9.35651e-08,0
-9.343e-08,0
-9.32949e-08,0
-9.31598e-08,0
-9.30247e-08,0
-9.28896e-08,0
-9.27545e-08,0
-9.26194e-08,0
-9.24843e-08,0
-9.23492e-08,0
-9.22141e-08,0
-9.2079e-08,0
-9.19439e-08,0
-9.18088e-08,0
-9.16738e-08,0
-9.15387e-08,0
-9.14036e-08,0
-9.12685e-08,0
-9.11334e-08,0
-9.09983e-08,0
-9.08632e-08,0
-9.07281e-08,0
-9.0593e-08,0
-9.04579e-08,0
-9.03228e-08,0
-9.01877e-08,0
-9.00526e-08,0
-8.99175e-08,0
-8.97824e-08,0
-8.96473e-08,0
-8.95122e-08,0
-8.93772e-08,0
-8.92421e-08,0
-8.9107e-08,0
-8.89719e-08,0
-8.88368e-08,0
-8.87017e-08,0
-8.85666e-08,0
-8.84315e-08,0
-8.82964e-08,0
-8.81613e-08,0
-8.80262e-08,0
-8.78911e-08,0
-8.7756e-08,0
-8.76209e-08,0
-8.74858e-08,0
-8.73507e-08,0
-8.72157e-08,0
-8.70806e-08,0
-8.69455e-08,0
-8.68104e-08,0
-8.66753e-08,0
