X: (V),Y: (Hits)
-5.21826e-05,0
-4.66924e-05,0
-4.12022e-05,0
-3.57119e-05,0
-3.02217e-05,0
-2.47315e-05,0
-1.92412e-05,0
-1.3751e-05,0
-8.26076e-06,0
-2.77053e-06,0
2.7197e-06,0
8.20993e-06,0
1.37002e-05,0
1.91904e-05,0
2.46806e-05,0
3.01709e-05,0
3.56611e-05,0
4.11513e-05,0
4.66415e-05,0
5.21318e-05,0
5.7622e-05,0
6.31122e-05,0
6.86025e-05,0
7.40927e-05,0
7.95829e-05,0
8.50732e-05,0
9.05634e-05,0
9.60536e-05,0
0.000101544,0
0.000107034,0
0.000112524,0
0.000118015,0
0.000123505,0
0.000128995,0
0.000134485,0
0.000139975,0
0.000145466,0
0.000150956,0
0.000156446,0
0.000161936,0
0.000167427,0
0.000172917,0
0.000178407,0
0.000183897,0
0.000189388,0
0.000194878,0
0.000200368,0
0.000205858,0
0.000211348,0
0.000216839,0
0.000222329,0
0.000227819,0
0.000233309,0
0.0002388,0
0.00024429,0
0.00024978,0
0.00025527,0
0.000260761,0
0.000266251,0
0.000271741,0
0.000277231,0
0.000282721,0
0.000288212,0
0.000293702,0
0.000299192,0
0.000304682,0
0.000310173,0
0.000315663,0
0.000321153,0
0.000326643,0
0.000332134,0
0.000337624,0
0.000343114,0
0.000348604,0
0.000354094,0
0.000359585,0
0.000365075,0
0.000370565,0
0.000376055,0
0.000381546,0
0.000387036,0
0.000392526,0
0.000398016,3
0.000403507,11
0.000408997,41
0.000414487,230
0.000419977,780
0.000425467,2222
0.000430958,5771
0.000436448,12676
0.000441938,24720
0.000447428,43289
0.000452919,66861
0.000458409,92788
0.000463899,115627
0.000469389,130139
0.00047488,131402
0.00048037,121481
0.00048586,100810
0.00049135,77006
0.00049684,52538
0.000502331,32940
0.000507821,18794
0.000513311,9768
0.000518801,4705
0.000524292,2089
0.000529782,898
0.000535272,361
0.000540762,147
0.000546253,61
0.000551743,42
0.000557233,35
0.000562723,42
0.000568213,27
0.000573704,33
0.000579194,29
0.000584684,24
0.000590174,33
0.000595665,37
0.000601155,29
0.000606645,20
0.000612135,28
0.000617626,25
0.000623116,32
0.000628606,31
0.000634096,19
0.000639586,19
0.000645077,26
0.000650567,28
0.000656057,18
0.000661547,20
0.000667038,23
0.000672528,12
0.000678018,14
0.000683508,13
0.000688999,8
0.000694489,19
0.000699979,16
0.000705469,10
0.000710959,9
0.00071645,8
0.00072194,6
0.00072743,4
0.00073292,6
0.000738411,10
0.000743901,6
0.000749391,5
0.000754881,5
0.000760372,5
0.000765862,3
0.000771352,3
0.000776842,4
0.000782333,8
0.000787823,3
0.000793313,1
0.000798803,8
0.000804293,7
0.000809784,6
0.000815274,5
0.000820764,3
0.000826254,7
0.000831745,5
0.000837235,8
0.000842725,6
0.000848215,2
0.000853706,7
0.000859196,2
0.000864686,7
0.000870176,5
0.000875666,7
0.000881157,10
0.000886647,5
0.000892137,7
0.000897627,5
0.000903118,7
0.000908608,1
0.000914098,2
0.000919588,3
0.000925079,11
0.000930569,6
0.000936059,7
0.000941549,6
0.000947039,7
0.00095253,2
0.00095802,6
0.00096351,4
0.000969,2
0.000974491,4
0.000979981,1
0.000985471,6
0.000990961,4
0.000996452,5
0.00100194,4
0.00100743,2
0.00101292,6
0.00101841,4
0.0010239,4
0.00102939,6
0.00103488,3
0.00104037,3
0.00104586,5
0.00105135,4
0.00105684,2
0.00106233,6
0.00106782,5
0.00107331,5
0.0010788,6
0.0010843,2
0.00108979,5
0.00109528,2
0.00110077,6
0.00110626,3
0.00111175,3
0.00111724,4
0.00112273,5
0.00112822,5
0.00113371,5
0.0011392,2
0.00114469,6
0.00115018,2
0.00115567,6
0.00116116,3
0.00116665,5
0.00117214,2
0.00117763,7
0.00118312,6
0.00118861,3
0.0011941,4
0.00119959,3
0.00120508,7
0.00121057,5
0.00121606,4
0.00122155,5
0.00122704,4
0.00123253,10
0.00123802,8
0.00124351,4
0.001249,4
0.00125449,5
0.00125998,3
0.00126547,9
0.00127096,8
0.00127645,4
0.00128194,3
0.00128743,2
0.00129292,5
0.00129841,2
0.0013039,3
0.00130939,7
0.00131488,3
0.00132038,5
0.00132587,4
0.00133136,3
0.00133685,4
0.00134234,3
0.00134783,10
0.00135332,5
0.00135881,4
0.0013643,3
0.00136979,2
0.00137528,5
0.00138077,3
0.00138626,4
0.00139175,4
0.00139724,3
0.00140273,5
0.00140822,1
0.00141371,3
0.0014192,3
0.00142469,3
0.00143018,3
0.00143567,5
0.00144116,7
0.00144665,7
0.00145214,8
0.00145763,3
0.00146312,7
0.00146861,11
0.0014741,2
0.00147959,4
0.00148508,6
0.00149057,2
0.00149606,2
0.00150155,5
0.00150704,3
0.00151253,1
0.00151802,8
0.00152351,6
0.001529,2
0.00153449,2
0.00153998,5
0.00154547,4
0.00155096,5
0.00155646,5
0.00156195,2
0.00156744,5
0.00157293,7
0.00157842,8
0.00158391,3
0.0015894,8
0.00159489,6
0.00160038,5
0.00160587,4
0.00161136,5
0.00161685,6
0.00162234,2
0.00162783,2
0.00163332,2
0.00163881,3
0.0016443,2
0.00164979,6
0.00165528,4
0.00166077,7
0.00166626,3
0.00167175,4
0.00167724,4
0.00168273,9
0.00168822,5
0.00169371,4
0.0016992,9
0.00170469,2
0.00171018,6
0.00171567,6
0.00172116,5
0.00172665,6
0.00173214,2
0.00173763,1
0.00174312,4
0.00174861,5
0.0017541,8
0.00175959,4
0.00176508,2
0.00177057,5
0.00177606,1
0.00178155,3
0.00178704,6
0.00179254,11
0.00179803,4
0.00180352,3
0.00180901,8
0.0018145,7
0.00181999,1
0.00182548,3
0.00183097,6
0.00183646,3
0.00184195,3
0.00184744,0
0.00185293,2
0.00185842,7
0.00186391,5
0.0018694,3
0.00187489,4
0.00188038,6
0.00188587,6
0.00189136,1
0.00189685,4
0.00190234,7
0.00190783,6
0.00191332,4
0.00191881,3
0.0019243,3
0.00192979,7
0.00193528,4
0.00194077,4
0.00194626,6
0.00195175,7
0.00195724,10
0.00196273,4
0.00196822,4
0.00197371,3
0.0019792,7
0.00198469,4
0.00199018,0
0.00199567,4
0.00200116,8
0.00200665,3
0.00201214,3
0.00201763,6
0.00202312,4
0.00202861,3
0.00203411,5
0.0020396,9
0.00204509,3
0.00205058,2
0.00205607,5
0.00206156,4
0.00206705,1
0.00207254,13
0.00207803,5
0.00208352,2
0.00208901,4
0.0020945,5
0.00209999,8
0.00210548,7
0.00211097,1
0.00211646,3
0.00212195,3
0.00212744,7
0.00213293,8
0.00213842,7
0.00214391,7
0.0021494,5
0.00215489,0
0.00216038,3
0.00216587,6
0.00217136,2
0.00217685,8
0.00218234,6
0.00218783,4
0.00219332,3
