X: (s),Y: (Hits)
3.46072e-10,0
3.64374e-10,0
3.82676e-10,0
4.00978e-10,0
4.19279e-10,0
4.37581e-10,0
4.55883e-10,0
4.74185e-10,0
4.92487e-10,0
5.10789e-10,0
5.29091e-10,0
5.47393e-10,0
5.65694e-10,0
5.83996e-10,0
6.02298e-10,0
6.206e-10,0
6.38902e-10,0
6.57204e-10,0
6.75506e-10,0
6.93808e-10,0
7.12109e-10,0
7.30411e-10,0
7.48713e-10,0
7.67015e-10,0
7.85317e-10,0
8.03619e-10,0
8.21921e-10,0
8.40223e-10,0
8.58524e-10,0
8.76826e-10,0
8.95128e-10,0
9.1343e-10,0
9.31732e-10,0
9.50034e-10,0
9.68336e-10,0
9.86638e-10,0
1.00494e-09,0
1.02324e-09,0
1.04154e-09,0
1.05985e-09,0
1.07815e-09,0
1.09645e-09,0
1.11475e-09,0
1.13305e-09,0
1.15135e-09,0
1.16966e-09,0
1.18796e-09,0
1.20626e-09,0
1.22456e-09,0
1.24286e-09,0
1.26117e-09,0
1.27947e-09,0
1.29777e-09,0
1.31607e-09,0
1.33437e-09,0
1.35268e-09,0
1.37098e-09,0
1.38928e-09,0
1.40758e-09,0
1.42588e-09,0
1.44418e-09,0
1.46249e-09,0
1.48079e-09,0
1.49909e-09,0
1.51739e-09,0
1.53569e-09,0
1.554e-09,0
1.5723e-09,0
1.5906e-09,0
1.6089e-09,0
1.6272e-09,0
1.64551e-09,0
1.66381e-09,0
1.68211e-09,0
1.70041e-09,0
1.71871e-09,0
1.73701e-09,0
1.75532e-09,0
1.77362e-09,0
1.79192e-09,0
1.81022e-09,0
1.82852e-09,0
1.84683e-09,0
1.86513e-09,0
1.88343e-09,0
1.90173e-09,0
1.92003e-09,0
1.93834e-09,0
1.95664e-09,0
1.97494e-09,0
1.99324e-09,0
2.01154e-09,0
2.02984e-09,0
2.04815e-09,0
2.06645e-09,1
2.08475e-09,0
2.10305e-09,0
2.12135e-09,0
2.13966e-09,0
2.15796e-09,0
2.17626e-09,0
2.19456e-09,0
2.21286e-09,0
2.23117e-09,0
2.24947e-09,0
2.26777e-09,0
2.28607e-09,1
2.30437e-09,0
2.32267e-09,1
2.34098e-09,0
2.35928e-09,0
2.37758e-09,0
2.39588e-09,0
2.41418e-09,1
2.43249e-09,0
2.45079e-09,0
2.46909e-09,0
2.48739e-09,0
2.50569e-09,1
2.524e-09,0
2.5423e-09,0
2.5606e-09,2
2.5789e-09,0
2.5972e-09,0
2.6155e-09,0
2.63381e-09,1
2.65211e-09,0
2.67041e-09,0
2.68871e-09,0
2.70701e-09,0
2.72532e-09,1
2.74362e-09,0
2.76192e-09,2
2.78022e-09,0
2.79852e-09,0
2.81683e-09,0
2.83513e-09,1
2.85343e-09,2
2.87173e-09,0
2.89003e-09,1
2.90833e-09,2
2.92664e-09,0
2.94494e-09,1
2.96324e-09,0
2.98154e-09,0
2.99984e-09,1
3.01815e-09,0
3.03645e-09,1
3.05475e-09,0
3.07305e-09,1
3.09135e-09,2
3.10966e-09,0
3.12796e-09,0
3.14626e-09,0
3.16456e-09,0
3.18286e-09,1
3.20116e-09,0
3.21947e-09,0
3.23777e-09,0
3.25607e-09,0
3.27437e-09,0
3.29267e-09,0
3.31098e-09,0
3.32928e-09,0
3.34758e-09,1
3.36588e-09,1
3.38418e-09,3
3.40249e-09,1
3.42079e-09,1
3.43909e-09,0
3.45739e-09,1
3.47569e-09,0
3.494e-09,1
3.5123e-09,1
3.5306e-09,1
3.5489e-09,0
3.5672e-09,0
3.5855e-09,0
3.60381e-09,0
3.62211e-09,0
3.64041e-09,2
3.65871e-09,0
3.67701e-09,1
3.69532e-09,0
3.71362e-09,0
3.73192e-09,0
3.75022e-09,0
3.76852e-09,0
3.78683e-09,0
3.80513e-09,0
3.82343e-09,0
3.84173e-09,0
3.86003e-09,2
3.87833e-09,1
3.89664e-09,3
3.91494e-09,1
3.93324e-09,0
3.95154e-09,1
3.96984e-09,2
3.98815e-09,1
4.00645e-09,0
4.02475e-09,3
4.04305e-09,0
4.06135e-09,0
4.07966e-09,2
4.09796e-09,2
4.11626e-09,4
4.13456e-09,3
4.15286e-09,2
4.17116e-09,1
4.18947e-09,1
4.20777e-09,1
4.22607e-09,3
4.24437e-09,1
4.26267e-09,1
4.28098e-09,2
4.29928e-09,0
4.31758e-09,3
4.33588e-09,7
4.35418e-09,8
4.37249e-09,1
4.39079e-09,4
4.40909e-09,3
4.42739e-09,4
4.44569e-09,3
4.46399e-09,1
4.4823e-09,5
4.5006e-09,2
4.5189e-09,4
4.5372e-09,8
4.5555e-09,6
4.57381e-09,3
4.59211e-09,6
4.61041e-09,4
4.62871e-09,6
4.64701e-09,8
4.66532e-09,6
4.68362e-09,7
4.70192e-09,4
4.72022e-09,3
4.73852e-09,7
