X: (V),Y: (Hits)
6.18623e-05,0
6.24948e-05,0
6.31273e-05,0
6.37598e-05,0
6.43924e-05,0
6.50249e-05,0
6.56574e-05,0
6.62899e-05,0
6.69224e-05,0
6.75549e-05,0
6.81875e-05,0
6.882e-05,0
6.94525e-05,0
7.0085e-05,0
7.07175e-05,0
7.135e-05,0
7.19825e-05,0
7.26151e-05,0
7.32476e-05,0
7.38801e-05,0
7.45126e-05,0
7.51451e-05,0
7.57776e-05,0
7.64102e-05,0
7.70427e-05,0
7.76752e-05,0
7.83077e-05,0
7.89402e-05,0
7.95727e-05,0
8.02053e-05,0
8.08378e-05,0
8.14703e-05,0
8.21028e-05,0
8.27353e-05,0
8.33678e-05,0
8.40003e-05,0
8.46329e-05,0
8.52654e-05,0
8.58979e-05,0
8.65304e-05,0
8.71629e-05,0
8.77954e-05,0
8.8428e-05,0
8.90605e-05,0
8.9693e-05,0
9.03255e-05,0
9.0958e-05,0
9.15905e-05,0
9.22231e-05,0
9.28556e-05,0
9.34881e-05,0
9.41206e-05,0
9.47531e-05,0
9.53856e-05,0
9.60181e-05,0
9.66507e-05,0
9.72832e-05,0
9.79157e-05,0
9.85482e-05,0
9.91807e-05,0
9.98132e-05,0
0.000100446,0
0.000101078,0
0.000101711,0
0.000102343,0
0.000102976,0
0.000103608,0
0.000104241,0
0.000104873,0
0.000105506,0
0.000106138,0
0.000106771,0
0.000107403,0
0.000108036,0
0.000108668,0
0.000109301,0
0.000109933,0
0.000110566,0
0.000111199,0
0.000111831,0
0.000112464,0
0.000113096,0
0.000113729,0
0.000114361,0
0.000114994,0
0.000115626,0
0.000116259,0
0.000116891,0
0.000117524,0
0.000118156,0
0.000118789,0
0.000119421,0
0.000120054,0
0.000120686,0
0.000121319,0
0.000121951,0
0.000122584,0
0.000123216,0
0.000123849,0
0.000124481,0
0.000125114,0
0.000125746,0
0.000126379,0
0.000127011,0
0.000127644,0
0.000128276,0
0.000128909,0
0.000129541,0
0.000130174,0
0.000130807,0
0.000131439,0
0.000132072,0
0.000132704,0
0.000133337,0
0.000133969,0
0.000134602,0
0.000135234,0
0.000135867,0
0.000136499,0
0.000137132,0
0.000137764,0
0.000138397,0
0.000139029,0
0.000139662,0
0.000140294,0
0.000140927,0
0.000141559,0
0.000142192,0
0.000142824,0
0.000143457,0
0.000144089,0
0.000144722,0
0.000145354,0
0.000145987,0
0.000146619,0
0.000147252,0
0.000147884,0
0.000148517,0
0.000149149,0
0.000149782,0
0.000150415,0
0.000151047,0
0.00015168,0
0.000152312,0
0.000152945,0
0.000153577,0
0.00015421,0
0.000154842,0
0.000155475,0
0.000156107,0
0.00015674,0
0.000157372,0
0.000158005,0
0.000158637,0
0.00015927,0
0.000159902,0
0.000160535,0
0.000161167,0
0.0001618,0
0.000162432,0
0.000163065,0
0.000163697,0
0.00016433,0
0.000164962,0
0.000165595,0
0.000166227,0
0.00016686,0
0.000167492,0
0.000168125,0
0.000168757,0
0.00016939,0
0.000170022,0
0.000170655,0
0.000171288,0
0.00017192,0
0.000172553,0
0.000173185,0
0.000173818,0
0.00017445,0
