X: (V*s),Y: (Hits)
-1.53044e-09,0
-1.36454e-09,0
-1.19864e-09,0
-1.03274e-09,0
-8.66837e-10,0
-7.00935e-10,0
-5.35033e-10,0
-3.69131e-10,0
-2.0323e-10,0
-3.73279e-11,0
1.28574e-10,0
2.94476e-10,0
4.60377e-10,3226
6.26279e-10,4
7.92181e-10,0
9.58083e-10,4
1.12398e-09,3
1.28989e-09,0
1.45579e-09,0
1.62169e-09,0
1.78759e-09,1
1.95349e-09,0
2.11939e-09,0
2.2853e-09,1
2.4512e-09,0
2.6171e-09,1
2.783e-09,0
2.9489e-09,9
3.11481e-09,13
3.28071e-09,37
3.44661e-09,64
3.61251e-09,96
3.77841e-09,162
3.94431e-09,203
4.11022e-09,224
4.27612e-09,310
4.44202e-09,405
4.60792e-09,405
4.77382e-09,428
4.93972e-09,420
5.10563e-09,416
5.27153e-09,430
5.43743e-09,402
5.60333e-09,403
5.76923e-09,421
5.93513e-09,412
6.10104e-09,385
6.26694e-09,392
6.43284e-09,423
6.59874e-09,426
6.76464e-09,401
6.93055e-09,422
7.09645e-09,399
7.26235e-09,374
7.42825e-09,386
7.59415e-09,370
7.76005e-09,368
7.92596e-09,339
8.09186e-09,338
8.25776e-09,262
8.42366e-09,242
8.58956e-09,204
8.75546e-09,180
8.92137e-09,144
9.08727e-09,116
9.25317e-09,117
9.41907e-09,110
9.58497e-09,127
9.75087e-09,138
9.91678e-09,187
1.00827e-08,216
1.02486e-08,257
1.04145e-08,333
1.05804e-08,399
1.07463e-08,512
1.09122e-08,606
1.10781e-08,795
1.1244e-08,860
1.14099e-08,958
1.15758e-08,1076
1.17417e-08,1124
1.19076e-08,1081
1.20735e-08,1038
1.22394e-08,886
1.24053e-08,791
1.25712e-08,652
1.27371e-08,529
1.2903e-08,431
1.30689e-08,378
1.32348e-08,334
1.34007e-08,281
1.35666e-08,251
1.37325e-08,202
1.38984e-08,211
1.40643e-08,185
1.42302e-08,147
1.43961e-08,138
1.4562e-08,134
1.47279e-08,121
1.48938e-08,143
1.50597e-08,106
1.52256e-08,95
1.53915e-08,94
1.55574e-08,94
1.57233e-08,86
1.58892e-08,60
1.60551e-08,61
1.6221e-08,48
1.63869e-08,40
1.65528e-08,42
1.67187e-08,33
1.68846e-08,46
1.70506e-08,18
1.72165e-08,22
1.73824e-08,17
1.75483e-08,20
1.77142e-08,17
1.78801e-08,10
1.8046e-08,10
1.82119e-08,19
1.83778e-08,10
1.85437e-08,12
1.87096e-08,8
1.88755e-08,13
1.90414e-08,10
1.92073e-08,8
1.93732e-08,9
1.95391e-08,9
1.9705e-08,3
1.98709e-08,13
2.00368e-08,15
2.02027e-08,9
2.03686e-08,16
2.05345e-08,9
2.07004e-08,15
2.08663e-08,15
2.10322e-08,9
2.11981e-08,11
2.1364e-08,12
2.15299e-08,11
2.16958e-08,17
2.18617e-08,14
2.20276e-08,11
2.21935e-08,16
2.23594e-08,7
2.25253e-08,10
2.26912e-08,14
2.28571e-08,12
2.3023e-08,10
2.31889e-08,12
2.33548e-08,5
2.35207e-08,7
2.36866e-08,5
2.38525e-08,4
2.40184e-08,8
2.41843e-08,3
2.43502e-08,4
2.45161e-08,4
2.4682e-08,4
2.48479e-08,4
2.50138e-08,10
2.51797e-08,4
2.53456e-08,4
2.55115e-08,7
2.56774e-08,4
2.58433e-08,9
2.60092e-08,9
2.61751e-08,9
2.6341e-08,14
2.6507e-08,11
2.66729e-08,8
2.68388e-08,10
2.70047e-08,7
2.71706e-08,7
2.73365e-08,6
2.75024e-08,6
2.76683e-08,5
2.78342e-08,6
2.80001e-08,2
2.8166e-08,7
2.83319e-08,4
2.84978e-08,3
2.86637e-08,2
2.88296e-08,4
2.89955e-08,1
2.91614e-08,1
2.93273e-08,0
2.94932e-08,4
2.96591e-08,2
2.9825e-08,0
2.99909e-08,3
3.01568e-08,2
3.03227e-08,4
3.04886e-08,1
3.06545e-08,1
3.08204e-08,1
3.09863e-08,0
3.11522e-08,0
3.13181e-08,3
3.1484e-08,1
3.16499e-08,2
3.18158e-08,2
3.19817e-08,1
3.21476e-08,0
3.23135e-08,2
3.24794e-08,0
3.26453e-08,2
3.28112e-08,0
3.29771e-08,4
3.3143e-08,1
3.33089e-08,0
3.34748e-08,0
3.36407e-08,1
3.38066e-08,1
3.39725e-08,0
3.41384e-08,0
3.43043e-08,1
3.44702e-08,2
3.46361e-08,0
3.4802e-08,0
3.49679e-08,1
3.51338e-08,0
3.52997e-08,1
3.54656e-08,0
3.56315e-08,0
3.57974e-08,1
3.59633e-08,1
3.61293e-08,0
3.62952e-08,1
3.64611e-08,0
3.6627e-08,0
3.67929e-08,0
3.69588e-08,0
3.71247e-08,0
3.72906e-08,0
3.74565e-08,0
3.76224e-08,1
3.77883e-08,0
3.79542e-08,1
3.81201e-08,0
3.8286e-08,1
3.84519e-08,0
3.86178e-08,0
3.87837e-08,1
3.89496e-08,0
3.91155e-08,0
3.92814e-08,0
3.94473e-08,0
3.96132e-08,0
3.97791e-08,0
