X: (s),Y: (Hits)
-3.7339e-08,0
-3.70766e-08,0
-3.68142e-08,0
-3.65518e-08,0
-3.62894e-08,0
-3.60269e-08,0
-3.57645e-08,0
-3.55021e-08,1
-3.52397e-08,0
-3.49773e-08,0
-3.47149e-08,0
-3.44525e-08,0
-3.41901e-08,0
-3.39277e-08,0
-3.36653e-08,0
-3.34028e-08,0
-3.31404e-08,2
-3.2878e-08,0
-3.26156e-08,3
-3.23532e-08,0
-3.20908e-08,1
-3.18284e-08,0
-3.1566e-08,1
-3.13036e-08,1
-3.10412e-08,2
-3.07787e-08,2
-3.05163e-08,4
-3.02539e-08,2
-2.99915e-08,6
-2.97291e-08,2
-2.94667e-08,3
-2.92043e-08,8
-2.89419e-08,10
-2.86795e-08,12
-2.84171e-08,12
-2.81546e-08,6
-2.78922e-08,12
-2.76298e-08,12
-2.73674e-08,17
-2.7105e-08,15
-2.68426e-08,23
-2.65802e-08,21
-2.63178e-08,27
-2.60554e-08,29
-2.5793e-08,29
-2.55305e-08,26
-2.52681e-08,20
-2.50057e-08,23
-2.47433e-08,34
-2.44809e-08,31
-2.42185e-08,35
-2.39561e-08,26
-2.36937e-08,39
-2.34313e-08,52
-2.31689e-08,40
-2.29064e-08,46
-2.2644e-08,47
-2.23816e-08,46
-2.21192e-08,49
-2.18568e-08,47
-2.15944e-08,44
-2.1332e-08,54
-2.10696e-08,47
-2.08072e-08,53
-2.05448e-08,61
-2.02823e-08,60
-2.00199e-08,64
-1.97575e-08,67
-1.94951e-08,64
-1.92327e-08,69
-1.89703e-08,73
-1.87079e-08,64
-1.84455e-08,71
-1.81831e-08,56
-1.79207e-08,87
-1.76582e-08,73
-1.73958e-08,67
-1.71334e-08,58
-1.6871e-08,86
-1.66086e-08,69
-1.63462e-08,78
-1.60838e-08,82
-1.58214e-08,65
-1.5559e-08,63
-1.52966e-08,62
-1.50341e-08,69
-1.47717e-08,55
-1.45093e-08,70
-1.42469e-08,54
-1.39845e-08,56
-1.37221e-08,64
-1.34597e-08,55
-1.31973e-08,52
-1.29349e-08,61
-1.26725e-08,45
-1.24101e-08,42
-1.21476e-08,43
-1.18852e-08,42
-1.16228e-08,42
-1.13604e-08,43
-1.1098e-08,30
-1.08356e-08,24
-1.05732e-08,37
-1.03108e-08,32
-1.00484e-08,29
-9.78595e-09,30
-9.52354e-09,17
-9.26113e-09,17
-8.99872e-09,18
-8.73631e-09,18
-8.4739e-09,26
-8.21149e-09,14
-7.94908e-09,14
-7.68667e-09,8
-7.42426e-09,8
-7.16185e-09,14
-6.89944e-09,4
-6.63703e-09,7
-6.37462e-09,8
-6.11221e-09,8
-5.8498e-09,10
-5.58739e-09,6
-5.32498e-09,7
-5.06257e-09,5
-4.80016e-09,6
-4.53775e-09,3
-4.27534e-09,5
-4.01293e-09,5
-3.75052e-09,3
-3.48811e-09,7
-3.22571e-09,10
-2.9633e-09,10
-2.70089e-09,5
-2.43848e-09,14
-2.17607e-09,14
-1.91366e-09,9
-1.65125e-09,14
-1.38884e-09,36
-1.12643e-09,72
-8.64016e-10,186
-6.01606e-10,491
-3.39196e-10,1253
-7.67864e-11,2654
1.85623e-10,3913
4.48033e-10,4660
7.10443e-10,3970
9.72853e-10,2568
1.23526e-09,1439
1.49767e-09,692
1.76008e-09,340
2.02249e-09,189
2.2849e-09,88
2.54731e-09,51
2.80972e-09,24
3.07213e-09,20
3.33454e-09,11
3.59695e-09,10
3.85936e-09,4
4.12177e-09,2
4.38418e-09,4
4.64659e-09,5
4.909e-09,3
5.17141e-09,6
5.43382e-09,1
5.69623e-09,1
5.95864e-09,2
6.22105e-09,0
6.48346e-09,4
6.74587e-09,1
7.00828e-09,1
7.27069e-09,2
7.5331e-09,0
7.79551e-09,0
8.05792e-09,3
8.32033e-09,1
8.58274e-09,1
8.84515e-09,2
9.10756e-09,0
9.36997e-09,0
9.63238e-09,3
9.89479e-09,0
1.01572e-08,0
1.04196e-08,0
1.0682e-08,1
1.09444e-08,1
1.12068e-08,0
1.14692e-08,1
1.17317e-08,0
1.19941e-08,1
1.22565e-08,0
1.25189e-08,1
1.27813e-08,0
1.30437e-08,0
1.33061e-08,0
1.35685e-08,0
1.38309e-08,0
1.40933e-08,0
1.43558e-08,0
1.46182e-08,1
1.48806e-08,1
1.5143e-08,1
1.54054e-08,2
1.56678e-08,0
1.59302e-08,0
1.61926e-08,0
1.6455e-08,1
1.67174e-08,0
1.69799e-08,0
1.72423e-08,0
1.75047e-08,0
1.77671e-08,1
1.80295e-08,0
1.82919e-08,0
1.85543e-08,1
1.88167e-08,0
1.90791e-08,0
1.93415e-08,0
1.9604e-08,0
1.98664e-08,0
2.01288e-08,0
2.03912e-08,0
2.06536e-08,0
2.0916e-08,0
2.11784e-08,0
2.14408e-08,0
2.17032e-08,0
2.19656e-08,0
2.22281e-08,0
2.24905e-08,0
2.27529e-08,0
2.30153e-08,0
2.32777e-08,0
2.35401e-08,0
2.38025e-08,0
2.40649e-08,0
2.43273e-08,0
2.45897e-08,0
2.48522e-08,0
2.51146e-08,1
2.5377e-08,0
2.56394e-08,0
2.59018e-08,0
2.61642e-08,0
2.64266e-08,0
2.6689e-08,0
2.69514e-08,0
2.72138e-08,1
2.74763e-08,0
2.77387e-08,0
2.80011e-08,0
