X: (V),Y: (Hits)
0.000175865,0
0.000188578,0
0.00020129,14
0.000214003,1323
0.000226715,17848
0.000239427,44875
0.00025214,17594
0.000264852,1147
0.000277564,113
0.000290277,73
0.000302989,67
0.000315702,51
0.000328414,58
0.000341126,58
0.000353839,52
0.000366551,67
0.000379263,63
0.000391976,60
0.000404688,69
0.000417401,73
0.000430113,51
0.000442825,72
0.000455538,53
0.00046825,76
0.000480962,80
0.000493675,54
0.000506387,71
0.000519099,64
0.000531812,74
0.000544524,59
0.000557237,71
0.000569949,75
0.000582661,60
0.000595374,75
0.000608086,71
0.000620798,60
0.000633511,66
0.000646223,45
0.000658936,48
0.000671648,33
0.00068436,46
0.000697073,41
0.000709785,46
0.000722497,36
0.00073521,27
0.000747922,16
0.000760634,19
0.000773347,18
0.000786059,14
0.000798772,16
0.000811484,6
0.000824196,7
0.000836909,7
0.000849621,7
0.000862333,2
0.000875046,0
0.000887758,0
0.000900471,0
0.000913183,0
0.000925895,1
0.000938608,0
0.00095132,2
0.000964032,0
0.000976745,2
0.000989457,1
0.00100217,1
0.00101488,1
0.00102759,0
0.00104031,1
0.00105302,0
0.00106573,2
0.00107844,0
0.00109116,1
0.00110387,1
0.00111658,0
0.00112929,0
0.00114201,0
0.00115472,1
0.00116743,0
0.00118014,0
0.00119286,1
0.00120557,0
0.00121828,0
0.00123099,0
0.0012437,0
0.00125642,1
0.00126913,1
0.00128184,0
0.00129455,0
0.00130727,0
0.00131998,1
0.00133269,0
0.0013454,0
0.00135812,1
0.00137083,1
0.00138354,0
0.00139625,0
0.00140897,0
0.00142168,0
0.00143439,0
0.0014471,0
0.00145981,0
0.00147253,0
0.00148524,0
0.00149795,0
0.00151066,0
0.00152338,3
0.00153609,0
0.0015488,0
0.00156151,0
0.00157423,0
0.00158694,0
0.00159965,0
0.00161236,0
0.00162508,0
0.00163779,0
0.0016505,1
0.00166321,0
0.00167593,0
0.00168864,0
0.00170135,1
0.00171406,0
0.00172677,0
0.00173949,0
0.0017522,0
0.00176491,1
0.00177762,0
0.00179034,0
0.00180305,0
0.00181576,0
0.00182847,1
0.00184119,1
0.0018539,0
0.00186661,0
0.00187932,0
0.00189204,0
0.00190475,1
0.00191746,0
0.00193017,1
0.00194288,0
0.0019556,0
0.00196831,0
0.00198102,0
0.00199373,1
0.00200645,1
0.00201916,1
0.00203187,0
0.00204458,0
0.0020573,0
0.00207001,0
0.00208272,2
0.00209543,0
0.00210815,0
0.00212086,0
0.00213357,0
0.00214628,0
0.002159,0
0.00217171,0
0.00218442,0
0.00219713,0
0.00220984,0
0.00222256,0
0.00223527,0
0.00224798,0
0.00226069,0
0.00227341,0
0.00228612,0
0.00229883,0
0.00231154,0
0.00232426,0
0.00233697,0
0.00234968,0
0.00236239,0
0.00237511,0
0.00238782,0
0.00240053,0
0.00241324,0
0.00242595,0
0.00243867,0
0.00245138,0
0.00246409,0
0.0024768,0
0.00248952,0
0.00250223,0
0.00251494,0
0.00252765,0
0.00254037,0
0.00255308,0
0.00256579,0
0.0025785,2
0.00259122,0
0.00260393,0
0.00261664,0
0.00262935,0
0.00264207,0
0.00265478,0
0.00266749,0
0.0026802,0
0.00269291,0
0.00270563,0
0.00271834,1
0.00273105,0
0.00274376,0
0.00275648,0
0.00276919,0
0.0027819,0
0.00279461,0
0.00280733,0
0.00282004,1
0.00283275,0
0.00284546,0
0.00285818,0
0.00287089,0
0.0028836,0
0.00289631,0
0.00290902,1
0.00292174,0
0.00293445,0
0.00294716,0
0.00295987,0
0.00297259,0
0.0029853,0
0.00299801,0
0.00301072,0
0.00302344,0
0.00303615,0
0.00304886,0
0.00306157,0
0.00307429,0
0.003087,0
0.00309971,0
0.00311242,0
0.00312514,0
0.00313785,0
0.00315056,0
0.00316327,0
0.00317598,0
0.0031887,0
0.00320141,0
0.00321412,0
0.00322683,0
0.00323955,0
0.00325226,0
0.00326497,0
0.00327768,0
0.0032904,1
0.00330311,0
0.00331582,0
0.00332853,0
0.00334125,0
