X: (s),Y: (Hits)
-4.63592e-09,0
-4.45746e-09,0
-4.27899e-09,0
-4.10052e-09,0
-3.92205e-09,0
-3.74358e-09,0
-3.56511e-09,0
-3.38664e-09,0
-3.20817e-09,0
-3.0297e-09,0
-2.85123e-09,0
-2.67276e-09,0
-2.49429e-09,0
-2.31582e-09,0
-2.13736e-09,0
-1.95889e-09,0
-1.78042e-09,0
-1.60195e-09,0
-1.42348e-09,0
-1.24501e-09,0
-1.06654e-09,0
-8.8807e-10,0
-7.09601e-10,0
-5.31132e-10,0
-3.52663e-10,0
-1.74193e-10,0
4.27583e-12,3180
1.82745e-10,42
3.61214e-10,6
5.39684e-10,2
7.18153e-10,13
8.96622e-10,25
1.07509e-09,27
1.25356e-09,32
1.43203e-09,40
1.6105e-09,56
1.78897e-09,96
1.96744e-09,177
2.14591e-09,215
2.32438e-09,258
2.50285e-09,378
2.68131e-09,375
2.85978e-09,437
3.03825e-09,530
3.21672e-09,536
3.39519e-09,612
3.57366e-09,596
3.75213e-09,613
3.9306e-09,677
4.10907e-09,669
4.28754e-09,676
4.46601e-09,666
4.64448e-09,616
4.82295e-09,646
5.00142e-09,636
5.17988e-09,685
5.35835e-09,592
5.53682e-09,583
5.71529e-09,673
5.89376e-09,507
6.07223e-09,602
6.2507e-09,536
6.42917e-09,542
6.60764e-09,592
6.78611e-09,446
6.96458e-09,481
7.14305e-09,485
7.32152e-09,442
7.49998e-09,452
7.67845e-09,453
7.85692e-09,401
8.03539e-09,393
8.21386e-09,348
8.39233e-09,405
8.5708e-09,367
8.74927e-09,309
8.92774e-09,322
9.10621e-09,274
9.28468e-09,301
9.46315e-09,241
9.64162e-09,303
9.82008e-09,304
9.99855e-09,230
1.0177e-08,281
1.03555e-08,211
1.0534e-08,218
1.07124e-08,222
1.08909e-08,187
1.10694e-08,227
1.12478e-08,162
1.14263e-08,164
1.16048e-08,192
1.17832e-08,171
1.19617e-08,182
1.21402e-08,151
1.23187e-08,123
1.24971e-08,129
1.26756e-08,133
1.28541e-08,159
1.30325e-08,141
1.3211e-08,107
1.33895e-08,126
1.35679e-08,99
1.37464e-08,108
1.39249e-08,113
1.41033e-08,75
1.42818e-08,96
1.44603e-08,75
1.46388e-08,83
1.48172e-08,95
1.49957e-08,79
1.51742e-08,71
1.53526e-08,82
1.55311e-08,55
1.57096e-08,62
1.5888e-08,50
1.60665e-08,55
1.6245e-08,55
1.64234e-08,66
1.66019e-08,53
1.67804e-08,37
1.69589e-08,48
1.71373e-08,51
1.73158e-08,41
1.74943e-08,41
1.76727e-08,33
1.78512e-08,42
1.80297e-08,50
1.82081e-08,39
1.83866e-08,28
1.85651e-08,27
1.87435e-08,28
1.8922e-08,35
1.91005e-08,24
1.9279e-08,25
1.94574e-08,29
1.96359e-08,29
1.98144e-08,23
1.99928e-08,10
2.01713e-08,23
2.03498e-08,21
2.05282e-08,15
2.07067e-08,20
2.08852e-08,12
2.10636e-08,30
2.12421e-08,14
2.14206e-08,19
2.15991e-08,17
2.17775e-08,17
2.1956e-08,13
2.21345e-08,19
2.23129e-08,16
2.24914e-08,13
2.26699e-08,12
2.28483e-08,9
2.30268e-08,12
2.32053e-08,9
2.33837e-08,7
2.35622e-08,10
2.37407e-08,12
2.39192e-08,7
2.40976e-08,2
2.42761e-08,6
2.44546e-08,6
2.4633e-08,6
2.48115e-08,8
2.499e-08,8
2.51684e-08,6
2.53469e-08,3
2.55254e-08,3
2.57038e-08,3
2.58823e-08,1
2.60608e-08,6
2.62393e-08,6
2.64177e-08,8
2.65962e-08,2
2.67747e-08,6
2.69531e-08,3
2.71316e-08,1
2.73101e-08,5
2.74885e-08,1
2.7667e-08,2
2.78455e-08,3
2.80239e-08,4
2.82024e-08,1
2.83809e-08,0
2.85594e-08,2
2.87378e-08,5
2.89163e-08,3
2.90948e-08,5
2.92732e-08,2
2.94517e-08,0
2.96302e-08,0
2.98086e-08,1
2.99871e-08,2
3.01656e-08,1
3.0344e-08,0
3.05225e-08,1
3.0701e-08,2
3.08795e-08,0
3.10579e-08,1
3.12364e-08,0
3.14149e-08,2
3.15933e-08,2
3.17718e-08,0
3.19503e-08,1
3.21287e-08,0
3.23072e-08,0
3.24857e-08,0
3.26641e-08,0
3.28426e-08,0
3.30211e-08,0
3.31996e-08,0
3.3378e-08,0
3.35565e-08,0
3.3735e-08,0
3.39134e-08,0
3.40919e-08,0
3.42704e-08,0
3.44488e-08,1
3.46273e-08,0
3.48058e-08,1
3.49843e-08,0
3.51627e-08,0
3.53412e-08,0
3.55197e-08,0
3.56981e-08,0
3.58766e-08,0
3.60551e-08,0
3.62335e-08,0
3.6412e-08,0
3.65905e-08,0
3.67689e-08,0
3.69474e-08,0
3.71259e-08,0
3.73044e-08,0
3.74828e-08,0
3.76613e-08,0
3.78398e-08,0
3.80182e-08,0
3.81967e-08,0
3.83752e-08,0
3.85536e-08,0
3.87321e-08,0
3.89106e-08,0
3.9089e-08,0
3.92675e-08,0
3.9446e-08,0
3.96245e-08,0
3.98029e-08,0
