CdS 20sec ODE2 Toluene1 em400,,CdS 20sec ODE2 Toluene1 ex327,,CdS 20sec ODE2 Toluene1 ex330,,CdS 20sec ODE2 Toluene1 em405,,CdS 20sec ODE2 Toluene1 em410,,CdS 20sec ODE2 Toluene1 em420,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
220,-3.917957306,336.9200134,-0.6924285889,340,0.6717453003,220,-1.747686386,220,-1.22054863,220,-0.9994106293,
220.9299927,-5.369810104,337.8399963,1.320440292,341.0700073,2.082082748,220.9299927,1.133823395,220.9299927,-0.3125114441,220.9299927,0.3902187347,
222.0299988,-5.193914413,338.9200134,3.958667755,342,3.956176758,222.0299988,-3.204832077,222.0299988,-2.180904388,222.0299988,-1.261396408,
222.9600067,-2.455968857,339.8399963,4.657129288,343.0700073,6.403335571,222.9600067,-6.44618988,222.9600067,-4.068695068,222.9600067,-1.309558868,
224.0599976,-5.268070221,340.9200134,7.344499588,344,10.72816849,224.0599976,-5.482444763,224.0599976,-4.023565292,224.0599976,-4.618169785,
225,-9.899518967,341.8399963,10.05654526,345.0700073,11.5158577,225,-7.905313492,225,-7.463989258,225,-8.17442894,
225.9299927,-10.42634201,342.9200134,11.62937164,346,15.45749283,225.9299927,-8.215806961,225.9299927,-8.535806656,225.9299927,-9.25006485,
227.0299988,-10.98825264,343.8399963,14.90124893,347.0700073,18.42295837,227.0299988,-10.68511772,227.0299988,-9.430234909,227.0299988,-10.25331497,
227.9600067,-10.94254303,344.9200134,19.26813126,348,20.43462753,227.9600067,-11.72902489,227.9600067,-10.19015503,227.9600067,-11.72039795,
229.0599976,-11.94543648,345.8399963,19.56512833,349.0700073,23.51299667,229.0599976,-12.03848076,229.0599976,-9.990045547,229.0599976,-10.80447006,
230,-11.30937004,346.9200134,23.57925797,350,25.8157959,230,-11.88669014,230,-9.622005463,230,-11.48449898,
230.9299927,-12.64149475,347.8399963,25.83997345,351.0700073,29.2385025,230.9299927,-10.2258625,230.9299927,-9.635177612,230.9299927,-11.97564697,
232.0299988,-12.0589962,348.9200134,28.77936172,352,32.99684906,232.0299988,-10.19341469,232.0299988,-11.00888443,232.0299988,-11.12615776,
232.9600067,-12.45666313,349.8399963,33.32562637,353.0700073,36.43618774,232.9600067,-11.30820656,232.9600067,-9.234306335,232.9600067,-9.705846786,
234.0599976,-12.01471329,350.9200134,35.78106689,354,37.74777222,234.0599976,-9.233972549,234.0599976,-8.745073318,234.0599976,-9.854356766,
235,-10.93133926,351.8399963,37.94720078,355.0700073,42.70851135,235,-10.07278442,235,-6.766124725,235,-8.269132614,
235.9299927,-11.6674118,352.9200134,42.37457657,356,44.3122406,235.9299927,-9.420316696,235.9299927,-9.487667084,235.9299927,-9.166553497,
237.0299988,-9.874710083,353.8399963,46.52258682,357.0700073,47.72651672,237.0299988,-9.287994385,237.0299988,-8.409765244,237.0299988,-8.662109375,
237.9600067,-9.398784637,354.9200134,49.54735947,358,52.74868011,237.9600067,-10.14751053,237.9600067,-7.970705032,237.9600067,-8.643520355,
239.0599976,-10.17348862,355.8399963,53.72868729,359.0700073,56.05963898,239.0599976,-8.532335281,239.0599976,-8.608150482,239.0599976,-9.652423859,
240,-9.55787468,356.9200134,58.00501633,360,62.66741943,240,-8.410799026,240,-7.641628265,240,-8.927383423,
240.9299927,-9.441604614,357.8399963,60.65772629,361.0700073,65.46682739,240.9299927,-8.453819275,240.9299927,-8.316429138,240.9299927,-8.333307266,
242.0299988,-9.482542038,358.9200134,66.78153992,362,70.66619873,242.0299988,-9.651086807,242.0299988,-7.965816498,242.0299988,-9.635229111,
242.9600067,-10.429739,359.8399963,73.73522949,363.0700073,73.30000305,242.9600067,-9.050388336,242.9600067,-7.911212921,242.9600067,-8.695354462,
244.0599976,-10.10607529,360.9200134,77.37783813,364,79.42978668,244.0599976,-9.065290451,244.0599976,-8.100908279,244.0599976,-9.030467987,
245,-10.30423927,361.8399963,80.1277771,365.0700073,82.57228088,245,-9.083539963,245,-7.874927521,245,-9.225826263,
245.9299927,-9.687854767,362.9200134,85.75291443,366,88.67224884,245.9299927,-8.79372406,245.9299927,-7.530033112,245.9299927,-9.302043915,
247.0299988,-9.332939148,363.8399963,89.28582764,367.0700073,91.55677032,247.0299988,-9.108024597,247.0299988,-7.723718643,247.0299988,-9.439573288,
247.9600067,-9.660520554,364.9200134,92.04959106,368,95.6713028,247.9600067,-8.900291443,247.9600067,-7.348434448,247.9600067,-8.34923172,
249.0599976,-9.358633041,365.8399963,91.05563354,369.0700073,99.98134613,249.0599976,-8.149972916,249.0599976,-7.081043243,249.0599976,-9.373703003,
250,-8.895196915,366.9200134,97.00544739,370,100.211586,250,-8.43563652,250,-6.988061905,250,-9.142251968,
250.9299927,-8.762998581,367.8399963,101.2093506,371.0700073,105.5133591,250.9299927,-8.099596024,250.9299927,-6.970254898,250.9299927,-8.796947479,
252.0299988,-7.434936523,368.9200134,102.4875793,372,107.0724564,252.0299988,-7.192110062,252.0299988,-6.175918579,252.0299988,-8.228908539,
252.9600067,-7.504007339,369.8399963,103.9216003,373.0700073,109.4251785,252.9600067,-6.899486542,252.9600067,-6.65275383,252.9600067,-7.331630707,
254.0599976,-6.695320129,370.9200134,109.6681671,374,113.8546982,254.0599976,-6.467622757,254.0599976,-5.230409622,254.0599976,-7.368465424,
255,-6.082193375,371.8399963,113.626358,375.0700073,115.9291916,255,-6.69524765,255,-4.040607452,255,-7.420383453,
255.9299927,-6.277194977,372.9200134,113.6526489,376,119.8685226,255.9299927,-5.548191071,255.9299927,-5.126020432,255.9299927,-7.26052475,
257.0299988,-6.333906174,373.8399963,120.4313507,377.0700073,120.3680496,257.0299988,-5.977432251,257.0299988,-4.980951309,257.0299988,-7.221412659,
257.9599915,-5.524532318,374.9200134,124.5524902,378,127.2290421,257.9599915,-5.90017128,257.9599915,-5.566532135,257.9599915,-7.241104126,
259.0599976,-5.629146576,375.8399963,124.8858643,379.0700073,130.4869385,259.0599976,-5.894100189,259.0599976,-4.230031967,259.0599976,-6.573623657,
260,-5.627174377,376.9200134,127.8222351,380,131.8028564,260,-4.970737457,260,-5.144706726,260,-7.513057709,
260.9299927,-5.279521942,377.8399963,131.5460205,381.0700073,135.2484436,260.9299927,-5.607326508,260.9299927,-5.203779221,260.9299927,-7.749408722,
262.0299988,-5.521471024,378.9200134,131.7028198,382,134.0636902,262.0299988,-4.386924744,262.0299988,-5.592592239,262.0299988,-7.950063705,
262.9599915,-5.384607315,379.8399963,134.9652405,383.0700073,140.6014099,262.9599915,-5.341878891,262.9599915,-5.672979355,262.9599915,-7.040159225,
264.0599976,-5.069015503,380.9200134,140.1977386,384,138.6357727,264.0599976,-4.657512665,264.0599976,-4.37976265,264.0599976,-7.323467255,
265,-5.670886993,381.8399963,137.4486694,385.0700073,142.4607544,265,-4.207952499,265,-4.732917786,265,-7.27775383,
265.9299927,-5.340446472,382.9200134,142.0470123,386,144.0585022,265.9299927,-4.355682373,265.9299927,-4.085796356,265.9299927,-6.902820587,
267.0299988,-4.870094299,383.8399963,145.0816345,387.0700073,150.1584778,267.0299988,-5.280368805,267.0299988,-4.702939987,267.0299988,-7.356472015,
267.9599915,-4.892965317,384.9200134,147.9675293,388,150.8139954,267.9599915,-5.479185104,267.9599915,-5.714441299,267.9599915,-7.702411652,
269.0599976,-5.894870758,385.8399963,148.9551849,389.0700073,150.9143982,269.0599976,-5.906652451,269.0599976,-5.230783463,269.0599976,-8.58086586,
270,-7.11898613,386.9200134,149.697464,390,153.9909363,270,-7.308666229,270,-6.656906128,270,-9.939531326,
271.0700073,-7.377918243,387.8399963,149.8450012,391.0700073,155.1125793,271.0700073,-7.164194107,271.0700073,-7.447044373,271.0700073,-10.3935051,
272,-8.181013107,388.9200134,153.9893188,392,154.9021912,272,-8.164903641,272,-7.913835526,272,-10.79547691,
273.0700073,-9.18514061,389.8399963,154.3632813,393.0700073,154.8565063,273.0700073,-8.922834396,273.0700073,-8.955356598,273.0700073,-11.22519684,
274,-9.187889099,390.9200134,153.9494781,394,154.9756775,274,-10.09334373,274,-9.318664551,274,-12.51845932,
275.0700073,-10.48815727,391.8399963,157.4546356,395.0700073,156.574585,275.0700073,-11.0260582,275.0700073,-10.69959068,275.0700073,-13.67607117,
276,-11.13345718,392.9200134,158.0069427,396,157.8656616,276,-10.79554939,276,-10.96175957,276,-13.73628426,
277.0700073,-10.93296814,393.8399963,158.3570251,397.0700073,162.2917175,277.0700073,-10.50398827,277.0700073,-10.47719765,277.0700073,-12.89588737,
278,-9.071660995,394.9200134,159.4216766,398,159.2266846,278,-9.382257462,278,-9.132003784,278,-12.04961395,
279.0700073,-4.695785522,395.8399963,160.8252869,399.0700073,162.0415344,279.0700073,-5.5740242,279.0700073,-5.518106461,279.0700073,-8.341760635,
280,0.4689846039,396.9200134,156.1882324,400,162.3765869,280,-1.208847046,280,-0.5721302032,280,-3.637628555,
280.9299927,5.249534607,397.8399963,159.9525757,401.0700073,161.1869507,280.9299927,5.187685013,280.9299927,4.537700653,280.9299927,1.293083191,
282.0299988,13.7154274,398.9200134,161.9004822,402,159.3223267,282.0299988,13.40906334,282.0299988,12.67511749,282.0299988,8.956712723,
282.9599915,21.71870041,399.8399963,162.0300751,403.0700073,161.3896179,282.9599915,22.16299629,282.9599915,21.06517792,282.9599915,15.26212883,
284.0599976,29.83395004,400.9200134,161.4096832,404,161.5013123,284.0599976,30.93826485,284.0599976,29.26063156,284.0599976,24.25797081,
285,39.29920197,401.8399963,161.2901306,405.0700073,162.8444519,285,37.40750885,285,35.83373642,285,30.89004707,
285.9299927,45.24900055,402.9200134,159.8742065,406,162.7433167,285.9299927,44.22065735,285.9299927,41.79203796,285.9299927,37.32846832,
287.0299988,51.4226532,403.8399963,163.544342,407.0700073,161.6216736,287.0299988,51.48723602,287.0299988,48.89884949,287.0299988,43.35041809,
287.9599915,56.97109985,404.9200134,160.2791748,408,160.9449158,287.9599915,52.79541016,287.9599915,53.27781677,287.9599915,46.41799164,
289.0599976,61.76683807,405.8399963,158.8429565,409.0700073,158.6239014,289.0599976,61.01095581,289.0599976,58.58370209,289.0599976,52.89402008,
290,66.96700287,406.9200134,158.901825,410,159.5263062,290,64.78126526,290,61.89447784,290,55.47746277,
290.9299927,70.66243744,407.8399963,159.4500885,411.0599976,160.6082458,290.9299927,70.4143219,290.9299927,67.97989655,290.9299927,58.85756683,
292.0299988,76.4805069,408.9200134,158.1351929,411.9599915,159.456604,292.0299988,73.28401947,292.0299988,72.27188873,292.0299988,62.21907806,
292.9599915,80.43096924,409.8399963,157.3651733,413.0299988,155.920929,292.9599915,76.79417419,292.9599915,76.67531586,292.9599915,65.95583344,
294.0599976,85.5118866,410.8999939,156.6845093,413.9299927,154.9516296,294.0599976,81.15609741,294.0599976,80.81658173,294.0599976,72.17365265,
295,87.68766022,411.9599915,154.4735565,415,152.98526,295,85.12960052,295,82.42891693,295,75.72423553,
295.9299927,92.7525177,412.8699951,155.2337036,416.0599976,151.3611755,295.9299927,90.62184906,295.9299927,87.1847229,295.9299927,77.09829712,
297.0299988,95.60184479,413.9299927,154.1815186,416.9599915,152.2497253,297.0299988,93.31203461,297.0299988,90.64388275,297.0299988,79.9537735,
297.9599915,99.32044983,414.8399963,152.6690521,418.0299988,151.6756592,297.9599915,97.09093475,297.9599915,93.34195709,297.9599915,80.7379303,
299.0599976,100.3878479,415.8999939,145.8712158,418.9299927,149.3869324,299.0599976,98.70781708,299.0599976,96.73290253,299.0599976,86.15192413,
300,105.1012573,416.9599915,149.6977844,420,147.0644531,300,101.8380966,300,99.01805115,300,86.89267731,
301.0700073,105.6220245,417.8699951,147.041214,421.0700073,144.4301147,301.0700073,102.7347946,301.0700073,102.3962173,301.0700073,90.08583832,
302,108.5688782,418.9299927,145.3591919,422,144.834137,302,106.6258926,302,103.8182297,302,91.83854675,
303.0700073,111.6193542,419.8399963,143.7152252,423.0700073,143.5182495,303.0700073,110.1865921,303.0700073,107.2329941,303.0700073,94.658638,
304,113.0663147,420.9200134,140.6339874,424,143.5222778,304,111.8815842,304,107.5226212,304,94.29595947,
305.0700073,118.9253235,421.8399963,140.6061401,425.0700073,139.8817749,305.0700073,113.0889969,305.0700073,111.0481949,305.0700073,101.2198334,
306,118.0334778,422.9200134,138.5536041,426,136.141449,306,116.9732285,306,112.6837845,306,101.6230469,
307.0700073,122.5393677,423.8399963,138.9612732,427.0700073,134.8930054,307.0700073,120.4490585,307.0700073,117.1758194,307.0700073,103.7917023,
308,123.593811,424.9200134,135.7752533,428,135.7332458,308,119.7846603,308,119.0827408,308,105.3505554,
309.0700073,128.8013153,425.8399963,132.3747253,429.0700073,129.4805908,309.0700073,125.8028336,309.0700073,121.2753372,309.0700073,107.5091553,
310,128.4697266,426.9200134,128.8604126,430,127.9634323,310,126.779686,310,121.7265549,310,109.2182922,
311.0700073,132.3632813,427.8399963,126.9513397,431.0599976,124.6675491,311.0700073,128.7894745,311.0700073,124.8743668,311.0700073,110.051178,
312,132.5719299,428.9200134,122.7479401,431.9599915,121.7314072,312,129.0554352,312,127.1036911,312,111.5804291,
313.0700073,135.975174,429.8399963,126.5193939,433.0299988,120.6214066,313.0700073,134.4553986,313.0700073,128.5831604,313.0700073,115.5661774,
314,136.8515778,430.8999939,123.853363,433.9299927,119.0344315,314,133.9701538,314,129.1387634,314,113.7885437,
315.0700073,137.6961975,431.9599915,119.597229,435,115.7973557,315.0700073,136.3431854,315.0700073,130.3987427,315.0700073,118.8229675,
316,140.7238312,432.8699951,118.0042419,436.0599976,113.2928238,316,140.1854248,316,136.5036316,316,120.0957489,
317.0700073,142.2086487,433.9299927,113.1092224,436.9599915,113.0033646,317.0700073,139.7619781,317.0700073,136.5890503,317.0700073,123.0681,
318,142.1389771,434.8399963,112.2824402,438.0299988,110.6007462,318,141.3347626,318,140.6844788,318,123.1733856,
319.0700073,145.0454865,435.8999939,109.0404053,438.9299927,109.7863388,319.0700073,141.5388947,319.0700073,138.3383789,319.0700073,124.9629669,
320,145.8580322,436.9599915,107.3594055,440,109.0091934,320,142.325882,320,142.7542725,320,124.9818268,
320.9299927,149.7616119,437.8699951,104.88797,441.0599976,102.1816254,320.9299927,146.2220001,320.9299927,145.2036438,320.9299927,127.8510132,
