CdS 30sec ODE2 Toluene1 ex420,,CdS 30sec ODE2 Toluene1 em420,,CdS 30sec ODE2 Toluene1 ex340,,CdS 30sec ODE2 Toluene1 em415,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
430,0.152957916,220,-3.645965576,350,1.210861206,200,43.19351196
431.0599976,1.402271271,220.9299927,-6.60684967,351.0700073,3.797660828,200.9299927,43.43284607
431.9599915,1.866060257,222.0299988,-11.1602478,352,5.963077545,202.0299988,54.46565247
433.0299988,3.603792191,222.9600067,-12.11520004,353.0700073,11.05437851,202.9600067,47.02765656
433.9299927,4.766983032,224.0599976,-16.30426407,354,12.51552582,204.0599976,41.7984848
435,6.33105278,225,-19.95034599,355.0700073,18.61394501,205,37.5982666
436.0599976,7.616998672,225.9299927,-19.71801376,356,22.93265915,205.9299927,42.06304932
436.9599915,8.786325455,227.0299988,-24.43981171,357.0700073,27.19627762,207.0299988,43.30490112
438.0299988,10.33431816,227.9600067,-26.75469398,358,30.50465393,207.9600067,44.19303894
438.9299927,11.96533394,229.0599976,-28.13696671,359.0700073,37.06214905,209.0599976,40.85544586
440,12.92777824,230,-28.8353672,360,43.89920044,210,36.05747223
441.0599976,15.04464912,230.9299927,-28.81612015,361.0700073,49.47995758,210.9299927,36.27715302
441.9599915,16.48100471,232.0299988,-28.26101303,362,53.74652863,212.0299988,34.29953766
443.0299988,17.66895103,232.9600067,-27.95930481,363.0700073,60.46048737,212.9600067,33.15884399
443.9299927,19.25949669,234.0599976,-24.77026367,364,67.0555954,214.0599976,31.13191605
445,20.81504631,235,-25.25643539,365.0700073,73.90842438,215,23.89367676
446.0599976,21.91666222,235.9299927,-25.15815926,366,79.15621185,215.9299927,21.22507858
446.9599915,23.31241417,237.0299988,-24.54426575,367.0700073,91.04367828,217.0299988,29.61649323
448.0299988,24.68528175,237.9600067,-24.12254524,368,93.07137299,217.9600067,24.36111832
448.9299927,26.82367897,239.0599976,-23.64309692,369.0700073,100.1159286,219.0599976,15.15302277
450,27.42265892,240,-26.0439949,370,106.4734116,220,14.26004028
451.0599976,29.50235176,240.9299927,-26.62314987,371.0700073,116.5191116,220.9299927,13.29975128
451.9599915,30.21520042,242.0299988,-27.16471863,372,125.8303604,222.0299988,7.921878815
453.0299988,31.74825096,242.9600067,-27.64796066,373.0700073,128.6391602,222.9600067,4.258781433
453.9299927,33.4287796,244.0599976,-27.39156914,374,137.1497192,224.0599976,5.016143799
455,34.98177338,245,-27.88424683,375.0700073,145.6612854,225,0.098373413
456.0599976,36.48014069,245.9299927,-27.09053802,376,151.6264648,225.9299927,-4.755743027
456.9599915,36.86389923,247.0299988,-27.83540344,377.0700073,162.046051,227.0299988,-4.16374588
458.0299988,38.54052734,247.9600067,-27.46581268,378,169.5828552,227.9600067,-8.340421677
458.9299927,40.18036652,249.0599976,-26.47997475,379.0700073,174.1994324,229.0599976,-8.715503693
460,40.89097595,250,-27.27219391,380,179.8807678,230,-8.205465317
461.0599976,42.11873627,250.9299927,-27.17887878,381.0700073,188.7088928,230.9299927,-8.543722153
461.9599915,42.52339935,252.0299988,-24.71990967,382,195.7124023,232.0299988,-7.847393036
463.0299988,43.18548584,252.9600067,-23.75941086,383.0700073,202.1400146,232.9600067,-8.196094513
463.9299927,44.76363373,254.0599976,-24.87857819,384,202.4335938,234.0599976,-5.655252457
465,45.1157608,255,-24.43357468,385.0700073,215.0160522,235,-6.172193527
