CdS 40sec ODE2 Toluene1 ex340,,CdS 40sec ODE2 Toluene1 em410,,CdS 40sec ODE2 Toluene1 ex336,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
350,0.9387798309,240,0.2612552643,346,-2.087711334,
351.0700073,3.799549103,240.9299927,-0.08452606201,347.0700073,1.590478897,
352,6.488994598,242.0299988,0.3908596039,348,4.437520981,
353.0700073,8.873222351,242.9600067,-0.9536914825,349.0700073,8.604581833,
354,13.43207932,244.0599976,-1.109884262,350,11.95109749,
355.0700073,18.07619095,245,-0.6002235413,351.0700073,15.49471855,
356,20.62223434,245.9299927,-1.242673874,352,20.73746681,
357.0700073,25.6039238,247.0299988,-0.1723136902,353.0700073,24.99384117,
358,29.13490677,247.9600067,-0.7159481049,354,28.69530296,
359.0700073,34.47902298,249.0599976,0.2651462555,355.0700073,33.48536682,
360,40.18686676,250,0.4597492218,356,36.83742523,
361.0700073,46.17975616,250.9299927,0.1488265991,357.0700073,43.13686371,
362,50.9360199,252.0299988,0.7782974243,358,47.9744339,
363.0700073,55.48571014,252.9600067,1.475421906,359.0700073,55.37935638,
364,61.83518982,254.0599976,2.603002548,360,59.25478363,
365.0700073,70.66259003,255,2.874700546,361.0700073,67.27739716,
366,74.42845917,255.9299927,2.861915588,362,70.73139954,
367.0700073,79.86313629,257.0299988,4.045221329,363.0700073,78.76754761,
368,83.96834564,257.9599915,2.344909668,364,83.96272278,
369.0700073,91.25440216,259.0599976,2.179006577,365.0700073,92.24841309,
370,99.0587616,260,1.921417236,366,96.9646225,
371.0700073,107.8175201,260.9299927,2.936191559,367.0700073,108.4586639,
372,112.0655518,262.0299988,3.063903809,368,109.6764526,
373.0700073,119.3872375,262.9599915,2.902004242,369.0700073,117.8038635,
374,125.2898407,264.0599976,3.242240906,370,128.2467194,
375.0700073,133.984436,265,3.527212143,371.0700073,132.5332336,
376,139.0568695,265.9299927,1.731477737,372,141.6263428,
