CdS 180sec ODE2 Toluene1 em420,,CdS 180sec ODE2 Toluene1 ex340,,CdS 180sec ODE2 Toluene1 ex335,,CdS 180sec ODE2 Toluene1 ex345,,CdS 180sec ODE2 Toluene1 em410,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
240,-0.214159012,350,-0.711353302,344.9200134,-0.827728272,354.9200134,-0.585847855,240,-0.677494049
240.9299927,-0.632389069,351.0700073,1.758506775,345.8399963,1.570665359,355.8399963,1.377182007,240.9299927,-1.311151505
242.0299988,-0.294301987,352,3.170730591,346.9200134,3.909265518,356.9200134,3.820140839,242.0299988,-0.931613922
242.9600067,-0.567481995,353.0700073,7.055728912,347.8399963,5.365159988,357.8399963,5.783149719,242.9600067,-2.014591217
244.0599976,-0.7443676,354,7.921495438,348.9200134,9.170288086,358.9200134,9.626588821,244.0599976,-0.582401276
245,0.052850723,355.0700073,10.04369736,349.8399963,9.975280762,359.8399963,11.797369,245,-0.666950226
245.9299927,0.007423401,356,14.39477539,350.9200134,12.51709747,360.9200134,14.97168541,245.9299927,-0.79476738
247.0299988,-0.448696137,357.0700073,16.11760712,351.8399963,15.29977798,361.8399963,18.41137123,247.0299988,-1.078474045
247.9600067,-0.535495758,358,21.12948608,352.9200134,20.33532333,362.9200134,21.6559391,247.9600067,-0.84958458
249.0599976,0.253854752,359.0700073,24.92782211,353.8399963,22.82605743,363.8399963,25.21750832,249.0599976,-0.573308945
250,1.217737198,360,27.06491852,354.9200134,27.14741135,364.9200134,28.24815178,250,-0.283256531
250.9299927,0.834638596,361.0700073,31.41378021,355.8399963,29.28294754,365.8399963,30.68630028,250.9299927,-0.053684235
252.0299988,0.629594803,362,34.05899429,356.9200134,33.23186111,366.9200134,36.9644165,252.0299988,-0.036882401
252.9600067,1.85071373,363.0700073,38.68465424,357.8399963,36.06877136,367.8399963,41.02729797,252.9600067,-0.077960968
254.0599976,1.908510208,364,40.77991104,358.9200134,40.01608276,368.9200134,43.63822937,254.0599976,1.693405151
255,2.632566452,365.0700073,47.46619415,359.8399963,44.3176918,369.8399963,49.20042419,255,0.881427765
255.9299927,1.895853043,366,51.77701569,360.9200134,50.21764755,370.9200134,53.14606476,255.9299927,1.72987175
257.0299988,2.319536209,367.0700073,54.45809937,361.8399963,54.42898941,371.8399963,56.81682587,257.0299988,1.443675995
257.9599915,2.756446838,368,59.49739838,362.9200134,58.05003738,372.9200134,62.19895935,257.9599915,1.35688591
259.0599976,2.285829544,369.0700073,62.44605255,363.8399963,59.99085617,373.8399963,65.58874512,259.0599976,1.954725266
260,2.034921646,370,71.26005554,364.9200134,66.28085327,374.9200134,70.32946777,260,0.715404511
260.9299927,2.127832413,371.0700073,76.686203,365.8399963,73.23757935,375.8399963,77.7016983,260.9299927,1.102132797
262.0299988,1.615068436,372,79.84222412,366.9200134,77.35861206,376.9200134,82.27275848,262.0299988,1.190870285
262.9599915,1.857940674,373.0700073,83.1472168,367.8399963,83.00537109,377.8399963,85.04431152,262.9599915,1.519525528
264.0599976,2.087795258,374,90.19313812,368.9200134,89.02893066,378.9200134,88.44996643,264.0599976,0.593568802
265,1.594526291,375.0700073,96.39498901,369.8399963,95.84857178,379.8399963,95.89177704,265,1.409515381
265.9299927,1.681560516,376,100.0045242,370.9200134,98.402771,380.9200134,102.5578003,265.9299927,1.082578659
267.0299988,1.452842712,377.0700073,110.4057236,371.8399963,106.5432281,381.8399963,108.4265442,267.0299988,1.150774002
267.9599915,1.025901794,378,112.1402512,372.9200134,109.1238098,382.9200134,112.9338837,267.9599915,0.37216568
269.0599976,0.746162415,379.0700073,118.7318802,373.8399963,112.8309479,383.8399963,117.322525,269.0599976,-0.198947907
270,-0.733980179,380,121.2181168,374.9200134,118.9800873,384.9200134,124.9425964,270,-0.867704392
271.0700073,-1.179498672,381.0700073,123.7755508,375.8399963,121.9688416,385.8399963,130.2773743,271.0700073,-1.601902008
272,-2.101266861,382,127.3595505,376.9200134,126.9985199,386.9200134,132.6543427,272,-3.046951294
273.0700073,-2.977621078,383.0700073,133.3410339,377.8399963,127.27211,387.8399963,137.3107452,273.0700073,-3.766187668
274,-3.083032608,384,137.7745667,378.9200134,135.364975,388.9200134,141.5193787,274,-4.330461502
275.0700073,-3.741294861,385.0700073,139.1751099,379.8399963,139.4145355,389.8399963,143.0990295,275.0700073,-4.714952469
276,-4.398410797,386,144.6282654,380.9200134,143.8159332,390.9200134,148.1085815,276,-5.562749863
