BLANK ODE2 and toluene1 ex284,,BLANK ODE2 and toluene2,,BLANK ODE2 and toluene1 em330,,BLANK ODE2 and toluene1 ex287,,BLANK ODE2 and toluene1 ex300,,BLANK ODE2 and toluene1 em350,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
300,-0.9886016846,290,0.6592102051,220,1.710361481,296.9200134,-1.744056702,310,-0.9528245926,220,6.209679604,
300.9299927,-3.093307495,291.0700073,-9.392471313,220.9299927,-1.894954681,297.8399963,-2.226356506,311.0700073,0.2725715637,220.9299927,4.74767971,
302.0299988,-8.143875122,292,-14.84356689,222.0299988,-0.7025547028,298.9200134,-3.559005737,312,2.06828022,222.0299988,1.792358398,
302.9599915,-11.17539978,293.0700073,-16.80839539,222.9600067,-2.02720356,299.8399963,-3.735759735,313.0700073,2.945416451,222.9600067,1.407877922,
304.0599976,-13.94233704,294,-15.91009521,224.0599976,-0.375617981,300.9299927,-6.693702698,314,3.415143013,224.0599976,1.313202858,
305,-18.22242737,295.0700073,-19.23390961,225,-2.012827873,301.8699951,-5.040943146,315.0700073,4.69120121,225,-1.042695999,
305.9299927,-18.52249908,296,-23.71429443,225.9299927,-3.913330078,302.9599915,-6.504631042,316,5.226231575,225.9299927,-0.8404006958,
307.0299988,-23.55226135,297.0700073,-26.29766083,227.0299988,-3.713347435,303.8999939,-6.7628479,317.0700073,5.909443855,227.0299988,-1.382390022,
307.9599915,-25.64024353,298,-30.21080017,227.9600067,-3.222424507,304.8399963,-7.713409424,318,6.114251137,227.9600067,-3.477347374,
309.0599976,-28.08370972,299.0700073,-34.32518768,229.0599976,-3.03669548,305.9299927,-8.061767578,319.0700073,8.360747337,229.0599976,-2.921685219,
310,-29.45608521,300,-37.39444733,230,-3.482303619,306.8699951,-7.519535065,320,9.517027855,230,-3.167859077,
311.0700073,-29.32891846,300.9299927,-40.29111481,230.9299927,-4.29755497,307.9599915,-9.044223785,320.9299927,12.50967884,230.9299927,-2.344073296,
312,-30.25424194,302.0299988,-44.09962463,232.0299988,-3.599117756,308.8999939,-7.577453613,322.0299988,15.98057842,232.0299988,-2.022848129,
313.0700073,-33.8942337,302.9599915,-47.09487915,232.9600067,-3.641365051,309.8399963,-6.180866241,322.9599915,20.21011734,232.9600067,-1.581581116,
314,-35.21858215,304.0599976,-50.02347565,234.0599976,-4.06192112,310.9200134,-5.390224457,324.0599976,24.52884674,234.0599976,-1.334915161,
315.0700073,-38.52601624,305,-53.35192871,235,-2.682256699,311.8399963,-3.975669861,325,28.74855804,235,-0.556968689,
316,-39.31825256,305.9299927,-57.80852509,235.9299927,-2.596713066,312.9200134,-2.194202423,325.9299927,33.8342514,235.9299927,-1.184908867,
317.0700073,-40.8866272,307.0299988,-60.72433472,237.0299988,-1.731077194,313.8399963,-1.368480682,327.0299988,39.30160141,237.0299988,0.1376428604,
318,-41.1541214,307.9599915,-60.99260712,237.9600067,-1.978393555,314.9200134,-0.692237854,327.9599915,44.48794556,237.9600067,-0.2356081009,
319.0700073,-38.44782257,309.0599976,-62.46334839,239.0599976,-0.9913606644,315.8399963,0.8435783386,329.0599976,50.14955902,239.0599976,-0.8544492722,
320,-37.69259644,310,-65.32829285,240,-1.490044594,316.9200134,0.06750869751,330,52.27148438,240,-0.2912731171,
320.9299927,-32.92939758,311.0700073,-65.6812439,240.9299927,-1.67730999,317.8399963,2.299659729,331.0700073,53.94681549,240.9299927,0.4578914642,
322.0299988,-31.18281555,312,-66.7250061,242.0299988,-1.68607235,318.9200134,4.886013031,332,53.15245056,242.0299988,0.03742790222,
322.9599915,-25.91692352,313.0700073,-70.35031128,242.9600067,-1.501245499,319.8399963,9.107563019,333.0700073,56.602211,242.9600067,1.12334919,
324.0599976,-23.3182373,314,-71.55497742,244.0599976,-1.786624908,320.9299927,15.41639328,334,57.55528259,244.0599976,0.4647350311,
325,-21.72668457,315.0700073,-73.09586334,245,-1.200130463,321.8699951,22.34153366,335.0700073,57.67523193,245,1.308020592,
325.9299927,-21.36743927,316,-75.25640869,245.9299927,-1.566565514,322.9599915,29.16424179,336,56.89602661,245.9299927,1.309610367,
327.0299988,-21.391922,317.0700073,-76.79691315,247.0299988,-1.687317848,323.8999939,34.07530594,337.0700073,58.13356018,247.0299988,2.034816742,
327.9599915,-19.21175385,318,-76.14150238,247.9600067,-1.008325577,324.8399963,39.62133408,338,58.00384521,247.9600067,1.152544975,
329.0599976,-22.31311798,319.0700073,-75.55202484,249.0599976,-0.6389846802,325.9299927,40.67129898,339.0700073,59.7240448,249.0599976,2.752337456,
330,-21.36420441,320,-74.84024048,250,-0.5550441742,326.8699951,43.54502487,340,60.82138062,250,2.542281151,
331.0700073,-21.68745422,320.9299927,-70.39862823,250.9299927,-0.3533668518,327.9599915,45.89355087,341.0700073,63.28787994,250.9299927,2.065893173,
332,-23.20400238,322.0299988,-65.50492096,252.0299988,0.08509922028,328.8999939,46.63306046,342,62.90853119,252.0299988,3.373849869,
333.0700073,-19.99842834,322.9599915,-64.0276413,252.9600067,1.110866547,329.8399963,47.58880997,343.0700073,63.91516876,252.9600067,3.639152527,
334,-19.95572662,324.0599976,-60.40211487,254.0599976,0.6320095062,330.9200134,48.76343918,344,65.16149139,254.0599976,4.5893507,
335.0700073,-20.34670258,325,-58.22463989,255,1.384108543,331.8399963,50.60830307,345.0700073,65.5146637,255,5.403878212,
336,-19.35251617,325.9299927,-57.42744446,255.9299927,2.049806595,332.9200134,49.33673477,346,65.9289093,255.9299927,5.084347725,
337.0700073,-18.44095612,327.0299988,-56.89709473,257.0299988,2.077488899,333.8399963,55.1271553,347.0700073,66.45606232,257.0299988,6.321629524,
338,-20.81250763,327.9599915,-56.62423706,257.9599915,2.233364105,334.9200134,52.93198013,348,66.93418884,257.9599915,7.181731224,
339.0700073,-20.22898102,329.0599976,-56.94036865,259.0599976,2.385349274,335.8399963,57.93912125,349.0700073,66.52628326,259.0599976,7.438288689,
340,-21.31819153,330,-57.97148895,260,2.644850731,336.9200134,58.31798172,350,66.09565735,260,8.020310402,
341.0700073,-23.2167511,331.0700073,-55.93809509,260.9299927,2.685153961,337.8399963,56.88402939,351.0700073,67.13606262,260.9299927,7.572451591,
342,-25.19663239,332,-57.00430298,262.0299988,2.44332695,338.9200134,57.28821945,352,65.26353455,262.0299988,8.717869759,
343.0700073,-25.76769257,333.0700073,-55.43232727,262.9599915,3.225730896,339.8399963,56.60969162,353.0700073,64.24349213,262.9599915,8.130188942,
344,-26.7930603,334,-54.633461,264.0599976,3.142817497,340.9200134,56.52487564,354,63.16433716,264.0599976,8.67920208,
345.0700073,-26.29283905,335.0700073,-55.33834839,265,2.582715988,341.8399963,54.12015915,355.0700073,60.74407196,265,9.7841959,
346,-27.8940506,336,-54.48993683,265.9299927,3.403418541,342.9200134,52.13264084,356,61.99688721,265.9299927,9.308436394,
347.0700073,-29.77046967,337.0700073,-54.82571411,267.0299988,2.890407562,343.8399963,50.47803116,357.0700073,60.76098633,267.0299988,9.390692711,
348,-29.84102631,338,-54.56815338,267.9599915,2.591737747,344.9200134,49.04611588,358,61.51512909,267.9599915,9.126997948,
349.0700073,-30.92660522,339.0700073,-55.89945984,269.0599976,2.053740501,345.8399963,48.64355087,359.0700073,59.11572266,269.0599976,9.254462242,
350,-33.50926208,340,-57.13333893,270,1.786636353,346.9200134,46.90314865,360,58.87723541,270,7.888306618,
351.0700073,-32.9208374,341.0700073,-55.97398376,271.0700073,1.093175888,347.8399963,46.0395546,361.0700073,56.6894455,271.0700073,6.807391167,
352,-32.41844177,342,-58.84644318,272,1.233056068,348.9200134,47.9504509,362,57.92025757,272,6.630007744,
353.0700073,-35.70892334,343.0700073,-59.08963776,273.0700073,0.1985425949,349.8399963,46.32132339,363.0700073,56.80800629,273.0700073,5.320439339,
