CdSe 10sec hi ex300,,CdSe 10sec hi em510301,,CdSe 10sec hi ex400,,CdSe 180sec hi ex400,,CdSe 180sec hi em525,,CdSe 180sec hi ex460,,CdSe 180sec hi em470,,CdSe 180min sonochem em520,,CdSe 180min sonochem ex410,,CdSe 180min sonochem em485,,CdSe 180min sonochem ex390,,CdSe 180min sonochem em560,,CdSe 180min sonochem ex470,,CdSe 30min sonochem ex470,,CdSe 30min sonochem em515,,CdSe 30min sonochem ex400,,CdSe 30min sonochem em470,,CdSe 30min sonochem ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
310,-0.2953532636,250,0.5370521545,410,-0.580406189,410,-0.2293262482,250,-0.1690750122,470,-0.1677398682,250,-0.2114305496,250,-0.3225046396,420,0.5396652222,250,-0.2070257664,400,0.3195943832,270,-0.0346019268,480,-0.3806858063,480,-0.112663269,270,0.2732305527,410,-0.1114654541,250,0.4726314545,394.9200134,0.0007095336914,
311.0700073,0.007706582546,250.9299927,0.4475421906,411.0599976,5.742385864,411.0599976,1.843427658,250.9299927,0.2357692719,471.0599976,7.42615509,250.9299927,0.1174263954,250.9299927,-0.09697532654,421.0700073,0.5995016098,250.9299927,-0.3562254906,401.0700073,0.7486963272,271.0700073,-0.09119391441,481.0599976,0.8581981659,481.0599976,3.983108521,271.0700073,0.5702514648,411.0599976,2.785102844,250.9299927,0.361076355,395.8399963,3.572025299,
312,0.04037880898,252.0299988,2.572053909,411.9599915,11.37887573,411.9599915,4.001150131,252.0299988,2.20132637,471.9599915,13.9316864,252.0299988,0.4208078384,252.0299988,0.2268269062,422,1.932705879,252.0299988,0.00385427475,402,1.507453918,272,-0.2260811329,481.9599915,1.529392242,481.9599915,8.501579285,272,1.286070824,411.9599915,5.982837677,252.0299988,0.1183853149,396.9200134,7.491271973,
313.0700073,-0.04995554686,252.9600067,3.287914276,413.0299988,19.36617279,413.0299988,7.518941879,252.9600067,2.397981644,473.0299988,22.17266846,252.9600067,0.1455426216,252.9600067,0.3654966354,423.0700073,3.215551376,252.9600067,0.06721401215,403.0700073,2.431500435,273.0700073,-0.07706189156,483.0299988,2.544876099,483.0299988,15.32726288,273.0700073,1.756362915,413.0299988,11.94846344,252.9600067,1.084900856,397.8399963,12.00939178,
314,0.210785687,254.0599976,3.234098434,413.9299927,27.26835632,413.9299927,10.22708321,254.0599976,3.227519989,473.9299927,27.34526062,254.0599976,0.6475629807,254.0599976,0.05442941189,424,3.645316124,254.0599976,0.1245641708,404,3.692928314,274,-0.07199698687,483.9299927,3.278076172,483.9299927,19.12150574,274,2.372560501,413.9299927,16.87283325,254.0599976,0.7720098495,398.9200134,17.04011536,
315.0700073,0.05278915167,255,3.90063858,415,36.84065247,415,12.67410088,255,4.043369293,475,34.92918396,255,0.6501951218,255,0.1743545532,425.0700073,4.46437645,255,0.02354955673,405.0700073,4.501846313,275.0700073,-0.1141588092,485,3.722305298,485,24.68042755,275.0700073,3.641456604,415,21.55102539,255,1.109121323,399.8399963,21.79457092,
316,0.2881048322,255.9299927,3.940803528,416.0599976,44.64779663,416.0599976,15.94561195,255.9299927,3.386487961,476.0599976,44.19949341,255.9299927,0.6891860962,255.9299927,0.02119958401,426,5.374591827,255.9299927,0.2281599045,406,4.844982147,276,0.05546188354,486.0599976,4.644062042,486.0599976,28.08966827,276,5.637767792,416.0599976,28.73355865,255.9299927,0.3396692276,400.9200134,26.79151154,
317.0700073,0.201018393,257.0299988,2.649356842,416.9599915,51.45201111,416.9599915,18.53318596,257.0299988,2.09513092,476.9599915,51.37832642,257.0299988,0.2193446159,257.0299988,0.1038825512,427.0700073,6.221969604,257.0299988,-0.0367808342,407.0700073,5.555825233,277.0700073,0.004166007042,486.9599915,4.622341156,486.9599915,31.6312027,277.0700073,6.624061584,416.9599915,31.02632904,257.0299988,0.659614563,401.8399963,31.18997955,
318,0.3154274821,257.9599915,2.61730957,418.0299988,60.95690918,418.0299988,21.87755775,257.9599915,1.031059265,478.0299988,59.40287781,257.9599915,0.1327934265,257.9599915,-0.06774830818,428,6.971405029,257.9599915,-0.2432689667,408,6.743717194,278,-0.1151375771,488.0299988,5.721393585,488.0299988,37.38197327,278,8.935707092,418.0299988,36.9441452,257.9599915,0.09145069122,402.9200134,37.92034912,
