CdS sonochem 180min ex330-400_EX_330.00,,CdS sonochem 180min ex330-400_EX_335.00,,CdS sonochem 180min ex330-400_EX_340.00,,CdS sonochem 180min ex330-400_EX_345.00,,CdS sonochem 180min ex330-400_EX_350.00,,CdS sonochem 180min ex330-400_EX_355.00,,CdS sonochem 180min ex330-400_EX_360.00,,CdS sonochem 180min ex330-400_EX_365.00,,CdS sonochem 180min ex330-400_EX_370.00,,CdS sonochem 180min ex330-400_EX_375.00,,CdS sonochem 180min ex330-400_EX_380.00,,CdS sonochem 180min ex330-400_EX_385.00,,CdS sonochem 180min ex330-400_EX_390.00,,CdS sonochem 180min ex330-400_EX_395.00,,CdS sonochem 180min ex330-400_EX_400.00,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
410,1.284641266,410,4.985115051,410,8.665939331,410,9.606712341,410,13.70671844,410,12.11126328,410,10.38615036,410,7.559078217,410,2.533119202,410,-2.278339386,410,-7.071897507,410,-13.46450615,410,-19.38034439,410,-24.43849182,410,-28.50503922,
411.0599976,1.122661591,411.0599976,6.398323059,411.0599976,8.71654892,411.0599976,11.73536301,411.0599976,14.34674454,411.0599976,14.25357819,411.0599976,11.74069977,411.0599976,8.597061157,411.0599976,4.650192261,411.0599976,0.125125885,411.0599976,-6.047672272,411.0599976,-11.86946297,411.0599976,-17.58034325,411.0599976,-22.81985664,411.0599976,-27.68126488,
411.9599915,1.709518433,411.9599915,6.942565918,411.9599915,8.568092346,411.9599915,12.17152786,411.9599915,15.03565598,411.9599915,15.49728394,411.9599915,13.70969391,411.9599915,10.40002441,411.9599915,6.156280518,411.9599915,0.9012069702,411.9599915,-4.677253723,411.9599915,-10.65351868,411.9599915,-16.42370605,411.9599915,-22.50111008,411.9599915,-26.70302391,
413.0299988,2.526546478,413.0299988,6.569160461,413.0299988,9.61416626,413.0299988,13.81695175,413.0299988,15.40663147,413.0299988,15.52880478,413.0299988,15.88328552,413.0299988,12.82593918,413.0299988,8.866760254,413.0299988,2.672874451,413.0299988,-2.874889374,413.0299988,-8.784107208,413.0299988,-15.76074219,413.0299988,-21.63051224,413.0299988,-26.23585701,
413.9299927,1.94008255,413.9299927,7.28093338,413.9299927,11.58034515,413.9299927,13.43155289,413.9299927,15.50634766,413.9299927,15.56653595,413.9299927,16.72127151,413.9299927,15.04133606,413.9299927,11.14774704,413.9299927,4.875953674,413.9299927,-0.5171012878,413.9299927,-8.399581909,413.9299927,-14.69254875,413.9299927,-20.12131882,413.9299927,-25.25081635,
415,2.378276825,415,6.669136047,415,10.95113754,415,15.60904694,415,16.95391083,415,19.45750809,415,17.87500381,415,17.11076355,415,12.34671783,415,5.861148834,415,0.8298339844,415,-6.57790947,415,-13.5324173,415,-19.46334076,415,-24.89372253,
416.0599976,2.288166046,416.0599976,8.082008362,416.0599976,12.73836517,416.0599976,16.39221573,416.0599976,17.33858109,416.0599976,20.31522369,416.0599976,19.2364502,416.0599976,15.99175644,416.0599976,14.61923218,416.0599976,8.554035187,416.0599976,2.750247955,416.0599976,-4.665657043,416.0599976,-11.81338882,416.0599976,-17.98527908,416.0599976,-23.8725605,
416.9599915,1.771381378,416.9599915,8.292613983,416.9599915,13.23582077,416.9599915,17.53711319,416.9599915,19.51594543,416.9599915,20.9411087,416.9599915,20.88055038,416.9599915,17.75902557,416.9599915,16.06442642,416.9599915,9.193595886,416.9599915,4.172092438,416.9599915,-3.627140045,416.9599915,-10.20677757,416.9599915,-17.39131737,416.9599915,-22.51037025,
418.0299988,3.408435822,418.0299988,8.780426025,418.0299988,14.62149811,418.0299988,19.92038727,418.0299988,21.12725067,418.0299988,23.19235992,418.0299988,22.52876282,418.0299988,19.61436462,418.0299988,17.77590942,418.0299988,11.79609299,418.0299988,5.80695343,418.0299988,-1.76392746,418.0299988,-9.264909744,418.0299988,-16.46222496,418.0299988,-21.60036087,
