CdS sonochem 180min em420,,CdS sonochem 180min ex360,,CdS sonochem 180min em440,,CdS sonochem 180min ex365,,CdS sonochem 180min ex370,,CdS sonochem 180min em512,,CdS sonochem 180min ex400,,CdS sonochem 180min em515,,CdS sonochem 180min em435,,CdS sonochem 180min ex295,,CdS sonochem 180min em400,,CdS sonochem 180min ex340,,CdS sonochem 180min em425,,CdS sonochem 180min ex385,,CdS sonochem 180min ex365,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
240,-0.07992339134,370,0.2399501801,240,-0.8209404945,374.9200134,0.4245684147,380,-0.3135547638,240,-0.6598119736,410,-0.5851688385,240,-0.6276035309,240,0.117739439,305,-0.01244606823,240,0.152828455,350,-0.5094710588,240,-0.6857993603,394.9200134,-0.4125723839,374.9200134,-0.1819741726,
240.9299927,0.4269795418,371.0700073,0.410646677,240.9299927,0.2695670128,375.8399963,0.455026865,381.0700073,0.08362770081,240.9299927,-0.4867663383,411.0599976,0.1463890076,240.9299927,-0.5605106354,240.9299927,-0.09379196167,305.9299927,-0.05301845074,240.9299927,-0.3207774162,351.0700073,-0.2495261431,240.9299927,-0.7224795818,395.8399963,0.7461099625,375.8399963,0.347673893,
242.0299988,-0.5622122288,372,0.9310286045,242.0299988,-0.04658913612,376.9200134,0.8295810223,382,0.4923629761,242.0299988,-0.8361144066,411.9599915,1.041353226,242.0299988,-1.2374506,242.0299988,0.2130556107,307.0299988,-0.03904626146,242.0299988,0.04848885536,352,0.03563499451,242.0299988,-0.5530195236,396.9200134,1.76651001,376.9200134,0.6343212128,
242.9600067,-0.09881854057,373.0700073,1.015537024,242.9600067,-0.02895140648,377.8399963,1.453231096,383.0700073,0.9781146049,242.9600067,-0.7870287895,413.0299988,1.882916451,242.9600067,-1.108315468,242.9600067,-0.2719092369,307.9599915,0.0003151446581,242.9600067,-0.1432635784,353.0700073,0.2969477177,242.9600067,-0.1766335964,397.8399963,1.856035233,377.8399963,0.928252697,
244.0599976,0.1266419888,374,1.721669436,244.0599976,-0.2738752365,378.9200134,1.8576653,384,1.707104206,244.0599976,-0.5568056107,413.9299927,2.485868454,244.0599976,-1.144507885,244.0599976,-0.3046603203,309.0599976,-0.05184559524,244.0599976,0.06084299088,354,0.3727664948,244.0599976,-0.3509762287,398.9200134,3.275539398,378.9200134,2.080513,
245,-0.03137397766,375.0700073,1.787831068,245,-0.2527787685,379.8399963,2.428765535,385.0700073,2.595159531,245,-0.5483093262,415,2.855813026,245,-1.267052174,245,0.149531126,310,0.01189496368,245,-0.03801774979,355.0700073,0.9567401409,245,-0.6883876324,399.8399963,3.87228775,379.8399963,2.354586124,
245.9299927,-0.2269375324,376,2.361976862,245.9299927,-0.2324082851,380.9200134,2.860614538,386,3.035060883,245.9299927,-1.000762463,416.0599976,4.277819633,245.9299927,-1.34262991,245.9299927,0.1574697495,311.0700073,-0.03978359699,245.9299927,-0.2577208281,356,1.125276566,245.9299927,-0.7916259766,400.9200134,4.935025215,380.9200134,2.615969658,
247.0299988,0.1103100777,377.0700073,3.248629332,247.0299988,-0.2705631256,381.8399963,3.460906267,387.0700073,3.63509798,247.0299988,-1.081620216,416.9599915,5.195658684,247.0299988,-1.347235203,247.0299988,0.2592265606,312,0.002889879048,247.0299988,-0.153503418,357.0700073,1.485010624,247.0299988,-0.5284888744,401.8399963,5.554803848,381.8399963,2.952031136,
247.9600067,0.06663131714,378,3.684385061,247.9600067,-0.1929228306,382.9200134,4.425982475,388,4.555114269,247.9600067,-1.003250599,418.0299988,6.348501205,247.9600067,-1.80126214,247.9600067,0.1964747906,313.0700073,0.1059048176,247.9600067,-0.1528105736,358,1.853537798,247.9600067,-0.4778485298,402.9200134,7.183655739,382.9200134,3.98949194,
