CdS sonochem 60min ex300,,CdS sonochem 60min em400,,CdS sonochem 60min ex330,,CdS sonochem 60min em410,,CdS sonochem 60min ex335,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
310,0.7195854187,240,-0.1366901398,340,1.253448486,240,0.3541259766,344.9200134,0.1821498871,
311.0700073,2.774953842,240.9299927,-0.232421875,341.0700073,2.215801239,240.9299927,-0.9951229095,345.8399963,1.253919601,
312,5.5125103,242.0299988,-1.422840118,342,6.27362442,242.0299988,0.2414684296,346.9200134,5.10455513,
313.0700073,6.839977264,242.9600067,-0.6072254181,343.0700073,8.276569366,242.9600067,-0.0946559906,347.8399963,7.669242859,
314,8.164686203,244.0599976,-0.9352016449,344,11.32967758,244.0599976,0.3348922729,348.9200134,10.89562988,
315.0700073,10.31327057,245,-1.250831604,345.0700073,14.78429794,245,-1.00031662,349.8399963,12.84892654,
316,12.35257339,245.9299927,-0.3269252777,346,17.74000168,245.9299927,-0.2261867523,350.9200134,16.57436752,
317.0700073,12.60277557,247.0299988,-0.5780963898,347.0700073,20.9723587,247.0299988,-0.07950592041,351.8399963,19.23694992,
318,15.7220459,247.9600067,0.04277420044,348,24.8021965,247.9600067,0.196269989,352.9200134,22.09201431,
319.0700073,17.8897438,249.0599976,-1.005317688,349.0700073,28.40911865,249.0599976,-0.01461219788,353.8399963,27.44417953,
320,21.55717087,250,0.1839313507,350,29.28597641,250,0.9522590637,354.9200134,30.13978577,
320.9299927,24.12870789,250.9299927,0.9879150391,351.0700073,34.78772736,250.9299927,0.5162506104,355.8399963,33.81504822,
322.0299988,29.58433533,252.0299988,1.015907288,352,37.61417389,252.0299988,1.398033142,356.9200134,38.75362015,
322.9599915,36.37208176,252.9600067,2.26010704,353.0700073,42.33908081,252.9600067,1.702600479,357.8399963,41.68066788,
324.0599976,41.44789505,254.0599976,2.776168823,354,45.02083588,254.0599976,2.133781433,358.9200134,45.2878685,
325,48.01691818,255,2.728139877,355.0700073,50.217453,255,3.522457123,359.8399963,52.27970505,
325.9299927,54.11044693,255.9299927,3.742815018,356,52.69417572,255.9299927,2.847064972,360.9200134,55.27917099,
327.0299988,63.10608292,257.0299988,3.276891708,357.0700073,57.07633972,257.0299988,3.402679443,361.8399963,60.61987686,
327.9599915,69.23316956,257.9599915,3.654966354,358,61.25463867,257.9599915,3.215396881,362.9200134,64.67225647,
329.0599976,75.29109192,259.0599976,4.210889816,359.0700073,68.54058075,259.0599976,3.486427307,363.8399963,70.9763031,
330,79.25776672,260,4.483062744,360,71.91046906,260,3.637140274,364.9200134,77.64527893,
331.0700073,82.9624176,260.9299927,3.939411163,361.0700073,78.26455688,260.9299927,3.677497864,365.8399963,82.55479431,
332,86.43992615,262.0299988,3.790187836,362,82.84383392,262.0299988,3.544582367,366.9200134,88.06837463,
333.0700073,89.98046875,262.9599915,4.355844498,363.0700073,93.84261322,262.9599915,3.757154465,367.8399963,93.64535522,
334,92.84571838,264.0599976,4.340883255,364,96.15383911,264.0599976,3.665287018,368.9200134,104.3837128,
335.0700073,95.21784973,265,4.494827271,365.0700073,104.186615,265,3.894794464,369.8399963,107.1776276,
336,96.72279358,265.9299927,4.305500031,366,105.6508942,265.9299927,4.115285873,370.9200134,110.8406677,
337.0700073,99.37556458,267.0299988,4.632331848,367.0700073,115.2045898,267.0299988,3.383533478,371.8399963,117.0527039,
338,104.6057129,267.9599915,4.262649536,368,115.7560272,267.9599915,3.991043091,372.9200134,123.2618408,
339.0700073,107.5063782,269.0599976,3.478971481,369.0700073,123.686142,269.0599976,2.078947067,373.8399963,129.2629852,
340,108.0338593,270,3.306949615,370,123.6738586,270,1.721918106,374.9200134,132.6917419,
341.0700073,113.4332123,271.0700073,1.487438202,371.0700073,133.6724701,271.0700073,0.411447525,375.8399963,138.3296661,
342,115.0267487,272,1.09544754,372,135.4324646,272,-0.5751037598,376.9200134,140.276413,
343.0700073,119.7762604,273.0700073,1.592777252,373.0700073,137.6468964,273.0700073,-0.9330215454,377.8399963,148.3521423,
344,123.204361,274,-0.5797767639,374,140.7387543,274,-1.435876846,378.9200134,148.7985077,
345.0700073,126.2945862,275.0700073,-1.328289032,375.0700073,146.7331085,275.0700073,-2.571784973,379.8399963,155.6073303,
346,127.6132507,276,-1.51395607,376,150.9391785,276,-3.415016174,380.9200134,161.7993927,
347.0700073,130.3306122,277.0700073,-1.573991776,377.0700073,156.6531677,277.0700073,-3.613866806,381.8399963,163.7045135,
348,135.828186,278,-0.5205173492,378,158.2848816,278,-2.339740753,382.9200134,172.4462585,
349.0700073,135.5672455,279.0700073,3.619405746,379.0700073,163.1460724,279.0700073,2.210149765,383.8399963,174.5263062,
350,136.6474457,280,9.136985779,380,167.4503326,280,7.158992767,384.9200134,179.6991272,
351.0700073,140.3196259,280.9299927,14.84897232,381.0700073,173.1682587,280.9299927,13.72930908,385.8399963,183.8499298,
352,138.7023163,282.0299988,25.13212204,382,175.9289703,282.0299988,22.57909393,386.9200134,188.7001495,
353.0700073,140.1047211,282.9599915,33.70313644,383.0700073,182.2505035,282.9599915,31.87772369,387.8399963,192.3830261,
354,144.6726532,284.0599976,44.83943939,384,187.1630402,284.0599976,42.14228058,388.9200134,197.6069641,
355.0700073,145.0319824,285,55.74914551,385.0700073,189.3939819,285,52.59802246,389.8399963,198.3930054,
356,143.8753967,285.9299927,61.73679352,386,196.1632385,285.9299927,60.60051727,390.9200134,202.7844391,
357.0700073,146.701355,287.0299988,72.86136627,387.0700073,191.1844788,287.0299988,68.89084625,391.8399963,206.0901031,
358,146.4220276,287.9599915,78.17893219,388,198.7752686,287.9599915,75.57772827,392.9200134,208.4451752,
359.0700073,148.2387238,289.0599976,86.25688171,389.0700073,197.5161896,289.0599976,83.43637848,393.8399963,209.8842773,
360,148.3347778,290,91.84844971,390,205.4081421,290,90.3651886,394.9200134,214.9564362,
361.0700073,150.9159698,290.9299927,96.99337006,391.0700073,207.9461517,290.9299927,96.35204315,395.8399963,213.4400787,
362,150.1364288,292.0299988,103.4107285,392,203.9136353,292.0299988,101.0831833,396.9200134,216.4103699,
363.0700073,150.1724396,292.9599915,109.3543396,393.0700073,206.5894623,292.9599915,106.1921616,397.8399963,221.1381683,
364,151.5855255,294.0599976,117.1203613,394,213.7274933,294.0599976,113.7236786,398.9200134,220.4917145,
365.0700073,149.8974762,295,120.9484558,395.0700073,213.1662445,295,119.1748047,399.8399963,222.9570007,
366,153.4149628,295.9299927,127.9771729,396,216.9100189,295.9299927,124.0474548,400.9200134,223.8016815,
367.0700073,152.2652893,297.0299988,132.2984924,397.0700073,215.9691315,297.0299988,128.7286224,401.8399963,225.9945526,
368,154.2157135,297.9599915,138.5623322,398,217.3844147,297.9599915,130.8023987,402.9200134,229.218277,
369.0700073,153.3049011,299.0599976,140.7231903,399.0700073,217.3815155,299.0599976,136.2600555,403.8399963,229.7266083,
370,153.2459259,300,143.4044952,400,215.9608002,300,141.3203888,404.9200134,231.2906952,
371.0700073,151.7315369,301.0700073,148.3378906,401.0700073,218.7881012,301.0700073,143.45224,405.8399963,232.2636566,
372,152.9392853,302,149.2760162,402,219.5120544,302,146.5578461,406.9200134,231.1906281,
373.0700073,152.5134888,303.0700073,154.9803314,403.0700073,218.9854736,303.0700073,151.6831512,407.8399963,227.0795746,
374,153.0267944,304,158.0486145,404,220.8817902,304,153.7622223,408.9200134,231.2924652,
375.0700073,149.4210052,305.0700073,161.6984253,405.0700073,220.8474884,305.0700073,157.9743652,409.8399963,233.6908112,
376,152.9641113,306,166.0194855,406,218.3880463,306,159.2538452,410.8999939,233.1803741,
377.0700073,153.0937653,307.0700073,168.4445343,407.0700073,222.4929657,307.0700073,165.4480438,411.9599915,233.3957672,
378,149.209137,308,173.9369354,408,221.2599792,308,169.3497772,412.8699951,230.8134308,
379.0700073,153.15625,309.0700073,177.8837585,409.0700073,220.3168945,309.0700073,172.2080383,413.9299927,229.8497772,
380,150.1610107,310,183.7382507,410,219.8751831,310,176.9488525,414.8399963,233.0451202,
381.0700073,152.6373901,311.0700073,185.3496552,411.0599976,223.274826,311.0700073,179.116745,415.8999939,233.6657257,
382,151.1518707,312,185.9993134,411.9599915,216.6301422,312,181.2855225,416.9599915,231.0883636,
