CdS sonochem 90min ex335,,CdS sonochem 90min em410,,CdS sonochem 90min ex300,,CdS sonochem 90min em350,,CdS sonochem 90min ex295,,CdS sonochem 90min ex295 slow,,CdS sonochem 90min ex335 slow,,CdS sonochem 90min em410 slow,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
344.9200134,0.3911724091,240,-0.8993091583,310,0.05017662048,240,-0.01745796204,305,-0.9729232788,305,-0.1050872803,344.9200134,-0.6075286865,240,0.04733085632,
345.8399963,0.3097324371,240.9299927,0.2114067078,311.0700073,3.235143661,240.9299927,0.1877670288,305.9299927,1.629005432,305.9299927,2.294837952,345.8399963,0.510717392,240.9299927,-0.63240242,
346.9200134,3.403877258,242.0299988,-0.5469017029,312,5.369674683,242.0299988,-0.5761814117,307.0299988,4.305059433,307.0299988,4.876079559,346.9200134,2.518075943,242.0299988,0.1013336182,
347.8399963,5.119947433,242.9600067,0.2045726776,313.0700073,8.150192261,242.9600067,-0.3102226257,307.9599915,6.351581573,307.9599915,6.947477341,347.8399963,3.87743187,242.9600067,-0.1874656677,
348.9200134,7.262960434,244.0599976,0.089012146,314,10.49185181,244.0599976,-0.1952400208,309.0599976,9.086845398,309.0599976,9.546272278,348.9200134,6.508289337,244.0599976,-0.5950546265,
349.8399963,9.254442215,245,0.7192211151,315.0700073,11.75998306,245,-0.3561553955,310,10.50788879,310,11.85833931,349.8399963,7.941436768,245,-0.03820228577,
350.9200134,9.558122635,245.9299927,0.547706604,316,14.0247879,245.9299927,-0.2378940582,311.0700073,14.38476372,311.0700073,14.38400078,350.9200134,9.860961914,245.9299927,0.2108001709,
351.8399963,13.06706429,247.0299988,0.5039253235,317.0700073,16.78983688,247.0299988,0.4916563034,312,16.59501457,312,16.94177818,351.8399963,12.60780334,247.0299988,0.5595703125,
352.9200134,13.85037804,247.9600067,0.7608280182,318,18.11035538,247.9600067,0.403011322,313.0700073,19.93706322,313.0700073,19.56891441,352.9200134,14.62689209,247.9600067,1.000411987,
353.8399963,17.09264183,249.0599976,1.971632004,319.0700073,21.3065834,249.0599976,0.8547105789,314,20.58429909,314,21.67401314,353.8399963,16.80309296,249.0599976,0.5038394928,
354.9200134,20.08962059,250,1.257379532,320,25.18202591,250,1.173487663,315.0700073,24.00245094,315.0700073,24.2851429,354.9200134,18.57450104,250,1.003782272,
355.8399963,21.03728676,250.9299927,1.387676239,320.9299927,28.97608948,250.9299927,1.437983513,316,26.92611504,316,26.9650898,355.8399963,21.11721802,250.9299927,0.9997024536,
356.9200134,24.05355263,252.0299988,1.647233963,322.0299988,34.92562866,252.0299988,1.468644142,317.0700073,30.02612495,317.0700073,29.9130497,356.9200134,23.50175858,252.0299988,1.395397186,
357.8399963,25.44647789,252.9600067,1.88634491,322.9599915,41.37018204,252.9600067,2.9189291,318,33.32546997,318,33.6765213,357.8399963,25.22996521,252.9600067,2.301410675,
358.9200134,26.74430275,254.0599976,3.194417953,324.0599976,49.55028915,254.0599976,3.103786469,319.0700073,36.50164032,319.0700073,37.90533447,358.9200134,28.64407349,254.0599976,2.572463989,
359.8399963,30.78569221,255,2.63397789,325,56.98281479,255,3.621789932,320,42.04325104,320,42.66487885,359.8399963,31.39807892,255,2.793634415,
360.9200134,34.251091,255.9299927,4.302047729,325.9299927,63.97054672,255.9299927,3.43283844,320.9299927,47.78011322,320.9299927,49.49996948,360.9200134,33.68564987,255.9299927,3.215711594,
361.8399963,36.07522583,257.0299988,3.457551956,327.0299988,73.24458313,257.0299988,5.036664009,322.0299988,57.47715759,322.0299988,58.13157654,361.8399963,36.94397736,257.0299988,3.530363083,
362.9200134,40.22006226,257.9599915,3.78975296,327.9599915,77.97518921,257.9599915,5.199557304,322.9599915,64.68505859,322.9599915,65.72576141,362.9200134,39.41610336,257.9599915,3.388219833,
363.8399963,45.02919769,259.0599976,4.357336044,329.0599976,87.41423035,259.0599976,4.952557564,324.0599976,74.11489105,324.0599976,74.56443787,363.8399963,43.57274628,259.0599976,3.87150383,
364.9200134,45.21066284,260,3.600233078,330,93.35148621,260,5.480084419,325,80.96602631,325,81.74149323,364.9200134,46.65440369,260,3.618238449,
365.8399963,50.43605804,260.9299927,4.522830963,331.0700073,95.7290802,260.9299927,5.661391258,325.9299927,88.0660553,325.9299927,88.66576385,365.8399963,49.5750885,260.9299927,3.60436058,
366.9200134,54.53303528,262.0299988,3.631164551,332,98.76855469,262.0299988,5.896042824,327.0299988,96.29169464,327.0299988,97.38492584,366.9200134,54.12168884,262.0299988,3.450250626,
367.8399963,56.7932663,262.9599915,4.597545624,333.0700073,103.3790283,262.9599915,5.990456581,327.9599915,101.7979279,327.9599915,102.5726242,367.8399963,58.19143677,262.9599915,3.743730545,
368.9200134,62.20715332,264.0599976,4.724866867,334,103.5251312,264.0599976,6.595618248,329.0599976,105.9297791,329.0599976,108.5132751,368.9200134,62.71123505,264.0599976,3.664728165,
369.8399963,67.5643158,265,5.242427826,335.0700073,106.1511383,265,6.785908699,330,109.8429718,330,111.3984985,369.8399963,67.62434387,265,4.006940842,
370.9200134,71.07987213,265.9299927,4.846803665,336,106.4747925,265.9299927,6.703921318,331.0700073,116.9388733,331.0700073,115.7471008,370.9200134,72.25336456,265.9299927,3.769985199,
371.8399963,74.17197418,267.0299988,5.048206329,337.0700073,109.7470093,267.0299988,7.594601631,332,118.1644592,332,118.8096466,371.8399963,74.97187042,267.0299988,3.834844589,
372.9200134,77.27767944,267.9599915,4.32302475,338,109.2454224,267.9599915,6.693778038,333.0700073,121.6530914,333.0700073,122.8311157,372.9200134,78.54047394,267.9599915,3.09866333,
373.8399963,79.40713501,269.0599976,2.925243378,339.0700073,112.6013184,269.0599976,6.918765068,334,123.6776123,334,124.5956421,373.8399963,79.78813171,269.0599976,2.74605751,
