CdSe 180sec ex295,,CdSe 180sec ex340,,CdSe 180sec ex455,,CdSe 180sec em530,,CdSe 180sec ex420,,CdSe 180sec ex330,,CdSe 180sec em420,,CdSe 180sec ex355,,CdSe 180sec em455,,CdSe 180sec ex390,,CdSe 180sec em460,,CdSe 180sec ex400,,CdSe 180sec em530,,CdSe 180sec em530,,CdSe 180sec ex420,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
305,-0.106920734,350,0.1726712137,465,0.01074433327,290,0.03486353159,430,0.07180911303,340,0,240,0.2086735666,364.9200134,0.08828106523,240,-0.08194690943,400,0.022369802,240,-0.06191378832,410,0.01354125142,290,0.2190314233,270,-0.06210511923,430,0.02300727367,
305.9299927,-0.1095191836,351.0700073,0.07715557516,466.0599976,0.0588966608,290.9299927,0.138192296,431.0599976,0.1058598161,341.0700073,0.07376625389,240.9299927,0.1827749908,365.8399963,0.07125493884,240.9299927,-0.0573875308,401.0700073,0.09427177906,240.9299927,0.164355576,411.0599976,0.07514604926,290.9299927,0.119199127,271.0700073,0.03860223293,431.0599976,0.07232892513,
307.0299988,-0.06637380272,352,-0.05423481762,466.9599915,0.003641247749,292.0299988,0.05591386557,431.9599915,0.1152769923,342,0.05082850531,242.0299988,0.1605840921,366.9200134,0.01789848506,242.0299988,-0.2494243979,402,-0.107046552,242.0299988,0.1000598073,411.9599915,0.02570691705,292.0299988,0.2582171857,272,-0.01830470562,431.9599915,-0.006387293339,
307.9599915,-0.1191770136,353.0700073,0.05693890154,468.0299988,0.1081893444,292.9599915,0.097633183,433.0299988,0.07860314846,343.0700073,0.1556016654,242.9600067,0.3715198934,367.8399963,0.1418435127,242.9600067,-0.2580943108,403.0700073,0.0243370831,242.9600067,0.05238008499,413.0299988,0.02059236169,292.9599915,0.1563335955,273.0700073,-0.09029895067,433.0299988,0.03854501247,
309.0599976,0.0007400028408,354,0.1748141497,468.9299927,0.1801390648,294.0599976,0.08735239506,433.9299927,0.1796236634,344,0.1483239532,244.0599976,0.02715271711,368.9200134,0.1360165626,244.0599976,-0.2134940028,404,0.09065669775,244.0599976,-0.08662033081,413.9299927,0.09836965799,294.0599976,0.1698565781,274,-0.150649488,433.9299927,0.1952198148,
310,-0.03985704482,355.0700073,0.07817010581,470,0.1307014227,295,0.1840589046,435,0.2421411276,345.0700073,-0.1744504869,245,0.1799028814,369.8399963,0.1232133359,245,-0.375564009,405.0700073,0.1444836259,245,0.1622691154,415,0.1250585616,295,0.414896518,275.0700073,-0.2538353801,435,0.200383842,
311.0700073,-0.01277658902,356,0.1321643442,471.0599976,0.2619217634,295.9299927,0.3803110719,436.0599976,0.3581139445,346,0.0764253363,245.9299927,0.2647263408,370.9200134,0.2504797578,245.9299927,-0.2207913399,406,0.08798271418,245.9299927,0.04542893171,416.0599976,0.4145421684,295.9299927,0.4177283943,276,-0.2592733502,436.0599976,0.2593678236,
312,-0.0120827388,357.0700073,0.001541942358,471.9599915,0.220589757,297.0299988,0.5164567828,436.9599915,0.4079577327,347.0700073,0.2026291192,247.0299988,0.2937078774,371.8399963,0.07010360062,247.0299988,-0.3404021561,407.0700073,0.1190136075,247.0299988,-0.008016943932,416.9599915,0.3121842444,297.0299988,0.3894236982,277.0700073,-0.3365858793,436.9599915,0.3177244067,
313.0700073,-0.06768584251,358,0.1383780688,473.0299988,0.3576980829,297.9599915,0.4084163904,438.0299988,0.3840556741,348,0.1784303188,247.9600067,0.2432871759,372.9200134,0.1786042452,247.9600067,-0.2932114005,408,0.3228200674,247.9600067,0.15200454,418.0299988,0.3569305241,297.9599915,0.5250914097,278,-0.2891815901,438.0299988,0.3627346158,
