CdS 120sec ex325,,CdS 120sec em390,,CdS 120sec ex310,,CdS 120sec em380,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
334.9200134,1.282871246,240,1.031078339,320,-0.3196840286,240,0.2487983704,
335.8399963,2.466859818,240.9299927,2.722438812,320.9299927,0.5365943909,240.9299927,0.589838028,
336.9200134,5.343009949,242.0299988,3.465465546,322.0299988,1.35086441,242.0299988,2.65162468,
337.8399963,9.107940674,242.9600067,4.950052261,322.9599915,2.973754883,242.9600067,3.557495117,
338.9200134,13.34246445,244.0599976,8.235992432,324.0599976,4.522382736,244.0599976,6.704780579,
339.8399963,15.82019806,245,12.07050705,325,5.856262207,245,9.593008041,
340.9200134,20.34104538,245.9299927,14.91914368,325.9299927,7.181592941,245.9299927,12.10272408,
341.8399963,24.14513779,247.0299988,18.29558945,327.0299988,9.685735703,247.0299988,15.49803925,
342.9200134,28.43637085,247.9600067,19.12849426,327.9599915,10.23396683,247.9600067,16.62298965,
343.8399963,32.44514084,249.0599976,21.42525482,329.0599976,11.66778946,249.0599976,19.49115372,
344.9200134,35.91023254,250,23.53718567,330,13.58174515,250,21.12207413,
345.8399963,41.10612488,250.9299927,26.85239792,331.0700073,16.62818718,250.9299927,23.79270554,
346.9200134,43.03130722,252.0299988,30.6636467,332,18.26632118,252.0299988,26.1681366,
347.8399963,45.82014084,252.9600067,33.86940765,333.0700073,22.47160339,252.9600067,30.64877701,
348.9200134,50.72064209,254.0599976,34.56823349,334,25.18045425,254.0599976,32.19551086,
349.8399963,52.43782806,255,38.07945251,335.0700073,30.1890564,255,36.23485184,
350.9200134,57.46959686,255.9299927,39.14278412,336,35.56924438,255.9299927,36.10297012,
351.8399963,60.86403656,257.0299988,42.25854111,337.0700073,40.29036713,257.0299988,40.95220947,
352.9200134,65.81259918,257.9599915,45.26293182,338,44.16847229,257.9599915,40.99504852,
353.8399963,70.75644684,259.0599976,44.45283508,339.0700073,52.94052124,259.0599976,42.44372559,
354.9200134,74.98819733,260,44.47645569,340,57.36955261,260,41.77995682,
