CdS 50sec ex310,,CdS 50sec em375,,CdS 50sec em385,,CdS 50sec em380,,CdS 50sec em375,,CdS 50sec ex300,,CdS 60sec ex300,,CdS 60sec em380,,CdS 60sec em390,,CdS 60sec ex325,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
320,-0.5664386749,240,-1.026256561,240,-0.2188529968,240,0.9796686172,240,-0.6370429993,320,-0.8308763504,320,-0.7999567986,240,0.09223937988,240,-0.0554189682,334.9200134,0.2336206436,
320.9299927,-0.3135490417,240.9299927,-0.232878685,240.9299927,0.6521272659,240.9299927,0.6234827042,240.9299927,-0.7787885666,320.9299927,-0.08065223694,320.9299927,-0.3375301361,240.9299927,0.3781194687,240.9299927,0.1400356293,335.8399963,1.584197044,
322.0299988,0.6386651993,242.0299988,1.154191971,242.0299988,1.842889786,242.0299988,2.030345917,242.0299988,1.1501894,322.0299988,1.975419998,322.0299988,-0.05810642242,242.0299988,2.079334259,242.0299988,1.275799751,336.9200134,3.352730751,
322.9599915,2.438957214,242.9600067,1.752594948,242.9600067,3.877729416,242.9600067,3.535307884,242.9600067,2.121458054,322.9599915,3.43475914,322.9599915,1.015014648,242.9600067,1.964903831,242.9600067,2.539886475,337.8399963,5.882293701,
324.0599976,2.999339104,244.0599976,3.878232002,244.0599976,5.953859329,244.0599976,5.557752609,244.0599976,4.273649216,324.0599976,5.662929535,324.0599976,2.118192673,244.0599976,3.200810432,244.0599976,3.57406044,338.9200134,8.638820648,
325,4.214623451,245,6.035984993,245,8.441114426,245,8.070253372,245,6.070637703,325,7.855844498,325,2.597878456,245,3.925130844,245,5.665450096,339.8399963,11.77548599,
325.9299927,4.987298012,245.9299927,8.008013725,245.9299927,10.06329155,245.9299927,9.244354248,245.9299927,8.010575294,325.9299927,9.286882401,325.9299927,3.480179787,245.9299927,5.440612793,245.9299927,6.659090996,340.9200134,14.56911469,
327.0299988,6.334737778,247.0299988,11.09138393,247.0299988,12.56650352,247.0299988,13.03974342,247.0299988,10.61467648,327.0299988,11.81115341,327.0299988,4.340177536,247.0299988,6.475470543,247.0299988,7.880532265,341.8399963,15.53728485,
327.9599915,7.949668884,247.9600067,12.03006649,247.9600067,14.15060806,247.9600067,14.2300148,247.9600067,12.08139133,327.9599915,14.20750427,327.9599915,5.624844551,247.9600067,6.826399803,247.9600067,7.97928524,342.9200134,19.42165184,
329.0599976,8.7114048,249.0599976,11.98459721,249.0599976,17.43157196,249.0599976,16.10083771,249.0599976,13.78132534,329.0599976,15.54019165,329.0599976,6.074589729,249.0599976,6.752264977,249.0599976,8.763464928,343.8399963,22.29293442,
330,10.38405609,250,14.35186672,250,18.86705208,250,18.05037117,250,16.21043777,330,18.04377937,330,7.053829193,250,7.256901741,250,9.234913826,344.9200134,24.22803497,
331.0700073,11.14155197,250.9299927,16.17512512,250.9299927,20.3407917,250.9299927,19.68515968,250.9299927,17.67673492,331.0700073,17.48117256,331.0700073,7.11819458,250.9299927,7.204808235,250.9299927,9.326788902,345.8399963,28.82476044,
332,13.69814491,252.0299988,17.69637299,252.0299988,22.95040894,252.0299988,22.43462753,252.0299988,20.2101326,332,19.26083565,332,8.278040886,252.0299988,7.780907631,252.0299988,10.9295969,346.9200134,31.3354187,
333.0700073,15.74816895,252.9600067,19.95222473,252.9600067,25.06946564,252.9600067,25.20603943,252.9600067,23.31663513,333.0700073,20.39696693,333.0700073,9.439406395,252.9600067,8.52997303,252.9600067,10.67745495,347.8399963,31.50231934,
