CdS 10 s emission nm (uv 278 nm),,
Wavelength (nm),Intensity (a.u.),
285,35.55354691,
285.9299927,10.73104286,
287.0299988,-0.3155460358,
287.9599915,-1.953292847,
289.0599976,-2.392113686,
290,-1.065361023,
291.0700073,0.4349412918,
292,1.244315147,
293.0700073,2.15678215,
294,4.142362595,
295.0700073,5.352378845,
296,6.590835571,
297.0700073,8.141555786,
298,9.667333603,
299.0700073,11.84271431,
300,12.30220985,
300.9299927,14.1086216,
302.0299988,15.51202011,
302.9599915,16.421381,
304.0599976,17.85686493,
305,19.11737442,
305.9299927,19.30971909,
307.0299988,21.00092697,
307.9599915,21.12813187,
309.0599976,20.23294449,
310,20.9713974,
311.0700073,21.09940338,
312,20.89323807,
313.0700073,20.99866104,
314,21.88497162,
315.0700073,21.73516083,
316,21.10276413,
317.0700073,21.12375641,
318,21.38592911,
319.0700073,21.07845688,
320,21.65032959,
320.9299927,22.73090363,
322.0299988,22.24583435,
322.9599915,22.48125839,
324.0599976,23.60479355,
325,22.84312439,
325.9299927,22.04226303,
327.0299988,21.51724243,
327.9599915,23.92275238,
329.0599976,22.9842453,
330,23.20674515,
331.0700073,23.77358246,
332,24.02773285,
333.0700073,24.65585709,
334,24.82429123,
335.0700073,26.47256088,
336,26.35212708,
337.0700073,27.90106964,
338,28.11556625,
339.0700073,30.30175018,
340,32.00014114,
341.0700073,33.09625626,
342,34.78832245,
343.0700073,36.93500519,
344,39.72297668,
345.0700073,41.12001801,
346,43.57058716,
347.0700073,45.78438187,
348,49.27199936,
349.0700073,51.40222931,
350,57.25655365,
351.0700073,60.04657745,
352,63.77292633,
353.0700073,67.22648621,
354,71.08599091,
355.0700073,77.13076019,
356,80.38896179,
357.0700073,87.10123444,
358,89.77084351,
359.0700073,94.1431427,
360,98.13101959,
361.0700073,100.7700348,
362,107.5733871,
363.0700073,112.109787,
364,117.0341568,
365.0700073,122.1457748,
366,125.6112595,
367.0700073,128.3864746,
368,132.1478271,
369.0700073,135.664978,
370,140.7323303,
371.0700073,143.104248,
372,146.9508667,
373.0700073,147.9254456,
374,152.5231323,
375.0700073,154.3183899,
376,156.8196106,
377.0700073,158.6610413,
378,162.1274719,
379.0700073,162.7238464,
380,165.4038696,
381.0700073,164.7739258,
382,167.7906494,
383.0700073,166.7114563,
384,169.8001099,
385.0700073,168.6125488,
386,168.1454163,
387.0700073,169.4528503,
388,167.9020691,
389.0700073,169.0402527,
390,166.8173828,
391.0700073,166.5181885,
392,164.7743225,
393.0700073,163.0740967,
394,164.8693848,
395.0700073,162.2898865,
396,163.2660828,
397.0700073,160.3392029,
398,158.8040161,
399.0700073,158.9935913,
400,157.1302795,
401.0700073,150.2891541,
402,150.3839417,
403.0700073,149.7026978,
404,145.4228821,
405.0700073,143.7750244,
406,142.9590149,
407.0700073,140.0378113,
408,137.8575134,
409.0700073,134.1899719,
410,131.2973328,
411.0599976,128.3248596,
411.9599915,126.1122818,
413.0299988,122.3846054,
413.9299927,120.9472885,
415,118.1118698,
416.0599976,115.5194931,
416.9599915,112.5194321,
418.0299988,110.1839447,
418.9299927,107.6588135,
420,105.0664597,
421.0700073,103.637001,
422,100.9315414,
423.0700073,95.50217438,
424,93.93513489,
425.0700073,89.57341003,
426,86.2305603,
427.0700073,82.52484131,
428,82.66716003,
429.0700073,78.79891968,
430,75.6555481,
431.0599976,73.23674011,
431.9599915,69.90681458,
433.0299988,69.31150818,
433.9299927,66.12864685,
435,62.21020508,
436.0599976,61.17910004,
436.9599915,57.13769531,
438.0299988,56.26216888,
438.9299927,53.71868134,
440,51.95301819,
441.0599976,48.49895096,
441.9599915,48.18034744,
443.0299988,45.90392303,
443.9299927,45.11635971,
445,40.95681763,
446.0599976,41.24340439,
446.9599915,39.27375412,
448.0299988,37.27178955,
448.9299927,35.63855743,
450,33.62939453,
451.0599976,31.74095154,
451.9599915,31.67015839,
453.0299988,29.47494125,
453.9299927,28.70396805,
455,27.12916946,
456.0599976,25.33475494,
456.9599915,25.22775269,
458.0299988,24.53281403,
458.9299927,23.13244247,
460,22.17851257,
461.0599976,20.50538635,
461.9599915,19.85067749,
463.0299988,18.46401215,
463.9299927,17.72351074,
465,16.41900253,
466.0599976,15.58621025,
466.9599915,14.87106895,
468.0299988,13.2539978,
468.9299927,13.37265778,
470,11.88924217,
471.0599976,10.94999313,
471.9599915,9.753120422,
473.0299988,9.584394455,
473.9299927,9.140716553,
475,7.624450684,
476.0599976,6.447652817,
476.9599915,6.602537155,
478.0299988,6.402196884,
478.9299927,5.549352646,
480,5.191846848,
481.0599976,4.212778091,
481.9599915,3.393913269,
483.0299988,3.819522858,
483.9299927,2.878507614,
485,2.5442276,
486.0599976,1.499929428,
486.9599915,1.220918655,
488.0299988,0.5456218719,
488.9299927,0.4865407944,
490,-0.2028636932,
491.0400085,-1.103265762,
491.9400024,-0.7488670349,
492.980011,-1.143828392,
494.019989,-1.122076035,
495.0700073,-2.696313858,
495.9700012,-2.396962166,
497.0100098,-2.464112282,
498.0499878,-2.81065464,
498.9500122,-3.247291565,
500,-4.277303696,
501.0400085,-4.012260437,
501.9400024,-4.151018143,
502.980011,-4.51457119,
504.019989,-4.685515404,
505.0700073,-4.969159126,
505.9700012,-5.644000053,
507.0100098,-5.064142227,
508.0499878,-5.285071373,
508.9500122,-5.651094437,
510,-5.582444191,
511.0599976,-5.951929092,
511.9599915,-5.910065651,
513.0300293,-6.261879921,
513.9299927,-6.758073807,
515,-7.291257858,
516.0599976,-7.056063652,
516.960022,-6.93270731,
518.0300293,-7.526898384,
518.9299927,-7.244246483,
520,-7.536076546,
521.039978,-7.742088795,
521.9400024,-7.823566914,
522.9799805,-8.160419464,
524.0200195,-8.300973892,
525.0700073,-8.244304657,
525.9699707,-9.073829651,
527.0100098,-9.029898643,
528.0499878,-8.797143936,
528.9500122,-9.037101746,
530,-9.101463318,
531.039978,-9.444349289,
531.9400024,-9.257523537,
532.9799805,-9.037757874,
534.0200195,-9.260202408,
535.0700073,-9.719906807,
535.9699707,-9.552631378,
537.0100098,-9.579463959,
538.0499878,-9.381097794,
538.9500122,-9.695451736,
540,-9.746728897,
541.0200195,-9.324497223,
542.0499878,-8.496145248,
542.9400024,-8.22180748,
543.9699707,-4.713514328,
545,0.5425739288,
546.0200195,12.03339577,
547.0499878,29.1853981,
547.9400024,51.40176392,
548.9699707,83.21200562,
550,122.0319138,
551.039978,170.7449951,
551.9400024,223.9228821,
552.9799805,280.9391174,
554.0200195,334.2309875,
555.0700073,359.6885986,
555.9699707,376.7833252,
557.0100098,370.1437378,
558.0499878,339.6539612,
558.9500122,310.8161011,
560,275.7866821,
561.039978,227.1585083,
561.9400024,193.291748,
562.9799805,148.565033,
564.0200195,101.5848007,
565.0700073,58.40653229,
565.9699707,30.54660797,
567.0100098,10.36880302,
568.0499878,0.07776069641,
568.9500122,-3.858595848,
570,-6.671237946,
571.0200195,-7.133107662,
572.0499878,-7.234820366,
572.9400024,-7.592758656,
573.9699707,-7.359141827,
575,-7.379028797,
576.0200195,-7.727575779,
577.0499878,-7.503441334,
577.9400024,-7.270144463,
578.9699707,-6.679987907,
580,-6.940137863,
581.0200195,-6.854033947,
582.0499878,-6.833267212,
582.9400024,-6.303916931,
583.9699707,-6.512130737,
585,-6.564040184,
586.0200195,-5.689053535,
587.0499878,-5.943041801,
587.9400024,-5.666027069,
588.9699707,-5.80741787,
590,-5.128724098,
591.0200195,-5.479694366,
592.0499878,-5.280948639,
592.9400024,-4.884346008,
593.9699707,-4.428798676,
595,-4.155268669,
596.0200195,-4.765922546,
597.0499878,-4.590321541,
597.9400024,-4.411381721,
598.9699707,-3.783644676,
600,-3.852087021,
601.0200195,-3.650912285,
602.0499878,-3.761048317,
602.9400024,-3.025860786,
603.9699707,-3.358494759,
605,-2.790030479,
606.0200195,-2.908190727,
607.0499878,-3.176505089,
607.9400024,-2.943086624,
608.9699707,-3.0792799,
610,-2.845756531,
611.0100098,-3.413334846,
612.0200195,-3.610433578,
613.039978,-3.298512459,
614.0499878,-3.392941475,
615.0700073,-3.64871788,
615.9400024,-3.917805672,
616.9500122,-4.344586372,
617.9699707,-4.370308876,
618.9799805,-4.731593132,
620,-4.586959839,
621.0200195,-4.453992844,
622.0499878,-4.421711922,
622.9400024,-5.176813126,
623.9699707,-4.476242065,
625,-5.144895554,
626.0200195,-4.907299042,
627.0499878,-5.212821007,
627.9400024,-4.845178604,
628.9699707,-5.544944763,
630,-5.459400177,
631.0100098,-5.659398079,
632.0200195,-5.883749008,
633.039978,-6.205653191,
634.0499878,-5.847812653,
635.0700073,-6.322851181,
635.9400024,-6.266646385,
636.9500122,-6.544861794,
637.9699707,-6.549890518,
638.9799805,-6.178262711,
640,-6.652290344,
641.0100098,-6.609802246,
642.0200195,-6.476230621,
643.039978,-6.68379879,
644.0499878,-6.747328281,
645.0700073,-6.950420856,
645.9400024,-6.830352306,
646.9500122,-6.99706316,
647.9699707,-7.228135109,
648.9799805,-6.953481674,
650,-7.421362877,
651,-7.332709789,
652,-7.338777065,
653,-7.426468372,
654,-7.268599987,
655,-7.374597549,
656,-7.43789196,
657,-8.092937469,
658,-7.901531696,
659,-7.668284893,
660,-8.002038002,
661.0100098,-8.198450089,
662.0200195,-7.780230045,
663.039978,-8.085897446,
664.0499878,-8.449583054,
665.0700073,-8.042928696,
665.9400024,-8.235805511,
666.9500122,-8.251272202,
667.9699707,-8.558689117,
668.9799805,-8.488513947,
670,-8.007080078,
671,-8.354106903,
672,-8.502660751,
673,-8.173634529,
674,-8.462507248,
675,-8.473731995,
676,-8.310455322,
677,-8.444125175,
678,-8.371786118,
679,-8.137588501,
680,-8.615312576,
681,-8.524553299,
682,-8.305545807,
683,-7.9049263,
684,-8.758733749,
685,-8.049987793,
686,-8.15887928,
687,-8.077415466,
688,-8.043321609,
689,-8.051927567,
690,-8.190662384,
691,-7.973279476,
692,-8.213960648,
693,-7.888019085,
694,-7.977255344,
695,-8.146924019,
696,-7.710453987,
697,-7.351709843,
698,-8.028673172,
699,-7.684691429,
700,-7.843847275,
701,-7.314337254,
702,-7.13723278,
703,-7.469027042,
704,-7.16432333,
705,-7.324755669,
706,-7.252070427,
707,-6.668179512,
708,-6.795097828,
709,-7.120096207,
710,-6.800281525,
710.9799805,-6.447999001,
711.9699707,-6.808620453,
712.9500122,-6.782394409,
713.9400024,-6.231093407,
715.0700073,-6.765426636,
716.0499878,-6.41867733,
717.039978,-6.34280014,
718.0200195,-6.382092476,
719.0100098,-6.034208298,
720,-6.146879196,
720.9799805,-6.475769997,
