CdS 10 s emmision (uv 278 nm)-Em.,,
Wavelength (nm),Intensity (a.u.),
290.9200134,-1.547014236,
291.8399963,-0.7115755081,
292.9200134,0.1556091309,
293.8399963,1.34173584,
294.9200134,3.055000305,
295.8399963,4.633890152,
296.9200134,5.736091614,
297.8399963,6.570323944,
298.9200134,8.204380035,
299.8399963,8.818653107,
300.9299927,9.763082504,
301.8699951,11.94485474,
302.9599915,12.91923714,
303.8999939,13.69112015,
304.8399963,15.66609001,
305.9299927,17.04019547,
306.8699951,18.24476624,
307.9599915,19.81211472,
308.8999939,19.44875717,
309.8399963,19.17097092,
310.9200134,19.74687576,
311.8399963,18.68603897,
312.9200134,19.94656754,
313.8399963,20.34823608,
314.9200134,19.54534912,
315.8399963,19.12469482,
316.9200134,20.77045822,
317.8399963,20.54330444,
318.9200134,21.36581421,
319.8399963,20.53570557,
320.9299927,21.69027328,
321.8699951,21.64663315,
322.9599915,22.11940765,
323.8999939,22.9030304,
324.8399963,23.39038467,
325.9299927,23.00784302,
326.8699951,23.55852509,
327.9599915,23.77714157,
328.8999939,25.09566498,
329.8399963,24.59247208,
330.9200134,26.23433304,
331.8399963,26.24956131,
332.9200134,26.64693069,
333.8399963,27.68923569,
334.9200134,28.07409286,
335.8399963,29.60285568,
336.9200134,31.11242294,
337.8399963,31.49038696,
338.9200134,34.34112167,
339.8399963,35.61157227,
340.9200134,37.4604187,
341.8399963,39.59128571,
342.9200134,42.86527252,
343.8399963,44.45380402,
344.9200134,47.88780212,
345.8399963,50.39923859,
346.9200134,54.63304138,
347.8399963,56.12969208,
348.9200134,62.24181366,
349.8399963,65.94864655,
350.9200134,69.33035278,
351.8399963,74.21828461,
352.9200134,78.97650909,
353.8399963,84.08790588,
354.9200134,90.26010895,
355.8399963,94.55216217,
356.9200134,102.4090118,
357.8399963,107.5949326,
358.9200134,111.3744125,
359.8399963,113.5847549,
360.9200134,121.9336929,
361.8399963,126.3046341,
362.9200134,132.6436768,
363.8399963,136.5190125,
364.9200134,143.2437439,
365.8399963,145.5609131,
366.9200134,154.7440491,
367.8399963,153.8234253,
368.9200134,163.2137756,
369.8399963,164.6722412,
370.9200134,170.3321228,
371.8399963,174.3898621,
372.9200134,177.2681274,
373.8399963,181.8290405,
374.9200134,184.1729736,
375.8399963,186.9173584,
376.9200134,189.7442627,
377.8399963,192.6915283,
378.9200134,193.3535156,
379.8399963,197.5915527,
380.9200134,197.7711792,
381.8399963,197.8460388,
382.9200134,198.5970459,
383.8399963,200.0816345,
384.9200134,200.2765503,
385.8399963,200.0060425,
386.9200134,203.4500122,
387.8399963,200.9450989,
388.9200134,199.2397461,
389.8399963,200.6453247,
390.9200134,196.5400696,
391.8399963,196.8639221,
392.9200134,198.0893555,
393.8399963,193.5031128,
394.9200134,194.8341064,
395.8399963,191.9100342,
396.9200134,190.4011841,
397.8399963,189.1513977,
398.9200134,184.7459106,
399.8399963,183.1990967,
400.9200134,180.4608459,
401.8399963,182.3560486,
402.9200134,176.2454529,
403.8399963,175.540802,
404.9200134,171.7849731,
405.8399963,171.4446716,
406.9200134,163.641449,
407.8399963,161.3076782,
408.9200134,159.2064209,
409.8399963,158.0151978,
410.8999939,154.763092,
411.9599915,148.7990723,
412.8699951,146.4233398,
