CdS 5 s emission at 380 nm (uv 274 nm),,
Wavelength (nm),Intensity (a.u.),
200,148.3240356,
200.9299927,140.4573059,
202.0299988,150.8420105,
202.9600067,151.7996521,
204.0599976,144.2538147,
205,147.5481262,
205.9299927,132.9410095,
207.0299988,136.8626709,
207.9600067,139.0367432,
209.0599976,126.0204239,
210,120.0391159,
210.9299927,127.110405,
212.0299988,119.7499924,
212.9600067,111.1148987,
214.0599976,106.6184082,
215,112.575943,
215.9299927,110.1701889,
217.0299988,104.0340195,
217.9600067,91.97820282,
219.0599976,85.52531433,
220,80.01142883,
220.9299927,74.69715118,
222.0299988,62.96761322,
222.9600067,56.81455231,
224.0599976,46.90799713,
225,38.30714417,
225.9299927,31.72830582,
227.0299988,24.95019531,
227.9600067,22.87970734,
229.0599976,20.52334213,
230,21.0819931,
230.9299927,21.74207687,
232.0299988,24.47014236,
232.9600067,29.6116333,
234.0599976,36.77347946,
235,40.61552048,
235.9299927,41.50233078,
237.0299988,49.2215538,
237.9600067,56.18700409,
239.0599976,60.06271362,
240,67.55485535,
240.9299927,68.11083221,
242.0299988,70.75711823,
242.9600067,69.71394348,
244.0599976,71.79167938,
245,75.65222168,
245.9299927,75.41616058,
247.0299988,75.63468933,
247.9600067,73.29695129,
249.0599976,72.84209442,
250,75.34165192,
250.9299927,73.94099426,
252.0299988,77.02146912,
252.9600067,80.28182983,
254.0599976,83.8155365,
255,89.32646942,
255.9299927,96.29570007,
257.0299988,103.2472305,
257.9599915,111.3186722,
259.0599976,117.904747,
260,120.442894,
260.9299927,124.4244461,
262.0299988,127.1452255,
262.9599915,133.7713013,
264.0599976,140.9355164,
265,151.9964905,
265.9299927,163.4052734,
267.0299988,173.1615601,
267.9599915,186.5409241,
269.0599976,199.9855347,
270,212.2723694,
271.0700073,220.4083557,
272,231.1858215,
273.0700073,244.5651245,
274,255.2179565,
275.0700073,270.7368774,
276,284.1819763,
277.0700073,297.8708191,
278,315.4634094,
279.0700073,334.1546631,
280,339.9038391,
280.9299927,360.0123291,
282.0299988,382.0727844,
282.9599915,399.1065369,
284.0599976,420.4043884,
285,430.9243774,
285.9299927,451.1833801,
287.0299988,473.6340332,
287.9599915,488.8627625,
289.0599976,509.6002197,
290,533.8615723,
290.9299927,543.9700317,
292.0299988,575.7192383,
292.9599915,593.5187988,
294.0599976,616.1928101,
295,639.079834,
295.9299927,649.5436401,
297.0299988,673.9464722,
297.9599915,683.2982788,
299.0599976,702.7127075,
300,699.1554565,
301.0700073,710.6334839,
302,721.8058472,
303.0700073,724.6264038,
304,734.1660156,
305.0700073,737.3885498,
306,742.2637329,
307.0700073,758.6608276,
308,756.867981,
309.0700073,765.5291748,
310,769.449707,
311.0700073,761.3583374,
312,751.2626343,
313.0700073,740.5233765,
314,724.8859863,
315.0700073,704.8467407,
316,679.7837524,
317.0700073,663.9606934,
318,641.1616211,
319.0700073,614.6368408,
320,590.8926392,
320.9299927,566.7773438,
322.0299988,548.9909668,
322.9599915,532.7277222,
324.0599976,512.1988525,
325,490.4661255,
325.9299927,471.4666138,
327.0299988,446.0726929,
327.9599915,423.4825745,
329.0599976,383.9209595,
330,350.0514221,
331.0700073,303.4637451,
332,270.605957,
333.0700073,235.0473328,
334,207.3258057,
335.0700073,170.3927612,
336,140.4485474,
337.0700073,113.6097794,
338,96.29718781,
339.0700073,74.29046631,
340,62.65245819,
341.0700073,47.01382065,
342,37.1301918,
343.0700073,28.67193985,
344,24.09907532,
345.0700073,19.14573288,
346,14.53644943,
347.0700073,14.14004326,
348,11.31780624,
349.0700073,9.652141571,
350,7.10518837,
351.0700073,4.668294907,
352,2.341056824,
353.0700073,-0.3729753494,
354,-0.5391893387,
355.0700073,-2.863256454,
356,-3.609283447,
357.0700073,-4.488600731,
358,-5.134550095,
359.0700073,-6.128774643,
360,-6.333726883,
361.0700073,-6.766388893,
362,-7.419512749,
363.0700073,-7.433463097,
364,-7.631933212,
365.0700073,-7.238591671,
366,-6.674658775,
367.0700073,-6.411643028,
368,-6.750500679,
369.0700073,-6.936292171,
370,-10.44940186,
371.0700073,-10.20183372,
372,-10.81366825,
373.0700073,-10.7887392,
374,-11.22073364,
375.0700073,-10.80250645,
376,-11.29220772,
377.0700073,-11.04726791,
378,-11.06014252,
379.0700073,-10.58801842,

