CdS 5 s emission at 547 nm (uv 274 nm),,
Wavelength (nm),Intensity (a.u.),
200,-6.244592667,
200.9299927,-5.856431961,
202.0299988,-8.498437881,
202.9600067,-5.032491684,
204.0599976,-8.081008911,
205,-2.949355125,
205.9299927,-11.28547859,
207.0299988,-9.27539444,
207.9600067,-6.844591141,
209.0599976,-9.342033386,
210,-8.803766251,
210.9299927,-7.812103271,
212.0299988,-9.752408981,
212.9600067,-8.763240814,
214.0599976,-6.778232574,
215,-10.66895676,
215.9299927,-10.89713097,
217.0299988,-9.912096024,
217.9600067,-10.79522419,
219.0599976,-7.919880867,
220,-7.81886816,
220.9299927,-11.35751534,
222.0299988,-10.05820751,
222.9600067,-10.73180962,
224.0599976,-11.14050007,
225,-12.33458042,
225.9299927,-10.91922188,
227.0299988,-12.7413187,
227.9600067,-13.46361256,
229.0599976,-13.55276012,
230,-13.38944435,
230.9299927,-13.55753994,
232.0299988,-13.5502224,
232.9600067,-13.51235199,
234.0599976,-13.3263588,
235,-13.23734283,
235.9299927,-13.57382011,
237.0299988,-13.57495403,
237.9600067,-13.07070065,
239.0599976,-13.21946144,
240,-13.18655109,
240.9299927,-13.07968235,
242.0299988,-13.08263874,
242.9600067,-13.19847107,
244.0599976,-12.86573219,
245,-12.42808628,
245.9299927,-12.3574543,
247.0299988,-12.33437634,
247.9600067,-12.00968456,
249.0599976,-11.44522381,
250,-10.48125458,
250.9299927,-9.923879623,
252.0299988,-8.516244888,
252.9600067,-8.660987854,
254.0599976,-8.003871918,
255,-7.751394749,
255.9299927,-8.156360626,
257.0299988,-9.352484703,
257.9599915,-9.361793518,
259.0599976,-8.57336235,
260,-8.673208237,
260.9299927,-9.132804871,
262.0299988,-9.077748299,
262.9599915,-9.194525719,
264.0599976,-8.948358536,
265,-8.816329956,
265.9299927,-8.693267822,
267.0299988,-8.195291519,
267.9599915,-5.837026596,
269.0599976,7.250396729,
270,26.75033188,
271.0700073,60.28607941,
272,90.68314362,
273.0700073,106.9460754,
274,105.6280365,
275.0700073,86.22846222,
276,59.05828094,
277.0700073,23.45407867,
278,3.954248428,
