CdS 5 s excitation (uv 274 nm),,
Wavelength (nm),Intensity (a.u.),
283.8999939,-4.832230568,
284.8399963,-4.190028191,
285.9299927,-3.043136597,
286.8699951,-1.997760773,
287.8099976,-1.372282982,
288.8999939,-0.03824615479,
289.8399963,0.2932605743,
290.9200134,1.82447052,
291.8399963,3.282793045,
292.9200134,4.675182343,
293.8399963,5.633079529,
294.9200134,8.28042984,
295.8399963,9.599685669,
296.9200134,12.19956779,
297.8399963,12.59097862,
298.9200134,14.15904236,
299.8399963,14.68070793,
300.9299927,15.47029877,
301.8699951,16.95793343,
302.8099976,17.00026131,
303.8999939,17.40567398,
304.8399963,18.06056213,
305.9299927,18.14736176,
306.8699951,19.42050934,
307.8099976,19.02091217,
308.8999939,19.93618393,
309.8399963,20.15769958,
310.9200134,20.28130341,
311.8399963,20.54070282,
312.9200134,20.63420105,
313.8399963,20.50101089,
314.9200134,20.52778625,
315.8399963,19.72265625,
316.9200134,19.89544296,
317.8399963,20.39826965,
318.9200134,19.95048141,
319.8399963,20.57122803,
320.9299927,20.49844742,
321.8699951,19.97408295,
322.8099976,20.60774231,
323.8999939,20.8981781,
324.8399963,19.8865509,
325.9299927,20.52325439,
326.8699951,20.05714035,
327.8099976,20.522789,
328.8999939,20.39111328,
329.8399963,21.2081604,
330.9200134,21.07445908,
331.8399963,22.45080948,
332.9200134,22.50424957,
333.8399963,22.39202499,
334.9200134,24.38667679,
335.8399963,25.50164795,
336.9200134,27.58960342,
337.8399963,28.48058701,
338.9200134,31.13691711,
339.8399963,32.61851883,
340.9200134,35.11700439,
341.8399963,38.67678833,
342.9200134,41.40491104,
343.8399963,44.55947113,
344.9200134,48.5383873,
345.8399963,51.10249329,
346.9200134,56.08427429,
347.8399963,60.50569153,
348.9200134,65.84905243,
349.8399963,69.66951752,
350.9200134,75.16981506,
351.8399963,80.07936859,
352.9200134,88.92048645,
353.8399963,96.15851593,
354.9200134,102.8680115,
355.8399963,108.5683823,
356.9200134,116.0475998,
357.8399963,123.4182358,
358.9200134,131.4857178,
359.8399963,135.9767151,
360.9200134,147.2130432,
361.8399963,152.0501099,
362.9200134,162.9090881,
363.8399963,166.5586548,
364.9200134,170.8310547,
365.8399963,176.9224243,
366.9200134,185.3647766,
367.8399963,190.357666,
368.9200134,196.2403564,
369.8399963,204.4805908,
370.9200134,209.3777466,
371.8399963,214.1947327,
372.9200134,222.9549866,
373.8399963,224.6117249,
374.9200134,228.9518738,
375.8399963,233.3987732,
376.9200134,237.5010071,
377.8399963,241.217865,
378.9200134,243.5579834,
379.8399963,245.8147888,
380.9200134,249.1005554,
381.8399963,247.6291504,
382.9200134,252.9330444,
383.8399963,255.1567993,
384.9200134,255.8295898,
385.8399963,255.8396912,
386.9200134,254.0068665,
387.8399963,257.1286621,
388.9200134,259.118042,
389.8399963,256.2358704,
390.9200134,251.7649841,
391.8399963,252.6853638,
392.9200134,250.0497131,
393.8399963,253.1037292,
394.9200134,250.2137146,
395.8399963,251.5767517,
396.9200134,244.8919373,
397.8399963,245.9042358,
398.9200134,242.7320862,
399.8399963,239.5783997,
400.9200134,237.0718384,
401.8399963,235.0091858,
402.9200134,227.002594,
403.8399963,225.1029968,
404.9200134,223.9184875,
405.8399963,216.9596558,
406.9200134,216.600708,
407.8399963,211.4755249,
408.9200134,207.924469,
409.8399963,206.1014404,
410.8999939,201.4023132,
411.8099976,199.2177734,
412.8699951,193.227417,
413.9299927,187.9456482,
414.8399963,184.657196,
415.8999939,180.8739319,
416.8099976,174.0994263,
417.8699951,174.2652893,
418.9299927,166.5858154,
419.8399963,165.3518677,
420.9200134,159.9711304,
421.8399963,155.6681213,
422.9200134,150.1033936,
423.8399963,147.02948,
424.9200134,140.3580627,
425.8399963,138.2531738,
426.9200134,132.9704285,
427.8399963,129.04245,
428.9200134,124.6267624,
429.8399963,121.2385941,
430.8999939,118.384407,
431.8099976,112.5700226,
432.8699951,107.6804504,
433.9299927,104.9173508,
434.8399963,101.2722855,
435.8999939,97.99940491,
436.8099976,93.54509735,
437.8699951,89.85542297,
438.9299927,84.64818573,
439.8399963,85.25739288,
440.8999939,79.99681091,
441.8099976,78.23704529,
442.8699951,75.57489014,
443.9299927,73.46929932,
444.8399963,72.62788391,
445.8999939,67.58156586,
446.8099976,65.76477814,
447.8699951,63.70954895,
448.9299927,61.55329132,
449.8399963,56.68045044,
450.8999939,54.69493866,
451.8099976,53.0860672,
452.8699951,49.46763611,
453.9299927,48.91584015,
454.8399963,47.2873497,
455.8999939,45.5904541,
456.8099976,44.52868271,
457.8699951,42.79661942,
458.9299927,39.53489685,
459.8399963,38.04193115,
460.8999939,36.39924622,
461.8099976,34.55613708,
462.8699951,32.18392563,
463.9299927,31.46980667,
464.8399963,30.71598816,
465.8999939,28.96497726,
466.8099976,26.81810379,
467.8699951,25.64369965,
468.9299927,24.35868835,
469.8399963,24.02890778,
470.8999939,22.58128357,
471.8099976,21.39825821,
472.8699951,20.31830597,
473.9299927,19.25286865,
474.8399963,18.1628685,
475.8999939,17.06118774,
476.8099976,16.40636635,
477.8699951,15.91556549,
478.9299927,14.13800812,
479.8399963,13.59360504,
480.8999939,12.94991875,
481.8099976,10.7960453,
482.8699951,10.73419189,
483.9299927,9.79042244,
484.8399963,9.363534927,
485.8999939,8.199895859,
486.8099976,6.694511414,
487.8699951,6.606380463,
488.9299927,6.290740967,
489.8399963,5.235712051,
490.8900146,4.445884705,
491.9400024,3.650407791,
492.8299866,3.259346008,
493.8800049,2.627309799,
494.9200134,1.668855667,
495.8200073,1.223889351,
496.8599854,0.461766243,
497.9100037,-0.2863092422,
498.9500122,-0.4340267181,
499.8500061,-0.6383428574,
500.8900146,-1.518845558,
501.9400024,-1.701602936,
502.8299866,-1.972007751,
503.8800049,-2.45823288,
504.9200134,-3.589200974,
505.8200073,-3.31944561,
506.8599854,-3.494833946,
507.9100037,-4.337130547,
508.9500122,-4.624917984,
509.8500061,-5.036494255,
510.8999939,-5.44968605,
511.8099976,-5.50762558,
512.8699951,-5.839190483,
513.9299927,-6.348619461,
514.8400269,-6.294053078,
515.9000244,-6.968745708,
516.960022,-6.811045647,
517.8699951,-7.257705688,
518.9299927,-7.506784439,
519.8400269,-7.433190823,
520.8900146,-8.19402504,
521.9400024,-7.761838913,
522.8300171,-8.129445076,
523.8800049,-8.468722343,
524.9199829,-8.358181953,
525.9699707,-8.744338989,
526.8599854,-8.820286751,
527.9099731,-9.33080864,
528.9500122,-9.519262314,
529.8499756,-9.408634186,
530.8900146,-9.606514931,
531.9400024,-9.559925079,
532.8300171,-9.655774117,
533.8800049,-9.588214874,
534.9199829,-9.627063751,
535.9699707,-9.06362915,
536.8599854,-8.127859116,
537.9099731,-6.196696281,
538.9500122,-2.052412033,
539.8499756,5.223876953,
540.8800049,18.12745667,
541.9099731,32.79106522,
542.9400024,52.14411926,
543.9699707,71.87845612,
544.8499756,87.11506653,
545.8800049,102.2852325,
546.9099731,107.8623276,
547.9400024,104.3452225,
548.9699707,98.34902191,
549.8499756,90.14359283,
550.8900146,79.11253357,
551.9400024,65.95372009,
552.8300171,52.9234314,
553.8800049,36.64673996,
554.9199829,24.47817612,
555.9699707,12.77338982,
556.8599854,4.746572495,
557.9099731,-2.312818527,
558.9500122,-6.343417168,
559.8499756,-8.183120728,
560.8900146,-8.851379395,
561.9400024,-9.007535934,
562.8300171,-8.96514225,
563.8800049,-9.05756855,
564.9199829,-7.999157906,
565.9699707,-8.24886322,
566.8599854,-8.202610016,
567.9099731,-7.691719532,
568.9500122,-7.582963467,
569.8499756,-7.386186123,
570.8800049,-7.267426491,
571.9099731,-7.088394165,
572.9400024,-7.204870701,
573.9699707,-7.172588825,
574.8499756,-7.123428345,
575.8800049,-7.184184074,
576.9099731,-6.875277042,
577.9400024,-6.95712328,
578.9699707,-6.736083508,
579.8499756,-6.797577858,
580.8800049,-6.378142357,
581.9099731,-5.959191322,
582.9400024,-6.238552094,
583.9699707,-5.92894268,
584.8499756,-5.937051773,
585.8800049,-5.790622711,
586.9099731,-5.720945358,
587.9400024,-5.199303627,
588.9699707,-4.396291733,
589.8499756,-4.52502346,
590.8800049,-4.105535507,
591.9099731,-3.702605247,
592.9400024,-3.51583004,
593.9699707,-3.401277542,
594.8499756,-3.156471252,
595.8800049,-3.128851891,
596.9099731,-3.16340065,
597.9400024,-3.173280716,
598.9699707,-3.629405022,
599.8499756,-3.107177734,
600.8800049,-3.49611187,
601.9099731,-3.51474762,
602.9400024,-3.890397072,
603.9699707,-3.914385796,
604.8499756,-3.326640129,
605.8800049,-3.659088135,
606.9099731,-4.037901878,
607.9400024,-4.110395432,
608.9699707,-3.930437088,
609.8499756,-3.735182762,
610.8599854,-3.882358551,
611.8800049,-4.276796341,
612.8900146,-4.131236076,
613.9099731,-4.399421692,
614.9199829,-4.15290451,
615.9400024,-4.640118599,
616.9500122,-4.287600517,
617.9699707,-4.382022858,
618.8400269,-4.674601555,
619.8499756,-4.666901588,
620.8800049,-4.834132195,
621.9099731,-4.86038208,
622.9400024,-4.922074318,
623.9699707,-4.969277382,
624.8499756,-5.333752632,
625.8800049,-5.672286034,
626.9099731,-5.470135689,
627.9400024,-5.663969994,
628.9699707,-5.594161034,
629.8499756,-5.530670166,
630.8599854,-6.180715561,
631.8800049,-5.933973312,
632.8900146,-5.923549652,
633.9099731,-6.486365318,
634.9199829,-6.622296333,
635.9400024,-6.708756924,
636.9500122,-6.565846443,
637.9699707,-6.171924591,
638.8400269,-6.52845192,
639.8499756,-6.728616238,
640.8599854,-6.945355415,
641.8800049,-6.956879139,
642.8900146,-7.261301517,
643.9099731,-7.39379406,
644.9199829,-7.280299187,
645.9400024,-7.311861515,
646.9500122,-7.400510788,
647.9699707,-7.917433262,
648.8400269,-7.346727848,
649.8499756,-7.691996098,
650.8499756,-8.119721413,
651.8499756,-7.728437901,
652.8499756,-7.611808777,
653.8499756,-8.222063065,
654.8499756,-7.774119377,
655.8499756,-8.060316086,
656.8499756,-7.961388588,
657.8499756,-8.11797905,
658.8499756,-8.428833008,
659.8499756,-8.445121765,
660.8599854,-8.164783478,
661.8800049,-8.38292408,
662.8900146,-8.488926888,
663.9099731,-8.536706924,
664.9199829,-8.429483414,
665.9400024,-8.812444687,
666.9500122,-8.551702499,
667.9699707,-8.53705883,
668.8400269,-8.507627487,
669.8499756,-8.486942291,
670.8499756,-8.423007011,
671.8499756,-8.540032387,
672.8499756,-8.552440643,
673.8499756,-8.588921547,
674.8499756,-8.477294922,
675.8499756,-8.788428307,
676.8499756,-8.097822189,
677.8499756,-8.045319557,
678.8499756,-8.235774994,
679.8499756,-8.049172401,
680.8499756,-7.962598801,
681.8499756,-7.731842041,
682.8499756,-7.770369053,
683.8499756,-7.692776203,
684.8499756,-7.491691113,
685.8499756,-7.298471928,
686.8499756,-7.293639183,
687.8499756,-7.291713238,
688.8499756,-7.198113441,
689.8499756,-7.01465416,
690.8499756,-7.218827724,
691.8499756,-6.924991131,
692.8499756,-6.858830929,
693.8499756,-6.530690193,
694.8499756,-6.707203388,
695.8499756,-6.576659203,
696.8499756,-6.776561737,
697.8499756,-6.490283966,
698.8499756,-6.138258934,
699.8499756,-6.25370121,
700.8499756,-5.954321861,
701.8499756,-5.821709633,
702.8499756,-5.389215469,
703.8499756,-5.040699005,
704.8499756,-5.52352047,
705.8499756,-5.331604958,
706.8499756,-4.860127449,
707.8499756,-4.984824181,
708.8499756,-4.651068687,
709.8499756,-4.655121803,
710.8400269,-4.409474373,
711.8300171,-4.362457275,
712.9500122,-4.07772541,
713.9400024,-3.634425163,
714.9199829,-3.442649841,
715.9099731,-3.290546417,
716.9000244,-3.617420197,
717.8800049,-2.774801254,
718.8699951,-2.979410172,
719.8499756,-3.064326286,
720.8400269,-3.180137634,
721.8300171,-2.510396957,
722.9500122,-2.764692307,
723.9400024,-2.481256485,
724.9199829,-2.334517479,
725.9099731,-1.856984138,
726.9000244,-1.623344421,
727.8800049,-1.333016396,
728.8699951,-1.368414879,
729.8499756,-1.574128151,
730.8400269,-1.720945358,
731.8300171,-0.9603528976,
732.9500122,-1.061896324,
733.9400024,-0.7904443741,
734.9199829,-0.7321557999,
735.9099731,-0.6608629227,
736.9000244,-0.3091936111,
737.8800049,0.1302156448,
738.8699951,0.7157258987,
739.8499756,0.1401910782,
740.8400269,0.7700929642,
741.8300171,0.7760124207,
