CdSe 10 sec em380,,CdSe 10 sec em380,,CdSe 10 sec ex330,,CdSe 10 sec em400,,CdSe 10 sec em400,,CdSe 10 sec ex336,,CdSe 10 sec ex336,,CdSe 10 sec em410,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
200,-0.7502441406,200,7.71062851,340,0.6933135986,200,-5.546928406,200,-0.4636650085,346,0.1081428528,346,1.356742859,200,-2.868144989,
200.9299927,6.815887451,200.9299927,0.07886505127,341.0700073,3.065065384,200.9299927,-6.745517731,200.9299927,9.071914673,347.0700073,4.531936646,347.0700073,6.249572754,200.9299927,-10.13997269,
202.0299988,7.111217499,202.0299988,10.99877167,342,6.867904663,202.0299988,-6.015975952,202.0299988,-8.760936737,348,10.04620361,348,10.18543625,202.0299988,8.941574097,
202.9600067,8.421463013,202.9600067,5.167209625,343.0700073,10.79320717,202.9600067,-4.615592957,202.9600067,-2.131099701,349.0700073,15.31217194,349.0700073,14.70985031,202.9600067,1.896560669,
204.0599976,4.26285553,204.0599976,0.7767791748,344,14.52994156,204.0599976,2.310852051,204.0599976,-4.688056946,350,20.25880432,350,20.29019928,204.0599976,-5.081077576,
205,6.713684082,205,-2.589508057,345.0700073,20.91918182,205,-8.062667847,205,-3.725021362,351.0700073,27.59821701,351.0700073,27.76115417,205,-0.6014785767,
205.9299927,6.345729828,205.9299927,0.6489868164,346,24.04799652,205.9299927,-15.19234848,205.9299927,-10.72075653,352,30.65972137,352,32.61449051,205.9299927,10.00424957,
207.0299988,1.108470917,207.0299988,-8.603668213,347.0700073,30.60402298,207.0299988,-11.01674652,207.0299988,-7.363517761,353.0700073,40.22452545,353.0700073,39.38172913,207.0299988,-2.924106598,
207.9600067,7.655284882,207.9600067,0.8884773254,348,34.94061279,207.9600067,-11.45918655,207.9600067,-10.00299072,354,45.76870728,354,47.5796051,207.9600067,-11.52101898,
209.0599976,-3.757621765,209.0599976,0.192817688,349.0700073,42.34292603,209.0599976,-16.43011475,209.0599976,-8.790466309,355.0700073,53.80889893,355.0700073,55.09963989,209.0599976,-4.100891113,
210,-2.510231018,210,0.04126358032,350,51.44771194,210,-21.64904022,210,-10.01812744,356,61.24576569,356,61.17944336,210,-5.633285522,
210.9299927,-0.3618011475,210.9299927,-11.15578651,351.0700073,56.33621597,210.9299927,-13.27812195,210.9299927,-10.41915894,357.0700073,68.66616058,357.0700073,67.41310883,210.9299927,-14.33699417,
212.0299988,-6.014186859,212.0299988,1.181945801,352,63.61352158,212.0299988,-13.79613876,212.0299988,-15.91414261,358,77.14526367,358,78.55487823,212.0299988,-11.95696259,
212.9600067,-0.001403808594,212.9600067,-6.807071686,353.0700073,73.76617432,212.9600067,-15.30369568,212.9600067,-18.55969238,359.0700073,85.56224823,359.0700073,87.60624695,212.9600067,-11.60582733,
214.0599976,-5.659126282,214.0599976,-3.692092896,354,81.25756836,214.0599976,-16.22419739,214.0599976,-15.42646027,360,95.69490814,360,94.88444519,214.0599976,-19.46321869,
215,-5.466384888,215,-7.801639557,355.0700073,88.43484497,215,-21.51920319,215,-17.11275101,361.0700073,104.1422806,361.0700073,103.5067596,215,-17.71572876,
215.9299927,-5.588237762,215.9299927,-9.123271942,356,95.96777344,215.9299927,-22.41919708,215.9299927,-22.96032333,362,113.2361832,362,113.6934662,215.9299927,-16.3963089,
217.0299988,-8.278930664,217.0299988,-6.833648682,357.0700073,104.2772675,217.0299988,-22.60542297,217.0299988,-18.99396133,363.0700073,123.6393051,363.0700073,127.2029572,217.0299988,-23.70907974,
217.9600067,-10.2814064,217.9600067,-6.177204132,358,116.5876617,217.9600067,-27.98447037,217.9600067,-23.33690643,364,136.63974,364,132.5590515,217.9600067,-24.12936401,
219.0599976,-12.64990997,219.0599976,-16.98414612,359.0700073,129.9098969,219.0599976,-24.39096069,219.0599976,-24.68618774,365.0700073,148.9030457,365.0700073,147.6865845,219.0599976,-26.82107925,
220,-12.86180878,220,-14.20729446,360,136.0955353,220,-32.20240784,220,-24.89576721,366,157.5531616,366,158.1676941,220,-29.0575676,
220.9299927,-15.97204399,220.9299927,-17.11945534,361.0700073,147.7385559,220.9299927,-32.76588821,220.9299927,-28.39745331,367.0700073,168.2216492,367.0700073,170.5774384,220.9299927,-32.13210297,
222.0299988,-19.66959763,222.0299988,-17.26074219,362,157.6995239,222.0299988,-36.99584198,222.0299988,-36.65168762,368,177.1221619,368,177.4340515,222.0299988,-38.78435516,
222.9600067,-21.01945114,222.9600067,-20.63254738,363.0700073,165.7746887,222.9600067,-40.18650055,222.9600067,-40.73117828,369.0700073,191.2735901,369.0700073,193.1678772,222.9600067,-36.2301712,
224.0599976,-24.99850273,224.0599976,-25.9341507,364,179.2506256,224.0599976,-46.06476593,224.0599976,-40.40340424,370,200.6102295,370,203.9001007,224.0599976,-40.44146347,
225,-24.6903038,225,-29.40257263,365.0700073,191.1294708,225,-43.04648972,225,-41.99711609,371.0700073,217.3845215,371.0700073,215.8804016,225,-42.07076645,
225.9299927,-27.10711288,225.9299927,-30.612854,366,202.5319824,225.9299927,-49.07415009,225.9299927,-46.55614853,372,223.5143738,372,227.8209686,225.9299927,-46.00535202,
227.0299988,-27.36666107,227.0299988,-31.56382179,367.0700073,214.5833893,227.0299988,-50.9195137,227.0299988,-48.10539246,373.0700073,243.3441162,373.0700073,239.1686401,227.0299988,-49.19710541,
227.9600067,-29.62772751,227.9600067,-32.38025284,368,225.2074738,227.9600067,-53.19535828,227.9600067,-50.95968246,374,249.9939575,374,250.6994019,227.9600067,-50.70850372,
229.0599976,-30.65752029,229.0599976,-33.11581039,369.0700073,236.4316864,229.0599976,-54.05690384,229.0599976,-51.53966904,375.0700073,257.9547424,375.0700073,256.5033875,229.0599976,-51.67527008,
230,-31.36864853,230,-34.09146118,370,247.8048096,230,-54.93216705,230,-50.67523956,376,271.2242432,376,271.1845093,230,-51.26752472,
230.9299927,-31.04335403,230.9299927,-34.58050537,371.0700073,260.1395569,230.9299927,-54.56531906,230.9299927,-51.72123718,377.0700073,279.6184998,377.0700073,282.2045593,230.9299927,-52.020298,
232.0299988,-31.98065186,232.0299988,-33.54321289,372,269.1328735,232.0299988,-54.67068863,232.0299988,-52.1695137,378,292.8982849,378,289.945282,232.0299988,-51.3803978,
232.9600067,-31.45681572,232.9600067,-34.28081512,373.0700073,277.7168579,232.9600067,-53.43114471,232.9600067,-51.87874222,379.0700073,302.4048157,379.0700073,304.1816406,232.9600067,-50.35205078,
234.0599976,-30.1231823,234.0599976,-33.12458801,374,291.6925964,234.0599976,-53.27084732,234.0599976,-50.75876617,380,311.5640869,380,312.5722656,234.0599976,-50.41553497,
235,-29.81131744,235,-32.40837097,375.0700073,302.7669983,235,-53.58242798,235,-49.18082428,381.0700073,320.8579407,381.0700073,318.8094177,235,-49.56462479,
235.9299927,-30.04278946,235.9299927,-32.66953278,376,312.2743835,235.9299927,-52.33822632,235.9299927,-49.60529327,382,330.9641418,382,333.064209,235.9299927,-50.61608505,
237.0299988,-30.27735138,237.0299988,-33.2022171,377.0700073,322.4949341,237.0299988,-52.01521683,237.0299988,-49.31447983,383.0700073,334.6445007,383.0700073,335.3551025,237.0299988,-49.71048737,
237.9600067,-29.32498169,237.9600067,-32.44928741,378,324.3286743,237.9600067,-51.88446045,237.9600067,-49.9836731,384,345.7758484,384,343.1155396,237.9600067,-50.69557571,
239.0599976,-29.25003815,239.0599976,-32.3500824,379.0700073,330.6946411,239.0599976,-52.79986572,239.0599976,-49.47824478,385.0700073,357.914978,385.0700073,353.6845703,239.0599976,-50.91043854,
240,-30.33901596,240,-33.65586472,380,341.6184387,240,-53.056427,240,-50.73284912,386,366.7493286,386,363.5478516,240,-51.33374023,
240.9299927,-30.64802551,240.9299927,-32.97172546,381.0700073,353.5253906,240.9299927,-53.36267471,240.9299927,-50.50951004,387.0700073,370.6640015,387.0700073,368.7157288,240.9299927,-51.18217468,
242.0299988,-31.47281265,242.0299988,-33.68023682,382,358.6619568,242.0299988,-54.71647263,242.0299988,-51.89092255,388,377.399292,388,380.8308411,242.0299988,-52.34999847,
242.9600067,-30.78219032,242.9600067,-34.45804596,383.0700073,369.7077942,242.9600067,-55.15962219,242.9600067,-52.12704468,389.0700073,387.3110962,389.0700073,387.1884155,242.9600067,-52.42024612,
244.0599976,-31.38627243,244.0599976,-34.02990341,384,374.0941772,244.0599976,-54.41864777,244.0599976,-51.51902008,390,395.1185913,390,399.3130798,244.0599976,-51.65546036,
245,-30.82623863,245,-33.68183136,385.0700073,381.5473938,245,-54.52558136,245,-51.87468338,391.0700073,404.7157898,391.0700073,403.3370667,245,-52.95689392,
245.9299927,-31.06628418,245.9299927,-34.38439178,386,389.9467163,245.9299927,-54.46976471,245.9299927,-51.37820435,392,408.5818787,392,407.855957,245.9299927,-52.02867126,
247.0299988,-31.29400253,247.0299988,-34.02071381,387.0700073,394.9142151,247.0299988,-54.0753479,247.0299988,-52.14667511,393.0700073,415.0852356,393.0700073,416.0616455,247.0299988,-51.92090988,
247.9600067,-30.90217781,247.9600067,-33.62084961,388,398.6086731,247.9600067,-53.62977982,247.9600067,-51.93214035,394,419.7098389,394,411.9665833,247.9600067,-52.19856262,
249.0599976,-31.34664917,249.0599976,-33.8621254,389.0700073,406.2806702,249.0599976,-53.70233154,249.0599976,-51.27171326,395.0700073,420.4280701,395.0700073,424.4975891,249.0599976,-51.76823425,
250,-30.92245483,250,-33.58831406,390,411.8945618,250,-53.85891724,250,-51.57793808,396,425.9138794,396,428.2216187,250,-51.56399536,
250.9299927,-30.57754135,250.9299927,-33.08825684,391.0700073,414.854187,250.9299927,-53.27383423,250.9299927,-50.91278076,397.0700073,430.4503784,397.0700073,433.6450806,250.9299927,-51.54788208,
252.0299988,-29.62552261,252.0299988,-32.76625443,392,420.0097046,252.0299988,-52.06438065,252.0299988,-50.27379227,398,435.3788147,398,438.9195862,252.0299988,-50.52837372,
252.9600067,-29.01981735,252.9600067,-32.19630814,393.0700073,423.5142212,252.9600067,-52.20920944,252.9600067,-50.19536972,399.0700073,441.7420349,399.0700073,440.709259,252.9600067,-50.39836884,
254.0599976,-29.10416412,254.0599976,-31.92078018,394,427.6298828,254.0599976,-52.07019043,254.0599976,-49.24974442,400,443.2037659,400,445.2710266,254.0599976,-49.48230362,
255,-29.32708359,255,-31.05606842,395.0700073,434.1419983,255,-51.46090317,255,-48.96354675,401.0700073,444.9356689,401.0700073,445.0072937,255,-48.75849915,
255.9299927,-28.3033905,255.9299927,-31.30648804,396,438.881073,255.9299927,-51.27755356,255.9299927,-48.81729889,402,445.5457153,402,447.1026001,255.9299927,-49.35836792,
257.0299988,-28.70017242,257.0299988,-31.32420731,397.0700073,433.9324341,257.0299988,-51.01193619,257.0299988,-48.52646637,403.0700073,447.813324,403.0700073,447.7866211,257.0299988,-49.29177856,
257.9599915,-28.7820549,257.9599915,-31.11281776,398,435.4356079,257.9599915,-51.52111053,257.9599915,-48.44063187,404,454.172821,404,449.8421021,257.9599915,-49.319664,
259.0599976,-28.9146843,259.0599976,-31.85026169,399.0700073,440.0243225,259.0599976,-51.28232193,259.0599976,-49.38034821,405.0700073,452.0586853,405.0700073,453.1069031,259.0599976,-50.68367004,
260,-28.63465118,260,-31.89376068,400,437.9104004,260,-51.21589279,260,-48.96130371,406,448.5143738,406,447.1639099,260,-49.79985046,
260.9299927,-28.69054031,260.9299927,-31.55398178,401.0700073,440.9101257,260.9299927,-52.17179871,260.9299927,-48.35869598,407.0700073,450.3134766,407.0700073,451.6715698,260.9299927,-49.37241364,
262.0299988,-28.67276573,262.0299988,-31.17908478,402,437.1659546,262.0299988,-51.51129913,262.0299988,-48.72962952,408,460.2348633,408,455.2619324,262.0299988,-49.6908989,
262.9599915,-28.6876297,262.9599915,-31.43843079,403.0700073,438.8570251,262.9599915,-50.7289238,262.9599915,-48.64538574,409.0700073,447.3646851,409.0700073,456.0750427,262.9599915,-49.96147537,
264.0599976,-28.37844849,264.0599976,-31.00307846,404,437.7981262,264.0599976,-51.04645538,264.0599976,-48.40544891,410,452.6141357,410,457.9797058,264.0599976,-48.91631317,
265,-27.79538345,265,-30.86781311,405.0700073,436.0036316,265,-50.94718933,265,-48.7024231,411.0599976,451.1688538,411.0599976,452.4109802,265,-48.97710419,
265.9299927,-27.83673096,265.9299927,-30.5465889,406,436.371521,265.9299927,-50.38765335,265.9299927,-47.7719841,411.9599915,449.3528748,411.9599915,447.5877991,265.9299927,-48.56040573,
267.0299988,-28.01589966,267.0299988,-29.74146652,407.0700073,435.8538818,267.0299988,-51.2828331,267.0299988,-48.13356781,413.0299988,453.305603,413.0299988,446.4595642,267.0299988,-49.81651306,
267.9599915,-28.10738754,267.9599915,-30.78903961,408,436.5522766,267.9599915,-50.69747925,267.9599915,-48.55680084,413.9299927,446.6564636,413.9299927,446.504303,267.9599915,-49.84379578,
269.0599976,-28.37620163,269.0599976,-30.75858688,409.0700073,431.1091614,269.0599976,-50.87470627,269.0599976,-48.77910614,415,445.033783,415,448.1120605,269.0599976,-50.21073914,
270,-28.76249886,270,-31.5886116,410,432.6436462,270,-52.26683426,270,-49.72629929,416.0599976,440.3355103,416.0599976,449.5038147,270,-50.49842072,
271.0700073,-28.92674255,271.0700073,-31.83362961,411.0599976,434.2844543,271.0700073,-52.48926544,271.0700073,-49.89944458,416.9599915,443.9477234,416.9599915,439.2193298,271.0700073,-50.63926697,
272,-29.54532242,272,-32.08195496,411.9599915,425.112854,272,-52.88472748,272,-50.75859451,418.0299988,437.0639954,418.0299988,439.5499268,272,-51.51239777,
273.0700073,-29.59074974,273.0700073,-32.59017944,413.0299988,425.1149902,273.0700073,-53.43794632,273.0700073,-50.7780838,418.9299927,432.8335266,418.9299927,439.8940735,273.0700073,-52.05814362,
274,-29.97387695,274,-32.90750885,413.9299927,421.7184448,274,-53.9338913,274,-50.93228912,420,436.7998962,420,438.9021606,274,-52.6374054,
275.0700073,-30.42289352,275.0700073,-33.80643082,415,421.8237305,275.0700073,-54.36242676,275.0700073,-51.78678894,421.0700073,431.649353,421.0700073,428.3641663,275.0700073,-52.74492645,
276,-30.75018311,276,-33.36778259,416.0599976,413.278717,276,-54.84104156,276,-51.94794464,422,426.4484253,422,430.3745728,276,-53.22250366,
277.0700073,-30.8874073,277.0700073,-33.86459732,416.9599915,413.8015137,277.0700073,-55.27087784,277.0700073,-52.45308304,423.0700073,423.7531433,423.0700073,425.2879944,277.0700073,-54.21128082,
278,-31.18464661,278,-33.51935577,418.0299988,411.808197,278,-55.36883545,278,-53.03675079,424,423.051178,424,419.9202576,278,-54.58609009,
279.0700073,-30.31291962,279.0700073,-33.15661621,418.9299927,405.3005371,279.0700073,-55.02970123,279.0700073,-52.56193542,425.0700073,412.5361023,425.0700073,413.8014221,279.0700073,-54.06299973,
280,-29.36265182,280,-31.55656052,420,401.1669312,280,-54.17709351,280,-51.68377304,426,407.3065186,426,409.929718,280,-53.21738434,
280.9299927,-26.91962433,280.9299927,-30.35535431,421.0700073,394.9864807,280.9299927,-52.77490616,280.9299927,-50.13440323,427.0700073,403.3051453,427.0700073,403.6725159,280.9299927,-51.9899826,
282.0299988,-23.5444088,282.0299988,-26.1720295,422,392.2474976,282.0299988,-49.68918991,282.0299988,-47.41324997,428,403.7375793,428,401.3133545,282.0299988,-50.0306282,
282.9599915,-20.20345688,282.9599915,-22.11837006,423.0700073,389.8259888,282.9599915,-47.1345253,282.9599915,-44.74732971,429.0700073,391.5299683,429.0700073,390.4008179,282.9599915,-47.65091705,
284.0599976,-13.92374992,284.0599976,-17.93214035,424,380.5131836,284.0599976,-42.45067215,284.0599976,-40.43774033,430,388.1644592,430,391.5487671,284.0599976,-44.2354393,
285,-8.595312119,285,-11.87482643,425.0700073,374.798645,285,-38.0666008,285,-35.52109528,431.0599976,375.9958496,431.0599976,378.8869629,285,-39.09282303,
285.9299927,-4.42363739,285.9299927,-7.097064972,426,371.3953247,285.9299927,-33.71223068,285.9299927,-31.00889969,431.9599915,376.0562439,431.9599915,375.1315308,285.9299927,-35.69981384,
287.0299988,3.392566681,287.0299988,-0.01374435425,427.0700073,363.1712036,287.0299988,-27.00912094,287.0299988,-25.19239807,433.0299988,369.5887146,433.0299988,371.1949158,287.0299988,-30.36091232,
287.9599915,8.192222595,287.9599915,5.501083374,428,360.3564148,287.9599915,-22.15653229,287.9599915,-19.36317825,433.9299927,365.2369385,433.9299927,368.2384338,287.9599915,-25.70375824,
289.0599976,16.65343857,289.0599976,14.71237183,429.0700073,355.1452026,289.0599976,-15.96828842,289.0599976,-13.46731186,435,354.7785645,435,355.1660461,289.0599976,-19.50400162,
290,24.99343109,290,20.52147293,430,349.5094604,290,-10.13214111,290,-6.029350281,436.0599976,349.8604736,436.0599976,348.1838074,290,-14.61867142,
290.9299927,32.08106995,290.9299927,29.41652298,431.0599976,341.1065063,290.9299927,-1.261329651,290.9299927,0.4020843506,436.9599915,347.7676086,436.9599915,348.2545471,290.9299927,-8.020717621,
292.0299988,41.5120697,292.0299988,39.05987167,431.9599915,341.5049744,292.0299988,5.21169281,292.0299988,9.066986084,438.0299988,344.0232849,438.0299988,343.3201599,292.0299988,0.6393203735,
292.9599915,51.62017059,292.9599915,47.70615005,433.0299988,335.0352478,292.9599915,14.73280334,292.9599915,18.05661774,438.9299927,330.1851501,438.9299927,334.1105042,292.9599915,5.489761353,
294.0599976,62.1014328,294.0599976,58.9235878,433.9299927,326.4564819,294.0599976,24.15400696,294.0599976,25.75839233,440,329.696106,440,325.9530029,294.0599976,11.93457794,
295,72.77462006,295,68.80125427,435,315.9725647,295,32.8401947,295,35.20800781,441.0599976,317.5518494,441.0599976,321.6708374,295,24.78569794,
295.9299927,80.28831482,295.9299927,78.65434265,436.0599976,313.3528442,295.9299927,40.87014771,295.9299927,45.23260498,441.9599915,323.6619873,441.9599915,322.7459717,295.9299927,29.57572174,
297.0299988,90.61269379,297.0299988,86.49710083,436.9599915,306.3447571,297.0299988,51.72467041,297.0299988,52.32253265,443.0299988,313.9172363,443.0299988,310.6920776,297.0299988,40.48558807,
297.9599915,98.77729034,297.9599915,96.00119019,438.0299988,305.2128601,297.9599915,60.3134079,297.9599915,60.02777863,443.9299927,306.7229004,443.9299927,307.7550354,297.9599915,45.19949341,
299.0599976,108.3254318,299.0599976,105.8503265,438.9299927,301.5587769,299.0599976,68.08391571,299.0599976,69.93556976,445,301.5743713,445,302.7503967,299.0599976,54.58410645,
300,117.4737625,300,115.2156219,440,292.3285828,300,78.47872162,300,81.38925934,446.0599976,296.7490234,446.0599976,298.493103,300,63.34133911,
301.0700073,128.5719604,301.0700073,126.4555511,441.0599976,282.0527039,301.0700073,89.69501495,301.0700073,89.49155426,446.9599915,294.7238159,446.9599915,292.3970642,301.0700073,72.48588562,
302,138.5389404,302,136.9743958,441.9599915,284.2792053,302,99.1243515,302,100.7541122,448.0299988,288.2932434,448.0299988,286.9520569,302,83.57704163,
303.0700073,151.6397705,303.0700073,147.9225006,443.0299988,277.0772705,303.0700073,110.9945908,303.0700073,115.9902115,448.9299927,280.4377441,448.9299927,283.9552612,303.0700073,91.21426392,
304,162.0540161,304,160.2157593,443.9299927,270.4235535,304,122.1507187,304,127.1794205,450,278.0291138,450,282.2207947,304,102.9927216,
305.0700073,172.4335327,305.0700073,170.1438293,445,266.7136536,305.0700073,136.6940002,305.0700073,136.0818481,451.0599976,275.3087463,451.0599976,276.5108948,305.0700073,117.2931976,
306,184.5419922,306,181.163147,446.0599976,261.4021301,306,145.4526367,306,151.1719971,451.9599915,272.1132507,451.9599915,271.2507019,306,126.3647919,
307.0700073,196.9404907,307.0700073,194.9181519,446.9599915,255.7601624,307.0700073,159.9122925,307.0700073,166.7888489,453.0299988,264.9129944,453.0299988,263.0182495,307.0700073,141.1871643,
308,208.3637695,308,207.9315948,448.0299988,252.7293701,308,175.4436646,308,177.4788208,453.9299927,261.0097351,453.9299927,260.6655579,308,149.0245056,
309.0700073,222.8200989,309.0700073,221.4957581,448.9299927,252.5111389,309.0700073,187.7880554,309.0700073,191.620636,455,256.8080444,455,258.0646973,309.0700073,165.4232635,
310,233.5178223,310,230.369873,450,247.6807861,310,197.6839294,310,203.7295532,456.0599976,254.6384277,456.0599976,251.0483093,310,175.5281372,
311.0700073,241.2702332,311.0700073,238.9084167,451.0599976,239.8239441,311.0700073,212.0500183,311.0700073,215.3930054,456.9599915,247.6681213,456.9599915,250.5535889,311.0700073,184.982254,
312,250.0230408,312,246.5082703,451.9599915,236.7603607,312,218.9679871,312,225.2840576,458.0299988,245.7992249,458.0299988,249.2324219,312,198.0837708,
313.0700073,256.7184143,313.0700073,255.7036743,453.0299988,232.6979065,313.0700073,235.5460205,313.0700073,236.4530029,458.9299927,242.6238098,458.9299927,242.9892578,313.0700073,208.7961426,
314,262.9717712,314,262.3295898,453.9299927,227.3867035,314,241.6220093,314,246.5855103,460,238.6881714,460,236.0800781,314,217.4370422,
315.0700073,275.5727844,315.0700073,272.9599304,455,224.5746307,315.0700073,259.9025879,315.0700073,262.6969299,461.0599976,230.2089539,461.0599976,233.5489502,315.0700073,232.4201965,
316,281.3477478,316,280.9967957,456.0599976,224.6017303,316,271.6057434,316,271.6810303,461.9599915,225.96698,461.9599915,226.8146667,316,244.71698,
317.0700073,285.3633118,317.0700073,287.4571228,456.9599915,214.9735565,317.0700073,283.1624756,317.0700073,278.5623169,463.0299988,219.6525879,463.0299988,221.9050598,317.0700073,259.7713623,
318,293.9866333,318,290.4550476,458.0299988,213.4694977,318,293.1577759,318,296.176239,463.9299927,221.7806396,463.9299927,216.1922302,318,264.7767944,
319.0700073,299.9452209,319.0700073,295.8907471,458.9299927,207.6119537,319.0700073,303.1490784,319.0700073,306.4060669,465,209.8605957,465,214.7785034,319.0700073,277.1837463,
320,304.3143616,320,297.3253784,460,205.0260468,320,312.2063293,320,309.9067078,466.0599976,210.7342224,466.0599976,208.8739471,320,287.8684387,
320.9299927,306.8661194,320.9299927,306.9257507,461.0599976,199.664032,320.9299927,323.9251709,320.9299927,322.6485291,466.9599915,203.923645,466.9599915,206.0517578,320.9299927,304.5371094,
322.0299988,312.7756653,322.0299988,303.7946777,461.9599915,197.1104126,322.0299988,333.5226746,322.0299988,332.4520264,468.0299988,201.9431152,468.0299988,201.9180298,322.0299988,315.2440796,
322.9599915,313.3403015,322.9599915,314.0767212,463.0299988,191.4044342,322.9599915,340.1456909,322.9599915,344.069519,468.9299927,197.3484497,468.9299927,197.1622009,322.9599915,322.0892334,
324.0599976,321.6630554,324.0599976,314.2636108,463.9299927,189.0653839,324.0599976,354.3460999,324.0599976,356.4128418,470,192.4494629,470,191.915802,324.0599976,332.8198242,
325,322.8847961,325,317.6132813,465,186.3738098,325,363.0394592,325,360.0775452,471.0599976,188.4673767,471.0599976,190.6136932,325,341.1510925,
325.9299927,320.1221313,325.9299927,318.0769958,466.0599976,182.8066101,325.9299927,366.887207,325.9299927,370.4934692,471.9599915,184.9790039,471.9599915,182.2954865,325.9299927,353.4662476,
327.0299988,326.5680542,327.0299988,319.3062439,466.9599915,175.6148529,327.0299988,371.1660156,327.0299988,376.4537964,473.0299988,178.5241089,473.0299988,183.3793488,327.0299988,360.3260498,
327.9599915,322.2115784,327.9599915,323.0025024,468.0299988,175.1569519,327.9599915,379.1604309,327.9599915,386.1906738,473.9299927,179.7088318,473.9299927,177.7565613,327.9599915,367.7320557,
329.0599976,326.2432251,329.0599976,323.2070923,468.9299927,171.3278656,329.0599976,383.8664246,329.0599976,385.4023132,475,171.789032,475,172.8078308,329.0599976,371.6503906,
330,325.2470398,330,317.4596252,470,169.5519257,330,390.1552429,330,395.4790955,476.0599976,167.3721924,476.0599976,166.5084686,330,381.5093689,
331.0700073,319.7602234,331.0700073,317.7281799,471.0599976,164.4823914,331.0700073,398.3812256,331.0700073,400.5213013,476.9599915,168.5581055,476.9599915,164.3394928,331.0700073,394.7404785,
332,315.5619812,332,319.5172119,471.9599915,159.7874756,332,404.6969299,332,404.914093,478.0299988,163.88797,478.0299988,164.0970001,332,398.9447632,
333.0700073,318.9503479,333.0700073,314.757782,473.0299988,159.0546265,333.0700073,398.8051758,333.0700073,405.2069397,478.9299927,157.6907654,478.9299927,161.3622894,333.0700073,406.3940125,
334,310.348053,334,309.6801147,473.9299927,156.296814,334,405.5076904,334,406.2850037,480,155.7472839,480,155.7180634,334,405.1156311,
335.0700073,307.657135,335.0700073,308.2173157,475,150.8772888,335.0700073,406.6468506,335.0700073,404.9329834,481.0599976,150.1871338,481.0599976,153.6128998,335.0700073,410.0641479,
336,298.1834106,336,300.8476257,476.0599976,149.833374,336,407.0414124,336,407.2426147,481.9599915,149.2992249,481.9599915,151.1970978,336,417.1838989,
337.0700073,287.315033,337.0700073,284.8007202,476.9599915,146.3253937,337.0700073,401.3080139,337.0700073,403.585022,483.0299988,147.1125793,483.0299988,145.2692413,337.0700073,412.9060974,
