CdSe 50 em420,,CdSe 50 ex345,,CdSe 50 sec em500,,CdSe 50 sec ex380,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
240,0.04065942764,354.9200134,-0.06756067276,260,-0.3599133492,390,-0.891392231,
240.9299927,0.2422876358,355.8399963,0.4033870697,260.9299927,-0.2595891953,391.0700073,-0.402765274,
242.0299988,0.2388596535,356.9200134,0.7161388397,262.0299988,-0.3250424862,392,-0.1566157341,
242.9600067,-0.2109541893,357.8399963,1.309103489,262.9599915,-0.5952086449,393.0700073,0.8400683403,
244.0599976,-0.2414450645,358.9200134,1.721509933,264.0599976,-0.4778957367,394,1.202487469,
245,0.1909089088,359.8399963,2.136380672,265,-0.602067709,395.0700073,1.96054697,
245.9299927,-0.3670306206,360.9200134,3.011680603,265.9299927,-0.6579844952,396,2.851122379,
247.0299988,0.1058020592,361.8399963,3.449110985,267.0299988,-0.4751372337,397.0700073,3.522725582,
247.9600067,-0.1878433228,362.9200134,4.488581181,267.9599915,-0.6067712307,398,4.24452734,
249.0599976,0.2439880371,363.8399963,4.746743202,269.0599976,-1.164460182,399.0700073,5.19423914,
250,0.1211338043,364.9200134,5.755145073,270,-1.190821886,400,5.974021435,
250.9299927,0.3851561546,365.8399963,6.047932625,271.0700073,-1.335294485,401.0700073,6.727579594,
252.0299988,0.1411066055,366.9200134,7.099359512,272,-1.68193388,402,7.876065731,
252.9600067,0.6715135574,367.8399963,7.790075302,273.0700073,-1.582404375,403.0700073,9.172079086,
254.0599976,0.4346666336,368.9200134,8.817124367,274,-1.85157156,404,9.875947952,
255,0.5772285461,369.8399963,10.42081928,275.0700073,-1.915441036,405.0700073,10.89242935,
255.9299927,0.4304256439,370.9200134,10.73830509,276,-2.306478024,406,11.14419365,
257.0299988,0.6113247871,371.8399963,11.42331696,277.0700073,-1.993391514,407.0700073,13.46317101,
257.9599915,0.507106781,372.9200134,13.186903,278,-2.116282701,408,14.89715385,
259.0599976,-0.03136634827,373.8399963,14.32754135,279.0700073,-1.829101563,409.0700073,16.05496407,
260,0.2936301231,374.9200134,14.4811039,280,-1.610327482,410,16.76362991,
260.9299927,0.474981308,375.8399963,16.67383575,280.9299927,-1.40944314,411.0599976,17.6699543,
262.0299988,0.4956812859,376.9200134,17.85553169,282.0299988,-1.359309435,411.9599915,19.66960716,
262.9599915,0.3166642189,377.8399963,18.83766937,282.9599915,-0.820933342,413.0299988,22.12798309,
264.0599976,0.3287320137,378.9200134,20.61611557,284.0599976,-0.3340864182,413.9299927,22.19736671,
265,0.5096201897,379.8399963,20.70283318,285,-0.04396486282,415,22.8319397,
265.9299927,0.6267914772,380.9200134,22.15130234,285.9299927,0.5016303062,416.0599976,25.06955528,
267.0299988,0.5048427582,381.8399963,23.48165321,287.0299988,0.9510817528,416.9599915,26.10977936,
267.9599915,0.05413818359,382.9200134,23.83456421,287.9599915,1.534923077,418.0299988,27.72689438,
269.0599976,-0.2264885902,383.8399963,26.93752098,289.0599976,1.911006451,418.9299927,29.15287399,
270,-0.1475701332,384.9200134,27.34963799,290,2.063232422,420,30.50727844,
271.0700073,-0.1264710426,385.8399963,28.53030586,290.9299927,2.461326599,421.0700073,31.69136047,
272,-0.387383461,386.9200134,29.30156326,292.0299988,2.833487034,422,32.68901825,
273.0700073,-0.6063678265,387.8399963,31.04781723,292.9599915,3.269016266,423.0700073,33.94587708,
274,-0.7623741627,388.9200134,32.91175079,294.0599976,3.920681,424,35.67605972,
275.0700073,-1.004759789,389.8399963,32.03493118,295,4.506236076,425.0700073,36.64157867,
276,-1.420595646,390.9200134,34.3903656,295.9299927,4.608100891,426,37.51848984,
277.0700073,-1.285125256,391.8399963,34.54559708,297.0299988,5.434383392,427.0700073,40.22715378,
278,-1.040956974,392.9200134,37.49626541,297.9599915,5.536631584,428,39.37850952,
279.0700073,-1.03095746,393.8399963,37.43157578,299.0599976,5.633310318,429.0700073,40.68141174,
280,-1.128645897,394.9200134,37.79339981,300,5.776240349,430,41.83581543,
280.9299927,-0.6636583805,395.8399963,38.33951569,301.0700073,7.010525703,431.0599976,42.01012039,
282.0299988,-0.4899699688,396.9200134,38.69916534,302,7.790734291,431.9599915,42.93991089,
282.9599915,0.1630387306,397.8399963,40.10005951,303.0700073,8.216008186,433.0299988,43.80789948,
284.0599976,0.6871657372,398.9200134,40.41438293,304,8.447683334,433.9299927,44.59573364,
285,1.298612595,399.8399963,42.60715103,305.0700073,9.224172592,435,44.52163315,
285.9299927,1.509012699,400.9200134,41.89871216,306,9.744927406,436.0599976,44.43626404,
287.0299988,2.252608299,401.8399963,44.83878708,307.0700073,9.839591026,436.9599915,45.43296432,
287.9599915,2.835247993,402.9200134,43.69713974,308,9.903430939,438.0299988,46.52500153,
289.0599976,4.288530827,403.8399963,44.9880867,309.0700073,11.60557842,438.9299927,46.17790222,
290,4.672373295,404.9200134,45.50465393,310,11.92384052,440,46.05985641,
290.9299927,4.983915806,405.8399963,46.77117538,311.0700073,12.48262119,441.0599976,47.8800621,
292.0299988,5.966836452,406.9200134,45.45523071,312,12.15865803,441.9599915,47.58943558,
292.9599915,6.585100651,407.8399963,49.13648987,313.0700073,13.33199024,443.0299988,46.99747849,
294.0599976,7.904223919,408.9200134,50.38451004,314,12.82814121,443.9299927,48.03079987,
295,8.454311371,409.8399963,49.34730911,315.0700073,14.22070217,445,48.93177795,
295.9299927,9.224721909,410.8999939,49.00780869,316,13.88851643,446.0599976,48.44157791,
297.0299988,10.11741257,411.9599915,50.13084412,317.0700073,14.22973728,446.9599915,48.77000427,
297.9599915,10.90037918,412.8699951,52.56829453,318,15.0327425,448.0299988,48.38503265,
299.0599976,11.85159492,413.9299927,52.30735016,319.0700073,16.77962112,448.9299927,48.09322739,
300,12.96486855,414.8399963,52.96160507,320,16.79655838,450,49.09133911,
301.0700073,13.33504105,415.8999939,53.06511688,320.9299927,17.98852158,451.0599976,48.06050491,
302,15.37553978,416.9599915,53.03778076,322.0299988,18.12493896,451.9599915,49.0269165,
303.0700073,15.27611923,417.8699951,54.41990662,322.9599915,18.27111053,453.0299988,49.07958603,
304,16.81741714,418.9299927,55.35491562,324.0599976,19.4071312,453.9299927,48.58921051,
305.0700073,17.98120689,419.8399963,54.74357224,325,19.52649307,455,49.19466782,
306,19.35246277,420.9200134,53.87581253,325.9299927,19.33948898,456.0599976,48.20836258,
307.0700073,20.28030777,421.8399963,55.50074768,327.0299988,20.3538475,456.9599915,48.66162872,
308,21.94498444,422.9200134,55.10726166,327.9599915,21.44870377,458.0299988,47.91644669,
309.0700073,23.18307114,423.8399963,55.73100281,329.0599976,21.26696777,458.9299927,47.78988647,
310,23.60991859,424.9200134,55.00415802,330,20.67503738,460,47.27573395,
311.0700073,25.08787727,425.8399963,55.3461647,331.0700073,24.08047485,461.0599976,48.38232422,
312,26.16082001,426.9200134,54.45751953,332,23.80291748,461.9599915,45.96563721,
313.0700073,26.70064163,427.8399963,54.93794632,333.0700073,24.41490173,463.0299988,45.58964539,
314,27.58987236,428.9200134,54.47394562,334,26.03084564,463.9299927,46.92006302,
315.0700073,29.57157326,429.8399963,55.43576431,335.0700073,25.73225021,465,45.48724747,
316,31.19508934,430.8999939,54.08269882,336,27.03158951,466.0599976,44.78008652,
317.0700073,30.99151421,431.9599915,54.27537155,337.0700073,28.67981339,466.9599915,45.13666534,
318,32.42680359,432.8699951,54.28609467,338,27.66259766,468.0299988,43.35896683,
319.0700073,33.46155548,433.9299927,53.33132172,339.0700073,29.98536301,468.9299927,44.39058685,
320,34.968853,434.8399963,54.02310562,340,30.84376907,470,43.5472908,
320.9299927,36.49056625,435.8999939,52.37868118,341.0700073,30.55300522,471.0599976,43.90645981,
322.0299988,37.72064209,436.9599915,51.86060333,342,32.31173325,471.9599915,42.98385239,
322.9599915,38.98125076,437.8699951,52.15813446,343.0700073,32.65280151,473.0299988,42.83516312,
324.0599976,40.02113342,438.9299927,51.55813599,344,33.01940155,473.9299927,43.95853806,
325,42.17288971,439.8399963,50.6346817,345.0700073,33.64350891,475,41.93248749,
325.9299927,42.40540695,440.8999939,49.70586777,346,34.20360565,476.0599976,43.24163818,
327.0299988,42.55835724,441.9599915,50.55786896,347.0700073,34.47399521,476.9599915,43.77055359,
327.9599915,44.09913635,442.8699951,50.42091751,348,34.97722626,478.0299988,42.77309036,
329.0599976,44.83111954,443.9299927,49.40348053,349.0700073,36.98683929,478.9299927,42.93169403,
330,46.31698608,444.8399963,48.35826111,350,37.0704422,480,43.37355804,
331.0700073,46.8092308,445.8999939,48.17947006,351.0700073,38.11461639,481.0599976,43.28454971,
332,48.02018356,446.9599915,48.1671524,352,37.79881287,481.9599915,43.67100143,
333.0700073,48.28071594,447.8699951,46.91641998,353.0700073,38.38358688,483.0299988,42.78902054,
334,50.20425034,448.9299927,46.79280472,354,39.10913467,483.9299927,43.33791351,
335.0700073,49.70264053,449.8399963,47.58076477,355.0700073,39.78227997,485,44.29918671,
336,51.59183121,450.8999939,43.86152267,356,40.078228,486.0599976,44.71222687,
337.0700073,51.52811813,451.9599915,43.98866272,357.0700073,40.31459045,486.9599915,45.59067154,
338,51.53833389,452.8699951,44.92700195,358,42.52134705,488.0299988,45.5473671,
339.0700073,51.61361313,453.9299927,44.15360641,359.0700073,41.22723389,488.9299927,45.91795731,
340,53.30249786,454.8399963,44.32442856,360,43.08477783,490,46.49004745,
341.0700073,51.42989349,455.8999939,43.30522919,361.0700073,44.07227325,491.0400085,46.6628418,
342,54.08942413,456.9599915,43.22524261,362,42.85087967,491.9400024,46.89821625,
343.0700073,51.9151001,457.8699951,42.11414719,363.0700073,42.97386169,492.980011,46.38017654,
344,53.60315704,458.9299927,41.03066254,364,43.32661438,494.019989,48.37480545,
345.0700073,52.98426819,459.8399963,40.55599976,365.0700073,44.52428055,495.0700073,48.45365524,
346,52.95184326,460.8999939,40.06822205,366,44.27839279,495.9700012,47.75443268,
347.0700073,51.56009293,461.9599915,39.84801865,367.0700073,44.55397797,497.0100098,48.51776505,
348,52.99994659,462.8699951,40.03505325,368,44.78622055,498.0499878,48.79904938,
349.0700073,52.34700394,463.9299927,39.03777313,369.0700073,46.26777649,498.9500122,48.12004471,
350,52.19729233,464.8399963,39.45541,370,48.16563416,500,47.65114975,
351.0700073,52.2369194,465.8999939,37.06472778,371.0700073,48.50870895,501.0400085,47.62979507,
352,53.2376976,466.9599915,37.63171768,372,48.17773056,501.9400024,46.73506165,
353.0700073,51.84218216,467.8699951,35.66464233,373.0700073,49.03705597,502.980011,48.21883392,
354,52.28847122,468.9299927,35.8478241,374,47.88832474,504.019989,47.63657379,
355.0700073,51.96199036,469.8399963,35.85400391,375.0700073,49.15441513,505.0700073,46.96831512,
356,50.31303787,470.8999939,35.86649323,376,49.77241898,505.9700012,46.43849564,
357.0700073,50.5032692,471.9599915,35.37775803,377.0700073,50.21303558,507.0100098,46.03427124,
358,50.24435043,472.8699951,35.55088043,378,50.59131622,508.0499878,45.09718323,
359.0700073,49.97060013,473.9299927,34.26057434,379.0700073,52.40176773,508.9500122,44.57875443,
360,48.97559738,474.8399963,34.41166306,380,50.50727844,510,44.32184601,
361.0700073,48.53246307,475.8999939,32.58372498,381.0700073,50.00709534,511.0599976,44.00672913,
362,48.14205551,476.9599915,32.66603088,382,51.39834976,511.9599915,42.82931137,
363.0700073,46.14360046,477.8699951,32.63048553,383.0700073,50.4548645,513.0300293,42.35659027,
364,46.7231102,478.9299927,33.94487381,384,50.94042969,513.9299927,41.40029526,
365.0700073,45.17430496,479.8399963,33.75046539,385.0700073,49.64160156,515,41.54603577,
366,45.26261902,480.8999939,33.33718109,386,50.47330475,516.0599976,39.30633926,
367.0700073,45.19090271,481.9599915,32.69810867,387.0700073,50.22096634,516.960022,38.47861481,
368,42.40203094,482.8699951,33.39736938,388,49.85061264,518.0300293,38.11018753,
369.0700073,43.22213364,483.9299927,32.72663116,389.0700073,50.20969009,518.9299927,38.32265091,
370,42.6541748,484.8399963,32.72147369,390,50.77358246,520,36.96172714,
371.0700073,41.58319473,485.8999939,32.67982864,391.0599976,50.10341644,521.039978,35.79434586,
372,41.43071747,486.9599915,33.31397629,391.9599915,49.49131393,521.9400024,35.37290192,
373.0700073,39.06591415,487.8699951,34.48390961,393.0299988,49.2365303,522.9799805,34.64542007,
374,38.62612152,488.9299927,33.49920654,393.9299927,48.62194061,524.0200195,34.40357208,
375.0700073,37.32279205,489.8399963,34.41044998,395,47.54989243,525.0700073,33.277668,
376,37.32579041,490.8900146,33.71279907,396.0599976,47.35688019,525.9699707,32.08943176,
377.0700073,35.39009857,491.9400024,35.0984726,396.9599915,47.0956955,527.0100098,31.85289764,
378,34.76424789,492.980011,33.73853302,398.0299988,47.11407852,528.0499878,31.28780746,
379.0700073,33.64223099,493.8800049,33.96952057,398.9299927,46.57802582,528.9500122,30.68675995,
380,32.13010788,494.9200134,34.46004486,400,45.7184639,530,29.29345703,
381.0700073,31.58013344,495.9700012,34.66730881,401.0700073,45.86485291,531.039978,28.74584579,
382,30.28322029,496.8599854,33.20804214,402,44.62411499,531.9400024,28.07872009,
383.0700073,29.4510479,497.9100037,35.44466019,403.0700073,45.27184296,532.9799805,27.82457733,
384,28.34757042,498.9500122,35.75589752,404,44.20924759,534.0200195,26.46424103,
385.0700073,27.31658745,499.8500061,34.59439468,405.0700073,44.86457825,535.0700073,26.45320511,
386,26.73302078,500.8900146,33.06912613,406,43.75342941,535.9699707,25.86887741,
387.0700073,24.93721771,501.9400024,32.87929916,407.0700073,42.79766464,537.0100098,24.50717545,
388,24.25969887,502.980011,33.59539795,408,42.41006088,538.0499878,24.77246857,
389.0700073,22.63032341,503.8800049,33.46126556,409.0700073,41.99685669,538.9500122,23.50613976,
390,21.42970657,504.9200134,35.35963058,410,41.68193817,540,23.64292717,
391.0599976,20.51772881,505.9700012,33.84623337,411.0599976,40.98395157,541.0200195,22.85325241,
391.9599915,19.8290081,506.8599854,32.30210114,411.9599915,40.90222168,542.0499878,22.63422966,
393.0299988,18.89204979,507.9100037,32.81980515,413.0299988,40.20845413,542.9400024,22.61800766,
393.9299927,17.61156273,508.9500122,31.95550156,413.9299927,38.98572922,543.9699707,22.10385323,
395,16.81822777,509.8500061,31.51812744,415,38.62042999,545,21.59937286,
396.0599976,15.67320633,510.8999939,31.78543472,416.0599976,38.90610886,546.0200195,20.54272079,
396.9599915,15.41115761,511.9599915,29.85012436,416.9599915,38.94348526,547.0499878,20.37080574,
398.0299988,13.7926445,512.8699951,29.85895157,418.0299988,38.30364609,547.9400024,19.6631031,
398.9299927,12.92403984,513.9299927,29.89139557,418.9299927,37.8000946,548.9699707,19.40908051,
400,11.96572876,514.8400269,28.90116882,420,36.8902359,550,18.329813,
