CdSe sonochem 120min ex330,,CdSe sonochem 120min ex345,,CdSe sonochem 120min ex360,,CdSe sonochem 120min em420,,CdSe sonochem 120min em523,,CdSe sonochem 120min ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
340,0.4989233017,354.9200134,-0.6533679962,370,-0.5956115723,240,-0.08545923233,260,0.07434844971,394.9200134,-0.1903905869,
341.0700073,0.8028979301,355.8399963,0.821144104,371.0700073,1.133750916,240.9299927,-0.4023523331,260.9299927,0.2102851868,395.8399963,0.7934112549,
342,1.669861317,356.9200134,2.045228004,372,2.767620087,242.0299988,-1.006069183,262.0299988,0.01876783371,396.9200134,2.330080032,
343.0700073,2.908902645,357.8399963,3.959699631,373.0700073,4.376069069,242.9600067,-0.5882220268,262.9599915,0.1731305122,397.8399963,3.716197968,
344,4.058227062,358.9200134,5.291203499,374,6.136094093,244.0599976,-0.6715121269,264.0599976,0.1430888176,398.9200134,6.288042068,
345.0700073,4.973440647,359.8399963,6.094203949,375.0700073,8.312642097,245,-0.5391316414,265,0.06673336029,399.8399963,7.633308411,
346,5.570115566,360.9200134,8.116342545,376,9.253962517,245.9299927,-1.221385479,265.9299927,-0.0795135498,400.9200134,8.811820984,
347.0700073,8.274988174,361.8399963,10.2800312,377.0700073,11.25409603,247.0299988,-0.437315464,267.0299988,-0.309325695,401.8399963,10.91124344,
348,9.023366928,362.9200134,12.76212692,378,13.3188448,247.9600067,-0.2033672333,267.9599915,-0.2264256477,402.9200134,12.71039772,
349.0700073,11.26099968,363.8399963,14.89797401,379.0700073,15.64617825,249.0599976,-0.7333397865,269.0599976,-0.4127755165,403.8399963,14.05213356,
350,12.91309929,364.9200134,17.6189537,380,18.46828079,250,-0.6177577972,270,-0.4975147247,404.9200134,16.25099182,
351.0700073,15.18888474,365.8399963,20.35745811,381.0700073,20.67393494,250.9299927,-0.2404079437,271.0700073,-1.007332325,405.8399963,18.81566048,
352,16.6281395,366.9200134,22.20617294,382,23.69999313,252.0299988,-0.302423954,272,-1.321516037,406.9200134,20.35172844,
353.0700073,19.43409348,367.8399963,24.55060196,383.0700073,24.85606003,252.9600067,-0.2098855972,273.0700073,-1.708702564,407.8399963,22.52710533,
354,22.7517128,368.9200134,27.91804886,384,28.7296257,254.0599976,0.671810627,274,-1.757593632,408.9200134,25.56730843,
355.0700073,25.58075333,369.8399963,32.63939285,385.0700073,31.47126007,255,0.6186265945,275.0700073,-1.966418743,409.8399963,27.56020164,
356,27.40341759,370.9200134,33.50736618,386,34.31165695,255.9299927,0.4926190376,276,-2.178855896,410.8999939,30.08625984,
357.0700073,29.17293358,371.8399963,36.55365372,387.0700073,38.24859238,257.0299988,0.8806471825,277.0700073,-1.684759617,411.9599915,32.70370483,
358,31.70677757,372.9200134,40.78368759,388,40.12322998,257.9599915,0.2767677307,278,-2.121100903,412.8699951,35.61393738,
359.0700073,34.57907486,373.8399963,43.89524841,389.0700073,43.12187958,259.0599976,0.472630024,279.0700073,-2.103672981,413.9299927,38.74126434,
360,39.27448654,374.9200134,50.50621414,390,46.09053802,260,-0.1274466515,280,-2.107366085,414.8399963,39.92119598,
361.0700073,39.8537674,375.8399963,51.41008377,391.0700073,49.55008698,260.9299927,0.04860830307,280.9299927,-1.883402824,415.8999939,44.40796661,
362,43.46115875,376.9200134,55.18070602,392,52.19468307,262.0299988,0.3723464012,282.0299988,-0.8406567574,416.9599915,47.50489807,
363.0700073,48.07249451,377.8399963,58.66703415,393.0700073,55.04777908,262.9599915,0.1964354515,282.9599915,-0.2458472252,417.8699951,48.71499634,
364,52.43486023,378.9200134,62.96677017,394,59.28424454,264.0599976,0.5313515663,284.0599976,1.83704567,418.9299927,51.51996613,
365.0700073,54.25015259,379.8399963,65.97857666,395.0700073,63.66572189,265,0.486287117,285,2.375349045,419.8399963,52.90232086,
366,57.82602692,380.9200134,69.82795715,396,65.34217072,265.9299927,0.2743759155,285.9299927,3.59132576,420.9200134,57.97371674,
367.0700073,61.03410339,381.8399963,72.88368225,397.0700073,67.54544067,267.0299988,0.1383404732,287.0299988,4.659395218,421.8399963,58.90520477,
368,64.71058655,382.9200134,78.30290222,398,71.56241608,267.9599915,-0.003310680389,287.9599915,6.081451416,422.9200134,61.14156342,
369.0700073,68.02379608,383.8399963,81.43966675,399.0700073,75.83718872,269.0599976,-0.352991581,289.0599976,6.94601059,423.8399963,64.36192322,
370,70.92601776,384.9200134,85.94302368,400,78.63348389,270,-0.2028102875,290,7.184811592,424.9200134,67.68734741,
371.0700073,76.59188843,385.8399963,85.71110535,401.0700073,83.43357086,271.0700073,-0.2537207603,290.9299927,8.702472687,425.8399963,68.97971344,
372,80.91996765,386.9200134,94.36314392,402,84.54322815,272,-0.8531947136,292.0299988,9.736312866,426.9200134,70.92444611,
373.0700073,82.20835876,387.8399963,95.76194763,403.0700073,88.56372833,273.0700073,-0.8959512711,292.9599915,11.58972359,427.8399963,73.33995056,
374,87.35103607,388.9200134,100.1579895,404,92.97032166,274,-1.409034252,294.0599976,13.16622925,428.9200134,76.57872009,
375.0700073,89.15552521,389.8399963,102.757019,405.0700073,93.76828003,275.0700073,-1.467181683,295,14.5506649,429.8399963,77.87021637,
376,94.27050781,390.9200134,108.1208649,406,97.01055145,276,-1.610106945,295.9299927,15.31820679,430.8999939,79.5741272,
377.0700073,98.01809692,391.8399963,110.2144623,407.0700073,101.9174957,277.0700073,-1.919978142,297.0299988,16.99151421,431.9599915,80.60674286,
378,100.8718643,392.9200134,116.5806274,408,103.90625,278,-2.403917313,297.9599915,17.50531769,432.8699951,83.16508484,
