CdSe sonochem 30min em420,,CdSe sonochem 30min ex345,,CdSe sonochem 30min em510,,CdSe sonochem 30min ex380,,CdSe sonochem 30min ex330,,CdSe sonochem 30min ex360,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
240,-0.9166641235,354.9200134,-0.4332046509,260,-0.158036232,390,0.09776115417,340,-0.2047367096,370,-0.2867469788,
240.9299927,-0.2885332108,355.8399963,0.8503360748,260.9299927,-0.2482452393,391.0700073,2.255641937,341.0700073,1.034320831,371.0700073,2.16047287,
242.0299988,-1.073192596,356.9200134,5.07169342,262.0299988,-0.8161664009,392,5.497497559,342,2.749081612,372,4.855926514,
242.9600067,-1.225588799,357.8399963,7.140666962,262.9599915,-0.2197303772,393.0700073,8.007806778,343.0700073,4.339016914,373.0700073,7.842815399,
244.0599976,-1.24895668,358.9200134,10.0591526,264.0599976,-0.4777908325,394,12.33555412,344,7.020189285,374,10.20935822,
245,-0.9789714813,359.8399963,12.05342102,265,0.5934104919,395.0700073,14.13821983,345.0700073,9.326259613,375.0700073,13.98828506,
245.9299927,-1.363968849,360.9200134,15.13018227,265.9299927,-0.3672914505,396,16.44942665,346,10.93480873,376,17.87962341,
247.0299988,-1.104296684,361.8399963,17.78317833,267.0299988,-0.680519104,397.0700073,20.31234932,347.0700073,14.03390503,377.0700073,20.79257584,
247.9600067,-1.215655327,362.9200134,22.78074837,267.9599915,-1.056115627,398,23.61575508,348,16.71756554,378,25.33316422,
249.0599976,-1.058215141,363.8399963,26.03544426,269.0599976,-1.200269222,399.0700073,27.41446114,349.0700073,20.50167084,379.0700073,27.5720787,
250,-1.046827316,364.9200134,31.98653221,270,-1.342673779,400,30.23251915,350,23.00217438,380,32.39176941,
250.9299927,-0.2455053329,365.8399963,34.72848511,271.0700073,-1.776092529,401.0700073,33.88072205,351.0700073,26.52007675,381.0700073,37.86352158,
252.0299988,0.06977939606,366.9200134,39.49160767,272,-2.328819752,402,38.49595642,352,28.94105148,382,41.1177063,
252.9600067,-0.0849237442,367.8399963,46.34267426,273.0700073,-2.479288578,403.0700073,42.43637848,353.0700073,32.8372879,383.0700073,45.88422394,
254.0599976,0.01306247711,368.9200134,50.7641449,274,-2.629893303,404,46.3555069,354,39.08725357,384,50.4260788,
255,-0.1697788239,369.8399963,54.43740845,275.0700073,-2.645787239,405.0700073,48.81100464,355.0700073,43.27031326,385.0700073,55.08457947,
255.9299927,0.9231796265,370.9200134,63.39978027,276,-3.076497078,406,54.97290802,356,45.74532318,386,61.44799042,
257.0299988,0.4443292618,371.8399963,66.70187378,277.0700073,-3.270353794,407.0700073,59.30857086,357.0700073,53.2766571,387.0700073,66.63732147,
257.9599915,0.4525356293,372.9200134,74.41465759,278,-3.186142921,408,64.478508,358,57.47839355,388,69.49919128,
259.0599976,0.1799278259,373.8399963,76.91387177,279.0700073,-2.828711033,409.0700073,70.08824921,359.0700073,62.6359024,389.0700073,77.05256653,
260,0.2817220688,374.9200134,85.23339844,280,-2.991265774,410,70.77197266,360,68.68803406,390,80.55708313,
260.9299927,-0.004307746887,375.8399963,93.2937088,280.9299927,-2.479474545,411.0599976,77.91143036,361.0700073,72.04555511,391.0700073,87.47909546,
262.0299988,0.3015489578,376.9200134,97.77559662,282.0299988,-1.207901955,411.9599915,79.82842255,362,77.96634674,392,93.82215881,
262.9599915,0.1509914398,377.8399963,103.0112915,282.9599915,-0.06609535217,413.0299988,86.5467453,363.0700073,82.06407928,393.0700073,99.25434875,
264.0599976,0.3198156357,378.9200134,110.213501,284.0599976,3.090065956,413.9299927,90.84088898,364,88.9906311,394,103.433815,
265,0.4327630997,379.8399963,117.6015244,285,4.451573372,415,95.98130035,365.0700073,95.56873322,395.0700073,108.2563934,
265.9299927,0.5213270187,380.9200134,122.9227066,285.9299927,5.691925049,416.0599976,101.0555496,366,100.7475204,396,114.9414063,
267.0299988,0.8277111053,381.8399963,128.1728821,287.0299988,7.643334389,416.9599915,106.3718185,367.0700073,109.8979187,397.0700073,119.161377,
267.9599915,0.06298828125,382.9200134,135.8274536,287.9599915,8.560769081,418.0299988,111.0586777,368,112.0450745,398,125.3401337,
269.0599976,-0.1636705399,383.8399963,142.7709198,289.0599976,11.01272678,418.9299927,116.8587112,369.0700073,120.4471207,399.0700073,129.1326141,
270,-0.4370126724,384.9200134,150.6249084,290,11.79372311,420,119.3164291,370,126.9475327,400,135.6294556,
271.0700073,-0.5110406876,385.8399963,156.9741211,290.9299927,13.47030544,421.0700073,124.5824661,371.0700073,134.1790466,401.0700073,140.9618988,
272,-1.380486488,386.9200134,162.9085999,292.0299988,15.19933224,422,129.1173553,372,137.6538391,402,145.9076233,
273.0700073,-1.108059883,387.8399963,170.51297,292.9599915,18.06036758,423.0700073,135.787262,373.0700073,143.6459045,403.0700073,152.7644043,
274,-1.944865227,388.9200134,176.3512268,294.0599976,19.49420929,424,137.815155,374,150.7612,404,156.3435516,
275.0700073,-2.190843582,389.8399963,183.0013275,295,21.37233353,425.0700073,143.1099854,375.0700073,158.0812988,405.0700073,162.0449982,
