"uv vis 10-04-2026 - RawData"
"Wavelength nm.","Abs."
200.00,-0.755936
201.00,-0.267242
202.00,0.129410
203.00,-1.035812
204.00,0.455826
205.00,-0.493912
206.00,-0.354324
207.00,0.587631
208.00,-0.238495
209.00,-0.265472
210.00,-0.298584
211.00,-0.320297
212.00,-0.816589
213.00,-0.200027
214.00,-0.358994
215.00,-0.380920
216.00,-0.253052
217.00,-0.263931
218.00,-0.325073
219.00,-0.410538
220.00,-0.544724
221.00,-0.384506
222.00,-0.339828
223.00,-0.331879
224.00,-0.350693
225.00,-0.367599
226.00,-0.501053
227.00,-0.420334
228.00,-0.418549
229.00,-0.409439
230.00,-0.385590
231.00,-0.401566
232.00,-0.405746
233.00,-0.485489
234.00,-0.486740
235.00,-0.493423
236.00,-0.478729
237.00,-0.500671
238.00,-0.498245
239.00,-0.467697
240.00,-0.452560
241.00,-0.605835
242.00,-0.524063
243.00,-0.555374
244.00,-0.456009
245.00,-0.507980
246.00,-0.517838
247.00,-0.537140
248.00,-0.465454
249.00,-0.551758
250.00,-0.543579
251.00,-0.496414
252.00,-0.470062
253.00,-0.559235
254.00,-0.568314
255.00,-0.530579
256.00,-0.583710
257.00,-0.493073
258.00,-0.491165
259.00,-0.459732
260.00,-0.520050
261.00,-0.654358
262.00,-0.542023
263.00,-0.459961
264.00,-0.452271
265.00,-0.484344
266.00,-0.550491
267.00,-0.596649
268.00,-0.399673
269.00,-0.339066
270.00,-0.608017
271.00,-0.451065
272.00,-0.503204
273.00,-0.489578
274.00,-0.507126
275.00,-0.500183
276.00,-0.718628
277.00,-0.493256
278.00,-0.362366
279.00,-0.028671
280.00,0.320404
281.00,0.457657
282.00,0.512833
283.00,0.537262
284.00,0.545898
285.00,0.542496
286.00,0.534317
287.00,0.522354
288.00,0.512146
289.00,0.501663
290.00,0.490051
291.00,0.479568
292.00,0.469208
293.00,0.459900
294.00,0.452408
295.00,0.443207
296.00,0.435745
297.00,0.428223
298.00,0.420074
299.00,0.412582
300.00,0.405777
301.00,0.398880
302.00,0.391205
303.00,0.382767
304.00,0.375427
305.00,0.368439
306.00,0.361191
307.00,0.353500
308.00,0.345810
309.00,0.337250
310.00,0.331650
311.00,0.324310
312.00,0.316452
313.00,0.309998
314.00,0.304184
315.00,0.296478
316.00,0.289978
317.00,0.284119
318.00,0.277832
319.00,0.272049
320.00,0.267715
321.00,0.260941
322.00,0.255264
323.00,0.250214
324.00,0.244568
325.00,0.240860
326.00,0.235672
327.00,0.230576
328.00,0.224945
329.00,0.220062
330.00,0.216064
331.00,0.211838
332.00,0.207428
333.00,0.204208
334.00,0.199158
335.00,0.195190
336.00,0.191101
337.00,0.187714
338.00,0.183334
339.00,0.179367
340.00,0.176910
341.00,0.173218
342.00,0.169220
343.00,0.167526
344.00,0.163193
345.00,0.161102
346.00,0.157120
347.00,0.153870
348.00,0.150391
349.00,0.147842
350.00,0.143097
351.00,0.141098
352.00,0.138214
353.00,0.134476
354.00,0.132172
355.00,0.128967
356.00,0.126343
357.00,0.123764
358.00,0.121643
359.00,0.118912
360.00,0.116226
361.00,0.114441
362.00,0.112274
363.00,0.110657
364.00,0.108246
365.00,0.106079
366.00,0.104477
367.00,0.102890
368.00,0.100662
369.00,0.098862
370.00,0.096054
371.00,0.094116
372.00,0.092407
373.00,0.090973
374.00,0.089066
375.00,0.087585
376.00,0.085709
377.00,0.083588
378.00,0.082169
379.00,0.080521
380.00,0.078690
381.00,0.076996
382.00,0.074631
383.00,0.072876
384.00,0.071152
385.00,0.068954
386.00,0.067123
387.00,0.065521
388.00,0.063751
389.00,0.061996
390.00,0.060364
391.00,0.058792
392.00,0.057480
393.00,0.056091
394.00,0.054550
395.00,0.053482
396.00,0.052170
397.00,0.051300
398.00,0.050064
399.00,0.048904
400.00,0.047928
401.00,0.046982
402.00,0.046112
403.00,0.045212
404.00,0.044296
405.00,0.043381
406.00,0.042770
407.00,0.041946
408.00,0.041092
409.00,0.040222
410.00,0.039429
411.00,0.038666
412.00,0.038025
413.00,0.037247
414.00,0.036728
415.00,0.036026
416.00,0.035019
417.00,0.033585
418.00,0.033005
419.00,0.032410
420.00,0.031723
421.00,0.031158
422.00,0.030624
423.00,0.029907
424.00,0.029236
425.00,0.028671
426.00,0.028046
427.00,0.027557
428.00,0.027054
429.00,0.026428
430.00,0.025940
431.00,0.025360
432.00,0.024918
433.00,0.024307
434.00,0.023865
435.00,0.023346
436.00,0.022766
437.00,0.022308
438.00,0.021851
439.00,0.021317
440.00,0.020966
441.00,0.020538
442.00,0.020065
443.00,0.019699
444.00,0.019211
445.00,0.018860
446.00,0.018555
447.00,0.018112
448.00,0.017715
449.00,0.017349
450.00,0.017059
451.00,0.016769
452.00,0.016373
453.00,0.016052
454.00,0.015732
455.00,0.015427
456.00,0.015244
457.00,0.014908
458.00,0.014542
459.00,0.014297
460.00,0.014160
461.00,0.013855
462.00,0.013596
463.00,0.013336
464.00,0.013092
465.00,0.012802
466.00,0.012604
467.00,0.012405
468.00,0.012177
469.00,0.011871
470.00,0.011642
471.00,0.011383
472.00,0.011261
473.00,0.011093
474.00,0.010834
475.00,0.010620
476.00,0.010406
477.00,0.010345
478.00,0.010178
479.00,0.009918
480.00,0.009811
481.00,0.009628
482.00,0.009430
483.00,0.009293
484.00,0.009232
485.00,0.008972
486.00,0.008835
487.00,0.008667
488.00,0.008499
489.00,0.008377
490.00,0.008270
491.00,0.008087
492.00,0.007950
493.00,0.007767
494.00,0.007629
495.00,0.007599
496.00,0.007431
497.00,0.007263
498.00,0.007141
499.00,0.006989
500.00,0.006805
501.00,0.006744
502.00,0.006683
503.00,0.006638
504.00,0.006439
505.00,0.006287
506.00,0.006195
507.00,0.006073
508.00,0.005966
509.00,0.005814
510.00,0.005722
511.00,0.005600
512.00,0.005463
513.00,0.005371
514.00,0.005341
515.00,0.005219
516.00,0.005173
517.00,0.005020
518.00,0.005035
519.00,0.004929
520.00,0.004868
521.00,0.004822
522.00,0.004654
523.00,0.004547
524.00,0.004456
525.00,0.004410
526.00,0.004364
527.00,0.004257
528.00,0.004135
529.00,0.004089
530.00,0.004028
531.00,0.003891
532.00,0.003799
533.00,0.003693
534.00,0.003662
535.00,0.003632
536.00,0.003479
