"File_120407_231910 - RawData"
"Wavelength nm.","Abs."
200.00,-3.376175
200.50, 
201.00,-2.400009
201.50, 
202.00,-0.921402
202.50, 
203.00,-1.437775
203.50, 
204.00,-2.059372
204.50, 
205.00,-0.677460
205.50, 
206.00,-2.336395
206.50, 
207.00,-2.119492
207.50, 
208.00,-1.378845
208.50, 
209.00,-0.996582
209.50, 
210.00,-1.092194
210.50, 
211.00,-1.314301
211.50, 
212.00,-0.825394
212.50, 
213.00,-1.004364
213.50, 
214.00,-1.338226
214.50, 
215.00,-0.669159
215.50, 
216.00,-0.503403
216.50, 
217.00,-0.883087
217.50, 
218.00,-0.332275
218.50, 
219.00,-0.464386
219.50, 
220.00,-0.456833
220.50, 
221.00,-0.394745
221.50, 
222.00,-0.362564
222.50, 
223.00,-0.320969
223.50, 
224.00,-0.275269
224.50, 
225.00,-0.291168
225.50, 
226.00,-0.312622
226.50, 
227.00,-0.232590
227.50, 
228.00,-0.278351
228.50, 
229.00,-0.306854
229.50, 
230.00,-0.242783
230.50, 
231.00,-0.284958
231.50, 
232.00,-0.218811
232.50, 
233.00,-0.306091
233.50, 
234.00,-0.243820
234.50, 
235.00,-0.229355
235.50, 
236.00,-0.216766
236.50, 
237.00,-0.140213
237.50, 
238.00,-0.011444
238.50, 
239.00,0.123154
239.50, 
240.00,0.242676
240.50, 
241.00,0.418228
241.50, 
242.00,0.612930
242.50, 
243.00,0.773773
243.50, 
244.00,0.879578
244.50, 
245.00,0.950974
245.50, 
246.00,0.989502
246.50, 
247.00,0.984558
247.50, 
248.00,0.983948
248.50, 
249.00,0.961060
249.50, 
250.00,0.922516
250.50, 
251.00,0.881424
251.50, 
252.00,0.864746
252.50, 
253.00,0.867676
253.50, 
254.00,0.868591
254.50, 
255.00,0.859329
255.50, 
256.00,0.838318
256.50, 
257.00,0.808685
257.50, 
258.00,0.798828
258.50, 
259.00,0.815781
259.50, 
260.00,0.830627
260.50, 
261.00,0.840958
261.50, 
262.00,0.857651
262.50, 
263.00,0.803284
263.50, 
264.00,0.718521
264.50, 
265.00,0.684677
265.50, 
266.00,0.638779
266.50, 
267.00,0.588547
267.50, 
268.00,0.644119
268.50, 
269.00,0.717560
269.50, 
270.00,0.619598
270.50, 
271.00,0.478683
271.50, 
272.00,0.388107
272.50, 
273.00,0.338379
273.50, 
274.00,0.310837
274.50, 
275.00,0.291595
275.50, 
276.00,0.277954
276.50, 
277.00,0.268295
277.50, 
278.00,0.261765
278.50, 
279.00,0.255966
279.50, 
280.00,0.250000
280.50, 
281.00,0.243942
281.50, 
282.00,0.238632
282.50, 
283.00,0.233658
283.50, 
284.00,0.228424
284.50, 
285.00,0.224411
285.50, 
286.00,0.219238
286.50, 
287.00,0.214554
287.50, 
288.00,0.210526
288.50, 
289.00,0.205750
289.50, 
290.00,0.201752
290.50, 
291.00,0.198425
291.50, 
292.00,0.194977
292.50, 
293.00,0.192169
293.50, 
294.00,0.189438
294.50, 
295.00,0.186707
295.50, 
296.00,0.183792
296.50, 
297.00,0.181534
297.50, 
298.00,0.179764
298.50, 
299.00,0.176468
299.50, 
300.00,0.174561
300.50, 
301.00,0.171555
301.50, 
302.00,0.168961
302.50, 
303.00,0.166550
303.50, 
304.00,0.163300
304.50, 
