"CdS 30 sec - RawData"
"Wavelength nm.","Abs."
200.00,2.344131
201.00,-0.998260
202.00,-0.264038
203.00,0.352829
204.00,0.266586
205.00,0.976395
206.00,0.943634
207.00,0.367584
208.00,0.041443
209.00,0.008484
210.00,-0.121902
211.00,-0.028473
212.00,0.018906
213.00,0.004776
214.00,-0.140228
215.00,-0.083908
216.00,-0.177673
217.00,-0.226807
218.00,-0.166458
219.00,-0.198196
220.00,-0.125259
221.00,-0.205627
222.00,-0.175339
223.00,-0.215469
224.00,-0.243942
225.00,-0.280090
226.00,-0.314621
227.00,-0.284225
228.00,-0.271347
229.00,-0.301208
230.00,-0.313110
231.00,-0.294952
232.00,-0.344193
233.00,-0.332397
234.00,-0.325638
235.00,-0.289001
236.00,-0.296768
237.00,-0.272217
238.00,-0.170746
239.00,-0.054474
240.00,0.073273
241.00,0.264297
242.00,0.449799
243.00,0.591629
244.00,0.724960
245.00,0.862595
246.00,0.963898
247.00,1.004745
248.00,1.020401
249.00,1.023895
250.00,1.007675
251.00,0.985489
252.00,0.960144
253.00,0.953674
254.00,0.940018
255.00,0.931412
256.00,0.913940
257.00,0.886703
258.00,0.878723
259.00,0.887268
260.00,0.899307
261.00,0.900177
262.00,0.914673
263.00,0.864716
264.00,0.802216
265.00,0.781082
266.00,0.744263
267.00,0.699371
268.00,0.746658
269.00,0.806015
270.00,0.720352
271.00,0.608704
272.00,0.538315
273.00,0.499374
274.00,0.478043
275.00,0.463242
276.00,0.452484
277.00,0.444275
278.00,0.436142
279.00,0.430298
280.00,0.425186
281.00,0.418961
282.00,0.415268
283.00,0.408890
284.00,0.403091
285.00,0.396652
286.00,0.389038
287.00,0.381927
288.00,0.374359
289.00,0.367447
290.00,0.361008
291.00,0.355347
292.00,0.349716
293.00,0.344543
294.00,0.339676
295.00,0.335236
296.00,0.330978
297.00,0.326233
298.00,0.321518
299.00,0.317245
300.00,0.313400
301.00,0.308960
302.00,0.303757
303.00,0.298843
304.00,0.294525
305.00,0.289551
306.00,0.285904
307.00,0.281357
308.00,0.275177
309.00,0.270035
310.00,0.265854
311.00,0.260513
312.00,0.256744
313.00,0.252075
314.00,0.246933
315.00,0.242157
316.00,0.237000
317.00,0.231644
318.00,0.226517
319.00,0.221832
320.00,0.217819
321.00,0.212219
322.00,0.208038
323.00,0.203278
324.00,0.199173
325.00,0.195236
326.00,0.190155
327.00,0.186890
328.00,0.182312
329.00,0.178848
330.00,0.175140
331.00,0.171860
332.00,0.167587
333.00,0.162308
334.00,0.158203
335.00,0.154755
336.00,0.150391
337.00,0.147171
338.00,0.143570
339.00,0.139893
340.00,0.138199
341.00,0.134933
342.00,0.130783
343.00,0.128662
344.00,0.125366
345.00,0.123703
346.00,0.121124
347.00,0.118408
348.00,0.116928
349.00,0.115402
350.00,0.112534
351.00,0.110291
352.00,0.108459
353.00,0.106689
354.00,0.105026
355.00,0.103073
356.00,0.101593
357.00,0.099319
358.00,0.097443
359.00,0.096481
360.00,0.095230
361.00,0.092941
362.00,0.091888
363.00,0.090958
364.00,0.089050
365.00,0.088425
366.00,0.087067
367.00,0.085464
368.00,0.084213
369.00,0.082642
370.00,0.080566
371.00,0.079102
372.00,0.078156
373.00,0.077271
374.00,0.075546
375.00,0.074448
376.00,0.073105
377.00,0.071518
378.00,0.070053
379.00,0.068802
380.00,0.067444
381.00,0.066147
382.00,0.065033
383.00,0.063400
384.00,0.061981
385.00,0.060226
386.00,0.058868
387.00,0.057648
388.00,0.055908
389.00,0.054550
390.00,0.053009
391.00,0.051819
392.00,0.050354
393.00,0.049088
