"CdS 50sec - RawData"
"Wavelength nm.","Abs."
200.00,0.731201
201.00,-0.813416
202.00,-2.321838
203.00,0.336594
204.00,-2.533264
205.00,-2.514633
206.00,-3.794815
207.00,-1.549240
208.00,-1.858612
209.00,-3.127365
210.00,-2.271805
211.00,-1.287109
212.00,-1.576813
213.00,-2.209457
214.00,-3.073151
215.00,-3.428467
216.00,-2.828339
217.00,-3.210526
218.00,-1.442215
219.00,-2.573425
220.00,-1.637451
221.00,-2.694992
222.00,-1.854141
223.00,-2.559799
224.00,-2.180267
225.00,-2.580215
226.00,-2.732956
227.00,-2.125824
228.00,-2.586258
229.00,-2.518860
230.00,-0.813232
231.00,-1.463715
232.00,-0.278625
233.00,-0.096252
234.00,0.234802
235.00,0.135529
236.00,0.522369
237.00,0.553696
238.00,0.713486
239.00,0.851318
240.00,0.938248
241.00,1.009201
242.00,1.038940
243.00,1.030914
244.00,1.007980
245.00,0.945953
246.00,0.865097
247.00,0.787140
248.00,0.703476
249.00,0.635971
250.00,0.565292
251.00,0.495300
252.00,0.452957
253.00,0.417557
254.00,0.387527
255.00,0.356949
256.00,0.329834
257.00,0.294205
258.00,0.278625
259.00,0.273117
260.00,0.270676
261.00,0.266418
262.00,0.265549
263.00,0.238937
264.00,0.205429
265.00,0.192566
266.00,0.169998
267.00,0.151779
268.00,0.175018
269.00,0.193726
270.00,0.155777
271.00,0.107193
272.00,0.072571
273.00,0.056824
274.00,0.043671
275.00,0.037628
276.00,0.031372
277.00,0.025253
278.00,0.021088
279.00,0.017944
280.00,0.016708
281.00,0.013977
282.00,0.010956
283.00,0.006439
284.00,0.005051
285.00,-0.004135
286.00,-0.001450
287.00,-0.008926
288.00,-0.013611
289.00,-0.018768
290.00,-0.009720
291.00,-0.013733
292.00,-0.019821
293.00,-0.018250
294.00,-0.020218
295.00,-0.023026
296.00,-0.022064
297.00,-0.025101
298.00,-0.028976
299.00,-0.027588
300.00,-0.027176
301.00,-0.029724
302.00,-0.034348
303.00,-0.034760
304.00,-0.030396
305.00,-0.030853
306.00,-0.035019
307.00,-0.034897
308.00,-0.035706
309.00,-0.036407
310.00,-0.039993
311.00,-0.045242
312.00,-0.052185
313.00,-0.049774
314.00,-0.049820
315.00,-0.048508
316.00,-0.052429
317.00,-0.047882
318.00,-0.049911
319.00,-0.053497
320.00,-0.056686
321.00,-0.059540
322.00,-0.061371
323.00,-0.056122
324.00,-0.053772
325.00,-0.058578
326.00,-0.062592
327.00,-0.060272
328.00,-0.062119
329.00,-0.067474
330.00,-0.061096
331.00,-0.064667
332.00,-0.066711
333.00,-0.064087
334.00,-0.067520
335.00,-0.069931
336.00,-0.064957
337.00,-0.067001
338.00,-0.072662
339.00,-0.072357
340.00,-0.077759
341.00,-0.075348
342.00,-0.076035
343.00,-0.076080
344.00,-0.082092
345.00,-0.076920
346.00,-0.074295
347.00,-0.072754
348.00,-0.079651
349.00,-0.075058
350.00,-0.077774
351.00,-0.077301
352.00,-0.076477
353.00,-0.077789
354.00,-0.077316
355.00,-0.079285
356.00,-0.077271
357.00,-0.080688
358.00,-0.076019
359.00,-0.076508
360.00,-0.075455
361.00,-0.076599
362.00,-0.077744
363.00,-0.075912
364.00,-0.075699
365.00,-0.075500
366.00,-0.077957
367.00,-0.075027
368.00,-0.083466
369.00,-0.083160
370.00,-0.080353
371.00,-0.081192
372.00,-0.078720
373.00,-0.080124
374.00,-0.078461
375.00,-0.077133
376.00,-0.077286
377.00,-0.076797
378.00,-0.080368
379.00,-0.077499
380.00,-0.078995
381.00,-0.081238
382.00,-0.078522
383.00,-0.080795
384.00,-0.078461
385.00,-0.078445
386.00,-0.080124
387.00,-0.079559
388.00,-0.078598
389.00,-0.077728
390.00,-0.079834
391.00,-0.078506
392.00,-0.079071
393.00,-0.077927
394.00,-0.078995
395.00,-0.078735
396.00,-0.078354
397.00,-0.078354
398.00,-0.078415
399.00,-0.078812
400.00,-0.078644
401.00,-0.077850
402.00,-0.078598
403.00,-0.078339
404.00,-0.077316
405.00,-0.075974
406.00,-0.076721
407.00,-0.076660
408.00,-0.074936
409.00,-0.076355
410.00,-0.074783
411.00,-0.073990
412.00,-0.074341
413.00,-0.073212
414.00,-0.072845
415.00,-0.072891
416.00,-0.072052
417.00,-0.071136
418.00,-0.070297
419.00,-0.070877
420.00,-0.070084
421.00,-0.070038
422.00,-0.068832
423.00,-0.068390
424.00,-0.067810
425.00,-0.067688
426.00,-0.067429
427.00,-0.066315
428.00,-0.065826
429.00,-0.065170
430.00,-0.064941
431.00,-0.064941
432.00,-0.064011
433.00,-0.063171
434.00,-0.062851
435.00,-0.062241
436.00,-0.060913
437.00,-0.060425
438.00,-0.060287
439.00,-0.059555
440.00,-0.059616
