"uv vis of CdS 5 s - RawData-001"
"Wavelength nm.","Abs."
195.00,-1.682083
196.00,-2.532867
197.00,-4.000000
198.00,-3.441650
199.00,-0.817291
200.00,-1.780029
201.00,-1.417526
202.00,1.585052
203.00,-2.931992
204.00,-4.000000
205.00,-4.000000
206.00,-2.786270
207.00,-0.011902
208.00,-4.000000
209.00,-2.567276
210.00,-4.000000
211.00,-0.345413
212.00,0.852844
213.00,1.039856
214.00,1.425430
215.00,1.935959
216.00,1.064148
217.00,1.886688
218.00,1.519318
219.00,0.673798
220.00,0.741257
221.00,0.475342
222.00,0.635483
223.00,1.370193
224.00,0.949310
225.00,1.132950
226.00,0.622192
227.00,0.980087
228.00,0.655640
229.00,0.895599
230.00,1.005676
231.00,1.139236
232.00,0.759720
233.00,0.896912
234.00,0.909012
235.00,0.819016
236.00,0.826477
237.00,0.762756
238.00,0.693771
239.00,0.631592
240.00,0.589264
241.00,0.548111
242.00,0.505066
243.00,0.462357
244.00,0.429489
245.00,0.398285
246.00,0.368927
247.00,0.344528
248.00,0.322159
249.00,0.303574
250.00,0.288605
251.00,0.274826
252.00,0.264191
253.00,0.254395
254.00,0.246262
255.00,0.239532
256.00,0.233826
257.00,0.228638
258.00,0.226105
259.00,0.223572
260.00,0.221268
261.00,0.219070
262.00,0.217194
263.00,0.215805
264.00,0.214813
265.00,0.215118
266.00,0.215668
267.00,0.214157
268.00,0.213791
269.00,0.214355
270.00,0.213440
271.00,0.211914
272.00,0.210693
273.00,0.210083
274.00,0.207886
275.00,0.205582
276.00,0.203781
277.00,0.201447
278.00,0.199570
279.00,0.197739
280.00,0.194000
281.00,0.190781
282.00,0.186951
283.00,0.183167
284.00,0.178162
285.00,0.173096
286.00,0.168457
287.00,0.163849
288.00,0.158905
289.00,0.153442
290.00,0.148071
291.00,0.143295
292.00,0.138214
293.00,0.133118
294.00,0.127548
295.00,0.122467
296.00,0.117310
297.00,0.112717
298.00,0.108185
299.00,0.104126
300.00,0.099380
301.00,0.095047
302.00,0.091080
303.00,0.087280
304.00,0.083954
305.00,0.080658
306.00,0.078461
307.00,0.074982
308.00,0.072357
309.00,0.069809
310.00,0.067764
311.00,0.065994
312.00,0.064087
313.00,0.062057
314.00,0.060455
315.00,0.058746
316.00,0.058014
317.00,0.056458
318.00,0.054672
319.00,0.052963
320.00,0.052185
321.00,0.050476
322.00,0.049454
323.00,0.048782
324.00,0.047699
325.00,0.046188
326.00,0.045074
327.00,0.044571
328.00,0.043289
329.00,0.042740
330.00,0.041275
331.00,0.041077
332.00,0.040436
333.00,0.039810
334.00,0.038315
335.00,0.037262
336.00,0.036697
337.00,0.035873
338.00,0.035080
339.00,0.035110
340.00,0.036499
341.00,0.034164
342.00,0.033539
343.00,0.032455
344.00,0.032135
345.00,0.031784
346.00,0.031128
347.00,0.030151
348.00,0.030075
349.00,0.029343
350.00,0.029053
351.00,0.028305
352.00,0.027710
353.00,0.027649
354.00,0.027481
355.00,0.026840
356.00,0.026566
357.00,0.026672
358.00,0.025711
359.00,0.025375
360.00,0.024719
361.00,0.024429
362.00,0.023987
363.00,0.024063
364.00,0.023453
365.00,0.023041
366.00,0.022247
367.00,0.021820
368.00,0.021561
369.00,0.021286
370.00,0.020798
371.00,0.020798
372.00,0.020462
373.00,0.019989
