CdS 10 sec em384 nm (uv 278 nm)-Ex spectra,
Wavelength (nm),Intensity (a.u.)
200,92.54478455
200.9299927,101.7628479
202.0299988,98.5307312
202.9600067,100.5505371
204.0599976,89.09562683
205,99.22100067
205.9299927,85.74202728
207.0299988,95.42086029
207.9600067,80.80622864
209.0599976,99.38520813
210,94.69832611
210.9299927,75.05226135
212.0299988,85.102005
212.9600067,80.19651031
214.0599976,81.06748962
215,74.33927155
215.9299927,71.31719971
217.0299988,67.41184235
217.9600067,65.70675659
219.0599976,66.44944
220,58.44411469
220.9299927,57.89968109
222.0299988,52.62197113
222.9600067,47.38015366
224.0599976,36.84261322
225,37.79359055
225.9299927,35.28102493
227.0299988,35.45291519
227.9600067,30.7783165
229.0599976,34.86236572
230,34.26691437
230.9299927,35.88673019
232.0299988,36.93047333
232.9600067,44.45160675
234.0599976,48.41669464
235,61.08350372
235.9299927,60.27865601
237.0299988,68.78261566
237.9600067,73.67989349
239.0599976,81.29397583
240,84.11631775
240.9299927,84.25256348
242.0299988,84.16973114
242.9600067,81.26303101
244.0599976,78.49903107
245,73.01915741
245.9299927,68.19529724
247.0299988,63.74714661
247.9600067,58.2842865
249.0599976,54.47743225
250,50.94782257
250.9299927,48.85824585
252.0299988,49.23557281
252.9600067,49.15428162
254.0599976,52.8352356
255,54.66530609
255.9299927,56.11629486
257.0299988,62.6313858
257.9599915,66.08760071
259.0599976,66.57683563
260,68.16824341
260.9299927,68.25711823
262.0299988,67.22999573
262.9599915,69.35941315
264.0599976,75.96764374
265,81.032341
265.9299927,88.02300262
267.0299988,93.59805298
267.9599915,99.29766083
269.0599976,107.4029236
270,111.891243
271.0700073,119.7245255
272,123.8276901
273.0700073,128.6295776
274,133.9829712
275.0700073,140.9811096
276,147.7001343
277.0700073,158.6255188
278,166.2172241
279.0700073,181.546814
280,191.8817139
280.9299927,201.4074097
282.0299988,211.9312134
282.9599915,223.4241028
284.0599976,230.8288269
285,241.0919495
285.9299927,246.1935425
287.0299988,255.9861755
287.9599915,268.645752
289.0599976,277.5338135
290,288.7484436
290.9299927,296.6162415
292.0299988,310.1125793
292.9599915,323.9146118
294.0599976,334.6942749
295,345.901825
295.9299927,356.8735046
297.0299988,356.8449707
297.9599915,363.5285645
299.0599976,365.532074
300,366.5934143
301.0700073,369.289978
302,374.5350647
303.0700073,379.6891785
304,376.9473877
305.0700073,386.8827515
306,389.319519
307.0700073,397.4227295
308,403.2079773
309.0700073,402.3195496
310,401.0928955
311.0700073,397.8987732
312,387.9199829
313.0700073,377.1141663
314,369.3760376
315.0700073,362.9604797
316,346.2374573
317.0700073,334.7173462
318,326.9460754
319.0700073,314.9515991
320,307.0634155
320.9299927,290.9911194
322.0299988,281.9096069
322.9599915,276.0842896
324.0599976,264.8788757
325,253.4699707
325.9299927,239.3944397
327.0299988,226.914093
327.9599915,210.7868958
329.0599976,197.8725586
330,179.2390137
331.0700073,152.8719482
332,136.4503174
333.0700073,117.4442368
334,101.453331
335.0700073,85.83927917
336,69.29175568
337.0700073,56.08794403
338,48.65558243
339.0700073,37.61337662
340,31.69348145
341.0700073,25.89300537
342,20.87144089
343.0700073,16.25629044
344,13.14523888
345.0700073,10.59197426
346,8.385976791
347.0700073,5.097084045
348,3.285017014
349.0700073,1.660829544
350,0.555455208
351.0700073,-1.83572197
352,-2.572256088
353.0700073,-3.855944633
354,-4.195336342
355.0700073,-5.244411469
356,-5.769782066
357.0700073,-5.952259064
358,-6.303120613
359.0700073,-6.841044426
360,-7.147891521
361.0700073,-7.490869999
362,-7.507687092
363.0700073,-7.233648777
364,-7.270693779
365.0700073,-7.257527351
366,-7.192066193
367.0700073,-6.584941864
368,-6.532238007
369.0700073,-6.1731987
370,-7.780897141
371.0700073,-7.042198181
