CdS 10sec ex260,,CdS 10sec ex300,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
270,77.43031311,310,11.07336617,
270.9299927,99.17720032,311.0700073,11.89616776,
272.0299988,123.491066,312,12.25399971,
272.9599915,141.6541748,313.0700073,13.57580376,
274.0599976,165.3480072,314,14.88116074,
275,185.7423553,315.0700073,16.41586304,
275.9299927,210.9070435,316,17.20936394,
277.0299988,232.4029388,317.0700073,18.0171051,
277.9599915,250.7344055,318,20.13344574,
279.0599976,259.5377197,319.0700073,22.13093948,
280,270.4095154,320,23.65686417,
280.9299927,279.0016785,320.9299927,25.63605499,
282.0299988,280.6901245,322.0299988,28.21953773,
282.9599915,289.0806885,322.9599915,31.43894577,
284.0599976,299.8489685,324.0599976,33.88450241,
285,294.8378601,325,36.14957047,
285.9299927,298.1991882,325.9299927,38.45674133,
287.0299988,293.63797,327.0299988,42.1253891,
287.9599915,284.7337341,327.9599915,44.28886795,
289.0599976,275.1757202,329.0599976,47.69694901,
290,270.4604492,330,48.7402153,
291.0700073,264.8573303,331.0700073,49.9210434,
292,255.6692505,332,53.93951797,
293.0700073,251.87677,333.0700073,55.45363617,
294,238.8781891,334,59.21033478,
295.0700073,229.3221436,335.0700073,61.60948563,
296,219.0612793,336,64.71092987,
297.0700073,202.3165894,337.0700073,69.68391418,
298,194.1604004,338,73.55923462,
299.0700073,185.0934448,339.0700073,79.5572052,
300,173.8550873,340,84.00125122,
300.9299927,167.6543884,341.0700073,89.07719421,
302.0299988,159.0573883,342,94.36889648,
302.9599915,150.0872192,343.0700073,97.6100235,
304.0599976,140.0123291,344,105.1007538,
305,137.1894379,345.0700073,108.0352783,
305.9299927,128.8769226,346,110.7963486,
307.0299988,119.321228,347.0700073,115.2317123,
307.9599915,113.4659729,348,119.9793396,
309.0599976,106.1452637,349.0700073,120.6583786,
310,99.28865814,350,125.3252716,
311.0700073,96.19274902,351.0700073,129.5726471,
312,90.38594818,352,131.1311188,
313.0700073,83.49539948,353.0700073,135.8358917,
314,78.86283875,354,140.3928986,
315.0700073,76.8693924,355.0700073,141.1631317,
316,72.64642334,356,146.8402557,
317.0700073,68.09281921,357.0700073,148.7095795,
318,65.41953278,358,152.8244476,
319.0700073,64.04110718,359.0700073,154.7920227,
320,62.82274628,360,157.5054016,
320.9299927,59.13416672,361.0700073,160.6169891,
322.0299988,58.25850677,362,166.2254639,
322.9599915,56.57639694,363.0700073,166.3741913,
324.0599976,54.84503174,364,168.1942139,
325,55.08807373,365.0700073,167.2350006,
325.9299927,53.02846146,366,169.2175751,
327.0299988,52.01726913,367.0700073,168.7611542,
327.9599915,50.85612869,368,173.2542572,
329.0599976,50.62696838,369.0700073,170.2599335,
330,50.31478119,370,170.1612549,
331.0700073,48.69326401,371.0700073,168.0487976,
332,49.45866013,372,169.29216,
333.0700073,48.34820557,373.0700073,162.8100891,
334,48.44881439,374,167.1742554,
335.0700073,48.26042557,375.0700073,164.1813965,
336,49.00860214,376,163.0254822,
337.0700073,47.90924835,377.0700073,161.1182251,
338,49.72668457,378,162.5352936,
339.0700073,48.39876175,379.0700073,157.0662079,
340,48.72727203,380,157.4973145,
341.0700073,47.6160202,381.0700073,154.3112488,
342,47.5937233,382,156.6070709,
343.0700073,48.97844315,383.0700073,154.2519836,
344,50.78421402,384,151.3352814,
345.0700073,49.90600967,385.0700073,149.0996552,
346,50.8611908,386,151.4942169,
347.0700073,50.07437897,387.0700073,143.9058533,
348,51.47193527,388,143.6839905,
349.0700073,53.48484039,389.0700073,143.3528748,
350,52.58987045,390,138.0724335,
351.0700073,53.68806839,391.0700073,138.1091156,
352,53.40824509,392,137.6979675,
353.0700073,53.66028595,393.0700073,130.2976837,
354,53.95883942,394,130.456131,
355.0700073,54.16332245,395.0700073,126.7179184,
356,54.01124573,396,126.6019135,
357.0700073,56.09189606,397.0700073,122.4147949,
358,53.92218781,398,119.2269669,
359.0700073,56.11154556,399.0700073,119.521431,
360,53.33252335,400,116.2636642,
361.0700073,54.90155029,401.0700073,113.8663864,
362,53.92475891,402,113.4526215,
363.0700073,55.00383759,403.0700073,107.874527,
364,54.81904221,404,109.784668,
365.0700073,54.84844208,405.0700073,105.4453659,
366,55.24961472,406,104.6005936,
367.0700073,53.39081955,407.0700073,103.7836533,
368,53.59880066,408,98.77233124,
369.0700073,52.78299332,409.0700073,98.88411713,
370,53.19021988,410,97.2226181,
371.0700073,51.45608521,411.0599976,96.41459656,
372,52.76883316,411.9599915,94.34966278,
373.0700073,53.15223694,413.0299988,92.03975677,
374,50.95920181,413.9299927,91.51285553,
375.0700073,52.02067184,415,87.7709198,
376,50.07726288,416.0599976,87.95342255,
377.0700073,50.57290649,416.9599915,86.84268951,
378,50.35652924,418.0299988,84.47515869,
379.0700073,50.03264999,418.9299927,81.44377899,
380,48.17276764,420,81.48082733,
381.0700073,48.33604813,421.0700073,80.18727112,
382,47.78866577,422,79.70337677,
383.0700073,47.7025032,423.0700073,77.0647583,
384,45.92537308,424,77.18707275,
385.0700073,45.79960632,425.0700073,74.96304321,
386,44.27719116,426,74.0769043,
387.0700073,45.09268951,427.0700073,73.58343506,
388,44.54563904,428,69.59164429,
389.0700073,44.73876572,429.0700073,69.38759613,
390,43.66856766,430,68.77630615,
391.0700073,43.06801605,431.0599976,66.96260071,
392,42.5832634,431.9599915,67.54150391,
393.0700073,41.67314529,433.0299988,65.1174469,
394,42.17578125,433.9299927,65.19448853,
395.0700073,41.15470886,435,62.81788635,
396,40.62669373,436.0599976,62.52348328,
397.0700073,40.46160507,436.9599915,61.66134644,
398,40.10181046,438.0299988,59.48823166,
399.0700073,40.5974884,438.9299927,60.53520584,
400,38.6198349,440,59.19646835,
401.0700073,39.70194244,441.0599976,58.68310165,
402,38.06620407,441.9599915,57.83289719,
403.0700073,37.35578918,443.0299988,57.07261276,
404,37.11250687,443.9299927,57.51046753,
405.0700073,36.67710495,445,56.90559769,
406,37.40118408,446.0599976,56.36452103,
407.0700073,35.51237106,446.9599915,55.1750946,
408,36.68897247,448.0299988,53.70084381,
409.0700073,36.09603882,448.9299927,54.05360794,
410,36.66410828,450,54.95439911,
411.0599976,36.16464615,451.0599976,52.79867554,
411.9599915,35.97875977,451.9599915,54.48296356,
413.0299988,34.89572144,453.0299988,53.18874359,
413.9299927,35.92007446,453.9299927,51.95233917,
415,36.4171524,455,52.94284058,
416.0599976,35.2676506,456.0599976,50.9464798,
416.9599915,35.44137192,456.9599915,52.2818718,
418.0299988,35.09048462,458.0299988,52.10771179,
418.9299927,35.37250519,458.9299927,52.15864563,
420,35.13052368,460,51.36779785,
421.0700073,35.16855621,461.0599976,51.65258408,
422,35.63376617,461.9599915,52.20124435,
423.0700073,35.28470612,463.0299988,50.87725449,
424,34.46063995,463.9299927,51.65353394,
425.0700073,34.92528152,465,51.52410126,
426,35.48274612,466.0599976,51.83135223,
427.0700073,35.81155014,466.9599915,50.77852631,
428,34.54595947,468.0299988,49.51865768,
429.0700073,34.88026047,468.9299927,50.29859924,
430,33.98236847,470,50.29748535,
431.0599976,35.2884407,471.0599976,50.40506363,
431.9599915,33.61496735,471.9599915,50.86902618,
433.0299988,33.40834808,473.0299988,51.71371841,
433.9299927,34.21411896,473.9299927,50.36849976,
435,32.77779388,475,49.9315567,
436.0599976,34.33361816,476.0599976,47.26782227,
436.9599915,33.15817261,476.9599915,48.25675583,
438.0299988,33.39857864,478.0299988,49.03782654,
438.9299927,33.42930984,478.9299927,49.08811569,
440,33.51861191,480,47.89237213,
441.0599976,33.51593018,481.0599976,48.74521255,
441.9599915,34.06406784,481.9599915,49.68985748,
443.0299988,34.4095459,483.0299988,47.71714401,
443.9299927,33.45904541,483.9299927,47.4193306,
445,33.51737976,485,47.91491699,
446.0599976,34.49694061,486.0599976,48.16217804,
446.9599915,35.14971924,486.9599915,47.41777802,
448.0299988,34.69314957,488.0299988,48.5104866,
448.9299927,34.66061783,488.9299927,47.72357178,
450,35.02664566,490,48.02456284,
451.0599976,34.79955292,491.0400085,46.86330032,
451.9599915,35.28083801,491.9400024,46.78411865,
453.0299988,35.85505295,492.980011,46.88520813,
453.9299927,34.67979813,494.019989,46.74705505,
455,36.24792099,495.0700073,46.86306381,
