CdS 10sec ODE2 Toluene1 em400,,CdS 10sec ODE2 Toluene1 ex330,,CdS 10sec ODE2 Toluene1 ex310,,CdS 10sec ODE2 Toluene1 ex350,,CdS 10sec ODE2 Toluene1 em417,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
220,-0.228843689,340,-6.827497482,320,0.09692764282,360,3.69748497,220,-0.3926696777,
220.9299927,-6.084676743,341.0700073,-4.538667679,320.9299927,2.565570831,361.0700073,7.461227417,220.9299927,3.703868866,
222.0299988,-5.179784775,342,-0.08480453491,322.0299988,6.186824799,362,9.010368347,222.0299988,-3.15602684,
222.9600067,-4.62682724,343.0700073,2.338596344,322.9599915,8.761707306,363.0700073,10.94133377,222.9600067,-5.808574677,
224.0599976,-10.44675255,344,5.1521492,324.0599976,13.5980835,364,14.59856415,224.0599976,-7.232013702,
225,-11.10032654,345.0700073,10.01728058,325,17.67770004,365.0700073,18.12595367,225,-8.747087479,
225.9299927,-13.51317596,346,12.26158142,325.9299927,20.1973114,366,22.53016281,225.9299927,-12.37337685,
227.0299988,-17.58907318,347.0700073,16.89514542,327.0299988,26.84729767,367.0700073,24.65603638,227.0299988,-14.72920609,
227.9600067,-18.32427979,348,18.22438049,327.9599915,29.48578644,368,29.00074768,227.9600067,-15.65844727,
229.0599976,-18.7364769,349.0700073,24.59341431,329.0599976,33.99026871,369.0700073,34.04676819,229.0599976,-14.36420631,
230,-18.06398392,350,29.66519547,330,37.9661293,370,38.54899597,230,-14.07678223,
230.9299927,-17.69882774,351.0700073,33.17309189,331.0700073,42.45991135,371.0700073,41.86739731,230.9299927,-15.61975861,
232.0299988,-16.06513786,352,37.58676529,332,45.1606636,372,47.41708755,232.0299988,-15.28257179,
232.9600067,-17.16826439,353.0700073,40.91749954,333.0700073,48.05025864,373.0700073,51.99544144,232.9600067,-14.40920448,
234.0599976,-18.63280106,354,45.87935257,334,51.20769882,374,54.42718124,234.0599976,-14.45217514,
235,-16.05677605,355.0700073,51.3350563,335.0700073,54.41202927,375.0700073,60.99553299,235,-11.56682587,
235.9299927,-16.03014374,356,54.74808121,336,58.82129288,376,63.88952255,235.9299927,-12.48521233,
237.0299988,-16.4803772,357.0700073,60.0221138,337.0700073,61.73918533,377.0700073,68.27035522,237.0299988,-13.31321716,
237.9600067,-15.74218941,358,65.26670837,338,66.52880859,378,74.54908752,237.9600067,-10.89657974,
239.0599976,-15.04853439,359.0700073,70.55123901,339.0700073,69.85870361,379.0700073,79.66688538,239.0599976,-14.33240509,
240,-16.61531448,360,76.10794067,340,76.41818237,380,85.47903442,240,-13.68994141,
240.9299927,-14.92905235,361.0700073,82.93104553,341.0700073,78.86190796,381.0700073,89.73577881,240.9299927,-13.09250641,
242.0299988,-16.42914009,362,91.19252014,342,83.36709595,382,93.37007141,242.0299988,-13.27775955,
242.9600067,-16.49381638,363.0700073,96.38790894,343.0700073,87.92485046,383.0700073,103.3899231,242.9600067,-13.81237984,
244.0599976,-16.34116936,364,104.6672363,344,89.55967712,384,106.3465881,244.0599976,-14.08061981,
245,-16.13665009,365.0700073,108.7839355,345.0700073,96.81723022,385.0700073,111.7979126,245,-12.99813461,
245.9299927,-15.81566238,366,114.6796722,346,97.72608948,386,116.7162628,245.9299927,-13.90006065,
247.0299988,-16.2365303,367.0700073,120.3230743,347.0700073,103.7227173,387.0700073,123.8903656,247.0299988,-13.78504944,
247.9600067,-15.47966766,368,126.0414581,348,107.5460663,388,129.3439484,247.9600067,-13.03465271,
249.0599976,-15.54810333,369.0700073,133.0524902,349.0700073,112.3413849,389.0700073,134.5538635,249.0599976,-12.84321785,
250,-15.74845123,370,134.4547424,350,115.3770294,390,137.9653015,250,-12.96438217,
250.9299927,-15.17351151,371.0700073,139.4849396,351.0700073,119.3920746,391.0700073,145.5305939,250.9299927,-13.00924683,
252.0299988,-14.40768623,372,146.8412476,352,123.0272827,392,148.5943298,252.0299988,-11.55420876,
252.9600067,-13.22686577,373.0700073,146.8582458,353.0700073,127.9111328,393.0700073,154.6458435,252.9600067,-11.38303375,
254.0599976,-13.197855,374,154.2276306,354,132.4223328,394,154.6878662,254.0599976,-11.17517471,
255,-12.26355934,375.0700073,158.1149139,355.0700073,134.1553192,395.0700073,158.4721832,255,-11.53860283,
255.9299927,-11.87232208,376,163.6528931,356,137.1984406,396,161.0176086,255.9299927,-10.75554657,
257.0299988,-12.0661068,377.0700073,165.6012115,357.0700073,144.2551422,397.0700073,166.5871582,257.0299988,-9.936244965,
257.9599915,-11.54367638,378,170.0533752,358,146.0610504,398,168.914093,257.9599915,-10.65494156,
259.0599976,-12.2477932,379.0700073,181.0142212,359.0700073,148.7490692,399.0700073,174.1860504,259.0599976,-10.20705795,
260,-11.21528625,380,181.6788788,360,155.1560211,400,175.5533142,260,-10.30763817,
260.9299927,-13.1139431,381.0700073,183.1090851,361.0700073,159.3642426,401.0700073,178.2012939,260.9299927,-11.44395828,
262.0299988,-11.59887314,382,191.1790161,362,159.6975861,402,178.5126038,262.0299988,-10.86665154,
262.9599915,-12.10270691,383.0700073,192.2403107,363.0700073,165.4549561,403.0700073,183.6304016,262.9599915,-11.18175125,
264.0599976,-11.41964149,384,196.6821442,364,169.4394989,404,188.4231567,264.0599976,-10.75308418,
265,-11.8660717,385.0700073,198.3439026,365.0700073,170.498764,405.0700073,189.7202759,265,-10.341465,
265.9299927,-10.28800774,386,200.4592743,366,173.6868134,406,193.2201996,265.9299927,-10.96727371,
