CdS 10sec ex300,,BLANK ex300,,CdS 20sec ex300,,CdS 20sec em365,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
310,11.07336617,310,-0.1176528931,310,3.656645775,220,8.798128128,
311.0700073,11.89616776,311.0700073,0.00643491745,311.0700073,3.830350876,220.9299927,12.11996555,
312,12.25399971,312,0.5082001686,312,5.058737755,222.0299988,9.240164757,
313.0700073,13.57580376,313.0700073,0.5498356819,313.0700073,5.653183937,222.9600067,7.837759972,
314,14.88116074,314,0.9726781845,314,6.339129448,224.0599976,5.705265999,
315.0700073,16.41586304,315.0700073,0.9034986496,315.0700073,6.704855919,225,3.566325188,
316,17.20936394,316,0.8902730942,316,7.477957726,225.9299927,2.619864464,
317.0700073,18.0171051,317.0700073,0.456243515,317.0700073,8.290300369,227.0299988,1.282107353,
318,20.13344574,318,0.2775931358,318,9.424464226,227.9600067,-0.5051827431,
319.0700073,22.13093948,319.0700073,0.3790197372,319.0700073,9.805594444,229.0599976,-0.5691251755,
320,23.65686417,320,0.2215328217,320,11.06242847,230,-1.829819679,
320.9299927,25.63605499,320.9299927,0.8383193016,320.9299927,12.05716228,230.9299927,-0.9061384201,
322.0299988,28.21953773,322.0299988,1.347098351,322.0299988,13.0152483,232.0299988,-0.1819577217,
322.9599915,31.43894577,322.9599915,1.904080391,322.9599915,15.38160419,232.9600067,-0.35090065,
324.0599976,33.88450241,324.0599976,2.493704796,324.0599976,16.8288269,234.0599976,0.6791410446,
325,36.14957047,325,3.125339508,325,18.88175964,235,2.518131256,
325.9299927,38.45674133,325.9299927,3.455998421,325.9299927,20.38302994,235.9299927,1.838723183,
327.0299988,42.1253891,327.0299988,5.037919998,327.0299988,22.2321167,237.0299988,2.832286835,
327.9599915,44.28886795,327.9599915,5.29850769,327.9599915,24.95002365,237.9600067,4.636725426,
329.0599976,47.69694901,329.0599976,5.797172546,329.0599976,25.92123032,239.0599976,6.221046448,
330,48.7402153,330,5.443289757,330,26.29244614,240,6.624550819,
331.0700073,49.9210434,331.0700073,5.584149361,331.0700073,27.69332123,240.9299927,8.776344299,
332,53.93951797,332,4.142449379,332,27.96179581,242.0299988,8.930840492,
333.0700073,55.45363617,333.0700073,3.238785744,333.0700073,29.81036758,242.9600067,11.27583218,
334,59.21033478,334,2.864287376,334,31.89538956,244.0599976,12.75795269,
335.0700073,61.60948563,335.0700073,2.683176994,335.0700073,33.39269638,245,15.64282513,
336,64.71092987,336,2.755270004,336,36.02595139,245.9299927,18.43765259,
337.0700073,69.68391418,337.0700073,2.118280411,337.0700073,37.45038986,247.0299988,20.72039032,
338,73.55923462,338,2.394013405,338,40.6612587,247.9600067,21.54091644,
339.0700073,79.5572052,339.0700073,2.502277374,339.0700073,45.24640274,249.0599976,23.74338913,
340,84.00125122,340,2.357397079,340,46.92728043,250,26.05116653,
341.0700073,89.07719421,341.0700073,2.378020287,341.0700073,50.77719498,250.9299927,27.20281982,
342,94.36889648,342,1.803206444,342,54.32198715,252.0299988,30.10319519,
343.0700073,97.6100235,343.0700073,2.44691658,343.0700073,56.95383453,252.9600067,33.57786179,
344,105.1007538,344,1.935609818,344,59.81039429,254.0599976,37.13673019,
345.0700073,108.0352783,345.0700073,1.43819809,345.0700073,63.72623444,255,36.04837418,
