CdS 30sec uv( ex245 nm),,CdS 30sec uv( em385 nm),,CdS 30sec uv( ex310 nm),,CdS 30sec uv( em375 nm),,CdS 30sec uv( ex305 nm),
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
255,-0.153909117,245,0.511550903,320,-0.652378082,245,0.288955689,314.9200134,-0.103967667
255.9299927,0.077556878,245.9299927,4.572235107,320.9299927,0.976770401,245.9299927,2.801368713,315.8399963,0.61028862
257.0299988,0.06891498,247.0299988,7.930976868,322.0299988,3.311975479,247.0299988,7.263515472,316.9200134,3.391176224
257.9599915,0.043683976,247.9600067,12.06103897,322.9599915,5.740690231,247.9600067,9.897735596,317.8399963,4.87229538
259.0599976,0.276137203,249.0599976,14.56325912,324.0599976,8.167251587,249.0599976,12.56492615,318.9200134,7.055433273
260,0.094954878,250,17.62244797,325,9.56291008,250,16.79013824,319.8399963,8.474533081
260.9299927,0.106005758,250.9299927,19.09000397,325.9299927,11.63574791,250.9299927,19.41353226,320.9299927,10.90990257
262.0299988,0.380720466,252.0299988,24.20222092,327.0299988,15.33063889,252.0299988,23.64000702,321.8699951,13.52685928
262.9599915,0.681144118,252.9600067,27.48353958,327.9599915,16.87218094,252.9600067,27.55291748,322.9599915,16.39010239
264.0599976,0.89688611,254.0599976,32.13027573,329.0599976,20.38095093,254.0599976,32.220047,323.8999939,17.81782532
265,1.526979327,255,32.68059921,330,23.63682556,255,32.84268951,324.8399963,20.44004059
265.9299927,2.434397459,255.9299927,36.7152977,331.0700073,26.58782578,255.9299927,36.10942078,325.9299927,23.79076004
267.0299988,4.640520096,257.0299988,37.75047684,332,31.4015274,257.0299988,38.95194244,326.8699951,26.42135239
267.9599915,7.511479855,257.9599915,39.24951553,333.0700073,36.78171158,257.9599915,39.91120911,327.9599915,30.7545166
269.0599976,11.81219196,259.0599976,39.55215073,334,42.85843658,259.0599976,41.87174988,328.8999939,33.27941895
270,16.58517456,260,40.68017197,335.0700073,48.86069107,260,40.85191345,329.8399963,35.90284729
270.9299927,21.44364357,260.9299927,39.44183731,336,57.10846329,260.9299927,41.46679688,330.9200134,41.14776611
272.0299988,26.8980217,262.0299988,39.06030655,337.0700073,66.00364685,262.0299988,43.65000916,331.8399963,44.74966812
272.9599915,33.6438942,262.9599915,41.46804428,338,73.36523438,262.9599915,43.36239624,332.9200134,52.80577469
274.0599976,40.3822937,264.0599976,44.78982162,339.0700073,85.04272461,264.0599976,46.67279816,333.8399963,58.81277084
275,47.20105362,265,52.1793251,340,93.87440491,265,53.09545135,334.9200134,65.48442078
275.9299927,51.17856979,265.9299927,55.7100563,341.0700073,106.0092316,265.9299927,57.52523804,335.8399963,71.40052795
277.0299988,59.5150528,267.0299988,56.73120499,342,113.5536957,267.0299988,59.29145813,336.9200134,77.33602905
277.9599915,61.16888046,267.9599915,63.34202194,343.0700073,124.5518646,267.9599915,62.7279129,337.8399963,87.59275818
279.0599976,65.3792572,269.0599976,65.77616882,344,133.1654053,269.0599976,69.99013519,338.9200134,94.90699768
280,67.97916412,270,74.2043457,345.0700073,142.9226074,270,77.86850739,339.8399963,103.694809
280.9299927,70.0189209,271.0700073,86.30627441,346,147.5467834,271.0700073,89.14826965,340.9200134,110.5913696
282.0299988,71.34737396,272,93.68565369,347.0700073,158.0684052,272,98.1309967,341.8399963,118.7523956
282.9599915,71.52857208,273.0700073,104.4267426,348,162.5983429,273.0700073,108.4924011,342.9200134,128.618454
284.0599976,74.21562958,274,110.8423157,349.0700073,172.0180054,274,115.9418182,343.8399963,137.7360077
285,75.38294983,275.0700073,119.0566559,350,179.8742828,275.0700073,126.4421387,344.9200134,146.4179382
285.9299927,75.22150421,276,126.5263062,351.0700073,188.0332031,276,132.5361938,345.8399963,153.6295166
287.0299988,74.56723022,277.0700073,133.1258087,352,194.2195587,277.0700073,140.8887482,346.9200134,161.8326416
287.9599915,74.78794098,278,140.3709412,353.0700073,201.6091461,278,146.5882874,347.8399963,171.2503052
289.0599976,71.57735443,279.0700073,145.6572876,354,210.7592468,279.0700073,157.77034,348.9200134,175.8572235
290,71.74660492,280,144.0691986,355.0700073,215.7747345,280,157.1553192,349.8399963,183.4103699
291.0700073,67.95783997,280.9299927,153.5004883,356,227.7762604,280.9299927,161.8861237,350.9200134,189.6481323
292,67.58538055,282.0299988,159.1572266,357.0700073,232.8758545,282.0299988,174.0058594,351.8399963,196.6176758
293.0700073,65.42033386,282.9599915,165.2199554,358,242.047821,282.9599915,174.9506989,352.9200134,205.7425842
294,65.61818695,284.0599976,174.0292511,359.0700073,253.7506104,284.0599976,183.0447998,353.8399963,210.8362885
295.0700073,61.56951141,285,181.5044708,360,259.948822,285,190.1026764,354.9200134,220.8441772
296,59.36969757,285.9299927,186.748764,361.0700073,268.4796143,285.9299927,194.6208954,355.8399963,229.8486023
297.0700073,55.2899437,287.0299988,193.5990295,362,275.7120667,287.0299988,201.9119873,356.9200134,235.3705139
298,52.87290192,287.9599915,194.2294922,363.0700073,280.3862,287.9599915,208.5196228,357.8399963,242.8366089
299.0700073,50.58724594,289.0599976,207.1394043,364,286.8594055,289.0599976,215.5039063,358.9200134,253.8834839
300,48.43691254,290,211.6028442,365.0700073,289.4340515,290,226.0766144,359.8399963,260.5796204
300.9299927,47.06040573,290.9299927,219.1108551,366,296.9638062,290.9299927,229.6877899,360.9200134,265.7281494
302.0299988,43.94460678,292.0299988,226.9434052,367.0700073,303.3706665,292.0299988,239.8584747,361.8399963,271.3416443
302.9599915,41.61509323,292.9599915,233.6277618,368,299.3034058,292.9599915,241.2075958,362.9200134,275.5456848
304.0599976,40.23898315,294.0599976,237.3735199,369.0700073,305.7579651,294.0599976,247.1891327,363.8399963,281.8738403
305,37.54492188,295,244.3733673,370,305.5574951,295,255.0775909,364.9200134,286.7415771
305.9299927,36.83523178,295.9299927,249.1421051,371.0700073,304.6106567,295.9299927,263.234436,365.8399963,291.8490295
307.0299988,35.04516983,297.0299988,251.0478973,372,300.6513977,297.0299988,263.5437012,366.9200134,293.9159241
307.9599915,33.36339569,297.9599915,256.8046875,373.0700073,299.9040222,297.9599915,268.3304443,367.8399963,294.0119629
309.0599976,30.7444973,299.0599976,260.5510864,374,303.2104492,299.0599976,271.6483154,368.9200134,297.4537354
310,31.77251434,300,262.9281006,375.0700073,302.6486511,300,268.8257446,369.8399963,293.2213135
311.0700073,29.09777451,301.0700073,264.5058289,376,305.7209473,301.0700073,273.1132202,370.9200134,297.7363892
312,27.96662712,302,264.1894531,377.0700073,303.2828369,302,272.8646851,371.8399963,293.9157715
313.0700073,27.96041489,303.0700073,267.4780884,378,305.9612732,303.0700073,273.7566528,372.9200134,296.2267456
314,27.10429573,304,272.299408,379.0700073,303.92099,304,275.7123413,373.8399963,295.7312927
315.0700073,26.03870392,305.0700073,273.8985291,380,301.3786621,305.0700073,276.8703613,374.9200134,293.0359192
316,25.70171356,306,271.2255859,381.0700073,301.9541321,306,275.9204102,375.8399963,295.892334
317.0700073,25.51638985,307.0700073,274.2831726,382,300.908783,307.0700073,278.3902588,376.9200134,294.2492065
318,23.83682632,308,280.3265686,383.0700073,297.9068909,308,277.4884644,377.8399963,290.2806396
319.0700073,25.68556404,309.0700073,278.8682556,384,296.8880005,309.0700073,279.2507324,378.9200134,294.8839722
320,23.61058998,310,281.137085,385.0700073,297.9847107,310,282.2472534,379.8399963,290.4563293
320.9299927,23.76252174,311.0700073,284.3874512,386,297.0865784,311.0700073,281.7235718,380.9200134,288.9210815
