CdS 40sec em375,,CdS 40sec ex310,,CdS 40sec em380,,CdS 40sec em385,,CdS 40sec ex315,,CdS 40sec ex260,,CdS 40sec em285,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
240,-0.308216095,320,0.4422340393,240,-0.2574558258,240,1.887624741,325,-0.616361618,270,-1.700416565,220,5.489315033,
240.9299927,2.226566315,320.9299927,0.9703025818,240.9299927,1.503377914,240.9299927,2.23434639,325.9299927,1.292648315,270.9299927,33.27185822,220.9299927,-1.754688263,
242.0299988,4.218610764,322.0299988,3.116327286,242.0299988,4.123313904,242.0299988,5.369409561,327.0299988,2.928815842,272.0299988,80.98093414,222.0299988,-7.896820068,
242.9600067,6.017244339,322.9599915,4.692811966,242.9600067,5.466220856,242.9600067,7.067874908,327.9599915,5.816963196,272.9599915,124.6338577,222.9600067,-9.66468811,
244.0599976,10.19866371,324.0599976,7.365194321,244.0599976,10.47793961,244.0599976,12.40807152,329.0599976,7.961261749,274.0599976,183.4877014,224.0599976,-15.93973732,
245,13.04916191,325,8.773044586,245,14.13729095,245,16.24518776,330,10.12531662,275,226.4715881,225,-19.01412964,
245.9299927,16.88105202,325.9299927,10.27075958,245.9299927,18.94249725,245.9299927,20.21090508,331.0700073,11.80510139,275.9299927,272.8702087,225.9299927,-24.93360519,
247.0299988,19.98682213,327.0299988,12.65705681,247.0299988,21.80008698,247.0299988,25.60504341,332,16.2997303,277.0299988,320.8875122,227.0299988,-29.89864159,
247.9600067,22.55543327,327.9599915,15.48715782,247.9600067,25.57904434,247.9600067,26.90618706,333.0700073,19.31014824,277.9599915,352.0919495,227.9600067,-31.69930649,
249.0599976,25.82294273,329.0599976,19.34957314,249.0599976,27.71897888,249.0599976,31.20300102,334,22.80306053,279.0599976,375.1177368,229.0599976,-32.84302902,
250,27.33236885,330,20.30974388,250,30.49661636,250,34.71073914,335.0700073,27.42899895,280,388.9336548,230,-34.31327057,
250.9299927,31.87623024,331.0700073,22.65941048,250.9299927,32.92673111,250.9299927,36.94068146,336,34.24865723,280.9299927,401.3308411,230.9299927,-34.17376328,
252.0299988,34.86833954,332,25.72722816,252.0299988,36.52967834,252.0299988,40.36200714,337.0700073,40.69126892,282.0299988,417.3586731,232.0299988,-32.49934387,
252.9600067,37.39121246,333.0700073,29.67798805,252.9600067,38.82435608,252.9600067,41.8961792,338,44.84667969,282.9599915,433.3983459,232.9600067,-31.85904503,
254.0599976,41.05583191,334,36.14795685,254.0599976,41.69602585,254.0599976,46.33409882,339.0700073,51.93552399,284.0599976,443.3109436,234.0599976,-31.91508865,
255,42.25759125,335.0700073,40.91654205,255,44.8087883,255,49.53488159,340,58.24507904,285,452.0948181,235,-30.20793915,
255.9299927,44.75100708,336,46.09864044,255.9299927,45.0627861,255.9299927,48.25238037,341.0700073,69.18171692,285.9299927,444.8409119,235.9299927,-29.63261032,
257.0299988,44.21260834,337.0700073,54.82701111,257.0299988,46.40127945,257.0299988,50.87394714,342,76.65275574,287.0299988,437.9760437,237.0299988,-25.88209343,
257.9599915,45.89016724,338,59.77557373,257.9599915,49.56747818,257.9599915,52.53518677,343.0700073,85.97132111,287.9599915,423.556366,237.9600067,-24.44319534,
259.0599976,48.25933075,339.0700073,70.54066467,259.0599976,48.10289383,259.0599976,52.46561432,344,92.56132507,289.0599976,410.0906067,239.0599976,-20.43925667,
260,46.40620422,340,78.07397461,260,48.91143417,260,52.12252808,345.0700073,102.5955887,290,396.1878357,240,-13.25096893,
260.9299927,47.73200226,341.0700073,87.64173889,260.9299927,48.97557449,260.9299927,51.24739838,346,107.7303848,291.0700073,387.6411438,240.9299927,-9.07258606,
262.0299988,48.09584045,342,93.25750732,262.0299988,47.94207382,262.0299988,51.59439087,347.0700073,115.3113098,292,378.2130127,242.0299988,-1.719249725,
262.9599915,48.19709778,343.0700073,102.1548767,262.9599915,48.71094131,262.9599915,53.22055817,348,123.7855377,293.0700073,362.077301,242.9600067,6.526535034,
264.0599976,52.7551651,344,110.0359116,264.0599976,53.6096611,264.0599976,56.56497955,349.0700073,128.7215424,294,345.3600769,244.0599976,24.23664474,
265,57.3536911,345.0700073,115.103363,265,58.77183914,265,62.17504883,350,134.6651917,295.0700073,327.136261,245,43.63009262,
265.9299927,61.22899628,346,120.5431519,265.9299927,60.43522263,265.9299927,64.52959442,351.0700073,138.4603424,296,306.5413513,245.9299927,61.12730789,
267.0299988,64.95211792,347.0700073,127.4854279,267.0299988,65.4889679,267.0299988,65.65348816,352,143.1485596,297.0700073,280.6018372,247.0299988,86.75619507,
267.9599915,65.58663177,348,132.8650208,267.9599915,67.52301025,267.9599915,70.44163513,353.0700073,149.8090973,298,253.9479675,247.9600067,106.9653168,
269.0599976,70.47936249,349.0700073,139.3874054,269.0599976,73.13014221,269.0599976,76.07156372,354,152.502533,299.0700073,233.9633789,249.0599976,134.0946808,
270,81.10552216,350,144.2100525,270,81.13929749,270,82.69319916,355.0700073,164.2553101,300,214.9147644,250,159.3386688,
271.0700073,90.07514954,351.0700073,151.2256775,271.0700073,91.97889709,271.0700073,93.70179749,356,172.6050262,300.9299927,204.7886658,250.9299927,184.296875,
272,98.26102448,352,157.6061401,272,99.57142639,272,101.8331757,357.0700073,178.8025055,302.0299988,187.0436096,252.0299988,228.986145,
273.0700073,107.7645035,353.0700073,166.6342468,273.0700073,108.5917358,273.0700073,112.2508163,358,183.1118622,302.9599915,172.5764771,252.9600067,264.5379639,
274,116.6129684,354,169.6591492,274,117.8602142,274,121.0011368,359.0700073,190.6092224,304.0599976,150.9162292,254.0599976,315.2016296,
275.0700073,122.6525803,355.0700073,176.9403992,275.0700073,124.9284821,275.0700073,127.636528,360,200.0427551,305,138.5751648,255,353.816864,
276,129.8795166,356,182.8157196,276,130.7755737,276,133.4337616,361.0700073,205.6835632,305.9299927,122.3843002,255.9299927,386.8539429,
277.0700073,136.9723969,357.0700073,190.6299744,277.0700073,136.2951965,277.0700073,137.9789734,362,208.561615,307.0299988,109.5717392,257.0299988,437.3887939,
278,142.1117096,358,200.8913269,278,143.5251007,278,146.4723511,363.0700073,220.1732483,307.9599915,92.23604584,257.9599915,476.2198792,
279.0700073,149.181427,359.0700073,204.9441833,279.0700073,148.6884613,279.0700073,152.4142761,364,224.8913727,309.0599976,79.08489227,259.0599976,512.4193726,
280,149.9633179,360,213.5584412,280,148.5834656,280,150.7248993,365.0700073,229.4866333,310,69.50936127,260,522.4101563,
280.9299927,153.7650299,361.0700073,219.4713745,280.9299927,153.9268951,280.9299927,160.0187378,366,229.673172,311.0700073,60.53247833,260.9299927,535.6708374,
282.0299988,162.6381531,362,223.9889679,282.0299988,161.7591095,282.0299988,161.8793335,367.0700073,238.514267,312,48.38881683,262.0299988,531.8585815,
282.9599915,165.3856354,363.0700073,232.7915649,282.9599915,168.1884308,282.9599915,167.1559296,368,241.6805115,313.0700073,37.73801422,262.9599915,526.2322998,
284.0599976,173.2832947,364,236.8181458,284.0599976,173.5450592,284.0599976,173.3246002,369.0700073,242.2488098,314,28.82515717,264.0599976,507.2497253,
285,178.7391205,365.0700073,240.5175476,285,177.8516846,285,179.2079926,370,243.8547363,315.0700073,21.83660126,265,485.5979919,
285.9299927,180.8750916,366,248.7736511,285.9299927,180.7022247,285.9299927,184.2725067,371.0700073,245.2772217,316,16.57167816,265.9299927,480.7658386,
287.0299988,187.6374207,367.0700073,251.5076294,287.0299988,188.7749023,287.0299988,186.2107086,372,247.2653503,317.0700073,8.841590881,267.0299988,469.5617981,
287.9599915,193.3988037,368,249.3969727,287.9599915,192.7613831,287.9599915,192.731308,373.0700073,246.2813416,318,0.3674621582,267.9599915,457.4267883,
289.0599976,198.6971893,369.0700073,251.7518616,289.0599976,198.4638062,289.0599976,200.6066589,374,250.3967285,319.0700073,-6.205291748,269.0599976,422.6134644,
290,208.1298828,370,253.3096313,290,206.5302124,290,207.4365692,375.0700073,251.664978,320,-11.02939606,270,369.1330566,
290.9299927,209.7337646,371.0700073,251.4611816,290.9299927,208.0753479,290.9299927,207.2653503,376,251.3401489,320.9299927,-13.78274536,271.0700073,299.242981,
292.0299988,215.9030151,372,253.9522705,292.0299988,217.0251923,292.0299988,216.3376923,377.0700073,255.5428772,322.0299988,-21.95249176,272,235.7657776,
292.9599915,221.5340271,373.0700073,258.1455383,292.9599915,219.7913055,292.9599915,219.9156494,378,256.571991,322.9599915,-24.74786377,273.0700073,165.3172913,
294.0599976,223.7342072,374,259.4630127,294.0599976,226.7102051,294.0599976,226.0101929,379.0700073,257.0180969,324.0599976,-28.52996063,274,110.412796,
295,228.7380676,375.0700073,258.0255432,295,232.5240326,295,229.6485443,380,257.9836731,325,-31.71630096,275.0700073,62.83442307,
295.9299927,234.6390991,376,260.759491,295.9299927,236.1806488,295.9299927,236.3478088,381.0700073,260.8109436,325.9299927,-34.38859558,,,
297.0299988,236.4788513,377.0700073,258.9917603,297.0299988,240.6848602,297.0299988,242.1474304,382,263.8043518,327.0299988,-38.15453339,,,
297.9599915,238.8928528,378,264.7067871,297.9599915,244.1360016,297.9599915,241.1239014,383.0700073,266.5845947,327.9599915,-40.82308197,,,
299.0599976,240.2993469,379.0700073,262.6730652,299.0599976,242.8463287,299.0599976,243.647522,384,268.0765991,329.0599976,-42.59886932,,,
300,240.461792,380,264.1789551,300,244.754715,300,246.9535522,385.0700073,267.4189758,330,-44.99869537,,,
301.0700073,241.8369446,381.0700073,265.2978821,301.0700073,246.5712738,301.0700073,249.2012329,386,269.4693604,331.0700073,-47.06755829,,,
302,244.9711914,382,263.9829712,302,246.8362885,302,247.9660034,387.0700073,267.5387878,332,-48.41365051,,,
303.0700073,246.1473389,383.0700073,270.2356567,303.0700073,252.1756134,303.0700073,249.5184326,388,267.3557129,333.0700073,-50.78895569,,,
304,246.2969666,384,268.8141479,304,252.1582184,304,251.2286682,389.0700073,266.5423279,334,-51.40582275,,,
305.0700073,248.2109985,385.0700073,267.7517395,305.0700073,252.0796356,305.0700073,252.8746338,390,264.1616516,335.0700073,-53.04989624,,,
306,250.2792969,386,268.8385315,306,256.0323792,306,256.0531006,391.0700073,263.6867981,336,-52.87565613,,,
307.0700073,250.6369629,387.0700073,270.0248718,307.0700073,254.1684418,307.0700073,259.5807495,392,262.368988,337.0700073,-53.79617691,,,
308,251.5025635,388,266.7164917,308,257.2378845,308,261.282196,393.0700073,262.0934448,338,-54.17383957,,,
309.0700073,253.3633423,389.0700073,262.9621582,309.0700073,257.7967834,309.0700073,260.916748,394,258.5104675,339.0700073,-55.54903412,,,
310,253.6413574,390,265.2546997,310,260.6825867,310,264.0942078,395.0700073,258.1271973,340,-55.46259689,,,
311.0700073,249.3938599,391.0700073,263.0176697,311.0700073,263.8226318,311.0700073,264.1981201,396,253.0658569,341.0700073,-55.73758698,,,
312,254.0465698,392,258.8337708,312,259.5398865,312,262.0018921,397.0700073,251.5706482,342,-55.89380264,,,
313.0700073,250.6533508,393.0700073,259.5471191,313.0700073,260.6824951,313.0700073,261.1173401,398,249.1540833,343.0700073,-55.04823303,,,
314,249.1569519,394,256.7381897,314,258.6825562,314,265.2219543,399.0700073,245.8695984,344,-55.35185242,,,
315.0700073,247.1392822,395.0700073,254.6783752,315.0700073,253.8567963,315.0700073,259.710907,400,246.4766235,345.0700073,-56.70205307,,,
316,240.8439331,396,254.1440125,316,252.9115143,316,261.1089172,401.0700073,239.4475098,346,-55.50656509,,,
317.0700073,235.5135193,397.0700073,249.2263489,317.0700073,249.3312225,317.0700073,254.973999,402,237.2395325,347.0700073,-56.2792778,,,
318,235.8462219,398,245.1447144,318,244.7864838,318,251.4499817,403.0700073,235.830368,348,-55.98864746,,,
319.0700073,225.8923645,399.0700073,246.3901062,319.0700073,239.8821564,319.0700073,248.1411133,404,230.6563568,349.0700073,-55.21869278,,,
320,224.7682037,400,241.2281494,320,236.7966766,320,240.45755,405.0700073,229.6815948,350,-55.8698349,,,
320.9299927,213.6698761,401.0700073,240.5843811,320.9299927,226.8541718,320.9299927,238.3190308,406,226.824585,351.0700073,-53.44939423,,,
322.0299988,209.2592316,402,234.4347382,322.0299988,220.9954224,322.0299988,235.0226135,407.0700073,223.9658966,352,-54.1472435,,,
322.9599915,207.3819427,403.0700073,234.8558502,322.9599915,220.4941101,322.9599915,231.3214722,408,219.7736206,353.0700073,-54.64015198,,,
324.0599976,201.3046265,404,232.0097504,324.0599976,219.0184174,324.0599976,228.8070831,409.0700073,219.8131866,354,-53.36566162,,,
325,198.6583557,405.0700073,227.5926971,325,215.0493927,325,227.3816986,410,215.5325165,355.0700073,-52.76838684,,,
325.9299927,193.7280273,406,226.9472351,325.9299927,209.0364685,325.9299927,223.4356995,411.0599976,211.2853851,356,-52.17799377,,,
327.0299988,187.0499573,407.0700073,225.6978455,327.0299988,204.858078,327.0299988,217.9017181,411.9599915,208.350769,357.0700073,-52.0898056,,,
327.9599915,185.1358185,408,218.641037,327.9599915,202.0426483,327.9599915,214.8916016,413.0299988,207.1041718,358,-52.04128265,,,
329.0599976,177.9781036,409.0700073,219.0341949,329.0599976,192.7172394,329.0599976,207.6639099,413.9299927,202.0174866,359.0700073,-51.50234985,,,
330,167.0401764,410,212.4089355,330,189.5001678,330,203.8865662,415,199.638443,360,-51.95329285,,,
331.0700073,161.1806641,411.0599976,211.5684967,331.0700073,179.5139313,331.0700073,192.556488,416.0599976,194.8675842,361.0700073,-51.50967407,,,
332,154.6653595,411.9599915,209.9551849,332,172.5415497,332,190.1607056,416.9599915,193.9659424,362,-50.94262695,,,
333.0700073,145.796051,413.0299988,206.4822235,333.0700073,163.8322906,333.0700073,181.958725,418.0299988,189.9406128,363.0700073,-50.92132568,,,
334,140.607254,413.9299927,206.1988678,334,155.7118988,334,177.3329926,418.9299927,187.9642639,364,-49.64052582,,,
335.0700073,128.9102631,415,202.9882507,335.0700073,149.545578,335.0700073,168.5417175,420,185.7062531,365.0700073,-49.83116913,,,
336,122.2164993,416.0599976,199.0283203,336,140.704895,336,161.99617,421.0700073,181.507019,366,-50.19534302,,,
337.0700073,115.1587601,416.9599915,196.3751678,337.0700073,130.726181,337.0700073,153.1776581,422,180.930954,367.0700073,-49.73752594,,,
338,105.7985764,418.0299988,191.9364014,338,123.5587463,338,144.3959656,423.0700073,174.1669769,368,-50.68099976,,,
339.0700073,95.09023285,418.9299927,188.7271881,339.0700073,119.4836884,339.0700073,138.8684692,424,169.2274933,369.0700073,-49.81802368,,,
340,89.47564697,420,185.3210602,340,113.0778656,340,131.7727051,425.0700073,165.8115082,370,-49.46585846,,,
341.0700073,79.54725647,421.0700073,183.7336273,341.0700073,107.4301453,341.0700073,124.9469833,426,162.7978058,371.0700073,-49.53139496,,,
342,74.81639099,422,182.9510651,342,101.005188,342,122.5613632,427.0700073,161.5283813,372,-50.50099945,,,
343.0700073,68.18193054,423.0700073,176.2844238,343.0700073,98.52861023,343.0700073,117.8535843,428,158.7962341,373.0700073,-49.64277649,,,
344,63.64356995,424,176.1257172,344,90.15480042,344,115.1626205,429.0700073,155.5316925,374,-49.26461029,,,
345.0700073,61.17549896,425.0700073,169.6524811,345.0700073,83.97512817,345.0700073,113.632164,430,153.7040405,375.0700073,-48.618927,,,
346,55.55696106,426,167.3985443,346,82.39678955,346,107.2134171,431.0599976,147.9817963,376,-47.89515686,,,
347.0700073,52.40599823,427.0700073,165.9007568,347.0700073,76.31074524,347.0700073,104.6128922,431.9599915,146.3643036,377.0700073,-47.98201752,,,
348,51.65126801,428,161.8840179,348,69.77436829,348,97.90113831,433.0299988,143.8421021,378,-46.90625763,,,
349.0700073,46.92938995,429.0700073,159.8535461,349.0700073,67.23085022,349.0700073,93.28039551,433.9299927,140.6619263,379.0700073,-45.64072418,,,
350,43.03414917,430,154.2825165,350,64.57080078,350,89.57904053,435,139.2472687,380,-46.6988678,,,
351.0700073,39.16882324,431.0599976,153.2474823,351.0700073,61.30885696,351.0700073,83.46539307,436.0599976,133.458374,381.0700073,-45.44328308,,,
352,35.63722229,431.9599915,150.9109802,352,57.52073288,352,79.29240417,436.9599915,131.7629395,382,-44.45901489,,,
353.0700073,32.01796722,433.0299988,147.3864594,353.0700073,51.83864975,353.0700073,75.751297,438.0299988,129.4313507,383.0700073,-43.24455261,,,
354,31.17126274,433.9299927,145.2527008,354,48.8205452,354,72.96196747,438.9299927,127.1383972,384,-42.80183411,,,
355.0700073,29.24502754,435,143.5802155,355.0700073,46.79501724,355.0700073,67.81614685,440,123.4725647,385.0700073,-43.21833801,,,
356,26.49715996,436.0599976,142.1274109,356,44.43024826,356,67.14250946,441.0599976,125.6034546,386,-40.91487885,,,
357.0700073,23.57838249,436.9599915,138.1154633,357.0700073,40.14059067,357.0700073,60.9165802,441.9599915,123.0331726,387.0700073,-39.79279327,,,
