CdS 60sec ODE2 Toluene1 em420,,CdS 60sec ODE2 Toluene1 ex340,,CdS 60sec ODE2 Toluene1 em415,,CdS 60sec ODE2 Toluene1 ex335,,CdS 60sec ODE2 Toluene1 em430,,CdS 60sec ODE2 Toluene1 em410,,CdS 60sec ODE2 Toluene1 ex335,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
240,-0.5641727448,350,0.1624851227,240,-0.009265899658,344.9200134,0.5288028717,240,-2.031539917,240,-1.528903961,344.9200134,0.4672698975,
240.9299927,-0.06777572632,351.0700073,1.196094513,240.9299927,-1.030675888,345.8399963,1.986608505,240.9299927,-1.080963135,240.9299927,-2.94553566,345.8399963,1.989469528,
242.0299988,-0.4361076355,352,3.448606491,242.0299988,0.3133525848,346.9200134,4.072942734,242.0299988,-0.1114425659,242.0299988,-1.293159485,346.9200134,4.172426224,
242.9600067,0.1071243286,353.0700073,5.187553406,242.9600067,-0.3625106812,347.8399963,6.958602905,242.9600067,-1.720155716,242.9600067,-2.108137131,347.8399963,6.845252991,
244.0599976,-1.231172562,354,8.45042038,244.0599976,-0.8773765564,348.9200134,11.10417557,244.0599976,-1.974990845,244.0599976,-1.09528923,348.9200134,9.222816467,
245,-0.05149078369,355.0700073,13.10382271,245,0.3233566284,349.8399963,12.78548813,245,-1.604820251,245,-1.882038116,349.8399963,11.48735809,
245.9299927,-0.8208351135,356,14.57377815,245.9299927,-0.6492328644,350.9200134,16.64547729,245.9299927,-1.221094131,245.9299927,-1.482906342,350.9200134,14.89490891,
247.0299988,-0.5209369659,357.0700073,19.50786018,247.0299988,-0.1961612701,351.8399963,18.33694077,247.0299988,-1.599451065,247.0299988,-1.512273788,351.8399963,17.63822556,
247.9600067,-0.1767425537,358,22.82560921,247.9600067,-0.3122329712,352.9200134,21.65220261,247.9600067,-1.652162552,247.9600067,-2.068916321,352.9200134,23.77739716,
249.0599976,0.5244274139,359.0700073,26.18530846,249.0599976,-0.2841930389,353.8399963,25.92447281,249.0599976,-0.9555473328,249.0599976,-1.765552521,353.8399963,25.08347321,
250,0.2935371399,360,31.14450264,250,0.2579803467,354.9200134,30.08365631,250,-1.141342163,250,-1.177576065,354.9200134,28.50384521,
250.9299927,1.245485306,361.0700073,34.82112885,250.9299927,0.9042491913,355.8399963,33.99689102,250.9299927,-1.06864357,250.9299927,-0.05121612549,355.8399963,32.55255508,
252.0299988,0.6117248535,362,38.89758301,252.0299988,1.621408463,356.9200134,37.67479706,252.0299988,0.7801074982,252.0299988,-0.4403095245,356.9200134,37.2304039,
252.9600067,0.913898468,363.0700073,42.81871796,252.9600067,1.956508636,357.8399963,40.64699173,252.9600067,-0.2763404846,252.9600067,0.2147064209,357.8399963,39.84231186,
254.0599976,2.212022781,364,47.22966766,254.0599976,2.234666824,358.9200134,47.3699379,254.0599976,-0.6737556458,254.0599976,0.6700134277,358.9200134,45.85486221,
255,2.900056839,365.0700073,54.24237823,255,3.155080795,359.8399963,50.56027603,255,1.289560318,255,0.7977600098,359.8399963,51.21434402,
255.9299927,1.373659134,366,57.24777985,255.9299927,2.089679718,360.9200134,55.45684433,255.9299927,-0.08347320557,255.9299927,1.802934647,360.9200134,54.58327866,
257.0299988,2.400058746,367.0700073,62.13975525,257.0299988,3.192228317,361.8399963,58.87395859,257.0299988,-0.09927368164,257.0299988,1.934383392,361.8399963,59.61504745,
257.9599915,3.945817947,368,67.36839294,257.9599915,3.866973877,362.9200134,64.1762085,257.9599915,0.3677978516,257.9599915,1.451738358,362.9200134,63.76832962,
259.0599976,2.426050186,369.0700073,73.75654602,259.0599976,3.047119141,363.8399963,70.9944458,259.0599976,-0.0691242218,259.0599976,1.231307983,363.8399963,71.76783752,
260,2.752717972,370,75.7996521,260,2.606527328,364.9200134,74.11627197,260,-0.3775596619,260,1.692590714,364.9200134,75.90176392,
260.9299927,1.746454239,371.0700073,83.84902954,260.9299927,3.300872803,365.8399963,83.06661987,260.9299927,-0.7420082092,260.9299927,1.534992218,365.8399963,79.89704895,
262.0299988,2.278493881,372,85.85276794,262.0299988,2.365411758,366.9200134,88.27545166,262.0299988,-0.6858386993,262.0299988,1.657793045,366.9200134,87.09953308,
262.9599915,1.355905533,373.0700073,97.01147461,262.9599915,2.474611282,367.8399963,94.2744751,262.9599915,0.2657356262,262.9599915,1.76776886,367.8399963,95.57450867,
264.0599976,1.998508453,374,97.80363464,264.0599976,3.110412598,368.9200134,99.78147888,264.0599976,0.2224388123,264.0599976,1.887058258,368.9200134,98.70010376,
265,2.112878799,375.0700073,105.4833527,265,2.686853409,369.8399963,106.8468018,265,-0.6957778931,265,2.353624344,369.8399963,108.5466919,
265.9299927,2.081855774,376,109.7183075,265.9299927,3.176008224,370.9200134,112.3731689,265.9299927,-0.5532627106,265.9299927,2.341520309,370.9200134,112.0241394,
267.0299988,1.071136475,377.0700073,117.4627991,267.0299988,2.214788437,371.8399963,116.6583252,267.0299988,-1.553962708,267.0299988,1.664405823,371.8399963,114.3061523,
267.9599915,0.8489570618,378,123.4821167,267.9599915,2.57257843,372.9200134,124.3557281,267.9599915,-1.462594986,267.9599915,1.058292389,372.9200134,120.6139679,
269.0599976,-0.4601783752,379.0700073,129.8650818,269.0599976,1.753469467,373.8399963,126.2637177,269.0599976,-2.661529541,269.0599976,-0.1900234222,373.8399963,124.1236725,
270,-0.6620750427,380,132.9963837,270,-0.1266403198,374.9200134,132.6820831,270,-3.387556076,270,-0.469543457,374.9200134,129.7297516,
271.0700073,-1.231117249,381.0700073,139.3739471,271.0700073,0.5275650024,375.8399963,133.5426483,271.0700073,-3.623321533,271.0700073,-1.18091774,375.8399963,134.3641205,
272,-1.940412521,382,143.9697266,272,-1.077838898,376.9200134,141.2642517,272,-4.45016861,272,-1.666103363,376.9200134,138.2341309,
273.0700073,-2.548036575,383.0700073,148.7751617,273.0700073,-2.203073502,377.8399963,144.2199402,273.0700073,-5.856001854,273.0700073,-2.542163849,377.8399963,141.4980316,
274,-3.434318542,384,151.4898987,274,-2.398054123,378.9200134,147.9967957,274,-6.764627457,274,-3.797588348,378.9200134,150.1451111,
275.0700073,-4.918689728,385.0700073,156.804306,275.0700073,-4.156847,379.8399963,152.6844635,275.0700073,-6.651891708,275.0700073,-5.089447021,379.8399963,151.6099548,
276,-5.242586136,386,156.7750092,276,-3.636646271,380.9200134,157.7022552,276,-6.899861336,276,-4.840877533,380.9200134,158.1745148,
277.0700073,-5.016857147,387.0700073,162.8291931,277.0700073,-4.193878174,381.8399963,161.8026886,277.0700073,-6.82443428,277.0700073,-5.287452698,381.8399963,162.5096436,
278,-3.030109406,388,169.80159,278,-3.10528183,382.9200134,166.21875,278,-5.442323685,278,-3.501131058,382.9200134,167.3874359,
279.0700073,0.3553905487,389.0700073,176.2091522,279.0700073,1.635816574,383.8399963,170.1101837,279.0700073,-0.4567947388,279.0700073,1.019773483,383.8399963,167.6894226,
280,4.889387131,390,177.026947,280,7.553741455,384.9200134,173.676178,280,3.846662521,280,5.818426132,384.9200134,174.9537048,
280.9299927,12.88206482,391.0700073,181.0070801,280.9299927,14.32247353,385.8399963,179.361084,280.9299927,11.44914627,280.9299927,13.92872429,385.8399963,184.0106201,
282.0299988,21.49242401,392,184.295105,282.0299988,23.0134716,386.9200134,185.1999817,282.0299988,19.96908569,282.0299988,22.75410271,386.9200134,184.692276,
282.9599915,30.64686203,393.0700073,188.7326508,282.9599915,32.70704651,387.8399963,191.1591339,282.9599915,28.9180336,282.9599915,31.1796093,387.8399963,184.8585052,
284.0599976,41.2265358,394,193.3117371,284.0599976,41.83538818,388.9200134,190.6183167,284.0599976,38.34832001,284.0599976,40.971138,388.9200134,194.0315399,
285,50.18416214,395.0700073,192.9461365,285,52.60193634,389.8399963,194.1802979,285,47.61469269,285,50.26950836,389.8399963,197.7414703,
285.9299927,58.02923965,396,197.6972656,285.9299927,59.76559448,390.9200134,198.9160461,285.9299927,53.48769379,285.9299927,60.7678833,390.9200134,198.4480286,
287.0299988,64.71363831,397.0700073,203.1042023,287.0299988,67.6856842,391.8399963,202.7196503,287.0299988,62.27450562,287.0299988,67.46437836,391.8399963,200.0198822,
287.9599915,71.5730896,398,207.2640076,287.9599915,75.03620911,392.9200134,207.4647522,287.9599915,67.032547,287.9599915,72.56732941,392.9200134,205.7350159,
289.0599976,78.20283508,399.0700073,210.6350555,289.0599976,81.23948669,393.8399963,207.357666,289.0599976,72.12866211,289.0599976,81.26405334,393.8399963,205.4387054,
290,83.98936462,400,210.0111694,290,86.62142181,394.9200134,212.3430176,290,79.3761673,290,86.55931091,394.9200134,209.5169678,
290.9299927,90.77607727,401.0700073,212.5303192,290.9299927,93.68476868,395.8399963,213.4493256,290.9299927,82.88372803,290.9299927,95.26643372,395.8399963,211.4782104,
292.0299988,95.175354,402,213.9757538,292.0299988,97.73420715,396.9200134,213.3863983,292.0299988,90.10024261,292.0299988,100.8417664,396.9200134,213.710907,
292.9599915,101.6949768,403.0700073,220.0057373,292.9599915,105.538475,397.8399963,215.6741486,292.9599915,95.45131683,292.9599915,105.7103271,397.8399963,214.1864929,
294.0599976,108.9360199,404,217.510376,294.0599976,110.4313507,398.9200134,218.9970703,294.0599976,100.3597794,294.0599976,112.3673859,398.9200134,216.2267456,
295,113.6255341,405.0700073,220.9225006,295,117.517868,399.8399963,217.5403137,295,104.7737122,295,118.6359558,399.8399963,222.2917633,
295.9299927,116.9009094,406,222.2247314,295.9299927,120.2283936,400.9200134,222.7863159,295.9299927,107.6523132,295.9299927,121.1555786,400.9200134,221.3231049,
297.0299988,122.2381897,407.0700073,226.5149078,297.0299988,124.6121521,401.8399963,225.3742981,297.0299988,112.3580475,297.0299988,126.6999207,401.8399963,226.3481445,
297.9599915,124.3366547,408,226.3054504,297.9599915,129.3434601,402.9200134,224.2207947,297.9599915,114.5288391,297.9599915,130.672821,402.9200134,223.3379974,
299.0599976,128.4307861,409.0700073,226.5208893,299.0599976,131.2502136,403.8399963,227.7063904,299.0599976,119.4650726,299.0599976,133.1531067,403.8399963,226.1115723,
300,133.3534546,410,227.5962219,300,135.0280304,404.9200134,223.6195526,300,120.7865295,300,138.2338257,404.9200134,227.3429565,
301.0700073,134.1932678,411.0599976,226.4187469,301.0700073,140.2724304,405.8399963,226.0288849,301.0700073,127.1308136,301.0700073,141.8354797,405.8399963,228.4042664,
302,139.2259064,411.9599915,226.0201721,302,143.0315247,406.9200134,227.8469086,302,128.9450684,302,144.261322,406.9200134,229.5034027,
303.0700073,140.6201935,413.0299988,229.1391144,303.0700073,147.657608,407.8399963,230.4353638,303.0700073,130.4474182,303.0700073,148.4939423,407.8399963,230.8512726,
304,145.4812775,413.9299927,229.8358917,304,152.6361542,408.9200134,229.2485809,304,134.7210083,304,151.0896759,408.9200134,227.4320526,
305.0700073,149.8754272,415,233.3347473,305.0700073,152.4186554,409.8399963,229.7172546,305.0700073,135.9636536,305.0700073,156.6886292,409.8399963,231.7406921,
306,153.0001984,416.0599976,231.8660278,306,155.0159912,410.8999939,228.5762939,306,138.4372559,306,160.5587158,410.8999939,230.8413849,
307.0700073,153.4174194,416.9599915,232.8764954,307.0700073,161.3474579,411.9599915,228.2222443,307.0700073,141.9083099,307.0700073,160.4371948,411.9599915,228.328476,
