CdS 120sec ODE2 Toluene1 em420,,CdS 120sec ODE2 Toluene1 ex340,,CdS 10sec ODE2 Toluene1 ex350,,CdS 120sec ODE2 Toluene1 ex330,,CdS 120sec ODE2 Toluene1 ex335,,CdS 120sec ODE2 Toluene1 em410,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
240,0.007188797,350,-0.926746368,360,-0.43006897,340,0.871692658,344.9200134,-1.333395004,240,-0.272756577
240.9299927,-0.859333038,351.0700073,1.199495316,361.0700073,1.15820694,341.0700073,2.266521454,345.8399963,1.201700211,240.9299927,-1.004388809
242.0299988,-1.285018921,352,1.377309799,362,3.221502304,342,3.750925064,346.9200134,1.692485809,242.0299988,-1.449249268
242.9600067,-1.713136673,353.0700073,4.660961151,363.0700073,7.081005096,343.0700073,5.374383926,347.8399963,3.742679596,242.9600067,-0.827165604
244.0599976,-1.350587845,354,6.0390625,364,7.997713089,344,7.657154083,348.9200134,6.344709396,244.0599976,-1.208242416
245,-1.145750046,355.0700073,9.44691658,365.0700073,12.27216911,345.0700073,10.10604095,349.8399963,8.589109421,245,-1.044700623
245.9299927,-0.260414124,356,11.83170319,366,13.47807121,346,12.82624245,350.9200134,10.36497688,245.9299927,-1.310028076
247.0299988,-0.279024124,357.0700073,12.87885475,367.0700073,16.78288078,347.0700073,15.35083199,351.8399963,12.95776939,247.0299988,-0.568899155
247.9600067,-0.769668579,358,16.40657616,368,19.7234211,348,16.9818325,352.9200134,15.30879021,247.9600067,0.291315079
249.0599976,-0.344833374,359.0700073,20.07152748,369.0700073,22.91639519,349.0700073,19.39255714,353.8399963,17.48186684,249.0599976,-0.990020752
250,-0.356672287,360,21.51393318,370,25.32762337,350,21.18182564,354.9200134,20.56846809,250,-0.101272583
250.9299927,0.351760864,361.0700073,26.29220009,371.0700073,30.61667824,351.0700073,23.61464882,355.8399963,23.48433113,250.9299927,-0.94997406
252.0299988,0.672647476,362,28.09815788,372,33.66529083,352,26.34822273,356.9200134,25.24401665,252.0299988,0.188585281
252.9600067,0.457004547,363.0700073,30.79236412,373.0700073,35.1737442,353.0700073,29.63742638,357.8399963,29.15519905,252.9600067,1.645261765
254.0599976,0.420145035,364,34.20275879,374,38.4890213,354,31.32520866,358.9200134,32.23862457,254.0599976,1.093078613
255,2.226335526,365.0700073,37.86192322,375.0700073,41.85624695,355.0700073,34.81829834,359.8399963,36.31537628,255,1.305009842
255.9299927,1.768129349,366,43.3468399,376,44.52822113,356,37.51522827,360.9200134,41.10639191,255.9299927,1.222553253
257.0299988,2.24096489,367.0700073,45.53857422,377.0700073,49.93226624,357.0700073,41.74594879,361.8399963,43.08168793,257.0299988,1.612352371
257.9599915,1.781616211,368,50.87918091,378,53.03907013,358,44.05735779,362.9200134,47.32569885,257.9599915,2.395994186
259.0599976,1.041385651,369.0700073,54.11387634,379.0700073,56.73578644,359.0700073,49.35665894,363.8399963,50.95224762,259.0599976,2.663021088
260,1.244659424,370,56.41864014,380,61.58602142,360,51.79929352,364.9200134,53.65664673,260,2.529556274
260.9299927,0.913684845,371.0700073,64.40272522,381.0700073,64.11952972,361.0700073,58.31859589,365.8399963,59.0873642,260.9299927,1.739164352
262.0299988,1.394645691,372,67.10016632,382,70.00337219,362,62.10067749,366.9200134,63.51179504,262.0299988,1.687906265
262.9599915,1.62348175,373.0700073,73.22493744,383.0700073,74.17298126,363.0700073,65.69763184,367.8399963,67.48958588,262.9599915,2.627695084
264.0599976,0.525665283,374,80.11299133,384,78.63532257,364,72.0306015,368.9200134,74.58192444,264.0599976,1.327871323
265,1.540431976,375.0700073,85.39252472,385.0700073,83.05440521,365.0700073,76.75785828,369.8399963,79.43379211,265,2.554132462
265.9299927,0.741039276,376,86.47823334,386,88.69574738,366,79.15594482,370.9200134,81.65042114,265.9299927,2.087272644
267.0299988,0.842752457,377.0700073,94.81624603,387.0700073,92.56887054,367.0700073,86.11215973,371.8399963,87.9357605,267.0299988,1.560304642
267.9599915,0.227653503,378,97.68037415,388,98.16597748,368,84.60962677,372.9200134,91.82027435,267.9599915,1.198734283
269.0599976,-0.569835663,379.0700073,99.75659943,389.0700073,102.9363098,369.0700073,89.78255463,373.8399963,94.34864044,269.0599976,1.0131073
270,-1.070796967,380,103.9266663,390,104.4920883,370,93.31199646,374.9200134,96.8978653,270,0.248830795
271.0700073,-2.184650421,381.0700073,108.7270508,391.0700073,111.3304672,371.0700073,95.42075348,375.8399963,102.4828796,271.0700073,-0.469755173
272,-2.602455139,382,111.480217,392,113.9103928,372,100.169899,376.9200134,106.0132675,272,-1.153390884
273.0700073,-3.376125336,383.0700073,114.472908,393.0700073,115.0976334,373.0700073,100.1631699,377.8399963,110.7111282,273.0700073,-1.886295319
274,-4.05424881,384,119.2133865,394,119.2359085,374,106.0871429,378.9200134,111.1143723,274,-2.524913788
275.0700073,-4.95410347,385.0700073,124.0851364,395.0700073,121.995491,375.0700073,108.355072,379.8399963,117.5291977,275.0700073,-3.255401611
276,-5.244235992,386,124.8393784,396,125.7246017,376,111.516449,380.9200134,117.4816818,276,-3.884896278
277.0700073,-5.447907448,387.0700073,126.5245895,397.0700073,124.9911575,377.0700073,115.3477173,381.8399963,125.6464005,277.0700073,-3.709850311
278,-5.010177612,388,129.1402588,398,131.5626678,378,118.0413818,382.9200134,129.5117645,278,-3.181074142
279.0700073,-1.420248032,389.0700073,135.5723724,399.0700073,134.7847137,379.0700073,120.4090729,383.8399963,127.9661789,279.0700073,0.559457779
280,2.083295822,390,140.1008453,400,135.4437866,380,125.4528656,384.9200134,134.7217865,280,4.167898178
280.9299927,8.875049591,391.0700073,143.0984955,401.0700073,136.9993591,381.0700073,128.1579437,385.8399963,137.9046173,280.9299927,9.116182327
282.0299988,14.9146595,392,147.9405823,402,141.8157806,382,132.3010101,386.9200134,141.1622467,282.0299988,18.56816673
282.9599915,23.21447182,393.0700073,148.4930267,403.0700073,146.4812927,383.0700073,134.6339417,387.8399963,145.7221985,282.9599915,23.86741066
284.0599976,32.38468933,394,151.3530731,404,146.0808716,384,135.5766449,388.9200134,145.4433594,284.0599976,34.00534058
285,38.43511963,395.0700073,153.4286346,405.0700073,151.2029114,385.0700073,141.6460266,389.8399963,150.6345673,285,42.01457977
285.9299927,44.34224701,396,156.5719452,406,153.2160339,386,144.9143829,390.9200134,154.535675,285.9299927,49.10688019
