CdS sonochem 120min em410,,CdS sonochem 120min ex337,,CdS sonochem 120min em415,,CdS sonochem 120min ex340,,CdS sonochem 120min ex340 slow,,CdS sonochem 120min em420 slow,,CdS sonochem 120min ex295,,CdS sonochem 120min em350,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
240,-0.1733570099,346.9200134,-1.666250229,240,-0.5740585327,350,0.200176239,350,0.3968772888,240,-0.05106163025,305,1.359636307,240,0.1422948837,
240.9299927,-0.8812961578,347.8399963,1.383054733,240.9299927,-1.011732101,351.0700073,1.811811447,351.0700073,1.733892441,240.9299927,-0.7417049408,305.9299927,3.559518814,240.9299927,-0.4962434769,
242.0299988,0.5502738953,348.9200134,3.422044754,242.0299988,-0.4561252594,352,2.861917496,352,3.301427841,242.0299988,-0.7423419952,307.0299988,6.632904053,242.0299988,-0.226931572,
242.9600067,-0.01194763184,349.8399963,4.081890106,242.9600067,-0.2719974518,353.0700073,6.104070663,353.0700073,6.173118591,242.9600067,-1.097755432,307.9599915,7.736494064,242.9600067,-0.682062149,
244.0599976,0.1657371521,350.9200134,6.651697159,244.0599976,-1.344369888,354,8.643156052,354,8.310480118,244.0599976,-0.615852356,309.0599976,10.70463943,244.0599976,-0.3494262695,
245,0.4688110352,351.8399963,8.501689911,245,-1.103908539,355.0700073,11.2527256,355.0700073,11.00492096,245,-0.7903003693,310,12.90309906,245,-0.8390798569,
245.9299927,0.0604724884,352.9200134,11.81190491,245.9299927,-0.7971401215,356,12.66877556,356,13.53346634,245.9299927,-0.6676540375,311.0700073,16.44690132,245.9299927,-0.1324195862,
247.0299988,0.7785339355,353.8399963,15.39826965,247.0299988,-1.11397934,357.0700073,15.52176094,357.0700073,16.796772,247.0299988,-0.2594165802,312,18.3423214,247.0299988,0.09620952606,
247.9600067,0.4681816101,354.9200134,17.02882004,247.9600067,-0.120098114,358,17.24913597,358,19.81735611,247.9600067,-0.7478961945,313.0700073,20.34833717,247.9600067,0.2451124191,
249.0599976,0.5290584564,355.8399963,19.93904495,249.0599976,-0.8370838165,359.0700073,22.93670464,359.0700073,23.79048157,249.0599976,-0.287197113,314,23.0512104,249.0599976,0.2762613297,
250,0.4078006744,356.9200134,23.24491882,250,-0.06188201904,360,27.47686577,360,26.30483246,250,-0.07446861267,315.0700073,25.64146614,250,0.6600618362,
250.9299927,1.389333725,357.8399963,26.92830276,250.9299927,-0.5314846039,361.0700073,29.3126812,361.0700073,30.6408844,250.9299927,-0.1704330444,316,28.23438835,250.9299927,0.8798618317,
252.0299988,0.9858264923,358.9200134,31.44278717,252.0299988,0.5799827576,362,31.48990059,362,32.8708725,252.0299988,1.005716324,317.0700073,31.40213966,252.0299988,1.018630981,
252.9600067,2.32613945,359.8399963,33.05473709,252.9600067,1.686782837,363.0700073,36.7232132,363.0700073,37.37382889,252.9600067,1.307592392,318,35.32130432,252.9600067,2.208362579,
254.0599976,2.370414734,360.9200134,37.41526794,254.0599976,1.407655716,364,39.20809174,364,40.76079559,254.0599976,1.809700012,319.0700073,39.64850616,254.0599976,1.870864868,
255,3.499555588,361.8399963,41.66998672,255,0.7191867828,365.0700073,46.12345123,365.0700073,45.4232254,255,1.619375229,320,44.753479,255,2.612765312,
255.9299927,3.681638718,362.9200134,45.80576706,255.9299927,1.545110703,366,47.13976288,366,48.58341217,255.9299927,2.121335983,320.9299927,51.72795105,255.9299927,3.639733315,
257.0299988,4.099542618,363.8399963,48.4288063,257.0299988,2.737203598,367.0700073,52.89594269,367.0700073,53.59617615,257.0299988,1.922077179,322.0299988,60.48879242,257.0299988,5.269803047,
257.9599915,3.819805145,364.9200134,53.79870987,257.9599915,2.060501099,368,56.2771759,368,56.86642456,257.9599915,1.364170074,322.9599915,67.45374298,257.9599915,5.496811867,
259.0599976,3.861307144,365.8399963,59.1380806,259.0599976,2.322397232,369.0700073,59.6621933,369.0700073,62.24597931,259.0599976,1.609922409,324.0599976,76.49795532,259.0599976,4.564307213,
260,4.150461197,366.9200134,63.43484116,260,1.732053757,370,66.32344055,370,66.32678986,260,1.626598358,325,82.84833527,260,4.758503914,
260.9299927,3.521371841,367.8399963,67.43864441,260.9299927,2.490530014,371.0700073,70.19415283,371.0700073,70.91517639,260.9299927,1.521999359,325.9299927,91.55202484,260.9299927,5.305304527,
262.0299988,3.978481293,368.9200134,72.95318604,262.0299988,1.945669174,372,73.39709473,372,75.39561462,262.0299988,1.560623169,327.0299988,99.85118103,262.0299988,5.306698799,
262.9599915,4.453018188,369.8399963,78.53025818,262.9599915,2.093626022,373.0700073,79.67770386,373.0700073,80.84337616,262.9599915,1.469106674,327.9599915,104.9557724,262.9599915,5.116646767,
264.0599976,4.077045441,370.9200134,83.42179871,264.0599976,2.58937645,374,85.01741791,374,85.33447266,264.0599976,1.716920853,329.0599976,109.8535614,264.0599976,5.635760307,
265,3.554973602,371.8399963,84.94613647,265,2.1693573,375.0700073,89.44000244,375.0700073,92.24565887,265,1.910312653,330,114.6300659,265,5.796782494,
265.9299927,3.829504013,372.9200134,93.8692627,265.9299927,1.669898987,376,97.42526245,376,96.48514557,265.9299927,1.904788971,331.0700073,118.8565674,265.9299927,6.126431465,
267.0299988,3.725990295,373.8399963,97.97015381,267.0299988,1.067783356,377.0700073,101.4577332,377.0700073,101.9951706,267.0299988,1.582820892,332,124.0989685,267.0299988,6.080182076,
267.9599915,2.90747261,374.9200134,103.3043365,267.9599915,1.290596008,378,105.8839798,378,106.4279327,267.9599915,0.5863227844,333.0700073,126.2263641,267.9599915,5.678069115,
269.0599976,2.903911591,375.8399963,109.3061981,269.0599976,0.3837738037,379.0700073,110.6332932,379.0700073,112.1608734,269.0599976,-0.1497459412,334,128.4734802,269.0599976,5.729773521,
