CdSe 20sec ex295,,CdSe 20sec em370,,CdSe 20sec ex320,,CdSe 20sec em520,,CdSe 20sec ex380,,CdSe 20sec em390,,CdSe 20sec ex330,,CdSe 20sec em405,,CdSe 20sec ex335,,CdSe 20sec em400,,CdSe 20sec em420,,CdSe 20sec em415,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
305,-0.050823689,240,0.220111132,330,0.014109612,270,-0.092452288,390,-0.223144531,240,-0.156892777,340,-0.374483585,240,0.658662796,344.9200134,-0.506585121,240,-0.541584015,240,0.605763435,240,0.508638382
305.9299927,0.117514491,240.9299927,-0.05294323,331.0700073,0.139889717,271.0700073,-0.453602314,391.0700073,0.403241158,240.9299927,0.419270039,341.0700073,-0.04601717,240.9299927,-0.252937317,345.8399963,0.498456955,240.9299927,0.156841278,240.9299927,0.859537125,240.9299927,0.573004723
307.0299988,0.264561057,242.0299988,0.191654444,332,0.790045261,272,-0.237995863,392,0.920040131,242.0299988,0.475135326,342,1.718680382,242.0299988,-0.645915985,346.9200134,1.539212227,242.0299988,-0.253606796,242.0299988,0.004805565,242.0299988,0.253162384
307.9599915,0.552462459,242.9600067,0.267443657,333.0700073,1.959768772,273.0700073,-0.541294336,393.0700073,1.56206131,242.9600067,0.210193157,343.0700073,2.779973984,242.9600067,-0.474402905,347.8399963,3.219265938,242.9600067,-0.390160561,242.9600067,-0.837646008,242.9600067,0.386044025
309.0599976,0.885808587,244.0599976,0.094815731,334,2.36928606,274,-0.526599407,394,2.995240211,244.0599976,0.23608017,344,4.228149414,244.0599976,-0.362538815,348.9200134,4.849886894,244.0599976,-0.127743244,244.0599976,0.024792194,244.0599976,0.58808136
310,0.899540067,245,-0.404512167,335.0700073,3.812640667,275.0700073,-0.83827877,395.0700073,4.044676781,245,0.270597458,345.0700073,6.246661186,245,-0.029401779,349.8399963,4.86818409,245,-0.089236259,245,0.554997921,245,0.559029579
311.0700073,1.086146474,245.9299927,0.241833687,336,3.799856663,276,-0.566115618,396,4.80093956,245.9299927,-0.087218285,346,6.921989441,245.9299927,-0.634142399,350.9200134,5.794874191,245.9299927,-0.188477516,245.9299927,-0.021119595,245.9299927,0.285072327
312,1.300904393,247.0299988,-0.031848669,337.0700073,4.961516857,277.0700073,-0.764805317,397.0700073,6.190741539,247.0299988,0.040946484,347.0700073,8.645757675,247.0299988,-0.324404717,351.8399963,8.314412117,247.0299988,-0.253910542,247.0299988,0.193696499,247.0299988,0.779446125
313.0700073,1.337147832,247.9600067,0.104173183,338,5.755910397,278,-0.634294748,398,7.290710449,247.9600067,0.218855858,348,8.632120132,247.9600067,-0.455715656,352.9200134,8.940773964,247.9600067,0.230329037,247.9600067,0.217388153,247.9600067,0.318178177
314,1.702088714,249.0599976,0.500633478,339.0700073,7.081668377,279.0700073,-0.080646753,399.0700073,8.576800346,249.0599976,0.378957748,349.0700073,10.36924934,249.0599976,-0.27422142,353.8399963,10.67095852,249.0599976,0.055871964,249.0599976,0.281332016,249.0599976,0.774598599
315.0700073,1.80800736,250,0.387031555,340,7.612020016,280,0.35642457,400,8.561715126,250,0.446229935,350,12.46227455,250,-0.286171913,354.9200134,12.16186619,250,0.03897047,250,0.050440788,250,0.81105423
316,2.302143097,250.9299927,0.650632858,341.0700073,9.023643494,280.9299927,1.534534693,401.0700073,10.71953297,250.9299927,0.460118771,351.0700073,14.10423279,250.9299927,-0.185404301,355.8399963,14.09726048,250.9299927,0.246453762,250.9299927,0.426963806,250.9299927,0.588280678
317.0700073,2.365408897,252.0299988,1.073309422,342,10.77777863,282.0299988,2.687148333,402,11.59684467,252.0299988,1.200248718,352,15.47476578,252.0299988,0.033088684,356.9200134,15.23821735,252.0299988,0.051379204,252.0299988,0.809692383,252.0299988,0.586858273
318,3.067164421,252.9600067,0.648829937,343.0700073,11.97912979,282.9599915,3.456938028,403.0700073,13.64544773,252.9600067,1.312250137,353.0700073,17.9540062,252.9600067,0.017109394,357.8399963,17.28641129,252.9600067,1.092628479,252.9600067,0.623890877,252.9600067,1.226662636
319.0700073,3.580548286,254.0599976,1.069112301,344,13.12198067,284.0599976,5.71157074,404,14.13712597,254.0599976,1.076113224,354,18.63629723,254.0599976,0.286961079,358.9200134,19.35204315,254.0599976,1.052476883,254.0599976,1.124617577,254.0599976,0.996899605
320,3.320410252,255,0.951814175,345.0700073,14.76856232,285,6.357129097,405.0700073,16.87284088,255,1.000207901,355.0700073,21.14452744,255,0.52447176,359.8399963,20.78980637,255,0.852541924,255,1.143418312,255,1.347421646
320.9299927,4.708393097,255.9299927,1.393314838,346,15.95635796,285.9299927,7.912656784,406,17.41363144,255.9299927,1.701562405,356,22.73972893,255.9299927,1.017048836,360.9200134,22.19026184,255.9299927,0.928567886,255.9299927,1.191900253,255.9299927,1.743267536
322.0299988,5.181933403,257.0299988,1.591302395,347.0700073,17.85910034,287.0299988,9.128092766,407.0700073,19.02594757,257.0299988,1.280837536,357.0700073,24.01473999,257.0299988,1.139183998,361.8399963,26.35052872,257.0299988,1.325158119,257.0299988,0.472309113,257.0299988,1.7603755
322.9599915,6.150104523,257.9599915,1.412044048,348,19.66042519,287.9599915,9.820457458,408,21.66170502,257.9599915,1.348800182,358,26.28862572,257.9599915,0.738366604,362.9200134,26.70882034,257.9599915,0.864646435,257.9599915,1.284687042,257.9599915,1.702003002
324.0599976,6.647088051,259.0599976,1.382738113,349.0700073,21.77456284,289.0599976,12.11752033,409.0700073,22.72119522,259.0599976,1.63881588,359.0700073,27.77881813,259.0599976,1.002070427,363.8399963,29.62724686,259.0599976,1.061837196,259.0599976,0.958209992,259.0599976,1.867908955
325,8.00292778,260,1.547175884,350,23.81377983,290,12.667799,410,23.36761856,260,1.476578712,360,32.17673492,260,0.93537426,364.9200134,31.98488998,260,1.273361206,260,0.60921526,260,1.548328876
325.9299927,8.675896645,260.9299927,1.179162979,351.0700073,24.90561295,290.9299927,13.8464613,411.0599976,26.31287384,260.9299927,1.730126858,361.0700073,34.87783813,260.9299927,1.137008667,365.8399963,34.17105484,260.9299927,0.527414799,260.9299927,0.866118431,260.9299927,1.177438259
327.0299988,9.601703644,262.0299988,1.530632019,352,27.20240211,292.0299988,14.80362988,411.9599915,28.15333939,262.0299988,1.725435257,362,36.31275177,262.0299988,0.379003048,366.9200134,36.1901474,262.0299988,0.896447182,262.0299988,0.678461552,262.0299988,1.808201313
