CdSe 30 sec ex335,,CdSe 30 sec em410,,CdSe 30 sec ex340,,CdSe 30 sec em500,,CdSe 30 sec ex380,,CdSe 30 sec em420,,CdSe 30 sec ex345,,CdSe 30 sec ex350,,CdSe 30 sec ex355,,CdSe 30 sec ex360,,CdSe 30 sec ex365,,CdSe 30 sec em430,,CdSe 30 sec em440,,CdSe 30 sec em450,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
344.9200134,-0.687789917,240,-0.6344361305,350,-0.4624595642,260,-0.7630386353,390,-0.3053293228,240,0.3137068748,354.9200134,-0.4401211739,360,-0.335726738,364.9200134,-0.01727819443,370,0.2228627205,374.9200134,-0.157333374,240,0.3932161331,240,0.2978935242,240,-0.08708286285,
345.8399963,0.05828714371,240.9299927,0.2255020142,351.0700073,0.3217959404,260.9299927,-0.6587557793,391.0700073,0.5598988533,240.9299927,0.7129325867,355.8399963,0.5357141495,361.0700073,0.4353556633,365.8399963,0.3883948326,371.0700073,0.7284703255,375.8399963,-0.2000226974,240.9299927,-0.1313619614,240.9299927,-0.05656337738,240.9299927,-0.4191746712,
346.9200134,0.5553617477,242.0299988,-0.710129261,352,1.039844513,262.0299988,-0.3690829277,392,0.9841790199,242.0299988,0.1756548882,356.9200134,1.03734684,362,1.29758215,366.9200134,0.8126006126,372,1.23233223,376.9200134,0.7818307877,242.0299988,-0.264854908,242.0299988,-0.6361370087,242.0299988,-0.6230921745,
347.8399963,0.7070960999,242.9600067,-0.151237011,353.0700073,1.385247231,262.9599915,-1.002789021,393.0700073,1.861964703,242.9600067,-0.1751685143,357.8399963,1.407383919,363.0700073,2.367589951,367.8399963,1.899683952,373.0700073,2.162093163,377.8399963,1.685910225,242.9600067,-0.3686804771,242.9600067,-0.5998864174,242.9600067,-0.1569437981,
348.9200134,2.05950737,244.0599976,-0.5579648018,354,2.365682602,264.0599976,-0.7723402977,394,2.959372997,244.0599976,0.05291557312,358.9200134,2.227342606,364,3.201016903,368.9200134,3.09944582,374,2.438423157,378.9200134,2.887605667,244.0599976,-0.5573825836,244.0599976,-0.5914039612,244.0599976,-0.7575030327,
349.8399963,2.456785202,245,-0.3127012253,355.0700073,2.544904232,265,-0.8755011559,395.0700073,3.790329456,245,0.06021928787,359.8399963,2.747511387,365.0700073,3.319140911,369.8399963,4.133826733,375.0700073,3.315028191,379.8399963,3.096385956,245,0.1799607277,245,-0.4053573608,245,0.2330183983,
350.9200134,2.906386852,245.9299927,-0.5076608658,356,3.659448624,265.9299927,-0.5727591515,396,4.977994442,245.9299927,0.3573722839,360.9200134,3.750560284,366,4.342989445,370.9200134,4.623229504,376,4.186905861,380.9200134,4.584745407,245.9299927,-0.202755928,245.9299927,-0.1227445602,245.9299927,-0.004484176636,
351.8399963,3.824008942,247.0299988,-0.2056570053,357.0700073,4.098410606,267.0299988,-0.9596853256,397.0700073,5.817625523,247.0299988,0.2924990654,361.8399963,4.361216068,367.0700073,5.347900867,371.8399963,5.155396938,377.0700073,5.18088913,381.8399963,5.640272141,247.0299988,-0.3676357269,247.0299988,-0.5956001282,247.0299988,-0.3130965233,
352.9200134,4.564637184,247.9600067,-0.5923671722,358,5.620480537,267.9599915,-0.9042115211,398,6.723811626,247.9600067,0.2736101151,362.9200134,5.821516514,368,6.474664211,372.9200134,5.995641232,378,5.785305023,382.9200134,6.951435089,247.9600067,0.07265424728,247.9600067,-0.5193223953,247.9600067,-0.1389651299,
