CdSe 40 sec ex330,,CdSe 40 sec em400,,CdSe 40 sec ex335-380_EX_335.00,,CdSe 40 sec ex335-380_EX_340.00,,CdSe 40 sec ex335-380_EX_345.00,,CdSe 40 sec ex335-380_EX_350.00,,CdSe 40 sec ex335-380_EX_355.00,,CdSe 40 sec ex335-380_EX_360.00,,CdSe 40 sec ex335-380_EX_365.00,,CdSe 40 sec ex335-380_EX_370.00,,CdSe 40 sec ex335-380_EX_375.00,,CdSe 40 sec ex335-380_EX_380.00,,CdSe 40 sec em500,,CdSe 40 sec em420,,CdSe 40 sec em380,,CdSe 40 sec ex340,,CdSe 40 sec ex350,,CdSe 40 sec ex320,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
340,0.3615999222,240,-0.3795385361,390,1.803184509,390,-9.50945282,390,-21.36608124,390,-32.66014862,390,-45.34204865,390,-56.63202667,390,-64.31734467,390,-72.67037201,390,-78.71705627,390,-82.96981812,260,-0.2074890137,240,-0.7425527573,240,-0.6426486969,350,0.6059427261,360,-1.418783188,330,0.1287150383,
341.0700073,0.4032688141,240.9299927,-0.6455459595,391.0700073,-0.1125717163,391.0700073,-7.328239441,391.0700073,-18.01443481,391.0700073,-30.96107864,391.0700073,-45.14587021,391.0700073,-54.38570023,391.0700073,-63.21682739,391.0700073,-70.88046265,391.0700073,-78.49491119,391.0700073,-82.39213562,260.9299927,-0.05317735672,240.9299927,-0.8598165512,240.9299927,0.5283145905,351.0700073,2.064022064,361.0700073,-0.4119319916,331.0700073,0.6354513168,
342,1.356182098,242.0299988,0.1938853264,392,4.707992554,392,-7.583862305,392,-19.9210968,392,-30.58498001,392,-42.80663681,392,-51.9776535,392,-61.07402039,392,-70.01895142,392,-76.73721313,392,-81.39266968,262.0299988,-0.4821667671,242.0299988,-0.9440832138,242.0299988,-0.6938481331,352,1.996052742,362,0.642244339,332,1.569776535,
343.0700073,2.542163849,242.9600067,-0.3242697716,393.0700073,2.947494507,393.0700073,-5.395637512,393.0700073,-16.0759964,393.0700073,-28.02583313,393.0700073,-40.7135849,393.0700073,-51.19973755,393.0700073,-59.30151367,393.0700073,-68.28622437,393.0700073,-75.96672058,393.0700073,-80.51264191,262.9599915,-0.1997036934,242.9600067,-0.9905157089,242.9600067,-0.2844614983,353.0700073,3.087073326,363.0700073,2.305922508,333.0700073,1.931469917,
344,3.784314156,244.0599976,-0.5415472984,394,5.062866211,394,-4.811798096,394,-16.19782257,394,-26.10290527,394,-37.96442413,394,-49.14133835,394,-57.97987366,394,-67.23252106,394,-74.78858185,394,-79.05237579,264.0599976,-0.241133213,244.0599976,-0.5105409622,244.0599976,-0.3496279716,354,4.510116577,364,2.820951462,334,2.720397949,
345.0700073,5.742342949,245,-0.06974220276,395.0700073,5.530189514,395.0700073,-4.465072632,395.0700073,-14.08612061,395.0700073,-25.79917145,395.0700073,-36.52797699,395.0700073,-46.98549271,395.0700073,-56.19465637,395.0700073,-66.39245605,395.0700073,-73.22093201,395.0700073,-78.60528564,265,-0.4727592468,245,-0.8361749649,245,-0.1133952141,355.0700073,4.715416908,365.0700073,4.398078918,335.0700073,2.97905159,
346,6.420272827,245.9299927,0.08025455475,396,6.139282227,396,-0.9562454224,396,-11.21271515,396,-21.77083588,396,-33.82581329,396,-45.16714478,396,-55.76192093,396,-64.45655823,396,-72.3605423,396,-76.77557373,265.9299927,-0.5266566277,245.9299927,-0.9090909958,245.9299927,0.3826990128,356,7.084022522,366,5.727750778,336,4.312941551,
347.0700073,7.476875305,247.0299988,-0.3995580673,397.0700073,6.982620239,397.0700073,-1.858505249,397.0700073,-13.2518692,397.0700073,-20.97251129,397.0700073,-31.58547592,397.0700073,-43.86575699,397.0700073,-53.01280975,397.0700073,-62.62042999,397.0700073,-71.0279541,397.0700073,-76.47303009,267.0299988,-1.013104439,247.0299988,-0.9439258575,247.0299988,0.1880068779,357.0700073,8.842247009,367.0700073,6.970025063,337.0700073,5.302125931,
348,10.34740257,247.9600067,0.3324074745,398,8.577919006,398,-0.2957458496,398,-8.474723816,398,-20.82284546,398,-31.92314148,398,-41.70798111,398,-51.88632584,398,-61.51617813,398,-69.24499512,398,-75.74394989,267.9599915,-1.227039814,247.9600067,-0.6302700043,247.9600067,0.2366328239,358,8.69581604,368,8.832823753,338,6.207371712,
349.0700073,11.45516968,249.0599976,0.3853573799,399.0700073,8.106758118,399.0700073,0.2138900757,399.0700073,-9.26247406,399.0700073,-18.2871933,399.0700073,-30.83400726,399.0700073,-39.65287399,399.0700073,-49.84015274,399.0700073,-60.04445648,399.0700073,-68.1005249,399.0700073,-73.20995331,269.0599976,-1.349160194,249.0599976,-0.5116271973,249.0599976,0.1043281555,359.0700073,12.75746918,369.0700073,10.80840778,339.0700073,7.228107452,
350,12.45118523,250,0.1066441536,400,8.216918945,400,0.8538589478,400,-7.412902832,400,-18.78121185,400,-28.02071381,400,-38.73495865,400,-48.43991089,400,-59.11262894,400,-67.927742,400,-72.66022491,270,-1.486413479,250,-0.6531143188,250,0.2875318527,360,12.82114983,370,11.45289898,340,6.864317894,
351.0700073,14.04070091,250.9299927,0.6343169212,401.0700073,10.11999512,401.0700073,1.615058899,401.0700073,-6.244277954,401.0700073,-15.28159332,401.0700073,-27.32613373,401.0700073,-36.85918808,401.0700073,-45.87488174,401.0700073,-56.12237549,401.0700073,-65.69229126,401.0700073,-70.98662567,271.0700073,-1.844902277,250.9299927,-0.8171014786,250.9299927,0.9968090057,361.0700073,15.71922684,371.0700073,14.23938656,341.0700073,8.998868942,
352,15.1983757,252.0299988,0.3971743584,402,11.13209534,402,3.496871948,402,-4.641548157,402,-16.8289566,402,-24.43962097,402,-34.67715836,402,-45.52576828,402,-54.9225502,402,-63.89899445,402,-70.15159607,272,-1.759395123,252.0299988,-0.17491436,252.0299988,0.9472827911,362,17.1770401,372,15.11749744,342,11.047369,
353.0700073,17.5057106,252.9600067,0.6800875664,403.0700073,11.17350769,403.0700073,3.161201477,403.0700073,-3.535736084,403.0700073,-12.89945221,403.0700073,-22.00772095,403.0700073,-32.64224243,403.0700073,-43.28259277,403.0700073,-52.4863472,403.0700073,-62.26681137,403.0700073,-68.21783447,273.0700073,-2.207051754,252.9600067,0.02027511597,252.9600067,1.390851498,363.0700073,18.15702438,373.0700073,15.53687763,343.0700073,11.76588058,
354,18.33561325,254.0599976,0.8773398399,404,9.948265076,404,4.205543518,404,-2.274246216,404,-10.17183685,404,-23.1698761,404,-30.98950958,404,-41.40026474,404,-51.58395004,404,-59.97942352,404,-67.58950806,274,-2.504695415,254.0599976,0.8218984604,254.0599976,1.730845451,364,21.57827377,374,18.11343002,344,14.52578354,
