X: (V*s),Y: (Hits)
9.43211e-09,0
9.7764e-09,0
1.01207e-08,0
1.0465e-08,0
1.08093e-08,0
1.11536e-08,0
1.14978e-08,0
1.18421e-08,0
1.21864e-08,0
1.25307e-08,0
1.2875e-08,0
1.32193e-08,0
1.35636e-08,0
1.39079e-08,0
1.42522e-08,0
1.45965e-08,0
1.49407e-08,0
1.5285e-08,0
1.56293e-08,0
1.59736e-08,0
1.63179e-08,0
1.66622e-08,0
1.70065e-08,0
1.73508e-08,0
1.76951e-08,0
1.80394e-08,0
1.83836e-08,0
1.87279e-08,0
1.90722e-08,0
1.94165e-08,0
1.97608e-08,0
2.01051e-08,0
2.04494e-08,0
2.07937e-08,0
2.1138e-08,0
2.14823e-08,0
2.18265e-08,0
2.21708e-08,3
2.25151e-08,0
2.28594e-08,2
2.32037e-08,1
2.3548e-08,2
2.38923e-08,0
2.42366e-08,1
2.45809e-08,7
2.49252e-08,13
2.52694e-08,10
2.56137e-08,12
2.5958e-08,7
2.63023e-08,13
2.66466e-08,16
2.69909e-08,12
2.73352e-08,24
2.76795e-08,20
2.80238e-08,24
2.83681e-08,27
2.87123e-08,31
2.90566e-08,17
2.94009e-08,45
2.97452e-08,42
3.00895e-08,49
3.04338e-08,87
3.07781e-08,122
3.11224e-08,147
3.14667e-08,177
3.1811e-08,329
3.21552e-08,441
3.24995e-08,635
3.28438e-08,897
3.31881e-08,1080
3.35324e-08,1513
3.38767e-08,1925
3.4221e-08,2253
3.45653e-08,2683
3.49096e-08,3163
3.52538e-08,3447
3.55981e-08,3743
3.59424e-08,3915
3.62867e-08,3870
3.6631e-08,3864
3.69753e-08,3495
3.73196e-08,3381
3.76639e-08,3008
3.80082e-08,2714
3.83525e-08,2603
3.86967e-08,2481
3.9041e-08,2341
3.93853e-08,2198
3.97296e-08,2230
4.00739e-08,2156
4.04182e-08,2159
4.07625e-08,2155
4.11068e-08,2201
4.14511e-08,2126
4.17954e-08,2170
4.21396e-08,2248
4.24839e-08,2281
4.28282e-08,2254
4.31725e-08,2336
4.35168e-08,2257
4.38611e-08,2325
4.42054e-08,2395
4.45497e-08,2448
4.4894e-08,2311
4.52383e-08,2445
4.55825e-08,2387
4.59268e-08,2398
4.62711e-08,2482
4.66154e-08,2401
4.69597e-08,2394
4.7304e-08,2462
