X: (V*s),Y: (Hits)
-3.47657e-09,0
-3.31038e-09,0
-3.14419e-09,0
-2.97801e-09,0
-2.81182e-09,0
-2.64563e-09,0
-2.47944e-09,0
-2.31325e-09,0
-2.14706e-09,0
-1.98087e-09,0
-1.81469e-09,0
-1.6485e-09,0
-1.48231e-09,0
-1.31612e-09,0
-1.14993e-09,0
-9.83744e-10,0
-8.17555e-10,0
-6.51367e-10,0
-4.85178e-10,0
-3.1899e-10,0
-1.52801e-10,0
1.33874e-11,0
1.79576e-10,0
3.45764e-10,0
5.11953e-10,0
6.78141e-10,0
8.4433e-10,0
1.01052e-09,0
1.17671e-09,0
1.3429e-09,0
1.50908e-09,0
1.67527e-09,0
1.84146e-09,0
2.00765e-09,1
2.17384e-09,2
2.34003e-09,4
2.50621e-09,2
2.6724e-09,7
2.83859e-09,7
3.00478e-09,11
3.17097e-09,12
3.33716e-09,18
3.50335e-09,20
3.66953e-09,28
3.83572e-09,41
4.00191e-09,60
4.1681e-09,65
4.33429e-09,97
4.50048e-09,126
4.66667e-09,135
4.83285e-09,171
4.99904e-09,193
5.16523e-09,243
5.33142e-09,266
5.49761e-09,304
5.6638e-09,396
5.82998e-09,412
5.99617e-09,488
6.16236e-09,499
6.32855e-09,530
6.49474e-09,616
6.66093e-09,649
6.82712e-09,642
6.9933e-09,712
7.15949e-09,704
7.32568e-09,788
7.49187e-09,785
7.65806e-09,745
7.82425e-09,793
7.99044e-09,779
8.15662e-09,779
8.32281e-09,816
8.489e-09,788
8.65519e-09,752
8.82138e-09,850
8.98757e-09,821
9.15375e-09,825
9.31994e-09,843
9.48613e-09,819
9.65232e-09,785
9.81851e-09,789
9.9847e-09,846
1.01509e-08,788
1.03171e-08,806
1.04833e-08,808
1.06495e-08,783
1.08156e-08,769
1.09818e-08,753
1.1148e-08,720
1.13142e-08,688
1.14804e-08,675
1.16466e-08,637
1.18128e-08,589
1.1979e-08,565
1.21451e-08,533
1.23113e-08,522
1.24775e-08,516
1.26437e-08,498
1.28099e-08,518
1.29761e-08,483
1.31423e-08,478
1.33085e-08,499
1.34747e-08,532
1.36408e-08,563
1.3807e-08,566
1.39732e-08,651
1.41394e-08,740
1.43056e-08,854
1.44718e-08,833
1.4638e-08,968
1.48042e-08,1044
1.49704e-08,1162
1.51365e-08,1160
1.53027e-08,1183
1.54689e-08,1177
1.56351e-08,1093
1.58013e-08,950
1.59675e-08,849
1.61337e-08,818
1.62999e-08,762
1.6466e-08,667
1.66322e-08,579
1.67984e-08,519
1.69646e-08,478
1.71308e-08,449
1.7297e-08,421
1.74632e-08,407
1.76294e-08,361
1.77956e-08,372
1.79617e-08,382
1.81279e-08,353
1.82941e-08,325
1.84603e-08,344
1.86265e-08,289
1.87927e-08,286
1.89589e-08,277
1.91251e-08,265
1.92913e-08,248
1.94574e-08,270
1.96236e-08,234
1.97898e-08,236
1.9956e-08,234
2.01222e-08,243
2.02884e-08,222
2.04546e-08,215
2.06208e-08,216
2.07869e-08,203
2.09531e-08,213
2.11193e-08,181
2.12855e-08,178
2.14517e-08,180
2.16179e-08,191
2.17841e-08,160
2.19503e-08,181
2.21165e-08,177
2.22826e-08,151
2.24488e-08,142
2.2615e-08,136
2.27812e-08,170
2.29474e-08,143
2.31136e-08,173
2.32798e-08,132
2.3446e-08,150
2.36122e-08,150
2.37783e-08,139
2.39445e-08,116
2.41107e-08,107
2.42769e-08,121
2.44431e-08,116
2.46093e-08,125
2.47755e-08,108
2.49417e-08,108
2.51078e-08,104
2.5274e-08,79
2.54402e-08,104
2.56064e-08,98
2.57726e-08,106
2.59388e-08,93
2.6105e-08,85
2.62712e-08,85
2.64374e-08,83
2.66035e-08,96
2.67697e-08,97
2.69359e-08,75
2.71021e-08,64
2.72683e-08,63
2.74345e-08,76
2.76007e-08,61
2.77669e-08,71
2.79331e-08,46
2.80992e-08,50
2.82654e-08,57
2.84316e-08,43
2.85978e-08,57
2.8764e-08,63
2.89302e-08,44
2.90964e-08,37
2.92626e-08,39
2.94288e-08,35
2.95949e-08,34
2.97611e-08,36
2.99273e-08,29
3.00935e-08,28
3.02597e-08,27
3.04259e-08,28
3.05921e-08,35
3.07583e-08,26
3.09244e-08,19
3.10906e-08,30
3.12568e-08,27
3.1423e-08,18
3.15892e-08,22
