X: (V*s),Y: (Hits)
-2.73497e-09,0
-2.6448e-09,0
-2.55463e-09,0
-2.46446e-09,0
-2.37429e-09,0
-2.28412e-09,0
-2.19394e-09,0
-2.10377e-09,0
-2.0136e-09,0
-1.92343e-09,0
-1.83326e-09,0
-1.74309e-09,0
-1.65291e-09,0
-1.56274e-09,0
-1.47257e-09,0
-1.3824e-09,0
-1.29223e-09,0
-1.20205e-09,0
-1.11188e-09,0
-1.02171e-09,0
-9.3154e-10,0
-8.41368e-10,0
-7.51196e-10,0
-6.61024e-10,0
-5.70853e-10,0
-4.80681e-10,1
-3.90509e-10,5
-3.00338e-10,5
-2.10166e-10,0
-1.19994e-10,0
-2.98224e-11,0
6.03493e-11,0
1.50521e-10,0
2.40693e-10,0
3.30864e-10,0
4.21036e-10,0
5.11208e-10,0
6.0138e-10,0
6.91551e-10,0
7.81723e-10,1
8.71895e-10,0
9.62066e-10,0
1.05224e-09,0
1.14241e-09,0
1.23258e-09,0
1.32275e-09,3
1.41293e-09,5
1.5031e-09,12
1.59327e-09,9
1.68344e-09,16
1.77361e-09,31
1.86378e-09,45
1.95396e-09,62
2.04413e-09,84
2.1343e-09,133
2.22447e-09,178
2.31464e-09,231
2.40481e-09,325
2.49499e-09,371
2.58516e-09,506
2.67533e-09,590
2.7655e-09,750
2.85567e-09,882
2.94584e-09,1076
3.03602e-09,1233
3.12619e-09,1459
3.21636e-09,1630
3.30653e-09,2013
3.3967e-09,2156
3.48687e-09,2472
3.57705e-09,2734
3.66722e-09,3086
3.75739e-09,3346
3.84756e-09,3489
3.93773e-09,3816
4.0279e-09,4245
4.11808e-09,4317
4.20825e-09,4618
4.29842e-09,4785
4.38859e-09,5020
4.47876e-09,4978
4.56894e-09,5264
4.65911e-09,5332
4.74928e-09,5244
4.83945e-09,5332
4.92962e-09,5396
5.01979e-09,5358
5.10997e-09,5192
5.20014e-09,5042
5.29031e-09,4871
5.38048e-09,4611
5.47065e-09,4255
5.56082e-09,3955
5.651e-09,3605
5.74117e-09,3125
5.83134e-09,2853
5.92151e-09,2421
6.01168e-09,2101
6.10185e-09,1913
6.19203e-09,1691
6.2822e-09,1500
6.37237e-09,1464
6.46254e-09,1468
6.55271e-09,1525
6.64288e-09,1623
6.73306e-09,1711
6.82323e-09,2106
6.9134e-09,2398
7.00357e-09,2719
7.09374e-09,3424
7.18391e-09,3961
7.27409e-09,4860
7.36426e-09,5341
7.45443e-09,5998
7.5446e-09,6540
7.63477e-09,6762
7.72495e-09,7066
7.81512e-09,6880
7.90529e-09,6534
7.99546e-09,5965
8.08563e-09,5332
8.1758e-09,4645
8.26598e-09,4006
8.35615e-09,3381
8.44632e-09,2801
8.53649e-09,2369
8.62666e-09,1899
8.71683e-09,1627
8.80701e-09,1344
8.89718e-09,1145
8.98735e-09,999
9.07752e-09,860
9.16769e-09,790
9.25786e-09,742
9.34804e-09,664
9.43821e-09,617
9.52838e-09,606
9.61855e-09,589
9.70872e-09,524
9.79889e-09,501
9.88907e-09,509
9.97924e-09,476
1.00694e-08,463
1.01596e-08,468
1.02498e-08,431
1.03399e-08,381
1.04301e-08,438
1.05203e-08,366
1.06104e-08,363
1.07006e-08,367
1.07908e-08,336
1.0881e-08,332
1.09711e-08,309
1.10613e-08,317
1.11515e-08,324
1.12416e-08,308
1.13318e-08,283
1.1422e-08,281
1.15122e-08,272
1.16023e-08,258
1.16925e-08,260
1.17827e-08,256
1.18728e-08,239
1.1963e-08,259
1.20532e-08,227
