X: (V*s),Y: (Hits)
-2.47554e-10,0
-2.0173e-10,0
-1.55905e-10,0
-1.1008e-10,0
-6.42555e-11,0
-1.84309e-11,402
2.73938e-11,141
7.32185e-11,1
1.19043e-10,1
1.64868e-10,0
2.10692e-10,0
2.56517e-10,0
3.02342e-10,1
3.48166e-10,1
3.93991e-10,0
4.39816e-10,0
4.8564e-10,0
5.31465e-10,0
5.7729e-10,3
6.23114e-10,3
6.68939e-10,9
7.14764e-10,7
7.60588e-10,8
8.06413e-10,11
8.52238e-10,15
8.98062e-10,20
9.43887e-10,44
9.89712e-10,48
1.03554e-09,84
1.08136e-09,113
1.12719e-09,125
1.17301e-09,173
1.21884e-09,225
1.26466e-09,254
1.31048e-09,304
1.35631e-09,343
1.40213e-09,334
1.44796e-09,407
1.49378e-09,377
1.53961e-09,473
1.58543e-09,445
1.63126e-09,417
1.67708e-09,462
1.72291e-09,485
1.76873e-09,500
1.81456e-09,515
1.86038e-09,501
1.90621e-09,493
1.95203e-09,502
1.99785e-09,506
2.04368e-09,456
2.0895e-09,453
2.13533e-09,404
2.18115e-09,318
2.22698e-09,231
2.2728e-09,201
2.31863e-09,158
2.36445e-09,133
2.41028e-09,112
2.4561e-09,96
2.50193e-09,101
2.54775e-09,102
2.59357e-09,106
2.6394e-09,130
2.68522e-09,183
2.73105e-09,225
2.77687e-09,313
2.8227e-09,430
2.86852e-09,560
2.91435e-09,661
2.96017e-09,902
3.006e-09,1106
3.05182e-09,1382
3.09765e-09,1573
3.14347e-09,1601
3.1893e-09,1536
3.23512e-09,1342
3.28094e-09,1178
3.32677e-09,902
3.37259e-09,640
3.41842e-09,471
3.46424e-09,332
3.51007e-09,245
3.55589e-09,218
3.60172e-09,136
3.64754e-09,126
3.69337e-09,107
3.73919e-09,73
3.78502e-09,72
3.83084e-09,66
3.87667e-09,64
3.92249e-09,54
3.96831e-09,39
4.01414e-09,44
4.05996e-09,26
4.10579e-09,42
4.15161e-09,42
4.19744e-09,29
4.24326e-09,17
4.28909e-09,29
4.33491e-09,21
4.38074e-09,25
4.42656e-09,26
4.47239e-09,20
4.51821e-09,23
4.56404e-09,15
4.60986e-09,11
4.65568e-09,15
4.70151e-09,16
4.74733e-09,13
4.79316e-09,16
4.83898e-09,13
4.88481e-09,4
4.93063e-09,9
4.97646e-09,13
5.02228e-09,12
5.06811e-09,18
5.11393e-09,9
5.15976e-09,12
5.20558e-09,11
5.25141e-09,10
5.29723e-09,11
5.34305e-09,4
5.38888e-09,11
5.4347e-09,8
5.48053e-09,7
5.52635e-09,13
5.57218e-09,12
5.618e-09,10
5.66383e-09,10
5.70965e-09,11
5.75548e-09,13
5.8013e-09,10
5.84713e-09,12
5.89295e-09,5
5.93878e-09,8
5.9846e-09,15
6.03042e-09,12
6.07625e-09,11
6.12207e-09,6
6.1679e-09,8
6.21372e-09,13
6.25955e-09,13
6.30537e-09,6
6.3512e-09,8
6.39702e-09,7
6.44285e-09,8
6.48867e-09,9
6.5345e-09,4
6.58032e-09,4
6.62615e-09,4
6.67197e-09,3
6.71779e-09,4
6.76362e-09,6
6.80944e-09,3
6.85527e-09,3
6.90109e-09,4
6.94692e-09,5
6.99274e-09,4
7.03857e-09,7
7.08439e-09,6
7.13022e-09,6
7.17604e-09,11
7.22187e-09,7
7.26769e-09,12
7.31352e-09,8
7.35934e-09,8
7.40516e-09,9
7.45099e-09,10
7.49681e-09,5
7.54264e-09,8
7.58846e-09,8
7.63429e-09,5
7.68011e-09,6
7.72594e-09,4
7.77176e-09,4
7.81759e-09,5
7.86341e-09,2
7.90924e-09,1
7.95506e-09,3
8.00089e-09,6
8.04671e-09,2
8.09253e-09,1
8.13836e-09,4
8.18418e-09,2
8.23001e-09,3
8.27583e-09,1
8.32166e-09,3
8.36748e-09,4
8.41331e-09,2
8.45913e-09,2
8.50496e-09,0
8.55078e-09,0
8.59661e-09,1
8.64243e-09,2
8.68826e-09,1
8.73408e-09,3
8.7799e-09,0
8.82573e-09,1
8.87155e-09,2
8.91738e-09,1
8.9632e-09,1
9.00903e-09,2
9.05485e-09,0
9.10068e-09,1
9.1465e-09,0
9.19233e-09,0
9.23815e-09,0
9.28398e-09,0
9.3298e-09,2
9.37563e-09,0
9.42145e-09,0
9.46727e-09,2
9.5131e-09,0
9.55892e-09,2
9.60475e-09,2
9.65057e-09,0
9.6964e-09,1
9.74222e-09,0
9.78805e-09,1
9.83387e-09,2
9.8797e-09,0
9.92552e-09,0
9.97135e-09,0
1.00172e-08,0
1.0063e-08,0
1.01088e-08,0
1.01546e-08,2
1.02005e-08,0
1.02463e-08,0
1.02921e-08,0
1.03379e-08,0
1.03838e-08,0
1.04296e-08,0
1.04754e-08,0
1.05212e-08,0
1.05671e-08,1
1.06129e-08,0
1.06587e-08,0
1.07045e-08,0
1.07504e-08,0
1.07962e-08,0
1.0842e-08,0
1.08878e-08,0
1.09337e-08,0
1.09795e-08,0
1.10253e-08,0
1.10711e-08,0
1.1117e-08,0
1.11628e-08,0
