X: (V*s),Y: (Hits)
-4.02381e-09,0
-4.01472e-09,0
-4.00563e-09,0
-3.99654e-09,0
-3.98745e-09,0
-3.97836e-09,0
-3.96927e-09,0
-3.96018e-09,0
-3.95109e-09,0
-3.942e-09,0
-3.93291e-09,0
-3.92382e-09,0
-3.91473e-09,0
-3.90564e-09,0
-3.89655e-09,0
-3.88746e-09,0
-3.87837e-09,0
-3.86928e-09,0
-3.86019e-09,0
-3.8511e-09,0
-3.84201e-09,0
-3.83292e-09,0
-3.82383e-09,0
-3.81474e-09,0
-3.80565e-09,0
-3.79656e-09,0
-3.78747e-09,0
-3.77838e-09,0
-3.76929e-09,0
-3.7602e-09,0
-3.75111e-09,0
-3.74202e-09,0
-3.73293e-09,0
-3.72384e-09,0
-3.71475e-09,0
-3.70566e-09,0
-3.69657e-09,0
-3.68748e-09,0
-3.67839e-09,0
-3.6693e-09,0
-3.66021e-09,0
-3.65112e-09,0
-3.64203e-09,0
-3.63294e-09,0
-3.62385e-09,0
-3.61476e-09,0
-3.60567e-09,0
-3.59658e-09,0
-3.58749e-09,0
-3.5784e-09,0
-3.56931e-09,0
-3.56022e-09,0
-3.55113e-09,0
-3.54204e-09,0
-3.53295e-09,0
-3.52386e-09,0
-3.51477e-09,0
-3.50568e-09,0
-3.49659e-09,0
-3.4875e-09,0
-3.47841e-09,0
-3.46932e-09,0
-3.46023e-09,0
-3.45114e-09,0
-3.44205e-09,0
-3.43296e-09,0
-3.42387e-09,0
-3.41478e-09,0
-3.40569e-09,0
-3.3966e-09,0
-3.38751e-09,0
-3.37842e-09,0
-3.36933e-09,0
-3.36024e-09,0
-3.35115e-09,0
-3.34206e-09,0
-3.33297e-09,0
-3.32388e-09,0
-3.31479e-09,0
-3.3057e-09,0
-3.29661e-09,0
-3.28752e-09,0
-3.27843e-09,0
-3.26934e-09,0
-3.26025e-09,0
-3.25116e-09,0
-3.24207e-09,0
-3.23298e-09,0
-3.22389e-09,0
-3.2148e-09,0
-3.20571e-09,0
-3.19662e-09,0
-3.18753e-09,0
-3.17844e-09,0
-3.16935e-09,0
-3.16026e-09,0
-3.15117e-09,0
-3.14208e-09,0
-3.13299e-09,0
-3.1239e-09,0
-3.11481e-09,0
-3.10572e-09,0
-3.09663e-09,0
-3.08754e-09,0
-3.07845e-09,0
-3.06936e-09,0
-3.06027e-09,0
-3.05117e-09,0
-3.04208e-09,0
-3.03299e-09,0
-3.0239e-09,0
-3.01481e-09,0
-3.00572e-09,0
-2.99663e-09,0
-2.98754e-09,0
-2.97845e-09,0
-2.96936e-09,0
-2.96027e-09,0
-2.95118e-09,0
-2.94209e-09,0
-2.933e-09,0
-2.92391e-09,0
-2.91482e-09,0
-2.90573e-09,0
-2.89664e-09,0
-2.88755e-09,0
-2.87846e-09,0
-2.86937e-09,0
-2.86028e-09,0
-2.85119e-09,0
-2.8421e-09,0
-2.83301e-09,0
-2.82392e-09,0
-2.81483e-09,0
-2.80574e-09,0
-2.79665e-09,0
-2.78756e-09,0
-2.77847e-09,0
-2.76938e-09,0
-2.76029e-09,0
-2.7512e-09,0
-2.74211e-09,0
-2.73302e-09,0
-2.72393e-09,0
-2.71484e-09,0
-2.70575e-09,0
-2.69666e-09,0
-2.68757e-09,0
-2.67848e-09,0
-2.66939e-09,0
-2.6603e-09,0
-2.65121e-09,0
-2.64212e-09,0
-2.63303e-09,0
-2.62394e-09,0
-2.61485e-09,0
-2.60576e-09,0
-2.59667e-09,0
-2.58758e-09,0
-2.57849e-09,0
-2.5694e-09,0
-2.56031e-09,0
-2.55122e-09,0
-2.54213e-09,0
-2.53304e-09,0
-2.52395e-09,0
-2.51486e-09,0
-2.50577e-09,0
-2.49668e-09,0
-2.48759e-09,0
