X: (V*s),Y: (Hits)
-6.58637e-10,0
-6.52774e-10,0
-6.4691e-10,0
-6.41046e-10,0
-6.35183e-10,0
-6.29319e-10,0
-6.23456e-10,0
-6.17592e-10,0
-6.11729e-10,0
-6.05865e-10,0
-6.00002e-10,0
-5.94138e-10,0
-5.88275e-10,0
-5.82411e-10,0
-5.76548e-10,0
-5.70684e-10,0
-5.64821e-10,0
-5.58957e-10,0
-5.53094e-10,0
-5.4723e-10,0
-5.41367e-10,0
-5.35503e-10,0
-5.29639e-10,0
-5.23776e-10,0
-5.17912e-10,0
-5.12049e-10,0
-5.06185e-10,0
-5.00322e-10,0
-4.94458e-10,0
-4.88595e-10,0
-4.82731e-10,0
-4.76868e-10,0
-4.71004e-10,0
-4.65141e-10,0
-4.59277e-10,0
-4.53414e-10,0
-4.4755e-10,0
-4.41687e-10,0
-4.35823e-10,0
-4.29959e-10,0
-4.24096e-10,0
-4.18232e-10,0
-4.12369e-10,0
-4.06505e-10,0
-4.00642e-10,0
-3.94778e-10,0
-3.88915e-10,0
-3.83051e-10,0
-3.77188e-10,0
-3.71324e-10,0
-3.65461e-10,0
-3.59597e-10,0
-3.53734e-10,0
-3.4787e-10,0
-3.42007e-10,0
-3.36143e-10,0
-3.30279e-10,0
-3.24416e-10,0
-3.18552e-10,0
-3.12689e-10,0
-3.06825e-10,0
-3.00962e-10,0
-2.95098e-10,0
-2.89235e-10,0
-2.83371e-10,0
-2.77508e-10,0
-2.71644e-10,0
-2.65781e-10,0
-2.59917e-10,0
-2.54054e-10,0
-2.4819e-10,0
-2.42327e-10,0
-2.36463e-10,0
-2.306e-10,0
-2.24736e-10,0
-2.18872e-10,0
-2.13009e-10,0
-2.07145e-10,0
-2.01282e-10,0
-1.95418e-10,0
-1.89555e-10,0
-1.83691e-10,0
-1.77828e-10,0
-1.71964e-10,0
-1.66101e-10,0
-1.60237e-10,0
-1.54374e-10,0
-1.4851e-10,0
-1.42647e-10,0
-1.36783e-10,0
-1.3092e-10,0
-1.25056e-10,0
-1.19192e-10,0
-1.13329e-10,0
-1.07465e-10,0
-1.01602e-10,0
-9.57384e-11,0
-8.98749e-11,0
-8.40113e-11,0
-7.81478e-11,0
-7.22843e-11,0
-6.64207e-11,0
-6.05572e-11,1
-5.46937e-11,0
-4.88302e-11,0
-4.29666e-11,0
-3.71031e-11,0
-3.12396e-11,0
-2.5376e-11,0
-1.95125e-11,0
-1.3649e-11,0
-7.78546e-12,0
-1.92193e-12,0
3.94159e-12,0
9.80512e-12,0
1.56686e-11,0
2.15322e-11,0
2.73957e-11,0
3.32592e-11,0
3.91228e-11,0
4.49863e-11,0
5.08498e-11,0
5.67133e-11,0
6.25769e-11,0
6.84404e-11,0
7.43039e-11,0
8.01675e-11,0
8.6031e-11,0
9.18945e-11,0
9.7758e-11,0
1.03622e-10,0
1.09485e-10,0
1.15349e-10,0
1.21212e-10,0
1.27076e-10,0
1.32939e-10,0
1.38803e-10,0
1.44666e-10,0
1.5053e-10,0
1.56393e-10,0
1.62257e-10,0
1.6812e-10,0
1.73984e-10,0
1.79847e-10,0
1.85711e-10,0
1.91574e-10,0
1.97438e-10,0
2.03302e-10,0
2.09165e-10,0
2.15029e-10,0
2.20892e-10,0
2.26756e-10,0
2.32619e-10,0
2.38483e-10,0
2.44346e-10,0
2.5021e-10,0
2.56073e-10,0
2.61937e-10,0
2.678e-10,0
2.73664e-10,0
2.79527e-10,0
2.85391e-10,1
2.91254e-10,1
2.97118e-10,0
3.02982e-10,7
3.08845e-10,7
3.14709e-10,13
3.20572e-10,13
3.26436e-10,31
3.32299e-10,35
3.38163e-10,50
3.44026e-10,86
3.4989e-10,103
3.55753e-10,139
3.61617e-10,178
3.6748e-10,202
3.73344e-10,269
3.79207e-10,302
3.85071e-10,357
3.90934e-10,376
3.96798e-10,451
4.02661e-10,477
4.08525e-10,558
4.14389e-10,652
4.20252e-10,734
4.26116e-10,830
4.31979e-10,975
4.37843e-10,1047
4.43706e-10,1135
4.4957e-10,1323
4.55433e-10,1352
4.61297e-10,1530
4.6716e-10,1649
4.73024e-10,1565
4.78887e-10,1661
4.84751e-10,1813
4.90614e-10,1769
4.96478e-10,1828
5.02341e-10,1812
5.08205e-10,1829
5.14069e-10,1816
5.19932e-10,1860
5.25796e-10,1858
5.31659e-10,1772
5.37523e-10,1853
5.43386e-10,1724
5.4925e-10,1807
5.55113e-10,1717
5.60977e-10,1795
5.6684e-10,1765
5.72704e-10,1802
5.78567e-10,1838
5.84431e-10,1820
5.90294e-10,1794
5.96158e-10,1786
6.02021e-10,1839
6.07885e-10,1762
6.13748e-10,1850
6.19612e-10,1807
6.25476e-10,1864
6.31339e-10,1793
6.37203e-10,1728
6.43066e-10,1765
6.4893e-10,1797
6.54793e-10,1902
6.60657e-10,1793
6.6652e-10,1905
6.72384e-10,1845
6.78247e-10,1840
6.84111e-10,1833
6.89974e-10,1856
6.95838e-10,1847
7.01701e-10,1864
7.07565e-10,1828
7.13428e-10,1819
7.19292e-10,1777
7.25156e-10,1867
7.31019e-10,1858
7.36883e-10,1907
7.42746e-10,1886
7.4861e-10,1966
7.54473e-10,1869
7.60337e-10,1865
7.662e-10,1915
7.72064e-10,1929
7.77927e-10,1908
7.83791e-10,1850
7.89654e-10,1902
7.95518e-10,1935
8.01381e-10,1895
8.07245e-10,1981
8.13108e-10,1870
8.18972e-10,1896
8.24835e-10,1893
8.30699e-10,1841
8.36563e-10,1873
8.42426e-10,1915
8.4829e-10,1842
8.54153e-10,1801
8.60017e-10,1806
8.6588e-10,1849
8.71744e-10,1821
8.77607e-10,1818
8.83471e-10,1810
8.89334e-10,1792
8.95198e-10,1696
9.01061e-10,1729
9.06925e-10,1626
9.12788e-10,1671
9.18652e-10,1632
9.24515e-10,1552
9.30379e-10,1576
9.36243e-10,1497
9.42106e-10,1517
9.4797e-10,1473
9.53833e-10,1421
9.59697e-10,1396
9.6556e-10,1399
9.71424e-10,1323
9.77287e-10,1241
9.83151e-10,1245
9.89014e-10,1180
9.94878e-10,1176
1.00074e-09,1075
1.0066e-09,1046
1.01247e-09,1038
1.01833e-09,945
1.0242e-09,975
1.03006e-09,946
1.03592e-09,866
1.04179e-09,821
1.04765e-09,849
1.05351e-09,796
1.05938e-09,781
1.06524e-09,738
1.0711e-09,692
1.07697e-09,729
1.08283e-09,688
1.08869e-09,718
1.09456e-09,712
1.10042e-09,712
1.10628e-09,699
1.11215e-09,695
1.11801e-09,709
1.12388e-09,711
1.12974e-09,736
1.1356e-09,774
1.14147e-09,821
1.14733e-09,789
1.15319e-09,851
1.15906e-09,883
1.16492e-09,876
1.17078e-09,860
1.17665e-09,935
1.18251e-09,994
1.18837e-09,1016
1.19424e-09,1054
1.2001e-09,1178
1.20596e-09,1183
1.21183e-09,1272
1.21769e-09,1320
1.22356e-09,1356
1.22942e-09,1391
1.23528e-09,1499
1.24115e-09,1600
1.24701e-09,1654
1.25287e-09,1666
1.25874e-09,1786
1.2646e-09,1772
1.27046e-09,1757
1.27633e-09,1906
1.28219e-09,1866
1.28805e-09,1934
1.29392e-09,2054
1.29978e-09,2035
1.30564e-09,2022
1.31151e-09,1988
1.31737e-09,2102
1.32324e-09,1991
1.3291e-09,2015
1.33496e-09,1891
1.34083e-09,2006
1.34669e-09,1796
1.35255e-09,1793
1.35842e-09,1721
1.36428e-09,1732
1.37014e-09,1682
1.37601e-09,1554
1.38187e-09,1420
1.38773e-09,1434
1.3936e-09,1317
1.39946e-09,1252
1.40532e-09,1188
1.41119e-09,1131
1.41705e-09,1060
1.42292e-09,997
1.42878e-09,915
1.43464e-09,916
1.44051e-09,894
1.44637e-09,789
1.45223e-09,763
1.4581e-09,736
1.46396e-09,657
1.46982e-09,634
1.47569e-09,601
1.48155e-09,565
1.48741e-09,614
1.49328e-09,569
1.49914e-09,543
1.505e-09,469
1.51087e-09,542
1.51673e-09,500
1.5226e-09,496
1.52846e-09,457
1.53432e-09,455
1.54019e-09,459
1.54605e-09,449
1.55191e-09,415
1.55778e-09,399
1.56364e-09,364
1.5695e-09,393
1.57537e-09,367
1.58123e-09,392
1.58709e-09,380
1.59296e-09,402
1.59882e-09,337
1.60468e-09,349
1.61055e-09,335
1.61641e-09,337
1.62228e-09,376
1.62814e-09,317
1.634e-09,321
1.63987e-09,324
1.64573e-09,323
1.65159e-09,325
1.65746e-09,344
1.66332e-09,303
1.66918e-09,335
1.67505e-09,309
1.68091e-09,266
1.68677e-09,289
1.69264e-09,266
1.6985e-09,284
1.70436e-09,281
1.71023e-09,266
1.71609e-09,270
1.72196e-09,272
1.72782e-09,267
1.73368e-09,257
1.73955e-09,233
1.74541e-09,244
1.75127e-09,239
1.75714e-09,262
1.763e-09,252
1.76886e-09,242
1.77473e-09,272
1.78059e-09,229
1.78645e-09,238
1.79232e-09,248
1.79818e-09,216
1.80404e-09,249
1.80991e-09,187
1.81577e-09,185
1.82164e-09,195
1.8275e-09,228
1.83336e-09,196
1.83923e-09,213
1.84509e-09,192
1.85095e-09,189
1.85682e-09,193
1.86268e-09,202
1.86854e-09,191
1.87441e-09,195
1.88027e-09,193
1.88613e-09,210
1.892e-09,186
1.89786e-09,167
1.90372e-09,186
1.90959e-09,170
1.91545e-09,191
1.92132e-09,185
1.92718e-09,225
1.93304e-09,170
1.93891e-09,152
1.94477e-09,154
1.95063e-09,155
1.9565e-09,162
1.96236e-09,144
1.96822e-09,164
1.97409e-09,149
1.97995e-09,149
1.98581e-09,145
1.99168e-09,128
1.99754e-09,171
2.0034e-09,157
2.00927e-09,157
2.01513e-09,111
2.021e-09,115
2.02686e-09,134
2.03272e-09,138
2.03859e-09,133
2.04445e-09,117
2.05031e-09,120
2.05618e-09,128
2.06204e-09,109
2.0679e-09,141
2.07377e-09,135
2.07963e-09,126
2.08549e-09,117
2.09136e-09,123
2.09722e-09,108
2.10308e-09,134
2.10895e-09,120
2.11481e-09,107
2.12068e-09,116
2.12654e-09,85
2.1324e-09,123
2.13827e-09,106
2.14413e-09,88
2.14999e-09,107
2.15586e-09,98
2.16172e-09,97
2.16758e-09,112
2.17345e-09,113
2.17931e-09,115
2.18517e-09,96
2.19104e-09,78
2.1969e-09,97
2.20276e-09,81
2.20863e-09,86
2.21449e-09,129
2.22036e-09,84
2.22622e-09,106
2.23208e-09,108
2.23795e-09,93
2.24381e-09,102
2.24967e-09,91
2.25554e-09,81
2.2614e-09,87
2.26726e-09,85
2.27313e-09,100
2.27899e-09,105
2.28485e-09,66
2.29072e-09,82
2.29658e-09,69
2.30244e-09,81
2.30831e-09,79
2.31417e-09,84
2.32004e-09,82
2.3259e-09,87
2.33176e-09,75
2.33763e-09,67
2.34349e-09,70
2.34935e-09,71
2.35522e-09,77
2.36108e-09,82
2.36694e-09,63
2.37281e-09,67
2.37867e-09,56
2.38453e-09,68
2.3904e-09,75
2.39626e-09,69
2.40212e-09,54
2.40799e-09,64
2.41385e-09,70
2.41972e-09,69
2.42558e-09,63
2.43144e-09,63
2.43731e-09,61
2.44317e-09,57
2.44903e-09,55
2.4549e-09,60
2.46076e-09,61
2.46662e-09,65
2.47249e-09,46
2.47835e-09,48
2.48421e-09,56
2.49008e-09,43
2.49594e-09,71
2.5018e-09,48
2.50767e-09,55
2.51353e-09,47
2.5194e-09,51
2.52526e-09,42
2.53112e-09,52
2.53699e-09,66
2.54285e-09,52
2.54871e-09,51
2.55458e-09,47
2.56044e-09,47
2.5663e-09,34
2.57217e-09,48
2.57803e-09,43
2.58389e-09,34
2.58976e-09,37
2.59562e-09,53
2.60148e-09,37
2.60735e-09,43
2.61321e-09,47
2.61908e-09,38
2.62494e-09,51
2.6308e-09,53
2.63667e-09,37
2.64253e-09,36
2.64839e-09,36
2.65426e-09,37
2.66012e-09,38
2.66598e-09,31
2.67185e-09,48
2.67771e-09,34
2.68357e-09,45
2.68944e-09,38
2.6953e-09,30
2.70116e-09,35
2.70703e-09,31
2.71289e-09,36
2.71876e-09,31
2.72462e-09,32
2.73048e-09,30
2.73635e-09,35
2.74221e-09,38
2.74807e-09,33
2.75394e-09,32
2.7598e-09,33
2.76566e-09,30
2.77153e-09,26
2.77739e-09,25
2.78325e-09,35
2.78912e-09,26
2.79498e-09,25
2.80084e-09,32
2.80671e-09,30
2.81257e-09,26
2.81843e-09,24
2.8243e-09,20
2.83016e-09,26
2.83603e-09,21
2.84189e-09,33
2.84775e-09,25
2.85362e-09,27
2.85948e-09,19
2.86534e-09,22
2.87121e-09,19
2.87707e-09,19
2.88293e-09,22
2.8888e-09,24
2.89466e-09,21
2.90052e-09,10
2.90639e-09,14
2.91225e-09,19
2.91811e-09,23
2.92398e-09,18
2.92984e-09,14
2.93571e-09,13
2.94157e-09,21
2.94743e-09,21
2.9533e-09,24
2.95916e-09,16
2.96502e-09,11
2.97089e-09,15
2.97675e-09,22
2.98261e-09,13
2.98848e-09,10
2.99434e-09,14
3.0002e-09,22
3.00607e-09,21
3.01193e-09,13
3.01779e-09,12
3.02366e-09,11
3.02952e-09,17
3.03539e-09,14
3.04125e-09,14
3.04711e-09,13
3.05298e-09,4
3.05884e-09,12
3.0647e-09,10
3.07057e-09,8
3.07643e-09,17
3.08229e-09,13
3.08816e-09,14
3.09402e-09,13
3.09988e-09,11
3.10575e-09,18
3.11161e-09,10
3.11747e-09,12
3.12334e-09,5
3.1292e-09,7
3.13507e-09,11
3.14093e-09,10
3.14679e-09,8
3.15266e-09,9
3.15852e-09,10
3.16438e-09,9
3.17025e-09,9
3.17611e-09,7
3.18197e-09,7
3.18784e-09,11
3.1937e-09,8
3.19956e-09,9
3.20543e-09,10
3.21129e-09,10
3.21715e-09,5
3.22302e-09,10
3.22888e-09,11
3.23475e-09,7
3.24061e-09,11
3.24647e-09,14
3.25234e-09,13
3.2582e-09,12
3.26406e-09,5
3.26993e-09,5
3.27579e-09,17
3.28165e-09,10
3.28752e-09,11
3.29338e-09,13
3.29924e-09,8
3.30511e-09,6
3.31097e-09,9
3.31683e-09,4
3.3227e-09,6
3.32856e-09,6
3.33443e-09,5
3.34029e-09,6
3.34615e-09,7
3.35202e-09,6
3.35788e-09,8
3.36374e-09,4
3.36961e-09,6
3.37547e-09,5
3.38133e-09,3
3.3872e-09,3
3.39306e-09,5
3.39892e-09,5
3.40479e-09,9
3.41065e-09,5
3.41651e-09,9
3.42238e-09,3
3.42824e-09,4
3.43411e-09,1
3.43997e-09,9
3.44583e-09,5
3.4517e-09,6
3.45756e-09,4
3.46342e-09,4
3.46929e-09,4
3.47515e-09,4
3.48101e-09,3
3.48688e-09,4
3.49274e-09,4
3.4986e-09,4
3.50447e-09,3
3.51033e-09,1
3.51619e-09,2
3.52206e-09,3
3.52792e-09,2
3.53379e-09,4
3.53965e-09,3
3.54551e-09,1
3.55138e-09,1
3.55724e-09,4
3.5631e-09,1
3.56897e-09,7
3.57483e-09,4
3.58069e-09,6
3.58656e-09,4
3.59242e-09,5
3.59828e-09,2
3.60415e-09,5
3.61001e-09,3
3.61587e-09,4
3.62174e-09,4
3.6276e-09,3
3.63347e-09,1
3.63933e-09,5
3.64519e-09,2
3.65106e-09,1
3.65692e-09,5
3.66278e-09,2
3.66865e-09,1
3.67451e-09,3
3.68037e-09,1
3.68624e-09,1
3.6921e-09,0
