X: (V*s),Y: (Hits)
5.3391e-11,0
5.4547e-11,0
5.57031e-11,0
5.68592e-11,0
5.80152e-11,0
5.91713e-11,0
6.03273e-11,0
6.14834e-11,0
6.26395e-11,0
6.37955e-11,0
6.49516e-11,0
6.61077e-11,0
6.72637e-11,0
6.84198e-11,0
6.95759e-11,0
7.07319e-11,0
7.1888e-11,0
7.30441e-11,0
7.42001e-11,0
7.53562e-11,0
7.65123e-11,0
7.76683e-11,0
7.88244e-11,0
7.99805e-11,0
8.11365e-11,0
8.22926e-11,0
8.34487e-11,0
8.46047e-11,0
8.57608e-11,1
8.69169e-11,0
8.80729e-11,0
8.9229e-11,0
9.0385e-11,1
9.15411e-11,0
9.26972e-11,0
9.38532e-11,1
9.50093e-11,1
9.61654e-11,1
9.73214e-11,1
9.84775e-11,1
9.96336e-11,0
1.0079e-10,0
1.01946e-10,2
1.03102e-10,0
1.04258e-10,1
1.05414e-10,0
1.0657e-10,2
1.07726e-10,2
1.08882e-10,3
1.10038e-10,3
1.11194e-10,3
1.1235e-10,3
1.13506e-10,4
1.14662e-10,9
1.15818e-10,11
1.16975e-10,11
1.18131e-10,12
1.19287e-10,12
1.20443e-10,16
1.21599e-10,22
1.22755e-10,12
1.23911e-10,32
1.25067e-10,18
1.26223e-10,30
1.27379e-10,31
1.28535e-10,32
1.29691e-10,46
1.30847e-10,46
1.32003e-10,52
1.33159e-10,54
1.34316e-10,47
1.35472e-10,78
1.36628e-10,67
1.37784e-10,74
1.3894e-10,79
1.40096e-10,76
1.41252e-10,93
1.42408e-10,78
1.43564e-10,78
1.4472e-10,85
1.45876e-10,89
1.47032e-10,97
1.48188e-10,84
1.49344e-10,108
1.505e-10,114
1.51657e-10,97
1.52813e-10,106
1.53969e-10,98
1.55125e-10,119
1.56281e-10,96
1.57437e-10,97
1.58593e-10,110
1.59749e-10,113
1.60905e-10,118
1.62061e-10,93
1.63217e-10,103
1.64373e-10,93
1.65529e-10,86
1.66685e-10,107
1.67841e-10,96
1.68997e-10,105
1.70154e-10,103
1.7131e-10,108
1.72466e-10,107
1.73622e-10,120
1.74778e-10,83
1.75934e-10,96
1.7709e-10,96
1.78246e-10,87
1.79402e-10,99
1.80558e-10,101
1.81714e-10,108
1.8287e-10,108
1.84026e-10,101
1.85182e-10,123
1.86338e-10,92
1.87495e-10,94
1.88651e-10,93
1.89807e-10,93
1.90963e-10,91
1.92119e-10,100
1.93275e-10,108
1.94431e-10,101
1.95587e-10,91
1.96743e-10,102
1.97899e-10,113
1.99055e-10,85
2.00211e-10,102
2.01367e-10,103
2.02523e-10,96
2.03679e-10,96
2.04836e-10,95
2.05992e-10,101
2.07148e-10,92
2.08304e-10,105
2.0946e-10,93
2.10616e-10,97
2.11772e-10,79
2.12928e-10,103
2.14084e-10,92
2.1524e-10,108
2.16396e-10,78
2.17552e-10,110
2.18708e-10,82
2.19864e-10,85
2.2102e-10,105
2.22177e-10,86
2.23333e-10,86
2.24489e-10,90
2.25645e-10,87
2.26801e-10,85
2.27957e-10,94
2.29113e-10,121
2.30269e-10,82
2.31425e-10,90
2.32581e-10,97
2.33737e-10,88
2.34893e-10,86
2.36049e-10,100
2.37205e-10,90
2.38361e-10,94
2.39517e-10,84
2.40674e-10,105
2.4183e-10,97
2.42986e-10,90
2.44142e-10,83
2.45298e-10,96
2.46454e-10,85
2.4761e-10,85
2.48766e-10,79
2.49922e-10,98
2.51078e-10,93
2.52234e-10,99
2.5339e-10,83
2.54546e-10,99
2.55702e-10,90
2.56858e-10,86
2.58015e-10,92
2.59171e-10,107
2.60327e-10,75
2.61483e-10,87
2.62639e-10,87
2.63795e-10,91
2.64951e-10,92
2.66107e-10,82
2.67263e-10,92
2.68419e-10,97
2.69575e-10,81
2.70731e-10,97
2.71887e-10,85
2.73043e-10,70
2.74199e-10,81
2.75356e-10,82
2.76512e-10,86
2.77668e-10,110
2.78824e-10,93
2.7998e-10,83
2.81136e-10,81
2.82292e-10,99
2.83448e-10,82
2.84604e-10,87
2.8576e-10,88
2.86916e-10,86
2.88072e-10,85
2.89228e-10,85
2.90384e-10,93
2.9154e-10,94
2.92696e-10,68
2.93853e-10,77
2.95009e-10,86
2.96165e-10,81
2.97321e-10,78
2.98477e-10,81
2.99633e-10,92
3.00789e-10,86
3.01945e-10,88
3.03101e-10,75
3.04257e-10,80
3.05413e-10,101
3.06569e-10,110
3.07725e-10,87
3.08881e-10,79
3.10037e-10,83
3.11194e-10,99
3.1235e-10,97
3.13506e-10,102
3.14662e-10,92
3.15818e-10,75
3.16974e-10,94
3.1813e-10,84
3.19286e-10,98
3.20442e-10,83
3.21598e-10,100
3.22754e-10,85
3.2391e-10,104
3.25066e-10,99
3.26222e-10,89
3.27378e-10,94
3.28535e-10,86
3.29691e-10,81
3.30847e-10,114
3.32003e-10,94
3.33159e-10,87
3.34315e-10,90
3.35471e-10,94
3.36627e-10,80
3.37783e-10,103
3.38939e-10,111
3.40095e-10,85
3.41251e-10,94
3.42407e-10,101
3.43563e-10,111
3.44719e-10,87
3.45876e-10,88
3.47032e-10,94
3.48188e-10,106
3.49344e-10,80
3.505e-10,96
3.51656e-10,91
3.52812e-10,91
3.53968e-10,92
3.55124e-10,108
3.5628e-10,108
3.57436e-10,90
3.58592e-10,101
3.59748e-10,101
3.60904e-10,104
3.6206e-10,91
3.63216e-10,80
3.64373e-10,98
3.65529e-10,107
3.66685e-10,102
3.67841e-10,95
3.68997e-10,91
3.70153e-10,76
3.71309e-10,110
3.72465e-10,100
3.73621e-10,98
3.74777e-10,87
3.75933e-10,94
3.77089e-10,86
3.78245e-10,85
3.79401e-10,101
3.80557e-10,94
3.81714e-10,98
3.8287e-10,97
3.84026e-10,100
3.85182e-10,76
3.86338e-10,88
3.87494e-10,91
3.8865e-10,69
3.89806e-10,79
3.90962e-10,84
3.92118e-10,71
3.93274e-10,81
3.9443e-10,74
3.95586e-10,82
3.96742e-10,76
3.97898e-10,74
3.99055e-10,81
4.00211e-10,79
4.01367e-10,81
4.02523e-10,73
4.03679e-10,73
4.04835e-10,71
4.05991e-10,67
4.07147e-10,65
4.08303e-10,53
4.09459e-10,73
4.10615e-10,62
4.11771e-10,56
4.12927e-10,65
4.14083e-10,56
4.15239e-10,59
4.16395e-10,52
4.17552e-10,52
4.18708e-10,54
4.19864e-10,46
4.2102e-10,35
4.22176e-10,57
4.23332e-10,49
4.24488e-10,47
4.25644e-10,55
4.268e-10,47
4.27956e-10,44
4.29112e-10,39
4.30268e-10,37
4.31424e-10,39
4.3258e-10,38
4.33736e-10,52
4.34893e-10,38
4.36049e-10,24
4.37205e-10,31
4.38361e-10,31
4.39517e-10,27
4.40673e-10,23
4.41829e-10,33
4.42985e-10,24
4.44141e-10,22
4.45297e-10,16
4.46453e-10,24
4.47609e-10,30
4.48765e-10,25
4.49921e-10,17
4.51077e-10,22
4.52234e-10,19
4.5339e-10,19
4.54546e-10,20
4.55702e-10,15
4.56858e-10,23
4.58014e-10,15
4.5917e-10,18
4.60326e-10,20
4.61482e-10,13
4.62638e-10,17
4.63794e-10,15
4.6495e-10,13
4.66106e-10,14
4.67262e-10,10
4.68418e-10,17
4.69575e-10,6
4.70731e-10,11
4.71887e-10,8
4.73043e-10,3
4.74199e-10,11
4.75355e-10,15
4.76511e-10,6
4.77667e-10,1
4.78823e-10,5
4.79979e-10,3
4.81135e-10,12
4.82291e-10,5
4.83447e-10,8
4.84603e-10,3
4.85759e-10,2
4.86915e-10,2
4.88072e-10,4
4.89228e-10,7
4.90384e-10,8
4.9154e-10,3
4.92696e-10,2
4.93852e-10,3
4.95008e-10,1
4.96164e-10,6
4.9732e-10,1
4.98476e-10,1
4.99632e-10,4
5.00788e-10,1
5.01944e-10,4
5.031e-10,0
5.04256e-10,2
5.05413e-10,0
5.06569e-10,2
5.07725e-10,0
5.08881e-10,4
5.10037e-10,2
5.11193e-10,2
5.12349e-10,1
5.13505e-10,1
5.14661e-10,3
5.15817e-10,0
5.16973e-10,2
5.18129e-10,1
5.19285e-10,2
5.20441e-10,0
5.21597e-10,1
5.22754e-10,1
5.2391e-10,1
5.25066e-10,0
5.26222e-10,2
5.27378e-10,0
5.28534e-10,2
5.2969e-10,0
5.30846e-10,0
5.32002e-10,1
5.33158e-10,0
5.34314e-10,0
5.3547e-10,0
5.36626e-10,0
5.37782e-10,1
5.38938e-10,0
5.40094e-10,1
5.41251e-10,0
5.42407e-10,0
5.43563e-10,0
5.44719e-10,2
5.45875e-10,0
5.47031e-10,0
5.48187e-10,0
5.49343e-10,1
5.50499e-10,1
5.51655e-10,1
5.52811e-10,0
5.53967e-10,0
5.55123e-10,0
5.56279e-10,0
5.57435e-10,2
5.58592e-10,0
5.59748e-10,1
5.60904e-10,1
5.6206e-10,0
5.63216e-10,0
5.64372e-10,0
5.65528e-10,0
5.66684e-10,0
5.6784e-10,0
5.68996e-10,0
5.70152e-10,1
5.71308e-10,0
5.72464e-10,0
5.7362e-10,0
5.74776e-10,1
5.75933e-10,0
5.77089e-10,0
5.78245e-10,0
5.79401e-10,1
5.80557e-10,0
5.81713e-10,1
5.82869e-10,0
5.84025e-10,0
5.85181e-10,0
5.86337e-10,0
5.87493e-10,1
5.88649e-10,0
5.89805e-10,0
5.90961e-10,1
5.92117e-10,0
5.93274e-10,1
5.9443e-10,0
5.95586e-10,1
5.96742e-10,0
5.97898e-10,0
5.99054e-10,0
6.0021e-10,0
6.01366e-10,0
6.02522e-10,0
6.03678e-10,0
6.04834e-10,0
6.0599e-10,0
6.07146e-10,0
6.08302e-10,0
6.09458e-10,0
6.10614e-10,0
6.11771e-10,0
6.12927e-10,0
6.14083e-10,0
6.15239e-10,0
6.16395e-10,0
6.17551e-10,0
6.18707e-10,0
6.19863e-10,0
6.21019e-10,0
6.22175e-10,0
6.23331e-10,0
6.24487e-10,0
6.25643e-10,0
6.26799e-10,0
6.27955e-10,0
6.29112e-10,0
6.30268e-10,0
