X: (V*s),Y: (Hits)
6.16255e-11,0
6.28782e-11,0
6.41308e-11,0
6.53834e-11,0
6.6636e-11,0
6.78886e-11,0
6.91412e-11,0
7.03938e-11,0
7.16464e-11,0
7.2899e-11,0
7.41516e-11,0
7.54042e-11,0
7.66568e-11,0
7.79094e-11,0
7.9162e-11,0
8.04146e-11,0
8.16672e-11,0
8.29198e-11,0
8.41724e-11,0
8.5425e-11,0
8.66776e-11,0
8.79303e-11,0
8.91829e-11,0
9.04355e-11,0
9.16881e-11,0
9.29407e-11,0
9.41933e-11,0
9.54459e-11,0
9.66985e-11,0
9.79511e-11,0
9.92037e-11,0
1.00456e-10,0
1.01709e-10,0
1.02962e-10,0
1.04214e-10,0
1.05467e-10,0
1.06719e-10,0
1.07972e-10,0
1.09225e-10,0
1.10477e-10,0
1.1173e-10,0
1.12982e-10,0
1.14235e-10,0
1.15488e-10,0
1.1674e-10,0
1.17993e-10,0
1.19245e-10,0
1.20498e-10,0
1.21751e-10,0
1.23003e-10,0
1.24256e-10,0
1.25508e-10,0
1.26761e-10,0
1.28014e-10,0
1.29266e-10,0
1.30519e-10,0
1.31771e-10,0
1.33024e-10,0
1.34277e-10,0
1.35529e-10,0
1.36782e-10,0
1.38034e-10,0
1.39287e-10,0
1.4054e-10,0
1.41792e-10,0
1.43045e-10,0
1.44297e-10,0
1.4555e-10,0
1.46803e-10,2
1.48055e-10,0
1.49308e-10,0
1.5056e-10,0
1.51813e-10,0
1.53066e-10,0
1.54318e-10,0
1.55571e-10,0
1.56824e-10,1
1.58076e-10,0
1.59329e-10,1
1.60581e-10,2
1.61834e-10,1
1.63087e-10,0
1.64339e-10,0
1.65592e-10,1
1.66844e-10,0
1.68097e-10,0
1.6935e-10,1
1.70602e-10,2
1.71855e-10,0
1.73107e-10,3
1.7436e-10,4
1.75613e-10,3
1.76865e-10,0
1.78118e-10,0
1.7937e-10,2
1.80623e-10,3
1.81876e-10,0
1.83128e-10,4
1.84381e-10,0
1.85633e-10,3
1.86886e-10,2
1.88139e-10,2
1.89391e-10,5
1.90644e-10,7
1.91896e-10,6
1.93149e-10,6
1.94402e-10,7
1.95654e-10,3
1.96907e-10,6
1.98159e-10,2
1.99412e-10,9
2.00665e-10,2
2.01917e-10,5
2.0317e-10,5
2.04423e-10,8
2.05675e-10,8
2.06928e-10,10
2.0818e-10,12
2.09433e-10,7
2.10686e-10,10
2.11938e-10,9
2.13191e-10,8
2.14443e-10,6
2.15696e-10,12
2.16949e-10,15
2.18201e-10,13
2.19454e-10,5
2.20706e-10,13
2.21959e-10,20
2.23212e-10,26
2.24464e-10,10
2.25717e-10,18
2.26969e-10,12
2.28222e-10,18
2.29475e-10,20
2.30727e-10,20
2.3198e-10,26
2.33232e-10,20
2.34485e-10,23
2.35738e-10,28
2.3699e-10,22
2.38243e-10,19
2.39495e-10,30
2.40748e-10,28
2.42001e-10,27
2.43253e-10,31
2.44506e-10,26
2.45758e-10,31
2.47011e-10,28
2.48264e-10,35
2.49516e-10,39
2.50769e-10,34
2.52021e-10,42
2.53274e-10,41
2.54527e-10,34
2.55779e-10,47
2.57032e-10,33
2.58285e-10,54
2.59537e-10,57
2.6079e-10,51
2.62042e-10,61
2.63295e-10,60
2.64548e-10,53
2.658e-10,73
2.67053e-10,84
2.68305e-10,82
2.69558e-10,82
2.70811e-10,69
2.72063e-10,79
2.73316e-10,67
2.74568e-10,73
2.75821e-10,71
2.77074e-10,99
2.78326e-10,88
2.79579e-10,80
2.80831e-10,87
2.82084e-10,82
2.83337e-10,105
2.84589e-10,89
2.85842e-10,99
2.87094e-10,102
2.88347e-10,91
2.896e-10,133
2.90852e-10,113
2.92105e-10,95
2.93357e-10,114
2.9461e-10,128
2.95863e-10,116
2.97115e-10,119
2.98368e-10,129
2.9962e-10,127
3.00873e-10,144
3.02126e-10,153
3.03378e-10,130
3.04631e-10,135
3.05883e-10,164
3.07136e-10,148
3.08389e-10,138
3.09641e-10,172
3.10894e-10,170
3.12147e-10,164
3.13399e-10,187
3.14652e-10,144
3.15904e-10,148
3.17157e-10,164
3.1841e-10,188
3.19662e-10,186
3.20915e-10,196
3.22167e-10,166
3.2342e-10,183
3.24673e-10,167
3.25925e-10,192
3.27178e-10,220
3.2843e-10,225
3.29683e-10,196
3.30936e-10,190
3.32188e-10,207
3.33441e-10,206
3.34693e-10,222
3.35946e-10,219
3.37199e-10,185
3.38451e-10,221
3.39704e-10,204
3.40956e-10,222
3.42209e-10,223
3.43462e-10,230
3.44714e-10,227
3.45967e-10,244
3.47219e-10,232
3.48472e-10,232
3.49725e-10,245
3.50977e-10,252
3.5223e-10,237
3.53482e-10,256
3.54735e-10,261
3.55988e-10,201
3.5724e-10,255
3.58493e-10,228
3.59746e-10,230
3.60998e-10,264
3.62251e-10,243
3.63503e-10,238
3.64756e-10,234
3.66009e-10,241
3.67261e-10,235
3.68514e-10,226
3.69766e-10,258
3.71019e-10,270
3.72272e-10,227
3.73524e-10,250
3.74777e-10,225
3.76029e-10,239
3.77282e-10,229
3.78535e-10,251
3.79787e-10,201
3.8104e-10,246
3.82292e-10,259
3.83545e-10,216
3.84798e-10,233
3.8605e-10,214
3.87303e-10,235
3.88555e-10,237
3.89808e-10,223
3.91061e-10,237
3.92313e-10,219
3.93566e-10,208
3.94818e-10,221
3.96071e-10,214
3.97324e-10,213
3.98576e-10,206
3.99829e-10,214
4.01081e-10,199
4.02334e-10,221
4.03587e-10,190
4.04839e-10,213
4.06092e-10,198
4.07344e-10,199
4.08597e-10,169
4.0985e-10,176
4.11102e-10,190
4.12355e-10,166
4.13608e-10,191
4.1486e-10,179
4.16113e-10,159
4.17365e-10,171
4.18618e-10,154
4.19871e-10,158
4.21123e-10,150
4.22376e-10,157
4.23628e-10,161
4.24881e-10,148
4.26134e-10,143
4.27386e-10,131
4.28639e-10,163
4.29891e-10,135
4.31144e-10,144
4.32397e-10,91
4.33649e-10,136
4.34902e-10,142
4.36154e-10,145
4.37407e-10,125
4.3866e-10,133
4.39912e-10,119
4.41165e-10,126
4.42417e-10,121
4.4367e-10,132
4.44923e-10,92
4.46175e-10,114
4.47428e-10,115
4.4868e-10,114
4.49933e-10,115
4.51186e-10,103
4.52438e-10,86
4.53691e-10,115
4.54943e-10,102
4.56196e-10,89
4.57449e-10,96
4.58701e-10,91
4.59954e-10,92
4.61206e-10,87
4.62459e-10,109
4.63712e-10,110
4.64964e-10,92
4.66217e-10,86
4.6747e-10,80
4.68722e-10,77
4.69975e-10,83
4.71227e-10,89
4.7248e-10,74
4.73733e-10,84
4.74985e-10,105
4.76238e-10,53
4.7749e-10,85
4.78743e-10,86
4.79996e-10,85
4.81248e-10,70
4.82501e-10,70
4.83753e-10,60
4.85006e-10,78
4.86259e-10,63
4.87511e-10,75
4.88764e-10,66
4.90016e-10,61
4.91269e-10,63
4.92522e-10,67
4.93774e-10,68
4.95027e-10,62
4.96279e-10,63
4.97532e-10,67
4.98785e-10,64
5.00037e-10,46
5.0129e-10,45
5.02542e-10,52
5.03795e-10,50
5.05048e-10,68
5.063e-10,64
5.07553e-10,48
5.08805e-10,54
5.10058e-10,58
5.11311e-10,59
5.12563e-10,48
5.13816e-10,59
5.15069e-10,48
5.16321e-10,49
5.17574e-10,52
5.18826e-10,71
5.20079e-10,46
5.21332e-10,46
5.22584e-10,47
5.23837e-10,42
5.25089e-10,49
5.26342e-10,35
5.27595e-10,58
5.28847e-10,42
5.301e-10,45
5.31352e-10,61
5.32605e-10,47
5.33858e-10,40
5.3511e-10,39
5.36363e-10,52
5.37615e-10,36
5.38868e-10,34
5.40121e-10,50
5.41373e-10,42
5.42626e-10,36
5.43878e-10,35
5.45131e-10,39
5.46384e-10,47
5.47636e-10,26
5.48889e-10,43
5.50141e-10,36
5.51394e-10,42
5.52647e-10,48
5.53899e-10,33
5.55152e-10,36
5.56404e-10,46
5.57657e-10,51
5.5891e-10,44
5.60162e-10,31
5.61415e-10,37
5.62667e-10,28
5.6392e-10,28
5.65173e-10,30
5.66425e-10,28
5.67678e-10,27
5.68931e-10,31
5.70183e-10,29
5.71436e-10,28
5.72688e-10,39
5.73941e-10,27
5.75194e-10,35
5.76446e-10,35
5.77699e-10,31
5.78951e-10,22
5.80204e-10,26
5.81457e-10,35
5.82709e-10,34
5.83962e-10,24
5.85214e-10,25
5.86467e-10,32
5.8772e-10,34
5.88972e-10,28
5.90225e-10,35
5.91477e-10,32
5.9273e-10,26
5.93983e-10,29
5.95235e-10,28
5.96488e-10,23
5.9774e-10,23
5.98993e-10,25
6.00246e-10,34
6.01498e-10,32
6.02751e-10,19
6.04003e-10,25
6.05256e-10,22
6.06509e-10,24
6.07761e-10,21
6.09014e-10,29
6.10266e-10,26
6.11519e-10,29
6.12772e-10,25
6.14024e-10,39
6.15277e-10,19
6.16529e-10,25
6.17782e-10,32
6.19035e-10,18
6.20287e-10,20
6.2154e-10,23
6.22793e-10,12
6.24045e-10,23
6.25298e-10,30
6.2655e-10,25
6.27803e-10,24
6.29056e-10,23
6.30308e-10,20
6.31561e-10,24
6.32813e-10,22
6.34066e-10,23
6.35319e-10,15
6.36571e-10,15
6.37824e-10,22
6.39076e-10,23
6.40329e-10,12
6.41582e-10,22
6.42834e-10,20
6.44087e-10,14
6.45339e-10,15
6.46592e-10,33
6.47845e-10,19
6.49097e-10,17
6.5035e-10,19
6.51602e-10,19
6.52855e-10,16
6.54108e-10,19
6.5536e-10,22
6.56613e-10,17
6.57865e-10,11
6.59118e-10,28
6.60371e-10,20
6.61623e-10,26
6.62876e-10,20
6.64128e-10,16
6.65381e-10,21
6.66634e-10,30
6.67886e-10,22
6.69139e-10,14
6.70392e-10,19
6.71644e-10,25
6.72897e-10,13
6.74149e-10,16
6.75402e-10,14
6.76655e-10,29
6.77907e-10,25
6.7916e-10,23
6.80412e-10,16
6.81665e-10,22
6.82918e-10,19
6.8417e-10,21
6.85423e-10,14
6.86675e-10,18
6.87928e-10,14
6.89181e-10,14
6.90433e-10,18
6.91686e-10,16
6.92938e-10,9
6.94191e-10,13
6.95444e-10,12
6.96696e-10,15
6.97949e-10,16
6.99201e-10,14
7.00454e-10,10
7.01707e-10,13
7.02959e-10,11
7.04212e-10,11
7.05464e-10,14
7.06717e-10,13
7.0797e-10,10
7.09222e-10,6
7.10475e-10,22
7.11727e-10,10
7.1298e-10,15
7.14233e-10,8
7.15485e-10,16
7.16738e-10,12
7.1799e-10,19
7.19243e-10,12
7.20496e-10,8
7.21748e-10,12
7.23001e-10,14
7.24254e-10,17
7.25506e-10,17
7.26759e-10,15
7.28011e-10,19
7.29264e-10,13
7.30517e-10,18
7.31769e-10,5
7.33022e-10,10
7.34274e-10,6
7.35527e-10,18
7.3678e-10,16
7.38032e-10,10
7.39285e-10,16
7.40537e-10,11
7.4179e-10,10
7.43043e-10,9
7.44295e-10,18
7.45548e-10,16
7.468e-10,13
7.48053e-10,13
7.49306e-10,7
7.50558e-10,9
7.51811e-10,17
7.53063e-10,6
7.54316e-10,10
7.55569e-10,8
7.56821e-10,9
7.58074e-10,6
7.59326e-10,12
7.60579e-10,16
7.61832e-10,10
7.63084e-10,15
7.64337e-10,15
7.65589e-10,18
7.66842e-10,13
7.68095e-10,16
7.69347e-10,14
7.706e-10,12
7.71852e-10,9
7.73105e-10,12
7.74358e-10,11
7.7561e-10,8
7.76863e-10,15
7.78116e-10,8
7.79368e-10,5
7.80621e-10,15
7.81873e-10,16
7.83126e-10,8
7.84379e-10,14
7.85631e-10,7
7.86884e-10,7
7.88136e-10,12
7.89389e-10,11
7.90642e-10,9
7.91894e-10,14
7.93147e-10,13
7.94399e-10,7
7.95652e-10,8
7.96905e-10,5
7.98157e-10,9
7.9941e-10,10
8.00662e-10,10
8.01915e-10,10
8.03168e-10,7
8.0442e-10,8
8.05673e-10,10
8.06925e-10,7
8.08178e-10,10
8.09431e-10,7
8.10683e-10,15
8.11936e-10,16
8.13188e-10,8
8.14441e-10,8
8.15694e-10,11
8.16946e-10,6
8.18199e-10,11
8.19451e-10,15
8.20704e-10,14
8.21957e-10,9
8.23209e-10,8
8.24462e-10,8
