X: (V*s),Y: (Hits)
1.68365e-10,0
1.82188e-10,0
1.9601e-10,0
2.09832e-10,0
2.23654e-10,0
2.37476e-10,0
2.51299e-10,0
2.65121e-10,3
2.78943e-10,3
2.92765e-10,11
3.06587e-10,28
3.2041e-10,60
3.34232e-10,89
3.48054e-10,147
3.61876e-10,179
3.75698e-10,251
3.89521e-10,290
4.03343e-10,295
4.17165e-10,346
4.30987e-10,337
4.44809e-10,350
4.58631e-10,367
4.72454e-10,358
4.86276e-10,387
5.00098e-10,349
5.1392e-10,346
5.27742e-10,367
5.41565e-10,295
5.55387e-10,325
5.69209e-10,299
5.83031e-10,281
5.96853e-10,277
6.10676e-10,267
6.24498e-10,251
6.3832e-10,268
6.52142e-10,237
6.65964e-10,235
6.79787e-10,207
6.93609e-10,210
7.07431e-10,195
7.21253e-10,179
7.35075e-10,220
7.48898e-10,173
7.6272e-10,175
7.76542e-10,178
7.90364e-10,163
8.04186e-10,147
8.18008e-10,157
8.31831e-10,157
8.45653e-10,141
8.59475e-10,131
8.73297e-10,136
8.87119e-10,129
9.00942e-10,107
9.14764e-10,122
9.28586e-10,119
9.42408e-10,104
9.5623e-10,95
9.70053e-10,108
9.83875e-10,94
9.97697e-10,81
1.01152e-09,98
1.02534e-09,92
1.03916e-09,99
1.05299e-09,71
1.06681e-09,83
1.08063e-09,68
1.09445e-09,61
1.10827e-09,75
1.1221e-09,69
1.13592e-09,58
1.14974e-09,71
1.16356e-09,56
1.17739e-09,62
1.19121e-09,50
1.20503e-09,58
1.21885e-09,54
1.23267e-09,59
1.2465e-09,42
1.26032e-09,42
1.27414e-09,46
1.28796e-09,44
1.30179e-09,44
1.31561e-09,40
1.32943e-09,36
1.34325e-09,29
1.35707e-09,44
1.3709e-09,36
1.38472e-09,45
1.39854e-09,32
1.41236e-09,38
1.42618e-09,29
1.44001e-09,39
1.45383e-09,38
1.46765e-09,23
1.48147e-09,37
1.4953e-09,35
1.50912e-09,42
1.52294e-09,29
1.53676e-09,17
1.55058e-09,21
1.56441e-09,31
1.57823e-09,26
1.59205e-09,15
1.60587e-09,26
1.6197e-09,26
1.63352e-09,26
1.64734e-09,25
1.66116e-09,23
1.67498e-09,25
1.68881e-09,21
1.70263e-09,28
1.71645e-09,23
1.73027e-09,20
1.7441e-09,17
1.75792e-09,16
1.77174e-09,12
1.78556e-09,14
1.79938e-09,13
1.81321e-09,14
1.82703e-09,17
1.84085e-09,22
1.85467e-09,8
1.8685e-09,16
1.88232e-09,8
1.89614e-09,11
1.90996e-09,11
1.92378e-09,10
1.93761e-09,7
1.95143e-09,5
1.96525e-09,9
1.97907e-09,10
1.99289e-09,7
2.00672e-09,8
2.02054e-09,7
2.03436e-09,6
2.04818e-09,6
2.06201e-09,4
2.07583e-09,4
2.08965e-09,3
2.10347e-09,2
2.11729e-09,4
2.13112e-09,1
2.14494e-09,5
2.15876e-09,5
2.17258e-09,4
2.18641e-09,2
2.20023e-09,2
2.21405e-09,0
2.22787e-09,1
2.24169e-09,2
2.25552e-09,1
2.26934e-09,0
2.28316e-09,0
2.29698e-09,0
2.31081e-09,0
2.32463e-09,2
2.33845e-09,1
2.35227e-09,3
2.36609e-09,0
2.37992e-09,0
2.39374e-09,1
2.40756e-09,0
2.42138e-09,1
2.43521e-09,1
2.44903e-09,1
2.46285e-09,1
2.47667e-09,0
2.49049e-09,0
2.50432e-09,0
2.51814e-09,0
2.53196e-09,0
2.54578e-09,1
2.5596e-09,0
2.57343e-09,1
2.58725e-09,0
2.60107e-09,0
2.61489e-09,1
2.62872e-09,0
2.64254e-09,0
2.65636e-09,0
2.67018e-09,2
2.684e-09,0
2.69783e-09,1
2.71165e-09,0
2.72547e-09,1
2.73929e-09,1
2.75312e-09,1
2.76694e-09,2
2.78076e-09,0
2.79458e-09,0
2.8084e-09,0
2.82223e-09,0
2.83605e-09,0
2.84987e-09,0
2.86369e-09,0
2.87752e-09,1
2.89134e-09,0
2.90516e-09,0
2.91898e-09,0
2.9328e-09,0
2.94663e-09,1
2.96045e-09,0
2.97427e-09,0
2.98809e-09,0
3.00191e-09,0
3.01574e-09,0
3.02956e-09,1
3.04338e-09,0
3.0572e-09,0
3.07103e-09,0
3.08485e-09,0
3.09867e-09,0
3.11249e-09,1
3.12631e-09,1
3.14014e-09,0
3.15396e-09,0
3.16778e-09,0
3.1816e-09,0
3.19543e-09,0
3.20925e-09,2
3.22307e-09,0
3.23689e-09,0
3.25071e-09,0
3.26454e-09,0
3.27836e-09,0
3.29218e-09,0
3.306e-09,1
3.31983e-09,0
3.33365e-09,0
3.34747e-09,0
3.36129e-09,1
