X: (V*s),Y: (Hits)
-6.23568e-09,0
-6.21976e-09,0
-6.20385e-09,0
-6.18793e-09,0
-6.17201e-09,0
-6.15609e-09,0
-6.14017e-09,0
-6.12425e-09,0
-6.10834e-09,0
-6.09242e-09,0
-6.0765e-09,0
-6.06058e-09,0
-6.04466e-09,0
-6.02874e-09,0
-6.01283e-09,0
-5.99691e-09,0
-5.98099e-09,0
-5.96507e-09,0
-5.94915e-09,0
-5.93324e-09,0
-5.91732e-09,0
-5.9014e-09,0
-5.88548e-09,0
-5.86956e-09,0
-5.85364e-09,0
-5.83773e-09,0
-5.82181e-09,0
-5.80589e-09,0
-5.78997e-09,0
-5.77405e-09,0
-5.75813e-09,0
-5.74222e-09,0
-5.7263e-09,0
-5.71038e-09,0
-5.69446e-09,0
-5.67854e-09,0
-5.66263e-09,0
-5.64671e-09,0
-5.63079e-09,0
-5.61487e-09,0
-5.59895e-09,0
-5.58303e-09,0
-5.56712e-09,0
-5.5512e-09,0
-5.53528e-09,0
-5.51936e-09,0
-5.50344e-09,0
-5.48752e-09,0
-5.47161e-09,0
-5.45569e-09,0
-5.43977e-09,0
-5.42385e-09,0
-5.40793e-09,0
-5.39202e-09,0
-5.3761e-09,0
-5.36018e-09,0
-5.34426e-09,0
-5.32834e-09,0
-5.31242e-09,0
-5.29651e-09,0
-5.28059e-09,0
-5.26467e-09,0
-5.24875e-09,0
-5.23283e-09,0
-5.21692e-09,0
-5.201e-09,0
-5.18508e-09,0
-5.16916e-09,0
-5.15324e-09,0
-5.13732e-09,0
-5.12141e-09,0
-5.10549e-09,0
-5.08957e-09,0
-5.07365e-09,0
-5.05773e-09,0
-5.04181e-09,0
-5.0259e-09,0
-5.00998e-09,0
-4.99406e-09,0
-4.97814e-09,0
-4.96222e-09,0
-4.94631e-09,0
-4.93039e-09,0
-4.91447e-09,0
-4.89855e-09,0
-4.88263e-09,0
-4.86671e-09,0
-4.8508e-09,0
-4.83488e-09,0
-4.81896e-09,0
-4.80304e-09,0
-4.78712e-09,0
-4.7712e-09,0
-4.75529e-09,0
-4.73937e-09,0
-4.72345e-09,0
-4.70753e-09,0
-4.69161e-09,0
-4.6757e-09,0
-4.65978e-09,0
-4.64386e-09,0
-4.62794e-09,0
-4.61202e-09,0
-4.5961e-09,0
-4.58019e-09,0
-4.56427e-09,0
-4.54835e-09,0
-4.53243e-09,0
-4.51651e-09,0
-4.50059e-09,0
-4.48468e-09,0
-4.46876e-09,0
-4.45284e-09,0
-4.43692e-09,0
-4.421e-09,0
-4.40509e-09,0
-4.38917e-09,0
-4.37325e-09,0
-4.35733e-09,0
-4.34141e-09,0
-4.32549e-09,0
-4.30958e-09,0
-4.29366e-09,0
-4.27774e-09,0
-4.26182e-09,0
-4.2459e-09,0
-4.22998e-09,0
-4.21407e-09,0
-4.19815e-09,0
-4.18223e-09,0
-4.16631e-09,0
-4.15039e-09,0
-4.13448e-09,0
-4.11856e-09,0
-4.10264e-09,0
-4.08672e-09,0
-4.0708e-09,0
-4.05488e-09,0
-4.03897e-09,0
-4.02305e-09,0
-4.00713e-09,0
-3.99121e-09,0
-3.97529e-09,0
-3.95938e-09,0
-3.94346e-09,0
-3.92754e-09,0
-3.91162e-09,0
-3.8957e-09,0
-3.87978e-09,0
-3.86387e-09,0
-3.84795e-09,0
-3.83203e-09,0
-3.81611e-09,0
-3.80019e-09,0
-3.78427e-09,0
-3.76836e-09,0
-3.75244e-09,0
-3.73652e-09,0
-3.7206e-09,0
-3.70468e-09,0
-3.68877e-09,0
-3.67285e-09,0
-3.65693e-09,0
-3.64101e-09,0
-3.62509e-09,0
-3.60917e-09,0
-3.59326e-09,0
-3.57734e-09,0
-3.56142e-09,0
-3.5455e-09,0
-3.52958e-09,0
-3.51366e-09,0
-3.49775e-09,0
-3.48183e-09,0
-3.46591e-09,0
-3.44999e-09,0
-3.43407e-09,0
-3.41816e-09,0
-3.40224e-09,0
-3.38632e-09,0
-3.3704e-09,0
-3.35448e-09,0
-3.33856e-09,0
-3.32265e-09,0
-3.30673e-09,0
-3.29081e-09,0
-3.27489e-09,0
-3.25897e-09,0
-3.24305e-09,0
-3.22714e-09,0
-3.21122e-09,0
-3.1953e-09,0
-3.17938e-09,0
-3.16346e-09,0
-3.14755e-09,0
-3.13163e-09,0
-3.11571e-09,0
-3.09979e-09,0
-3.08387e-09,0
-3.06795e-09,0
-3.05204e-09,0
-3.03612e-09,0
-3.0202e-09,0
-3.00428e-09,0
-2.98836e-09,0
-2.97244e-09,0
-2.95653e-09,0
-2.94061e-09,0
-2.92469e-09,0
-2.90877e-09,0
-2.89285e-09,0
-2.87694e-09,0
-2.86102e-09,0
-2.8451e-09,0
-2.82918e-09,0
-2.81326e-09,0
-2.79734e-09,0
-2.78143e-09,0
-2.76551e-09,0
-2.74959e-09,0
-2.73367e-09,0
-2.71775e-09,0
-2.70183e-09,0
-2.68592e-09,0
-2.67e-09,0
-2.65408e-09,0
-2.63816e-09,0
-2.62224e-09,0
-2.60633e-09,0
-2.59041e-09,0
-2.57449e-09,0
-2.55857e-09,0
-2.54265e-09,0
-2.52673e-09,0
-2.51082e-09,0
-2.4949e-09,0
-2.47898e-09,0
-2.46306e-09,0
-2.44714e-09,0
-2.43123e-09,0
-2.41531e-09,0
-2.39939e-09,0
-2.38347e-09,0
-2.36755e-09,0
-2.35163e-09,0
-2.33572e-09,0
-2.3198e-09,0
-2.30388e-09,0
-2.28796e-09,0
-2.27204e-09,0
-2.25612e-09,0
-2.24021e-09,0
-2.22429e-09,0
-2.20837e-09,0
-2.19245e-09,0
-2.17653e-09,0
-2.16062e-09,0
