X: (V*s),Y: (Hits)
-4.1124e-12,0
-2.00512e-12,0
1.02171e-13,0
2.20946e-12,0
4.31674e-12,0
6.42403e-12,0
8.53132e-12,0
1.06386e-11,0
1.27459e-11,0
1.48532e-11,0
1.69605e-11,0
1.90678e-11,0
2.1175e-11,0
2.32823e-11,0
2.53896e-11,0
2.74969e-11,0
2.96042e-11,0
3.17115e-11,0
3.38188e-11,0
3.5926e-11,0
3.80333e-11,0
4.01406e-11,0
4.22479e-11,0
4.43552e-11,0
4.64625e-11,0
4.85698e-11,0
5.06771e-11,0
5.27843e-11,0
5.48916e-11,0
5.69989e-11,0
5.91062e-11,1
6.12135e-11,1
6.33208e-11,0
6.54281e-11,3
6.75353e-11,9
6.96426e-11,5
7.17499e-11,13
7.38572e-11,7
7.59645e-11,11
7.80718e-11,10
8.01791e-11,27
8.22864e-11,23
8.43936e-11,20
8.65009e-11,32
8.86082e-11,39
9.07155e-11,48
9.28228e-11,57
9.49301e-11,70
9.70374e-11,76
9.91446e-11,77
1.01252e-10,122
1.03359e-10,95
1.05467e-10,132
1.07574e-10,137
1.09681e-10,163
1.11788e-10,174
1.13896e-10,169
1.16003e-10,196
1.1811e-10,201
1.20218e-10,185
1.22325e-10,209
1.24432e-10,217
1.26539e-10,222
1.28647e-10,205
1.30754e-10,219
1.32861e-10,233
1.34969e-10,213
1.37076e-10,189
1.39183e-10,226
1.4129e-10,192
1.43398e-10,197
1.45505e-10,219
1.47612e-10,199
1.4972e-10,218
1.51827e-10,216
1.53934e-10,210
1.56041e-10,199
1.58149e-10,212
1.60256e-10,201
1.62363e-10,200
1.64471e-10,209
1.66578e-10,175
1.68685e-10,194
1.70792e-10,212
1.729e-10,212
1.75007e-10,202
1.77114e-10,211
1.79222e-10,214
1.81329e-10,206
1.83436e-10,179
1.85543e-10,177
1.87651e-10,189
1.89758e-10,203
1.91865e-10,211
1.93973e-10,215
1.9608e-10,182
1.98187e-10,193
2.00294e-10,172
2.02402e-10,185
2.04509e-10,187
2.06616e-10,187
2.08724e-10,186
2.10831e-10,205
2.12938e-10,170
2.15045e-10,167
2.17153e-10,167
2.1926e-10,193
2.21367e-10,205
2.23475e-10,187
2.25582e-10,191
2.27689e-10,155
2.29796e-10,176
2.31904e-10,163
2.34011e-10,184
2.36118e-10,157
2.38226e-10,182
2.40333e-10,164
2.4244e-10,206
2.44547e-10,176
2.46655e-10,188
2.48762e-10,170
2.50869e-10,161
2.52977e-10,147
2.55084e-10,169
2.57191e-10,174
2.59298e-10,170
2.61406e-10,170
2.63513e-10,166
2.6562e-10,154
2.67728e-10,189
2.69835e-10,176
2.71942e-10,163
2.74049e-10,184
2.76157e-10,154
2.78264e-10,163
2.80371e-10,140
2.82479e-10,147
2.84586e-10,150
2.86693e-10,171
2.888e-10,152
2.90908e-10,140
2.93015e-10,163
2.95122e-10,142
2.9723e-10,174
2.99337e-10,142
3.01444e-10,137
3.03551e-10,157
3.05659e-10,154
3.07766e-10,152
3.09873e-10,152
3.11981e-10,148
3.14088e-10,144
3.16195e-10,147
3.18302e-10,128
3.2041e-10,160
3.22517e-10,139
3.24624e-10,143
3.26732e-10,138
3.28839e-10,129
3.30946e-10,158
3.33053e-10,140
3.35161e-10,145
3.37268e-10,146
3.39375e-10,152
3.41483e-10,138
3.4359e-10,145
3.45697e-10,146
3.47804e-10,156
3.49912e-10,154
3.52019e-10,137
3.54126e-10,181
3.56234e-10,131
3.58341e-10,124
3.60448e-10,143
