X: (V*s),Y: (Hits)
1.37761e-11,0
2.01566e-11,0
2.65372e-11,0
3.29177e-11,0
3.92982e-11,0
4.56787e-11,0
5.20592e-11,0
5.84398e-11,0
6.48203e-11,0
7.12008e-11,0
7.75813e-11,0
8.39618e-11,0
9.03424e-11,0
9.67229e-11,0
1.03103e-10,2
1.09484e-10,3
1.15864e-10,8
1.22245e-10,14
1.28625e-10,17
1.35006e-10,36
1.41387e-10,36
1.47767e-10,50
1.54148e-10,76
1.60528e-10,65
1.66909e-10,74
1.73289e-10,93
1.7967e-10,94
1.8605e-10,116
1.92431e-10,117
1.98811e-10,126
2.05192e-10,157
2.11572e-10,146
2.17953e-10,181
2.24333e-10,175
2.30714e-10,218
2.37094e-10,275
2.43475e-10,244
2.49855e-10,261
2.56236e-10,311
2.62616e-10,311
2.68997e-10,299
2.75377e-10,321
2.81758e-10,306
2.88138e-10,343
2.94519e-10,333
3.00899e-10,308
3.0728e-10,320
3.13661e-10,327
3.20041e-10,276
3.26422e-10,285
3.32802e-10,272
3.39183e-10,307
3.45563e-10,260
3.51944e-10,259
3.58324e-10,263
3.64705e-10,231
3.71085e-10,238
3.77466e-10,232
3.83846e-10,222
3.90227e-10,220
3.96607e-10,213
4.02988e-10,211
4.09368e-10,231
4.15749e-10,205
4.22129e-10,209
4.2851e-10,225
4.3489e-10,203
4.41271e-10,195
4.47651e-10,178
4.54032e-10,189
4.60412e-10,193
4.66793e-10,169
4.73174e-10,175
4.79554e-10,164
4.85935e-10,169
4.92315e-10,165
4.98696e-10,161
5.05076e-10,172
5.11457e-10,153
5.17837e-10,147
5.24218e-10,160
5.30598e-10,139
5.36979e-10,121
5.43359e-10,133
5.4974e-10,145
5.5612e-10,133
5.62501e-10,126
5.68881e-10,143
5.75262e-10,133
5.81642e-10,114
5.88023e-10,139
5.94403e-10,120
6.00784e-10,120
6.07164e-10,110
6.13545e-10,114
6.19925e-10,137
6.26306e-10,117
6.32686e-10,113
6.39067e-10,104
6.45448e-10,118
6.51828e-10,116
6.58209e-10,120
6.64589e-10,125
6.7097e-10,107
6.7735e-10,97
6.83731e-10,96
6.90111e-10,101
6.96492e-10,109
7.02872e-10,98
7.09253e-10,92
7.15633e-10,86
7.22014e-10,80
7.28394e-10,90
7.34775e-10,78
7.41155e-10,78
7.47536e-10,89
7.53916e-10,87
7.60297e-10,81
7.66677e-10,85
7.73058e-10,81
7.79438e-10,74
7.85819e-10,89
7.92199e-10,68
7.9858e-10,67
8.04961e-10,89
8.11341e-10,65
8.17722e-10,63
8.24102e-10,61
8.30483e-10,59
8.36863e-10,71
8.43244e-10,67
8.49624e-10,63
8.56005e-10,72
8.62385e-10,77
8.68766e-10,70
8.75146e-10,62
8.81527e-10,89
8.87907e-10,71
8.94288e-10,55
9.00668e-10,57
9.07049e-10,64
9.13429e-10,67
9.1981e-10,58
9.2619e-10,61
9.32571e-10,57
9.38951e-10,67
9.45332e-10,55
9.51712e-10,61
9.58093e-10,53
9.64474e-10,71
9.70854e-10,62
9.77235e-10,63
9.83615e-10,57
9.89996e-10,55
9.96376e-10,54
1.00276e-09,55
1.00914e-09,48
1.01552e-09,63
1.0219e-09,51
1.02828e-09,85
1.03466e-09,59
1.04104e-09,55
1.04742e-09,66
1.0538e-09,51
1.06018e-09,42
1.06656e-09,64
1.07294e-09,64
1.07932e-09,61
1.0857e-09,47
1.09208e-09,46
1.09846e-09,41
1.10484e-09,52
1.11123e-09,45
1.11761e-09,39
1.12399e-09,39
1.13037e-09,48
1.13675e-09,38
1.14313e-09,39
1.14951e-09,42
1.15589e-09,39
1.16227e-09,42
1.16865e-09,38
1.17503e-09,28
1.18141e-09,51
1.18779e-09,45
1.19417e-09,31
1.20055e-09,35
1.20693e-09,39
1.21331e-09,35
1.21969e-09,34
1.22607e-09,36
1.23246e-09,30
1.23884e-09,27
1.24522e-09,41
1.2516e-09,30
1.25798e-09,29
1.26436e-09,29
1.27074e-09,25
1.27712e-09,34
1.2835e-09,27
1.28988e-09,24
1.29626e-09,26
1.30264e-09,23
1.30902e-09,27
1.3154e-09,17
1.32178e-09,30
1.32816e-09,31
1.33454e-09,20
1.34092e-09,17
1.3473e-09,23
1.35369e-09,25
1.36007e-09,25
1.36645e-09,19
1.37283e-09,16
1.37921e-09,20
1.38559e-09,10
1.39197e-09,10
1.39835e-09,27
1.40473e-09,14
1.41111e-09,19
1.41749e-09,20
1.42387e-09,15
1.43025e-09,22
1.43663e-09,22
1.44301e-09,20
1.44939e-09,14
1.45577e-09,12
1.46215e-09,15
1.46853e-09,11
1.47492e-09,16
1.4813e-09,10
1.48768e-09,12
1.49406e-09,13
1.50044e-09,14
1.50682e-09,7
1.5132e-09,12
1.51958e-09,12
1.52596e-09,13
1.53234e-09,16
1.53872e-09,10
1.5451e-09,6
1.55148e-09,16
1.55786e-09,11
1.56424e-09,14
1.57062e-09,11
1.577e-09,14
1.58338e-09,11
1.58976e-09,7
1.59614e-09,7
1.60253e-09,12
1.60891e-09,9
1.61529e-09,8
1.62167e-09,15
1.62805e-09,11
1.63443e-09,3
1.64081e-09,6
1.64719e-09,6
1.65357e-09,5
1.65995e-09,15
1.66633e-09,4
1.67271e-09,7
1.67909e-09,6
1.68547e-09,6
1.69185e-09,5
1.69823e-09,4
1.70461e-09,4
1.71099e-09,11
1.71737e-09,4
1.72376e-09,6
1.73014e-09,3
1.73652e-09,9
1.7429e-09,6
1.74928e-09,5
1.75566e-09,9
1.76204e-09,3
1.76842e-09,4
1.7748e-09,3
1.78118e-09,3
1.78756e-09,5
1.79394e-09,3
1.80032e-09,7
1.8067e-09,4
1.81308e-09,6
1.81946e-09,4
1.82584e-09,4
1.83222e-09,3
1.8386e-09,3
1.84499e-09,3
1.85137e-09,5
1.85775e-09,4
1.86413e-09,4
1.87051e-09,0
1.87689e-09,5
1.88327e-09,2
1.88965e-09,8
1.89603e-09,7
1.90241e-09,5
1.90879e-09,4
1.91517e-09,4
1.92155e-09,1
1.92793e-09,2
1.93431e-09,5
1.94069e-09,1
1.94707e-09,6
1.95345e-09,5
1.95983e-09,2
1.96622e-09,3
1.9726e-09,4
1.97898e-09,5
1.98536e-09,5
1.99174e-09,4
1.99812e-09,2
2.0045e-09,3
2.01088e-09,5
2.01726e-09,0
2.02364e-09,0
2.03002e-09,5
2.0364e-09,2
2.04278e-09,1
2.04916e-09,2
2.05554e-09,2
2.06192e-09,3
2.0683e-09,3
2.07468e-09,2
2.08106e-09,5
2.08744e-09,2
2.09383e-09,2
2.10021e-09,4
2.10659e-09,3
2.11297e-09,5
2.11935e-09,5
2.12573e-09,1
2.13211e-09,3
2.13849e-09,2
2.14487e-09,3
2.15125e-09,4
2.15763e-09,1
2.16401e-09,2
2.17039e-09,3
2.17677e-09,1
2.18315e-09,1
2.18953e-09,0
2.19591e-09,1
2.20229e-09,1
2.20867e-09,2
2.21506e-09,0
2.22144e-09,5
2.22782e-09,1
2.2342e-09,1
2.24058e-09,2
2.24696e-09,0
2.25334e-09,0
2.25972e-09,1
2.2661e-09,2
2.27248e-09,4
2.27886e-09,2
2.28524e-09,1
2.29162e-09,1
2.298e-09,1
2.30438e-09,2
2.31076e-09,0
2.31714e-09,1
2.32352e-09,1
2.3299e-09,1
2.33629e-09,0
2.34267e-09,1
2.34905e-09,1
2.35543e-09,3
2.36181e-09,0
2.36819e-09,0
2.37457e-09,1
2.38095e-09,0
2.38733e-09,0
2.39371e-09,0
2.40009e-09,2
2.40647e-09,1
2.41285e-09,1
2.41923e-09,1
2.42561e-09,1
2.43199e-09,0
2.43837e-09,0
2.44475e-09,0
2.45113e-09,0
2.45752e-09,1
2.4639e-09,2
2.47028e-09,0
2.47666e-09,1
2.48304e-09,1
2.48942e-09,2
2.4958e-09,0
2.50218e-09,0
2.50856e-09,0
2.51494e-09,1
2.52132e-09,0
2.5277e-09,0
2.53408e-09,0
2.54046e-09,0
2.54684e-09,0
2.55322e-09,0
2.5596e-09,0
2.56598e-09,0
2.57236e-09,1
2.57874e-09,1
2.58513e-09,1
2.59151e-09,0
2.59789e-09,0
2.60427e-09,1
2.61065e-09,1
2.61703e-09,0
2.62341e-09,2
2.62979e-09,0
2.63617e-09,0
2.64255e-09,0
2.64893e-09,1
2.65531e-09,0
2.66169e-09,0
2.66807e-09,0
2.67445e-09,1
2.68083e-09,0
2.68721e-09,0
2.69359e-09,0
2.69997e-09,0
2.70636e-09,0
2.71274e-09,0
2.71912e-09,0
2.7255e-09,0
2.73188e-09,1
2.73826e-09,0
2.74464e-09,1
2.75102e-09,0
2.7574e-09,1
2.76378e-09,0
2.77016e-09,0
2.77654e-09,0
2.78292e-09,1
2.7893e-09,0
2.79568e-09,3
2.80206e-09,3
2.80844e-09,0
2.81482e-09,1
2.8212e-09,0
2.82759e-09,0
2.83397e-09,1
2.84035e-09,0
2.84673e-09,0
2.85311e-09,0
2.85949e-09,0
2.86587e-09,0
2.87225e-09,0
2.87863e-09,0
2.88501e-09,0
2.89139e-09,1
2.89777e-09,0
2.90415e-09,0
2.91053e-09,0
2.91691e-09,0
2.92329e-09,0
2.92967e-09,0
2.93605e-09,0
2.94243e-09,0
2.94882e-09,0
2.9552e-09,0
2.96158e-09,0
2.96796e-09,0
2.97434e-09,0
2.98072e-09,0
2.9871e-09,1
2.99348e-09,0
2.99986e-09,0
3.00624e-09,0
3.01262e-09,0
3.019e-09,0
3.02538e-09,0
3.03176e-09,0
3.03814e-09,0
3.04452e-09,0
3.0509e-09,0
3.05728e-09,0
3.06366e-09,0
3.07004e-09,0
3.07643e-09,0
3.08281e-09,0
3.08919e-09,0
3.09557e-09,0
3.10195e-09,0
3.10833e-09,0
3.11471e-09,0
3.12109e-09,0
3.12747e-09,0
3.13385e-09,0
3.14023e-09,0
3.14661e-09,0
3.15299e-09,0
3.15937e-09,0
3.16575e-09,0
3.17213e-09,0
3.17851e-09,0
3.18489e-09,0
3.19127e-09,0
3.19766e-09,0
