Created as New Dataset,
nm,%T
800.0,24.76
799.0,24.20
798.0,25.51
797.0,25.26
796.0,24.93
795.0,24.09
794.0,24.93
793.0,24.88
792.0,23.92
791.0,25.02
790.0,24.90
789.0,23.98
788.0,25.09
787.0,23.97
786.0,24.98
785.0,24.82
784.0,24.73
783.0,24.65
782.0,24.24
781.0,24.59
780.0,24.85
779.0,25.08
778.0,25.05
777.0,24.64
776.0,24.58
775.0,24.24
774.0,24.51
773.0,24.38
772.0,25.26
771.0,24.53
770.0,24.71
769.0,24.93
768.0,24.45
767.0,24.11
766.0,24.33
765.0,23.93
764.0,24.16
763.0,24.36
762.0,24.82
761.0,23.91
760.0,24.33
759.0,24.22
758.0,23.92
757.0,24.28
756.0,24.57
755.0,24.22
754.0,24.07
753.0,23.65
752.0,23.83
751.0,23.97
750.0,24.43
749.0,23.72
748.0,23.54
747.0,24.18
746.0,23.91
745.0,24.39
744.0,24.23
743.0,23.64
742.0,23.52
741.0,23.19
740.0,23.77
739.0,23.16
738.0,23.79
737.0,23.24
736.0,23.47
735.0,24.15
734.0,24.09
733.0,23.44
732.0,23.96
731.0,23.62
730.0,23.89
729.0,23.55
728.0,23.48
727.0,23.88
726.0,23.38
725.0,23.27
724.0,23.38
723.0,23.96
722.0,24.02
721.0,23.73
720.0,23.29
719.0,23.55
718.0,23.53
717.0,23.66
716.0,23.22
715.0,23.39
714.0,23.71
713.0,23.46
712.0,23.43
711.0,23.43
710.0,23.58
709.0,23.20
708.0,23.15
707.0,23.38
706.0,23.33
705.0,23.20
704.0,23.32
703.0,23.21
702.0,23.09
701.0,23.20
700.0,23.23
699.0,23.16
698.0,22.88
697.0,22.67
696.0,23.05
695.0,23.10
694.0,22.88
693.0,23.11
692.0,23.14
691.0,23.17
690.0,23.35
689.0,23.23
688.0,23.11
687.0,22.72
686.0,22.89
685.0,22.95
684.0,23.00
683.0,22.61
682.0,22.64
681.0,22.74
680.0,22.43
679.0,22.74
678.0,23.01
677.0,22.81
676.0,22.58
675.0,22.50
674.0,22.38
673.0,22.46
672.0,22.74
671.0,22.79
670.0,22.41
669.0,22.26
668.0,22.14
667.0,22.29
666.0,22.49
665.0,22.23
664.0,22.09
663.0,22.08
662.0,22.03
661.0,22.39
660.0,22.46
659.0,22.06
658.0,21.92
657.0,22.02
656.0,22.10
655.0,22.26
654.0,22.38
653.0,22.15
652.0,21.79
651.0,21.67
650.0,21.88
649.0,22.04
648.0,21.92
647.0,21.79
646.0,21.45
645.0,21.42
644.0,21.61
643.0,21.69
642.0,21.85
641.0,21.85
640.0,21.66
639.0,21.64
638.0,21.70
637.0,21.76
636.0,21.53
635.0,21.47
634.0,21.65
633.0,21.51
632.0,21.31
631.0,21.48
630.0,21.50
629.0,21.46
628.0,21.54
627.0,21.39
626.0,21.17
625.0,21.33
624.0,21.40
623.0,21.31
622.0,21.36
621.0,21.18
620.0,20.99
619.0,21.03
618.0,21.17
617.0,21.01
616.0,20.89
615.0,20.86
614.0,20.80
613.0,20.90
612.0,20.99
611.0,20.73
610.0,20.50
609.0,20.78
608.0,20.88
607.0,20.81
606.0,20.78
605.0,20.84
604.0,20.64
603.0,20.50
602.0,20.66
601.0,20.72
600.0,20.63
599.0,20.38
598.0,20.40
597.0,20.37
596.0,20.39
595.0,20.52
594.0,20.50
593.0,20.40
592.0,20.18
591.0,20.03
590.0,20.32
589.0,20.42
588.0,20.34
587.0,20.24
586.0,20.03
585.0,20.09
584.0,20.26
583.0,20.19
582.0,20.20
581.0,19.88
580.0,19.71
579.0,19.71
578.0,20.00
577.0,19.95
