Created as New Dataset,
nm,%T
800.0,41.02
799.0,41.52
798.0,40.24
797.0,41.93
796.0,40.81
795.0,41.36
794.0,41.26
793.0,40.50
792.0,40.63
791.0,40.63
790.0,41.17
789.0,40.78
788.0,40.75
787.0,39.51
786.0,40.00
785.0,41.03
784.0,40.11
783.0,39.86
782.0,39.30
781.0,41.28
780.0,40.28
779.0,41.23
778.0,39.79
777.0,39.43
776.0,40.78
775.0,39.58
774.0,40.35
773.0,39.67
772.0,39.87
771.0,39.77
770.0,39.32
769.0,38.72
768.0,39.53
767.0,39.62
766.0,39.05
765.0,38.85
764.0,39.05
763.0,38.32
762.0,39.63
761.0,39.40
760.0,39.40
759.0,38.22
758.0,37.97
757.0,38.69
756.0,38.60
755.0,38.40
754.0,38.24
753.0,37.93
752.0,38.46
751.0,37.54
750.0,38.09
749.0,37.71
748.0,38.22
747.0,37.90
746.0,37.63
745.0,37.76
744.0,37.66
743.0,37.28
742.0,37.70
741.0,37.76
740.0,37.26
739.0,37.46
738.0,37.77
737.0,38.00
736.0,37.09
735.0,37.01
734.0,37.44
733.0,37.21
732.0,37.12
731.0,37.36
730.0,36.53
729.0,36.36
728.0,36.60
727.0,36.68
726.0,36.29
725.0,36.71
724.0,36.44
723.0,36.45
722.0,35.95
721.0,35.75
720.0,35.44
719.0,36.01
718.0,36.14
717.0,36.04
716.0,35.90
715.0,36.11
714.0,36.07
713.0,35.17
712.0,35.00
711.0,35.06
710.0,35.22
709.0,35.12
708.0,34.56
707.0,34.57
706.0,34.84
705.0,34.76
704.0,34.83
703.0,34.65
702.0,34.23
701.0,34.46
700.0,34.57
699.0,34.37
698.0,34.64
697.0,34.20
696.0,34.15
695.0,34.19
694.0,34.36
693.0,34.09
692.0,33.61
691.0,33.89
690.0,33.97
689.0,34.04
688.0,33.29
687.0,33.35
686.0,33.51
685.0,33.55
684.0,33.20
683.0,33.27
682.0,33.02
681.0,32.59
680.0,32.44
679.0,32.73
678.0,32.65
677.0,32.50
676.0,32.44
675.0,32.36
674.0,32.30
673.0,32.28
672.0,32.26
671.0,32.28
670.0,32.09
669.0,31.98
668.0,31.84
667.0,31.73
666.0,31.83
665.0,31.77
664.0,31.34
663.0,31.49
662.0,31.62
661.0,31.22
660.0,30.66
659.0,30.65
658.0,30.91
657.0,30.71
656.0,30.70
655.0,30.95
654.0,30.70
653.0,30.38
652.0,30.31
651.0,30.29
650.0,30.39
649.0,30.09
648.0,29.92
647.0,29.89
646.0,29.80
645.0,29.71
644.0,29.71
643.0,29.72
642.0,29.36
641.0,29.16
640.0,29.32
639.0,29.23
638.0,29.00
637.0,28.90
636.0,28.95
635.0,29.09
634.0,28.71
633.0,28.53
632.0,28.44
631.0,28.19
630.0,28.39
629.0,28.46
628.0,28.33
627.0,28.15
626.0,27.99
625.0,27.96
624.0,27.86
623.0,27.47
622.0,27.38
621.0,27.35
620.0,27.22
619.0,27.22
618.0,27.13
617.0,26.88
616.0,26.86
615.0,26.76
614.0,26.71
613.0,26.80
612.0,26.72
611.0,26.37
610.0,26.02
609.0,26.01
608.0,26.14
607.0,25.99
606.0,25.78
605.0,25.68
604.0,25.94
603.0,25.74
602.0,25.41
601.0,25.26
600.0,25.10
599.0,25.19
598.0,25.03
597.0,24.83
596.0,24.59
595.0,24.63
594.0,24.56
593.0,24.39
592.0,24.30
591.0,24.10
590.0,23.99
589.0,23.96
588.0,23.88
587.0,23.65
586.0,23.62
585.0,23.45
584.0,23.46
583.0,23.23
582.0,23.04
581.0,23.21
580.0,23.09
579.0,22.82
578.0,22.59
577.0,22.26
576.0,22.25
575.0,22.54
574.0,22.36
573.0,22.07
572.0,21.80
571.0,21.64
570.0,21.69
569.0,21.76
568.0,21.36
567.0,21.10
566.0,21.08
565.0,21.23
564.0,21.24
563.0,20.85
562.0,20.93
561.0,20.72
560.0,20.45
559.0,20.22
558.0,20.13
557.0,20.27
556.0,20.22
555.0,19.89
554.0,19.71
553.0,19.53
552.0,19.42
551.0,19.38
550.0,19.22
549.0,19.08
548.0,19.01
547.0,19.01
546.0,18.81
545.0,18.64
544.0,18.30
543.0,18.29
542.0,18.29
541.0,18.27
540.0,18.08
539.0,17.87
538.0,17.62
537.0,17.57
536.0,17.55
535.0,17.47
534.0,17.17
533.0,16.98
532.0,16.97
531.0,16.96
530.0,16.73
529.0,16.64
528.0,16.44
527.0,16.38
526.0,16.24
525.0,16.08
524.0,15.83
523.0,15.82
522.0,15.81
521.0,15.81
520.0,15.51
519.0,15.24
518.0,15.10
517.0,15.20
516.0,15.10
515.0,14.93
514.0,14.53
513.0,14.48
512.0,14.50
511.0,14.47
510.0,14.28
509.0,13.92
508.0,13.70
507.0,13.63
506.0,13.72
505.0,13.58
504.0,13.18
503.0,12.80
502.0,12.70
501.0,12.74
500.0,12.66
499.0,12.47
498.0,12.27
497.0,11.80
496.0,11.66
495.0,11.58
494.0,11.53
493.0,11.13
492.0,10.80
491.0,10.76
490.0,10.63
489.0,10.48
488.0,10.13
487.0,9.80
486.0,9.64
485.0,9.35
484.0,9.23
483.0,8.99
482.0,8.63
481.0,8.35
480.0,8.19
479.0,8.14
478.0,8.00
477.0,7.71
476.0,7.45
475.0,7.21
474.0,7.17
473.0,7.02
472.0,6.89
471.0,6.38
470.0,6.25
469.0,6.13
468.0,6.02
467.0,5.71
466.0,5.47
465.0,5.24
464.0,5.20
463.0,4.96
462.0,4.69
461.0,4.46
460.0,4.42
459.0,4.40
458.0,3.93
457.0,3.81
456.0,3.79
455.0,3.71
454.0,3.43
453.0,3.06
452.0,2.98
451.0,2.96
450.0,2.76
449.0,2.61
448.0,2.42
447.0,2.41
446.0,2.34
445.0,2.08
444.0,1.77
443.0,1.79
442.0,1.77
441.0,1.63
440.0,1.37
439.0,1.37
438.0,1.35
437.0,1.20
436.0,0.98
435.0,0.99
434.0,1.03
433.0,0.89
432.0,0.68
431.0,0.67
430.0,0.79
429.0,0.65
428.0,0.48
427.0,0.53
426.0,0.57
425.0,0.36
424.0,0.20
423.0,0.32
422.0,0.35
421.0,0.20
420.0,0.14
419.0,0.23
418.0,0.28
417.0,0.10
416.0,0.05
415.0,0.24
414.0,0.20
413.0,0.12
412.0,-0.03
411.0,0.07
410.0,0.02
409.0,-0.06
408.0,-0.03
407.0,0.01
406.0,0.07
405.0,-0.05
404.0,-0.12
403.0,-0.01
402.0,-0.05
401.0,-0.08
400.0,-0.10
399.0,0.05
398.0,-0.04
397.0,-0.12
396.0,-0.15
395.0,-0.02
394.0,-0.06
393.0,-0.21
392.0,-0.13
391.0,0.01
390.0,0.02
389.0,-0.09
388.0,-0.10
387.0,-0.01
386.0,-0.10
385.0,-0.15
384.0,-0.11
383.0,-0.05
382.0,-0.07
381.0,-0.17
380.0,-0.16
379.0,0.04
378.0,-0.49
377.0,-1.43
376.0,-0.69
375.0,-0.75
374.0,-0.51
373.0,-0.47
372.0,-0.35
371.0,-0.47
370.0,-0.54
369.0,-0.18
368.0,-0.18
367.0,-0.23
366.0,-0.13
365.0,-0.27
364.0,-0.27
363.0,-0.25
362.0,-0.29
361.0,-0.16
360.0,-0.04
359.0,-0.18
358.0,-0.15
357.0,-0.08
356.0,-0.25
355.0,-0.30
354.0,-0.19
353.0,-0.12
352.0,-0.29
351.0,-0.12
350.0,0.06
349.0,-0.10
348.0,-0.27
347.0,-0.14
346.0,0.17
345.0,0.31
344.0,-0.08
343.0,-0.20
342.0,0.10
341.0,0.08
340.0,-0.24
339.0,-0.41
338.0,-0.33
337.0,-0.09
336.0,0.18
335.0,-0.22
334.0,-0.29
333.0,-0.17
332.0,-0.13
331.0,0.09
330.0,0.02
329.0,-0.00
328.0,0.05
327.0,-0.16
326.0,-0.50
325.0,-0.13
324.0,0.08
323.0,0.31
322.0,0.53
321.0,-0.20
320.0,-0.66
319.0,2.02
318.0,5.19
317.0,5.11
316.0,5.01
