Created as New Dataset,
nm,%T
800.0,86.32
799.0,86.07
798.0,85.31
797.0,86.39
796.0,86.22
795.0,86.28
794.0,86.20
793.0,86.93
792.0,86.15
791.0,85.76
790.0,86.43
789.0,85.71
788.0,86.15
787.0,86.50
786.0,86.85
785.0,86.22
784.0,86.12
783.0,86.20
782.0,86.43
781.0,86.06
780.0,86.32
779.0,86.02
778.0,85.97
777.0,86.19
776.0,86.49
775.0,85.87
774.0,86.35
773.0,86.06
772.0,86.04
771.0,85.91
770.0,86.41
769.0,86.31
768.0,85.84
767.0,85.56
766.0,85.96
765.0,85.71
764.0,85.58
763.0,85.69
762.0,85.55
761.0,85.35
760.0,85.13
759.0,85.16
758.0,85.27
757.0,85.31
756.0,85.17
755.0,84.79
754.0,85.10
753.0,85.27
752.0,85.33
751.0,85.10
750.0,84.98
749.0,85.12
748.0,85.17
747.0,84.93
746.0,84.85
745.0,84.76
744.0,84.94
743.0,84.76
742.0,84.79
741.0,84.83
740.0,84.80
739.0,85.42
738.0,85.23
737.0,84.78
736.0,84.84
735.0,85.01
734.0,85.12
733.0,84.99
732.0,84.67
731.0,84.88
730.0,85.05
729.0,84.71
728.0,84.90
727.0,84.75
726.0,84.58
725.0,84.64
724.0,84.38
723.0,84.09
722.0,83.80
721.0,83.94
720.0,84.01
719.0,83.81
718.0,83.74
717.0,83.92
716.0,83.65
715.0,83.63
714.0,83.68
713.0,84.01
712.0,84.35
711.0,84.01
710.0,83.76
709.0,83.97
708.0,84.34
707.0,84.23
706.0,84.19
705.0,84.61
704.0,84.33
703.0,84.15
702.0,84.46
701.0,84.34
700.0,84.13
699.0,84.63
698.0,84.66
697.0,84.64
696.0,84.56
695.0,84.44
694.0,84.50
693.0,84.57
692.0,84.53
691.0,84.45
690.0,84.33
689.0,84.45
688.0,84.44
687.0,84.39
686.0,84.43
685.0,84.44
684.0,84.49
683.0,84.57
682.0,84.45
681.0,84.44
680.0,84.45
679.0,84.40
678.0,84.44
677.0,84.55
676.0,84.30
675.0,84.38
674.0,84.59
673.0,84.52
672.0,84.39
671.0,84.48
670.0,84.68
669.0,84.71
668.0,84.49
667.0,84.40
666.0,84.48
665.0,84.52
664.0,84.58
663.0,84.77
662.0,84.67
661.0,84.49
660.0,84.47
659.0,84.55
658.0,84.43
657.0,84.29
656.0,84.23
655.0,84.30
654.0,84.42
653.0,84.35
652.0,84.39
651.0,84.46
650.0,84.36
649.0,84.27
648.0,84.18
647.0,84.15
646.0,84.17
645.0,84.13
644.0,84.10
643.0,84.23
642.0,84.29
641.0,84.23
640.0,84.32
639.0,84.23
638.0,84.03
637.0,83.88
636.0,83.88
635.0,84.02
634.0,83.97
633.0,83.78
632.0,83.72
631.0,83.74
630.0,83.68
629.0,83.76
628.0,83.79
627.0,83.66
626.0,83.63
625.0,83.76
624.0,83.79
623.0,83.73
622.0,83.67
621.0,83.58
620.0,83.63
619.0,83.44
618.0,83.52
617.0,83.52
616.0,83.34
615.0,83.32
614.0,83.19
613.0,83.10
612.0,83.14
611.0,83.17
610.0,83.01
609.0,83.06
608.0,83.16
607.0,83.03
606.0,82.91
605.0,83.00
604.0,83.03
603.0,83.09
602.0,83.09
601.0,82.97
600.0,83.06
599.0,82.97
598.0,82.93
597.0,82.85
596.0,82.77
595.0,82.76
594.0,82.85
593.0,82.92
592.0,82.85
591.0,82.87
590.0,82.95
589.0,83.01
588.0,82.84
587.0,82.85
586.0,83.02
585.0,82.89
584.0,82.76
583.0,82.67
582.0,82.71
581.0,82.68
580.0,82.89
579.0,82.92
578.0,82.81
577.0,82.70
576.0,82.65
575.0,82.73
574.0,82.80
573.0,82.76
572.0,82.92
571.0,83.06
570.0,82.86
569.0,82.68
568.0,82.48
567.0,82.47
566.0,82.66
565.0,82.67
564.0,82.64
563.0,82.60
562.0,82.52
561.0,82.50
560.0,82.41
559.0,82.31
558.0,82.29
557.0,82.34
556.0,82.44
555.0,82.35
554.0,82.29
553.0,82.36
552.0,82.13
551.0,82.04
550.0,82.25
549.0,82.14
548.0,81.97
547.0,81.99
546.0,81.95
545.0,81.75
544.0,81.72
543.0,81.83
542.0,81.93
541.0,81.75
540.0,81.81
539.0,81.66
538.0,81.47
537.0,81.47
536.0,81.48
535.0,81.52
534.0,81.54
533.0,81.48
532.0,81.55
531.0,81.46
530.0,81.52
529.0,81.51
528.0,81.33
527.0,81.17
526.0,81.12
525.0,81.15
524.0,81.15
523.0,81.29
522.0,81.08
521.0,81.12
520.0,81.12
519.0,81.09
518.0,81.04
517.0,81.03
516.0,81.28
515.0,81.11
514.0,80.94
513.0,81.03
512.0,81.02
511.0,81.11
510.0,80.95
509.0,80.82
508.0,80.89
507.0,80.87
506.0,80.72
505.0,80.44
504.0,80.50
503.0,80.61
502.0,80.81
501.0,80.67
500.0,80.67
499.0,80.50
498.0,80.55
497.0,80.51
496.0,80.72
495.0,80.32
494.0,80.26
493.0,80.17
492.0,80.43
491.0,80.26
490.0,79.86
489.0,79.76
488.0,80.06
487.0,80.24
486.0,79.80
485.0,79.72
484.0,79.91
483.0,79.72
482.0,79.93
481.0,79.62
480.0,79.62
479.0,79.60
478.0,79.54
477.0,79.48
476.0,79.45
475.0,79.61
474.0,79.46
473.0,79.33
472.0,79.35
471.0,79.42
470.0,79.19
469.0,79.17
468.0,79.25
467.0,79.27
466.0,79.26
465.0,79.13
464.0,78.75
463.0,78.90
462.0,78.99
461.0,79.04
460.0,78.83
459.0,78.65
458.0,78.52
457.0,78.55
456.0,78.55
455.0,78.27
454.0,78.34
453.0,78.21
452.0,78.29
451.0,78.03
450.0,78.14
449.0,77.97
448.0,78.04
447.0,77.95
446.0,77.75
445.0,77.74
444.0,77.63
443.0,77.65
442.0,77.52
441.0,77.40
440.0,77.53
439.0,77.38
438.0,77.24
437.0,77.18
436.0,77.04
435.0,76.80
434.0,76.89
433.0,76.86
432.0,76.78
431.0,76.71
430.0,76.40
429.0,76.06
428.0,76.08
427.0,76.05
426.0,75.82
425.0,75.92
424.0,75.96
423.0,75.80
422.0,75.76
421.0,75.36
